timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
409354.0000,0.0439,0.9736,0.4414,-2.0142,9.5825,8.8501
409355.0000,0.0654,0.9785,0.4395,-2.3804,9.8267,9.0332
409356.0000,0.0732,0.9751,0.4370,-3.0518,10.6201,9.0942
409357.0000,0.0649,0.9653,0.4429,-3.9062,11.7188,9.2163
409358.0000,0.0474,0.9565,0.4448,-4.1504,12.0850,9.1553
409359.0000,0.0410,0.9497,0.4463,-4.0894,11.7798,8.6670
409360.0000,0.0435,0.9399,0.4487,-3.7231,10.6201,8.1177
409361.0000,0.0596,0.9385,0.4497,-3.4180,10.1318,7.7515
409362.0000,0.0713,0.9385,0.4463,-2.9297,10.2539,7.6294
409363.0000,0.0791,0.9443,0.4487,-2.4414,10.9863,7.8735
409364.0000,0.0762,0.9458,0.4492,-2.1973,11.5356,8.1787
409365.0000,0.0674,0.9438,0.4507,-1.8921,11.8408,8.4229
409366.0000,0.0488,0.9375,0.4517,-1.4648,11.4136,8.1177
409367.0000,0.0435,0.9341,0.4482,-1.0376,10.8032,7.3853
409368.0000,0.0425,0.9326,0.4487,-0.4883,10.0708,6.4697
409369.0000,0.0483,0.9390,0.4434,0.4272,9.2163,5.4932
409370.0000,0.0571,0.9399,0.4395,0.9155,8.8501,4.6997
409371.0000,0.0596,0.9458,0.4351,1.2207,8.7891,3.9062
409372.0000,0.0601,0.9531,0.4370,1.5869,8.9722,3.4180
409373.0000,0.0576,0.9561,0.4370,1.5259,8.7891,3.5400
409374.0000,0.0547,0.9575,0.4331,1.6479,8.6060,3.6011
409375.0000,0.0522,0.9541,0.4292,1.8921,8.1787,3.7842
409376.0000,0.0498,0.9546,0.4336,2.1973,8.0566,3.6621
409377.0000,0.0493,0.9590,0.4331,2.3804,7.8735,3.4180
409378.0000,0.0566,0.9639,0.4312,2.3804,7.7515,2.9907
409379.0000,0.0659,0.9585,0.4277,2.3804,7.9346,2.7466
409380.0000,0.0811,0.9575,0.4243,2.3193,8.6670,2.5635
409381.0000,0.1011,0.9536,0.4175,2.5635,10.4370,3.1738
409382.0000,0.1133,0.9531,0.4111,2.8687,12.4512,4.0283
409383.0000,0.1230,0.9585,0.4077,3.1128,14.7705,5.4932
409384.0000,0.1460,0.9653,0.3979,3.4790,18.4937,7.2632
409385.0000,0.1694,0.9697,0.3955,3.3569,21.9727,9.1553
409386.0000,0.2012,0.9751,0.3965,3.4180,26.5503,11.2915
409387.0000,0.2466,0.9736,0.3828,3.3569,34.4849,14.6484
409388.0000,0.2749,0.9648,0.3760,3.6621,41.8091,17.5171
409389.0000,0.2998,0.9565,0.3667,4.6387,50.1709,20.8130
409390.0000,0.3428,0.9624,0.3589,6.1035,62.3779,25.7568
409391.0000,0.3794,0.9761,0.3569,7.2632,72.8149,29.9683
409392.0000,0.4229,0.9917,0.3555,8.1177,84.4727,34.3628
409393.0000,0.4668,0.9844,0.3403,8.5449,101.9287,40.8325
409394.0000,0.4868,0.9741,0.3237,9.6436,116.3940,45.7153
409395.0000,0.4990,0.9663,0.3101,11.1084,131.7139,50.4150
409396.0000,0.5151,0.9829,0.2886,13.4888,152.6489,56.8848
409397.0000,0.5234,1.0063,0.2729,15.0146,168.8232,61.8896
409398.0000,0.5234,1.0342,0.2554,15.6860,185.0586,67.0166
409399.0000,0.5200,1.0439,0.2085,17.5781,207.0923,74.0967
409400.0000,0.5166,1.0308,0.1685,18.7378,223.6938,79.4678
409401.0000,0.4966,1.0161,0.1260,20.7520,239.8071,84.9609
409402.0000,0.4785,1.0249,0.0820,23.9868,259.8877,92.7124
409403.0000,0.4819,1.0566,0.0474,26.0010,274.4751,98.8159
409404.0000,0.4956,1.1030,0.0063,27.2217,289.2456,104.6143
409405.0000,0.5176,1.1431,-0.0596,28.0151,310.7300,111.7554
409406.0000,0.5181,1.1499,-0.1123,27.9541,327.6978,116.8823
409407.0000,0.5073,1.1509,-0.1753,28.7476,344.5435,121.9482
409408.0000,0.4956,1.1655,-0.2437,29.7241,365.6006,129.7607
409409.0000,0.5029,1.1855,-0.2954,30.9448,380.7373,135.8032
409410.0000,0.5288,1.2236,-0.3613,31.5552,396.1182,142.7002
409411.0000,0.5786,1.2803,-0.4604,32.0435,418.6401,151.7944
409412.0000,0.6040,1.3096,-0.5591,32.1655,437.4390,158.0200
409413.0000,0.6040,1.3223,-0.6553,32.5317,457.5195,163.5742
409414.0000,0.5361,1.3325,-0.7695,33.5693,483.2764,170.2881
409415.0000,0.4478,1.3291,-0.8442,35.7056,498.9624,175.5981
409416.0000,0.3545,1.3271,-0.8916,37.6587,510.1929,181.0303
409417.0000,0.2505,1.3315,-0.9160,41.3818,518.9819,186.4624
409418.0000,0.1973,1.3462,-0.9321,44.7998,522.3999,188.5376
409419.0000,0.1533,1.3706,-0.9263,46.0815,523.6816,189.1479
409420.0000,0.1050,1.3618,-0.9287,48.3398,524.1089,187.8662
409421.0000,0.0557,1.3086,-0.9302,50.5371,522.8882,185.6689
409422.0000,-0.0098,1.2417,-0.8989,53.7720,520.0195,181.9458
409423.0000,-0.1362,1.1787,-0.8140,60.7300,511.2915,174.6216
409424.0000,-0.2402,1.1621,-0.7554,66.6504,499.6338,167.9077
409425.0000,-0.3457,1.1592,-0.6558,73.7915,479.0649,156.0059
409426.0000,-0.4253,1.1597,-0.5811,78.1860,461.7920,143.9209
409427.0000,-0.5068,1.1816,-0.4941,80.9937,442.9321,128.9673
409428.0000,-0.6440,1.2383,-0.3271,81.4209,415.1611,104.3701
409429.0000,-0.8115,1.2769,-0.1948,78.6133,390.5029,83.3740
409430.0000,-1.0010,1.2974,-0.0723,72.7539,359.0088,62.5000
409431.0000,-1.2329,1.3198,0.0952,60.8521,304.4434,38.7573
409432.0000,-1.3564,1.3257,0.2051,49.5605,258.5449,24.4751
409433.0000,-1.4072,1.3438,0.2988,36.1328,206.7871,15.8081
409434.0000,-1.3247,1.3140,0.4180,18.4937,137.2070,10.8643
409435.0000,-1.1484,1.1948,0.4985,7.8735,89.7217,8.1177
