timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
405855.0000,0.1357,0.9541,0.3779,-5.7983,31.6772,-2.7466
405856.0000,0.1079,0.9482,0.3799,-5.1270,30.5176,-2.2583
405857.0000,0.0947,0.9517,0.3804,-4.2114,29.0527,-2.4414
405858.0000,0.0859,0.9668,0.3896,-3.4790,26.9775,-2.5635
405859.0000,0.0938,0.9878,0.3931,-2.9907,24.4751,-3.4180
405860.0000,0.1089,0.9985,0.3960,-3.1738,23.0103,-3.9062
405861.0000,0.1274,0.9995,0.4014,-3.6621,22.2168,-4.2114
405862.0000,0.1455,0.9839,0.3965,-4.2725,22.3389,-4.2725
405863.0000,0.1499,0.9673,0.3921,-4.6997,22.9492,-4.1504
405864.0000,0.1475,0.9604,0.3940,-4.8828,23.5596,-3.7842
405865.0000,0.1504,0.9585,0.3955,-4.7607,23.9868,-3.0518
405866.0000,0.1641,0.9570,0.3940,-4.5166,24.4141,-2.2583
405867.0000,0.1772,0.9502,0.3901,-3.9673,25.2075,-1.0986
405868.0000,0.1821,0.9424,0.3872,-3.1128,26.9165,0.8545
405869.0000,0.1758,0.9473,0.3848,-2.5024,27.9541,2.2583
405870.0000,0.1636,0.9580,0.3892,-1.5869,28.6865,3.4790
405871.0000,0.1597,0.9741,0.3989,-1.2207,28.9307,5.1880
405872.0000,0.1665,0.9800,0.4009,-1.4038,29.1138,6.1035
405873.0000,0.1816,0.9751,0.4009,-1.8921,29.6631,6.9580
405874.0000,0.2017,0.9585,0.3950,-2.1362,31.4331,8.3008
405875.0000,0.2104,0.9600,0.3979,-2.2583,33.3252,9.3384
405876.0000,0.2109,0.9668,0.4038,-2.1362,34.9731,10.4370
405877.0000,0.2139,0.9658,0.4058,-1.8311,36.9263,12.1460
405878.0000,0.2236,0.9624,0.4106,-1.7700,38.2080,13.2446
405879.0000,0.2388,0.9546,0.4058,-1.4038,39.8560,14.2212
405880.0000,0.2563,0.9482,0.4033,-1.2817,43.0908,14.8926
405881.0000,0.2700,0.9468,0.4062,-0.9766,46.4478,15.3198
405882.0000,0.2842,0.9468,0.4067,-0.6714,50.1709,15.5029
405883.0000,0.3042,0.9438,0.4038,0.0000,56.0303,15.9302
405884.0000,0.3125,0.9365,0.4014,0.9766,60.9741,16.6626
405885.0000,0.3208,0.9331,0.3984,1.9531,66.1621,17.7002
405886.0000,0.3237,0.9360,0.3975,3.6011,73.0591,19.7144
405887.0000,0.3081,0.9302,0.3906,5.0659,78.2471,21.4233
405888.0000,0.2856,0.9292,0.3838,6.7139,82.8857,23.0713
405889.0000,0.2603,0.9360,0.3862,8.3008,87.6465,24.7192
405890.0000,0.2520,0.9497,0.3809,8.8501,90.6982,25.6348
405891.0000,0.2725,0.9546,0.3823,9.0942,94.1772,26.2451
405892.0000,0.3013,0.9570,0.3711,8.9722,100.0977,27.0996
405893.0000,0.3164,0.9551,0.3550,9.6436,106.1401,27.8320
405894.0000,0.3159,0.9478,0.3550,10.0098,112.5488,28.8696
405895.0000,0.2842,0.9390,0.3462,11.1084,120.3003,30.6396
405896.0000,0.2554,0.9312,0.3350,12.7563,124.9390,32.3486
405897.0000,0.2451,0.9263,0.3301,14.3433,128.4790,34.2407
405898.0000,0.2603,0.9395,0.3203,16.9067,133.4229,36.6821
405899.0000,0.2866,0.9590,0.3149,18.3716,137.8784,38.8184
405900.0000,0.3096,0.9868,0.3013,19.1040,143.6157,41.1987
405901.0000,0.3149,1.0015,0.2852,19.7144,152.5879,44.4946
405902.0000,0.2925,0.9980,0.2715,19.8975,159.3018,47.3633
405903.0000,0.2612,0.9858,0.2646,20.4468,164.9170,49.9878
405904.0000,0.2061,0.9727,0.2544,21.7285,169.7388,53.3447
405905.0000,0.1846,0.9790,0.2476,23.0713,171.6919,55.6641
405906.0000,0.1880,0.9897,0.2451,24.5361,173.1567,57.6782
405907.0000,0.2129,1.0073,0.2378,25.9399,175.5981,60.1807
405908.0000,0.2271,1.0132,0.2231,26.8555,178.5278,61.5845
405909.0000,0.2227,1.0127,0.2085,27.2827,181.8848,62.9272
405910.0000,0.1924,1.0181,0.2051,27.8320,185.8521,64.0869
405911.0000,0.1626,1.0298,0.2070,28.4424,187.3169,64.5142
405912.0000,0.1470,1.0356,0.2080,28.6865,187.4390,65.1245
405913.0000,0.1602,1.0444,0.2036,28.8086,187.1948,65.8569
405914.0000,0.1831,1.0464,0.1929,28.5034,187.6831,66.4062
405915.0000,0.2012,1.0439,0.1860,27.9541,188.9038,66.8945
405916.0000,0.1860,1.0386,0.1694,27.7100,191.3452,66.9556
405917.0000,0.1519,1.0337,0.1665,28.0762,192.3218,66.7114
405918.0000,0.1030,1.0215,0.1685,28.5645,191.5283,65.9790
405919.0000,0.0503,0.9971,0.1655,29.9072,187.2559,64.5752
405920.0000,0.0474,0.9912,0.1655,31.3110,182.4951,63.1714
405921.0000,0.0811,1.0054,0.1724,32.5317,177.8564,62.1948
405922.0000,0.1602,1.0337,0.1841,33.5083,173.8281,61.7065
405923.0000,0.2114,1.0464,0.1777,33.7524,173.3398,61.5845
405924.0000,0.2378,1.0405,0.1743,33.5693,174.5605,61.2793
405925.0000,0.2339,1.0264,0.1655,32.9590,177.2461,59.7534
405926.0000,0.2036,1.0176,0.1748,32.8979,178.8940,57.8613
405927.0000,0.1870,1.0229,0.1792,32.5928,178.9551,57.2510
405928.0000,0.2432,1.0308,0.1724,32.1045,178.7720,57.1899
405929.0000,0.2749,1.0435,0.1680,31.2500,180.6641,56.0913
405930.0000,0.2876,1.0625,0.1670,30.0293,183.8989,55.4810
405931.0000,0.3013,1.0679,0.1660,28.3203,188.5986,54.9316
405932.0000,0.2954,1.0527,0.1558,27.1606,192.4438,54.4434
405933.0000,0.2612,1.0244,0.1494,26.3672,196.7163,53.7720
405934.0000,0.2407,1.0234,0.1431,26.1841,198.1812,53.5278
405935.0000,0.2305,1.0298,0.1450,26.0010,199.1577,53.6499
405936.0000,0.2285,1.0420,0.1460,25.3296,199.9512,54.0161
