timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
429958.0000,-0.0864,0.9297,0.5190,6.7749,-4.3335,1.7090
429959.0000,-0.0835,0.9277,0.5181,6.2256,-4.1504,1.2207
429960.0000,-0.0840,0.9277,0.5176,5.7983,-4.0894,0.7935
429961.0000,-0.0786,0.9263,0.5176,5.5542,-3.9062,0.6104
429962.0000,-0.0728,0.9258,0.5146,5.2490,-3.5400,0.5493
429963.0000,-0.0703,0.9287,0.5122,5.0659,-3.2959,0.6714
429964.0000,-0.0708,0.9297,0.5098,4.8828,-2.9297,0.7935
429965.0000,-0.0732,0.9326,0.5107,4.5776,-2.6855,0.7935
429966.0000,-0.0757,0.9316,0.5088,4.3335,-2.5024,0.7324
429967.0000,-0.0771,0.9302,0.5112,3.9673,-2.1362,0.3662
429968.0000,-0.0815,0.9312,0.5117,3.4790,-1.7700,0.0000
429969.0000,-0.0845,0.9312,0.5127,3.1738,-1.3428,-0.3662
429970.0000,-0.0869,0.9253,0.5117,2.9907,-1.0376,-0.9155
429971.0000,-0.0962,0.9248,0.5127,2.8076,-0.8545,-1.4038
429972.0000,-0.1045,0.9272,0.5176,2.8076,-1.0986,-1.7090
429973.0000,-0.1064,0.9277,0.5205,2.6855,-1.6479,-1.9531
429974.0000,-0.0991,0.9307,0.5171,2.6245,-2.1362,-2.0142
429975.0000,-0.0942,0.9302,0.5190,2.5635,-2.4414,-1.9531
429976.0000,-0.0918,0.9253,0.5215,2.5635,-2.7466,-1.4648
429977.0000,-0.0830,0.9272,0.5229,2.3193,-2.6245,-0.9766
429978.0000,-0.0767,0.9307,0.5215,2.0752,-2.5635,-0.3662
429979.0000,-0.0762,0.9272,0.5225,1.8311,-2.4414,0.2441
429980.0000,-0.0767,0.9219,0.5195,1.6479,-2.1973,1.2817
429981.0000,-0.0791,0.9150,0.5190,1.8311,-2.3804,1.8311
429982.0000,-0.0840,0.9106,0.5151,2.0752,-2.5024,2.1973
429983.0000,-0.0859,0.9077,0.5127,2.8076,-2.9907,2.3193
429984.0000,-0.0859,0.9092,0.5122,3.0518,-3.6011,2.1973
429985.0000,-0.0889,0.9204,0.5137,3.5400,-4.0894,2.0752
429986.0000,-0.0864,0.9229,0.5142,3.7231,-4.5166,1.7700
429987.0000,-0.0840,0.9229,0.5122,3.7842,-4.9438,1.5869
