timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
438014.0000,0.0244,0.9258,0.4917,1.2207,2.3804,-4.0283
438015.0000,0.0146,0.9292,0.4946,1.5869,2.6855,-3.6011
438016.0000,0.0068,0.9287,0.4917,1.7090,2.7466,-2.8687
438017.0000,0.0015,0.9321,0.4907,1.7700,2.2583,-2.0752
438018.0000,-0.0024,0.9399,0.4917,1.7090,1.5259,-1.2817
438019.0000,0.0015,0.9526,0.4951,1.6479,0.9766,-1.0376
438020.0000,0.0024,0.9604,0.4976,1.3428,0.6714,-0.9766
438021.0000,0.0024,0.9541,0.4961,0.6714,0.3662,-1.2207
438022.0000,0.0020,0.9458,0.4927,0.3052,0.0000,-1.5869
438023.0000,-0.0015,0.9453,0.4927,0.1221,-0.3052,-1.9531
438024.0000,-0.0024,0.9502,0.4995,-0.0610,-0.7935,-2.5635
438025.0000,-0.0034,0.9497,0.5024,-0.2441,-1.3428,-2.9907
438026.0000,-0.0024,0.9453,0.5005,-0.4272,-1.7090,-3.0518
438027.0000,-0.0015,0.9351,0.5015,-0.6104,-2.1973,-3.1738
438028.0000,-0.0054,0.9297,0.5000,-0.3662,-2.5635,-3.2349
438029.0000,-0.0107,0.9263,0.5039,-0.1831,-3.0518,-3.2349
438030.0000,-0.0151,0.9268,0.4995,0.3662,-3.8452,-3.3569
438031.0000,-0.0132,0.9272,0.4995,0.7324,-4.5776,-3.6621
438032.0000,-0.0127,0.9268,0.4976,1.1597,-5.2490,-3.9062
438033.0000,-0.0195,0.9292,0.4951,1.7700,-6.0425,-4.4556
438034.0000,-0.0298,0.9272,0.4917,2.0142,-6.8970,-4.8218
438035.0000,-0.0439,0.9282,0.4980,2.3804,-7.9956,-5.4321
438036.0000,-0.0591,0.9292,0.4990,2.8687,-10.1929,-6.6528
438037.0000,-0.0723,0.9404,0.5034,2.9907,-12.2070,-7.5684
438038.0000,-0.0806,0.9536,0.5063,3.0518,-14.5264,-8.4839
438039.0000,-0.0991,0.9644,0.5068,2.7466,-18.4326,-9.3994
438040.0000,-0.1206,0.9644,0.5020,2.2583,-22.3389,-9.8267
438041.0000,-0.1455,0.9604,0.4951,1.8921,-27.2217,-10.3760
438042.0000,-0.1836,0.9502,0.4878,1.7700,-35.1562,-11.2305
438043.0000,-0.2129,0.9482,0.4805,1.8921,-42.3584,-12.2070
438044.0000,-0.2432,0.9609,0.4795,1.7700,-50.3540,-14.0381
438045.0000,-0.2720,0.9854,0.4790,1.1597,-62.8052,-16.9678
438046.0000,-0.2759,0.9966,0.4756,0.2441,-72.9370,-19.3481
438047.0000,-0.2681,0.9937,0.4648,-1.0986,-83.3130,-21.7285
438048.0000,-0.2554,0.9707,0.4478,-2.2583,-96.8628,-24.9634
438049.0000,-0.2524,0.9556,0.4316,-2.9907,-106.5674,-27.1606
438050.0000,-0.2588,0.9482,0.4146,-3.7231,-116.6382,-29.1748
438051.0000,-0.2603,0.9438,0.3950,-3.7842,-130.4932,-31.9824
438052.0000,-0.2534,0.9492,0.3823,-4.2725,-141.0522,-33.8745
438053.0000,-0.2373,0.9609,0.3643,-4.0894,-151.3672,-35.8887
438054.0000,-0.2144,0.9839,0.3501,-4.6387,-164.5508,-38.4521
