timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
443213.0000,0.3960,1.0430,0.0703,39.0015,283.2031,90.1489
443214.0000,0.3745,1.1084,0.0815,37.5977,293.0908,94.2993
443215.0000,0.3921,1.1587,0.0840,36.6211,299.6826,98.1445
443216.0000,0.4282,1.1797,0.0693,35.1562,307.0679,102.2339
443217.0000,0.4497,1.1489,0.0269,32.2266,318.9087,107.7271
443218.0000,0.4209,1.0825,-0.0054,31.1279,328.5522,111.5723
443219.0000,0.3335,1.0161,-0.0327,31.7993,336.9751,114.9902
443220.0000,0.1958,0.9639,-0.0293,35.1562,342.3462,117.4316
443221.0000,0.1445,0.9858,-0.0068,39.2456,342.7734,117.6147
443222.0000,0.1763,1.0498,0.0083,42.5415,342.5293,116.6382
443223.0000,0.2637,1.1128,0.0122,43.0908,345.3979,115.1123
443224.0000,0.2993,1.1069,-0.0093,43.5181,350.7080,114.5630
443225.0000,0.2598,1.0464,-0.0454,43.5791,356.5063,115.2344
443226.0000,0.1128,0.9551,-0.0815,46.4478,359.4360,117.0044
443227.0000,0.0054,0.9697,-0.0566,48.9502,356.0791,117.9810
443228.0000,-0.0288,1.0288,-0.0244,51.6357,349.2432,118.8354
443229.0000,0.0723,1.1309,0.0054,53.8330,341.4917,118.5913
443230.0000,0.1777,1.2051,0.0200,51.5137,340.3931,118.4692
443231.0000,0.2378,1.2280,0.0024,48.6450,343.4448,118.5913
443232.0000,0.1953,1.1660,-0.0620,45.2881,349.6094,118.8965
443233.0000,0.0542,1.0850,-0.0830,44.1895,350.9521,118.7134
443234.0000,-0.1030,1.0449,-0.0664,44.4336,346.3135,117.3096
443235.0000,-0.2441,1.0840,-0.0156,46.6309,332.5806,112.6709
443236.0000,-0.2603,1.1636,0.0264,46.8140,318.9087,107.3608
443237.0000,-0.1973,1.2163,0.0796,41.9312,305.4199,101.8677
443238.0000,-0.0669,1.2236,0.0854,38.0859,295.5933,94.4824
443239.0000,-0.0293,1.2085,0.0698,33.7524,292.4805,90.0879
443240.0000,-0.0962,1.1660,0.0483,30.0293,289.9170,86.9141
443241.0000,-0.2935,1.1113,0.0771,25.5737,280.7617,82.0923
443242.0000,-0.4263,1.1265,0.1123,22.9492,267.5781,77.3315
443243.0000,-0.4932,1.1855,0.1592,18.9209,249.6338,72.7539
443244.0000,-0.4170,1.2856,0.2407,9.7656,223.1445,68.7866
443245.0000,-0.2847,1.3179,0.2769,0.1221,206.6040,67.1997
443246.0000,-0.1812,1.2798,0.2900,-9.6436,195.3125,65.8569
443247.0000,-0.1704,1.1738,0.3130,-21.6675,185.1196,63.1104
443248.0000,-0.2456,1.0864,0.3491,-28.4424,175.7202,59.6924
443249.0000,-0.3208,1.0288,0.3789,-32.2266,163.0859,55.2979
443250.0000,-0.3232,0.9741,0.4180,-34.9731,142.3340,49.6826
443251.0000,-0.2446,0.9443,0.4463,-35.9497,126.8921,46.2036
443252.0000,-0.1616,0.9102,0.4702,-36.0107,114.3188,43.3350
443253.0000,-0.0928,0.8521,0.4995,-35.0952,100.6470,40.7715
443254.0000,-0.0674,0.8208,0.5220,-32.0435,91.9800,39.0015
443255.0000,-0.0532,0.7993,0.5361,-28.2593,83.5571,36.9873
443256.0000,-0.0337,0.7852,0.5513,-22.5830,72.6929,33.7524
443257.0000,-0.0054,0.7964,0.5596,-17.9443,65.3687,30.8838
443258.0000,0.0239,0.8130,0.5679,-13.9771,59.2651,27.7100
443259.0000,0.0508,0.8335,0.5688,-9.5215,52.9175,23.0713
443260.0000,0.0537,0.8423,0.5708,-6.8359,49.0112,19.7144
443261.0000,0.0405,0.8413,0.5723,-4.6387,44.7998,16.6016
443262.0000,0.0176,0.8462,0.5679,-2.1362,37.5366,12.7563
443263.0000,0.0146,0.8564,0.5625,-0.4272,31.3721,10.2539
443264.0000,0.0254,0.8672,0.5522,0.7935,25.2075,7.7515
