timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
435569.0000,0.0796,0.9600,0.4199,24.1089,164.0015,74.7070
435570.0000,0.0732,0.9590,0.4263,23.5596,160.0342,72.1436
435571.0000,0.0820,0.9663,0.4370,22.7661,154.7241,69.0308
435572.0000,0.0928,0.9805,0.4502,21.5454,150.5737,66.9556
435573.0000,0.1011,0.9888,0.4619,19.7144,146.4844,65.2466
435574.0000,0.1211,0.9673,0.4678,18.7378,141.7847,62.8662
435575.0000,0.1240,0.9443,0.4678,17.7002,138.4277,60.7300
435576.0000,0.1152,0.9258,0.4722,17.6392,135.1318,58.4106
435577.0000,0.0762,0.9092,0.4785,18.7988,129.3945,54.3213
435578.0000,0.0449,0.8936,0.4863,20.5688,124.0234,50.4761
435579.0000,0.0107,0.8989,0.4883,21.6064,117.1875,46.0205
435580.0000,0.0054,0.9126,0.4956,22.7661,106.2012,40.3442
435581.0000,0.0298,0.9268,0.4990,23.3765,98.1445,36.1328
435582.0000,0.0586,0.9375,0.4990,23.2544,90.8813,32.3486
435583.0000,0.0854,0.9434,0.4990,22.5830,82.5195,28.3203
435584.0000,0.0923,0.9497,0.4976,21.8506,76.6602,25.6958
435585.0000,0.0957,0.9546,0.5000,20.8130,70.9229,23.0103
435586.0000,0.1094,0.9541,0.5005,19.4702,63.2935,19.7144
435587.0000,0.1216,0.9463,0.4937,18.5547,58.2275,16.9678
435588.0000,0.1338,0.9346,0.4917,17.7002,53.5889,14.0991
435589.0000,0.1323,0.9214,0.4878,16.9067,48.1567,9.7656
435590.0000,0.1284,0.9155,0.4834,16.5405,44.0674,6.7749
435591.0000,0.1318,0.9180,0.4795,16.2964,39.7339,3.3569
435592.0000,0.1421,0.9268,0.4800,16.2964,34.3628,-1.4038
435593.0000,0.1538,0.9297,0.4722,16.1743,30.7007,-4.7607
435594.0000,0.1582,0.9263,0.4692,16.1133,27.5879,-7.8125
435595.0000,0.1548,0.9243,0.4644,15.5029,23.6816,-11.1694
435596.0000,0.1528,0.9233,0.4580,15.3809,20.8740,-13.3667
435597.0000,0.1519,0.9302,0.4551,14.8315,18.1885,-15.1367
435598.0000,0.1553,0.9346,0.4536,14.0991,14.7705,-17.3340
435599.0000,0.1499,0.9326,0.4468,13.5498,12.8174,-18.7378
435600.0000,0.1382,0.9331,0.4453,13.1226,10.9253,-20.0806
435601.0000,0.1196,0.9365,0.4526,12.3901,7.6904,-21.5454
435602.0000,0.1035,0.9404,0.4512,12.2070,5.1270,-22.3389
435603.0000,0.0957,0.9375,0.4507,11.6577,2.1362,-22.5220
435604.0000,0.1060,0.9365,0.4487,11.6577,-1.6479,-22.4609
435605.0000,0.1128,0.9434,0.4453,11.5967,-3.9062,-21.7896
435606.0000,0.1157,0.9531,0.4453,11.2305,-5.7373,-21.2402
435607.0000,0.1118,0.9683,0.4409,10.9253,-7.6904,-20.5688
435608.0000,0.1064,0.9761,0.4434,10.3760,-9.3384,-20.4468
435609.0000,0.0977,0.9800,0.4429,9.7046,-10.9253,-20.3857
435610.0000,0.0928,0.9829,0.4399,8.7280,-13.0005,-20.7520
435611.0000,0.0869,0.9912,0.4414,7.9346,-14.2822,-20.8740
435612.0000,0.0854,0.9951,0.4419,6.8970,-15.9302,-20.8740
435613.0000,0.0815,0.9907,0.4360,5.4321,-17.8223,-20.8130
435614.0000,0.0840,0.9849,0.4404,4.4556,-19.1650,-20.5688
435615.0000,0.0894,0.9863,0.4453,3.4790,-20.3857,-20.0806
435616.0000,0.0986,0.9888,0.4390,1.8921,-21.5454,-19.4702
435617.0000,0.0986,0.9922,0.4395,0.7324,-22.0947,-19.0430
435618.0000,0.0972,0.9897,0.4424,-0.4883,-22.5830,-18.8599
435619.0000,0.0903,0.9824,0.4517,-2.0752,-23.0713,-18.4326
435620.0000,0.0933,0.9697,0.4487,-3.0518,-23.7427,-18.2495
435621.0000,0.0947,0.9604,0.4536,-3.7842,-24.2310,-18.1274
435622.0000,0.0996,0.9531,0.4595,-4.3945,-24.7803,-17.9443
435623.0000,0.1035,0.9487,0.4624,-4.5776,-25.0244,-17.8833
435624.0000,0.1123,0.9424,0.4658,-4.8828,-25.0854,-17.5171
435625.0000,0.1260,0.9380,0.4658,-4.6387,-24.4141,-16.8457
435626.0000,0.1304,0.9346,0.4697,-4.6997,-23.6206,-16.1133
435627.0000,0.1289,0.9399,0.4771,-4.9438,-22.6440,-15.3809
435628.0000,0.1143,0.9463,0.4834,-5.3711,-21.7896,-14.6484
435629.0000,0.1060,0.9399,0.4854,-5.4321,-21.3013,-14.4043
435630.0000,0.0991,0.9326,0.4814,-5.3711,-21.1182,-14.1602
435631.0000,0.0986,0.9272,0.4863,-4.8218,-20.8130,-14.2212
435632.0000,0.0933,0.9302,0.4946,-4.3335,-20.4468,-14.2822
435633.0000,0.0869,0.9351,0.4927,-3.9673,-20.1416,-14.3433
435634.0000,0.0801,0.9395,0.4922,-3.6011,-20.1416,-14.2212
435635.0000,0.0747,0.9385,0.4941,-3.1738,-20.3857,-13.9771
435636.0000,0.0693,0.9346,0.4922,-2.8687,-20.9351,-13.7329
435637.0000,0.0640,0.9321,0.4902,-2.5635,-21.4233,-13.3667
435638.0000,0.0640,0.9380,0.4907,-2.2583,-22.0337,-12.9395
435639.0000,0.0640,0.9458,0.4907,-2.1973,-22.5220,-12.3291
435640.0000,0.0591,0.9502,0.4932,-2.3804,-22.9492,-11.9019
435641.0000,0.0513,0.9429,0.4907,-2.5024,-23.7427,-11.4136
435642.0000,0.0342,0.9238,0.4824,-2.3804,-25.2075,-11.0474
435643.0000,0.0254,0.9160,0.4795,-1.8311,-26.8555,-10.9863
435644.0000,0.0093,0.9175,0.4805,-1.0376,-28.8696,-11.1084
435645.0000,-0.0059,0.9282,0.4731,-0.3662,-32.2876,-11.5967
435646.0000,-0.0117,0.9492,0.4717,-0.1831,-35.3394,-11.9629
435647.0000,-0.0122,0.9697,0.4814,-0.6714,-38.8184,-12.4512
435648.0000,0.0024,0.9780,0.4854,-1.5869,-43.2129,-13.0005
435649.0000,0.0142,0.9648,0.4800,-2.5635,-46.0205,-13.7939
435650.0000,0.0273,0.9507,0.4741,-3.1128,-48.3398,-15.0146
435651.0000,0.0181,0.9385,0.4692,-3.0518,-51.0254,-16.9067
435652.0000,0.0020,0.9434,0.4697,-2.5635,-53.7109,-18.3716
435653.0000,-0.0244,0.9438,0.4648,-2.2583,-56.7627,-20.0195
435654.0000,-0.0581,0.9492,0.4570,-2.1973,-62.6831,-21.7285
435655.0000,-0.0693,0.9575,0.4575,-2.3193,-67.9932,-23.0713
435656.0000,-0.0659,0.9712,0.4575,-2.8076,-73.6694,-24.1089
435657.0000,-0.0361,0.9819,0.4521,-3.9673,-80.6885,-25.5127
435658.0000,-0.0181,0.9810,0.4463,-4.7607,-84.7778,-26.4282
435659.0000,-0.0166,0.9736,0.4419,-5.3101,-88.6230,-27.2827
435660.0000,-0.0430,0.9692,0.4351,-5.8594,-94.4214,-28.3203
435661.0000,-0.0605,0.9673,0.4272,-5.9204,-99.8535,-29.6021
435662.0000,-0.0757,0.9697,0.4238,-5.8594,-105.6519,-30.9448
435663.0000,-0.0884,0.9722,0.4141,-6.5308,-114.1357,-33.0811
435664.0000,-0.0938,0.9810,0.4067,-7.0801,-120.8496,-34.8511
435665.0000,-0.0884,0.9829,0.3994,-7.8125,-127.7466,-36.3770
435666.0000,-0.0674,0.9761,0.3872,-8.6060,-136.7798,-38.3301
435667.0000,-0.0488,0.9717,0.3760,-8.8501,-142.8223,-39.8560
435668.0000,-0.0386,0.9697,0.3667,-8.9722,-148.1934,-41.0156
435669.0000,-0.0425,0.9775,0.3555,-9.2773,-155.6396,-42.4805
435670.0000,-0.0420,0.9839,0.3491,-9.6436,-161.7432,-43.5181
435671.0000,-0.0337,0.9976,0.3413,-10.3760,-167.6636,-44.5557
435672.0000,-0.0049,1.0112,0.3267,-11.7798,-174.9878,-46.0205
435673.0000,0.0210,1.0176,0.3174,-12.6953,-179.4434,-46.9971
435674.0000,0.0400,1.0303,0.3164,-14.5874,-183.4717,-47.7905
435675.0000,0.0454,1.0317,0.3066,-16.8457,-188.1714,-48.4009
435676.0000,0.0400,1.0249,0.3032,-19.0430,-191.9556,-49.1333
435677.0000,0.0381,1.0195,0.2974,-20.0806,-195.9229,-50.1709
435678.0000,0.0391,1.0229,0.2930,-22.3389,-201.6602,-52.0630
435679.0000,0.0532,1.0293,0.2793,-23.9258,-205.8105,-53.4668
435680.0000,0.0742,1.0386,0.2734,-26.0620,-209.3506,-54.9927
435681.0000,0.0942,1.0400,0.2681,-28.9307,-213.1348,-56.5186
435682.0000,0.0972,1.0327,0.2603,-30.8228,-215.7593,-57.6172
435683.0000,0.0967,1.0239,0.2510,-32.5317,-218.8110,-58.4106
435684.0000,0.1016,1.0215,0.2476,-34.2407,-222.8394,-60.1196
435685.0000,0.1162,1.0234,0.2456,-35.1562,-225.7690,-61.7676
435686.0000,0.1396,1.0259,0.2412,-36.3159,-228.1494,-63.2324
435687.0000,0.1855,1.0288,0.2427,-37.8418,-229.8584,-65.0635
435688.0000,0.2192,1.0288,0.2461,-38.5742,-229.4922,-66.5283
435689.0000,0.2393,1.0361,0.2500,-39.9170,-228.1494,-67.7490
435690.0000,0.2476,1.0269,0.2603,-41.4429,-225.5249,-68.6646
435691.0000,0.2241,1.0122,0.2593,-42.2974,-224.1821,-69.2139
435692.0000,0.2241,1.0059,0.2656,-43.2739,-223.3276,-69.2139
435693.0000,0.2222,0.9961,0.2681,-43.5181,-221.7407,-70.2515
435694.0000,0.2266,0.9985,0.2729,-43.7012,-220.5811,-71.2280
435695.0000,0.2490,1.0098,0.2812,-44.0063,-219.2383,-71.6553
435696.0000,0.2939,1.0156,0.2954,-45.4712,-216.1255,-71.7163
435697.0000,0.3091,1.0073,0.3022,-46.4478,-212.4023,-70.9229
435698.0000,0.2988,0.9878,0.3096,-47.2412,-208.7402,-70.1294
435699.0000,0.2798,0.9590,0.3154,-46.9360,-204.5898,-68.5425
435700.0000,0.2739,0.9590,0.3198,-47.3633,-202.6978,-67.3218
435701.0000,0.2896,0.9604,0.3315,-46.8750,-200.6836,-66.0400
435702.0000,0.3208,0.9653,0.3389,-46.5088,-196.7163,-63.6597
435703.0000,0.3477,0.9507,0.3457,-46.0815,-192.9321,-62.0728
435704.0000,0.3604,0.9385,0.3525,-45.0439,-188.2935,-60.2417
435705.0000,0.3569,0.9248,0.3667,-44.9829,-182.0679,-57.6172
435706.0000,0.3345,0.9160,0.3838,-45.1660,-178.1006,-56.2134
435707.0000,0.3188,0.9048,0.3877,-43.7012,-174.6216,-55.2979
435708.0000,0.3037,0.9106,0.3994,-42.6025,-171.2646,-53.8940
435709.0000,0.3110,0.9204,0.4116,-41.3818,-169.0063,-53.1616
435710.0000,0.3228,0.9297,0.4170,-41.1987,-167.1143,-52.3682
435711.0000,0.3408,0.9199,0.4253,-40.7715,-163.8794,-52.0020
435712.0000,0.3486,0.8965,0.4214,-39.1235,-160.4004,-52.3682
435713.0000,0.3369,0.8848,0.4214,-38.3301,-157.2266,-52.7954
435714.0000,0.3149,0.8789,0.4326,-36.4990,-153.6865,-53.9551
435715.0000,0.3032,0.8799,0.4321,-35.2783,-151.8555,-54.7485
435716.0000,0.3105,0.8818,0.4292,-33.9355,-150.5737,-55.2979
435717.0000,0.3589,0.8955,0.4277,-31.8604,-147.2168,-55.4199
435718.0000,0.4028,0.9058,0.4365,-30.8838,-142.8833,-54.8706
435719.0000,0.4277,0.9072,0.4443,-29.8462,-137.0850,-53.8940
435720.0000,0.4185,0.8887,0.4478,-28.8086,-127.9297,-52.5513
435721.0000,0.3818,0.8657,0.4561,-27.4658,-121.5820,-52.4292
435722.0000,0.3306,0.8613,0.4702,-26.1230,-116.6992,-53.1006
435723.0000,0.2876,0.8926,0.4766,-24.5972,-112.9150,-53.6499
435724.0000,0.2891,0.9292,0.4780,-23.1934,-111.4502,-52.6123
435725.0000,0.3174,0.9468,0.4839,-21.5454,-110.2905,-50.1099
435726.0000,0.3701,0.9380,0.4702,-19.6533,-108.1543,-44.9829
435727.0000,0.3999,0.9375,0.4663,-18.5547,-104.9194,-41.8701
435728.0000,0.4175,0.9468,0.4727,-17.5171,-98.6328,-39.7949
435729.0000,0.4297,0.9458,0.4800,-16.9067,-93.0176,-39.0625
435730.0000,0.4312,0.9214,0.4893,-16.9678,-86.2427,-38.3911
435731.0000,0.3940,0.8677,0.4868,-16.1133,-77.2095,-37.1094
435732.0000,0.3379,0.8418,0.4839,-14.6484,-71.5332,-35.8887
435733.0000,0.2769,0.8706,0.4805,-13.5498,-67.8101,-34.7290
435734.0000,0.2578,0.9536,0.4829,-12.8174,-65.5518,-31.7993
435735.0000,0.2998,0.9688,0.5063,-12.6343,-63.9038,-28.6865
435736.0000,0.3247,0.9263,0.5137,-11.6577,-60.7910,-26.0010
435737.0000,0.2847,0.8579,0.5186,-9.5825,-56.3965,-23.7427
435738.0000,0.2402,0.8506,0.5254,-7.2021,-54.8096,-23.4985
435739.0000,0.2192,0.8813,0.5220,-5.0659,-55.1147,-23.3765
435740.0000,0.2510,0.9028,0.5039,-2.8076,-55.4810,-22.4609
435741.0000,0.2939,0.8936,0.4893,-1.6479,-54.7485,-20.8740
435742.0000,0.3174,0.8843,0.4756,-0.7324,-52.7344,-18.3105
435743.0000,0.3188,0.8887,0.4712,1.3428,-50.0488,-15.5640
435744.0000,0.3267,0.9277,0.4585,2.8076,-48.9502,-14.4043
435745.0000,0.3608,0.9634,0.4512,3.1738,-47.3022,-13.8550
435746.0000,0.4028,0.9438,0.4473,3.1128,-42.8467,-14.7095
435747.0000,0.4058,0.8882,0.4492,3.2349,-38.0249,-16.3574
435748.0000,0.3672,0.8394,0.4541,3.9062,-33.3252,-18.8599
435749.0000,0.3101,0.8286,0.4683,6.5918,-30.3345,-22.5220
435750.0000,0.3179,0.8794,0.4614,8.9722,-30.2734,-23.6206
435751.0000,0.3823,0.9531,0.4258,9.2773,-29.3579,-22.3389
435752.0000,0.4839,1.0127,0.4111,7.5073,-23.7427,-18.1885
435753.0000,0.5054,0.9888,0.4136,5.6763,-16.2964,-15.2588
435754.0000,0.4321,0.9272,0.4067,4.3335,-8.9111,-12.7563
435755.0000,0.3062,0.8784,0.4214,3.4790,-5.0049,-9.5825
435756.0000,0.2607,0.8853,0.4395,4.1504,-6.2866,-8.4229
435757.0000,0.2964,0.9058,0.4448,5.0049,-8.7280,-7.5073
435758.0000,0.4087,0.9116,0.4351,5.0049,-8.1787,-6.2256
435759.0000,0.4458,0.8887,0.4395,4.5166,-3.9062,-5.0659
435760.0000,0.3970,0.8618,0.4453,4.6387,1.4648,-3.7842
435761.0000,0.2925,0.9082,0.4453,5.4932,4.3945,-3.3569
435762.0000,0.2500,0.9590,0.4526,6.4087,2.9297,-4.0283
435763.0000,0.2783,0.9785,0.4390,6.5918,0.6104,-4.0894
435764.0000,0.3623,0.9556,0.4180,4.9438,1.0376,-3.1738
435765.0000,0.3779,0.9141,0.4185,3.2959,4.8218,-2.8687
435766.0000,0.3179,0.8916,0.4419,2.8687,8.6670,-3.1738
435767.0000,0.2173,0.9214,0.4688,3.5400,9.3384,-3.8452
435768.0000,0.2026,0.9541,0.4697,4.5776,6.9580,-2.5024
435769.0000,0.2549,0.9648,0.4546,5.3101,4.9438,0.3662
435770.0000,0.3286,0.9531,0.4370,4.8828,6.2256,2.9297
435771.0000,0.3252,0.9297,0.4336,4.2114,9.5215,2.9907
435772.0000,0.2700,0.9141,0.4312,3.9062,11.9629,2.1362
435773.0000,0.2339,0.9058,0.4487,4.5166,11.4136,1.0376
435774.0000,0.2617,0.9097,0.4482,5.6152,9.8267,1.4648
435775.0000,0.3066,0.9277,0.4302,6.2866,9.8267,3.4180
435776.0000,0.3354,0.9434,0.4297,6.3477,13.1226,6.8970
435777.0000,0.2988,0.9365,0.4355,6.4087,15.9302,8.4229
435778.0000,0.2427,0.9316,0.4336,6.3477,16.6626,8.3618
435779.0000,0.2012,0.9346,0.4331,6.1646,14.7095,6.5308
435780.0000,0.2075,0.9404,0.4287,6.1646,12.4512,5.0049
435781.0000,0.2461,0.9443,0.4282,5.8594,10.8643,4.2114
435782.0000,0.2871,0.9463,0.4224,5.1880,11.2915,4.2114
435783.0000,0.2954,0.9385,0.4282,4.6997,12.5732,5.0659
435784.0000,0.2837,0.9277,0.4302,4.5776,13.7939,6.2256
435785.0000,0.2485,0.9150,0.4297,4.6387,14.2822,7.2632
435786.0000,0.2354,0.9170,0.4321,4.6997,13.4277,7.0801
435787.0000,0.2427,0.9375,0.4287,4.3945,12.3901,5.9204
435788.0000,0.2754,0.9595,0.4375,3.8452,11.9629,3.6621
435789.0000,0.2925,0.9551,0.4365,3.3569,12.9395,2.3193
435790.0000,0.2925,0.9351,0.4380,2.6855,14.5264,1.3428
435791.0000,0.2612,0.9077,0.4507,2.5635,16.1133,1.5869
435792.0000,0.2358,0.8936,0.4580,3.1128,16.1133,2.5024
435793.0000,0.2192,0.9097,0.4561,3.8452,15.2588,2.9907
435794.0000,0.2246,0.9463,0.4536,4.4556,13.6719,2.9297
435795.0000,0.2412,0.9580,0.4487,4.5776,13.0005,2.3193
435796.0000,0.2632,0.9600,0.4458,4.4556,12.8784,2.1973
435797.0000,0.2769,0.9517,0.4395,3.7842,14.3433,2.2583
435798.0000,0.2573,0.9399,0.4419,3.0518,15.7471,2.2583
435799.0000,0.2217,0.9331,0.4375,2.8076,16.3574,2.2583
435800.0000,0.1855,0.9321,0.4443,2.6245,15.1978,1.6479
435801.0000,0.1758,0.9351,0.4429,2.8687,13.4277,0.8545
435802.0000,0.1880,0.9409,0.4336,2.9297,11.6577,0.8545
435803.0000,0.2251,0.9468,0.4355,3.0518,10.5591,1.9531
435804.0000,0.2441,0.9404,0.4370,2.9907,10.9863,3.2349
435805.0000,0.2510,0.9331,0.4351,3.2349,11.5967,4.3335
435806.0000,0.2427,0.9302,0.4390,3.9062,12.0850,5.0659
435807.0000,0.2417,0.9287,0.4360,4.3945,12.2070,5.1880
435808.0000,0.2544,0.9282,0.4341,5.1270,12.5732,5.2490
435809.0000,0.2734,0.9336,0.4214,5.2490,14.0381,5.5542
435810.0000,0.2783,0.9399,0.4087,5.1270,15.9302,6.2866
435811.0000,0.2734,0.9512,0.4058,4.6387,17.7002,7.2632
435812.0000,0.2593,0.9565,0.4102,4.2725,19.4092,8.4229
435813.0000,0.2666,0.9595,0.4087,4.0894,19.8364,8.9722
435814.0000,0.2886,0.9653,0.4072,3.8452,20.9351,9.7656
435815.0000,0.3232,0.9741,0.4038,3.4180,23.4985,10.4980
435816.0000,0.3384,0.9619,0.4067,2.9907,26.7944,10.7422
435817.0000,0.3232,0.9497,0.3994,2.5024,30.8838,11.1694
435818.0000,0.2900,0.9595,0.4062,1.9531,35.0952,11.6577
435819.0000,0.2793,0.9712,0.4077,1.7090,37.0483,12.4512
435820.0000,0.3027,0.9619,0.4102,1.7700,38.6963,13.7939
435821.0000,0.3472,0.9399,0.3989,1.7700,42.3584,17.2119
435822.0000,0.3667,0.9282,0.3975,1.5869,46.2646,19.8975
435823.0000,0.3730,0.9214,0.3945,1.5259,50.5981,22.2778
435824.0000,0.3667,0.9126,0.3984,1.4648,56.3965,24.3530
435825.0000,0.3560,0.9180,0.4087,1.6479,60.1807,24.8413
435826.0000,0.3569,0.9307,0.4224,1.8921,65.1245,24.4141
435827.0000,0.3535,0.9404,0.4282,2.2583,68.9697,23.7427
435828.0000,0.3530,0.9517,0.4380,2.6855,72.6318,23.5596
435829.0000,0.3677,0.9458,0.4448,3.7842,77.0264,25.0244
435830.0000,0.3809,0.9194,0.4385,5.0659,80.4443,27.2827
435831.0000,0.3877,0.8921,0.4321,6.3477,84.2896,29.9072
435832.0000,0.3882,0.8794,0.4272,8.1787,89.7217,33.8135
435833.0000,0.3867,0.8789,0.4307,9.8267,94.1772,36.3770
435834.0000,0.3892,0.8804,0.4355,11.7188,98.5718,38.4521
435835.0000,0.3960,0.8921,0.4458,14.5874,104.6753,41.0767
435836.0000,0.4019,0.9033,0.4565,16.8457,109.4971,42.5415
435837.0000,0.4043,0.9092,0.4644,19.1040,114.0137,43.7622
435838.0000,0.4248,0.9126,0.4688,21.7896,120.1172,45.5933
435839.0000,0.4546,0.9209,0.4678,23.4375,124.9390,47.0581
435840.0000,0.4937,0.9214,0.4702,24.5361,130.8594,48.8892
435841.0000,0.5464,0.9106,0.4761,26.3062,141.2354,52.0630
435842.0000,0.5513,0.8799,0.4614,28.1372,150.9399,54.5654
435843.0000,0.5103,0.8418,0.4434,30.7007,161.0107,56.9458
435844.0000,0.4131,0.8154,0.4307,36.0107,171.0205,59.1431
435845.0000,0.3530,0.8296,0.4214,40.6494,175.1099,60.0586
435846.0000,0.3325,0.8584,0.4180,45.2271,177.2461,60.4248
435847.0000,0.3657,0.9014,0.3955,50.0488,179.9316,60.3027
435848.0000,0.4033,0.9341,0.3765,52.0020,183.1665,60.4858
435849.0000,0.4341,0.9697,0.3633,52.5513,187.3169,60.7300
435850.0000,0.4570,1.0112,0.3374,51.5747,193.6646,61.2793
435851.0000,0.4590,1.0347,0.3262,49.5605,198.6084,61.7676
