timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
543666.0000,0.1284,0.9956,0.3530,0.9155,2.3193,-6.1646
543667.0000,0.1294,0.9927,0.3491,0.8545,2.6245,-6.5308
543668.0000,0.1216,0.9917,0.3481,0.6714,2.9907,-6.8970
543669.0000,0.1055,0.9937,0.3472,0.4272,3.3569,-7.6904
543670.0000,0.0947,0.9922,0.3501,0.0610,3.4790,-8.4839
543671.0000,0.0884,0.9893,0.3506,0.0000,3.3569,-9.2773
543672.0000,0.0864,0.9932,0.3569,-0.3052,3.3569,-10.0098
543673.0000,0.0845,0.9946,0.3530,-0.6104,3.4180,-10.4370
543674.0000,0.0850,0.9897,0.3540,-1.0986,3.2959,-10.4980
543675.0000,0.0801,0.9844,0.3525,-1.4038,3.4790,-10.3149
543676.0000,0.0723,0.9824,0.3530,-1.8311,3.8452,-10.4370
543677.0000,0.0605,0.9746,0.3550,-2.0142,3.9062,-10.4980
543678.0000,0.0488,0.9683,0.3530,-1.8921,3.7842,-10.4980
543679.0000,0.0381,0.9639,0.3555,-1.8311,3.5400,-10.6201
543680.0000,0.0317,0.9634,0.3540,-1.8311,3.2959,-10.6812
543681.0000,0.0273,0.9722,0.3599,-1.7700,3.1128,-11.0474
543682.0000,0.0210,0.9878,0.3691,-1.8311,2.9907,-11.3525
543683.0000,0.0132,0.9834,0.3716,-2.0142,2.5635,-11.4746
543684.0000,0.0176,0.9712,0.3667,-2.2583,1.9531,-11.5967
543685.0000,0.0181,0.9624,0.3608,-2.1362,2.0142,-11.8408
543686.0000,0.0107,0.9614,0.3608,-1.4648,2.1362,-11.9629
543687.0000,-0.0015,0.9717,0.3662,-0.6104,2.3193,-12.0850
543688.0000,-0.0068,0.9805,0.3667,-0.2441,2.1362,-12.6343
543689.0000,-0.0132,0.9858,0.3613,-0.0610,2.1362,-13.4277
543690.0000,-0.0142,0.9878,0.3604,-0.1221,1.8311,-14.5264
543691.0000,-0.0127,0.9873,0.3623,-0.1831,1.5869,-15.3198
543692.0000,-0.0103,0.9878,0.3579,-0.3662,1.5869,-15.7471
543693.0000,-0.0049,0.9897,0.3569,-0.4883,1.6479,-16.2964
543694.0000,0.0034,0.9927,0.3584,-0.6714,2.0752,-16.4795
543695.0000,0.0103,1.0005,0.3574,-0.7935,2.4414,-16.2354
543696.0000,0.0190,1.0088,0.3599,-1.2207,3.2349,-15.3809
543697.0000,0.0210,1.0044,0.3525,-1.6479,3.6621,-14.7095
543698.0000,0.0244,1.0024,0.3521,-2.0142,4.0894,-14.0991
543699.0000,0.0327,1.0010,0.3530,-2.6245,4.4556,-13.2446
543700.0000,0.0459,1.0044,0.3521,-2.8076,4.6387,-12.3901
543701.0000,0.0610,1.0132,0.3525,-3.1128,4.8218,-11.5967
543702.0000,0.0811,1.0220,0.3560,-3.4180,5.3101,-10.4370
543703.0000,0.0933,1.0244,0.3569,-3.8452,5.6763,-9.7046
543704.0000,0.1143,1.0186,0.3564,-4.1504,5.9204,-9.1553
543705.0000,0.1367,1.0088,0.3506,-4.4556,6.6528,-8.9722
543706.0000,0.1426,1.0034,0.3447,-4.5166,7.3242,-9.2163
543707.0000,0.1484,1.0020,0.3428,-4.3335,7.9956,-9.7656
543708.0000,0.1655,1.0127,0.3394,-4.2725,8.6060,-11.3525
543709.0000,0.1821,1.0278,0.3413,-4.3945,9.2163,-12.6343
543710.0000,0.2007,1.0396,0.3413,-4.8218,9.8877,-14.2822
543711.0000,0.2114,1.0347,0.3379,-5.7373,11.0474,-17.0898
543712.0000,0.2158,1.0278,0.3379,-6.7749,12.0850,-19.4702
543713.0000,0.2178,1.0249,0.3379,-7.6904,13.3057,-22.2168
543714.0000,0.2217,1.0278,0.3403,-9.1553,14.6484,-25.9399
543715.0000,0.2246,1.0254,0.3486,-10.3149,15.3809,-28.5645
543716.0000,0.2310,1.0234,0.3486,-11.3525,16.0522,-30.8838
543717.0000,0.2334,1.0127,0.3569,-12.6953,17.0898,-33.7524
543718.0000,0.2256,0.9971,0.3574,-13.3057,17.7002,-35.7056
543719.0000,0.2207,0.9795,0.3633,-13.6108,18.0054,-37.5366
543720.0000,0.2129,0.9502,0.3667,-13.4277,18.3105,-39.7949
543721.0000,0.2090,0.9307,0.3628,-13.1226,18.3716,-40.9546
543722.0000,0.2031,0.9155,0.3691,-12.5732,18.4326,-41.8091
543723.0000,0.1904,0.9116,0.3784,-11.2915,18.4326,-42.2363
543724.0000,0.1797,0.9087,0.3857,-10.3760,17.7002,-41.8701
543725.0000,0.1826,0.9019,0.3794,-9.3384,16.4185,-40.4053
543726.0000,0.1880,0.8931,0.3755,-7.8125,15.1978,-38.0249
543727.0000,0.1841,0.8950,0.3794,-6.7749,14.5264,-35.8887
543728.0000,0.1772,0.9023,0.3784,-5.6152,13.9160,-33.8135
543729.0000,0.1626,0.9058,0.3789,-4.5776,13.0615,-31.8604
543730.0000,0.1450,0.9092,0.3794,-3.9673,12.3291,-30.6396
543731.0000,0.1265,0.9126,0.3862,-2.9297,11.1694,-29.2358
543732.0000,0.1025,0.8921,0.3882,-1.7090,9.2773,-25.6348
543733.0000,0.0786,0.8799,0.3823,-0.3052,7.5684,-22.0947
543734.0000,0.0630,0.8848,0.3774,1.0376,5.7983,-18.3105
543735.0000,0.0513,0.9277,0.3882,3.2349,3.3569,-13.9160
543736.0000,0.0425,0.9653,0.3955,4.6387,1.7700,-10.8643
543737.0000,0.0225,0.9697,0.3877,5.1270,-0.1221,-7.2021
543738.0000,-0.0029,0.9683,0.3726,5.0659,-0.7324,-4.5166
543739.0000,-0.0342,1.0088,0.3799,5.1880,-0.7935,-2.1362
543740.0000,-0.0933,1.0288,0.3975,5.0049,-1.0986,0.6714
543741.0000,-0.1274,1.0156,0.3901,5.0659,-1.8311,2.1973
543742.0000,-0.1426,1.0186,0.3857,5.8594,-2.2583,2.3193
543743.0000,-0.1616,1.0513,0.3862,6.4087,-2.1973,0.9155
543744.0000,-0.1660,1.1367,0.4131,5.9204,-1.4648,-0.4272
543745.0000,-0.1792,1.2188,0.4585,4.8218,0.0610,-1.7700
543746.0000,-0.2227,1.2837,0.4888,2.1973,3.4180,-3.5400
543747.0000,-0.2900,1.3438,0.5352,0.4272,6.7139,-5.9814
543748.0000,-0.4004,1.3472,0.5859,-0.9766,9.7046,-8.9111
543749.0000,-0.5576,1.2124,0.5669,-1.5869,9.3994,-11.6577
543750.0000,-0.6338,1.0449,0.5015,-0.9155,6.1035,-11.4746
543751.0000,-0.6602,0.9097,0.4536,1.3428,1.6479,-8.9111
543752.0000,-0.6553,0.8589,0.4277,7.3242,-3.4790,-3.0518
543753.0000,-0.6387,0.8818,0.4126,11.4136,-6.3477,1.2207
543754.0000,-0.6274,0.9185,0.3906,14.8926,-7.5073,4.2725
543755.0000,-0.6396,1.0039,0.3843,18.1885,-7.7515,7.2632
543756.0000,-0.6504,1.0679,0.3823,20.3247,-8.4229,8.3618
