timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
489019.0000,0.1152,0.9844,0.3325,0.3662,0.1221,-0.6104
489020.0000,0.1147,0.9844,0.3345,0.3662,0.3052,-0.4272
489021.0000,0.1147,0.9844,0.3354,0.3052,0.4272,-0.5493
489022.0000,0.1133,0.9844,0.3354,0.2441,0.3662,-0.6104
489023.0000,0.1123,0.9844,0.3354,0.3052,0.4272,-0.6104
489024.0000,0.1138,0.9854,0.3350,0.2441,0.5493,-0.6714
489025.0000,0.1118,0.9839,0.3350,0.3052,0.5493,-0.9766
489026.0000,0.1113,0.9834,0.3369,0.2441,0.5493,-1.0376
489027.0000,0.1099,0.9824,0.3359,0.3052,0.4883,-1.0986
489028.0000,0.1108,0.9854,0.3369,0.2441,0.3662,-1.0376
489029.0000,0.1104,0.9854,0.3364,0.1831,0.2441,-1.1597
489030.0000,0.1128,0.9868,0.3359,0.2441,0.1831,-0.9766
489031.0000,0.1123,0.9868,0.3364,0.0610,0.1221,-0.9766
489032.0000,0.1118,0.9888,0.3350,0.0000,0.1221,-1.0986
489033.0000,0.1123,0.9878,0.3350,0.0000,0.1221,-1.1597
489034.0000,0.1123,0.9858,0.3359,-0.1221,0.1221,-1.2207
489035.0000,0.1143,0.9849,0.3354,-0.2441,0.1831,-1.2817
489036.0000,0.1133,0.9849,0.3340,-0.3052,0.2441,-1.3428
489037.0000,0.1143,0.9849,0.3335,-0.2441,0.3052,-1.4038
489038.0000,0.1143,0.9839,0.3369,-0.2441,0.4272,-1.3428
489039.0000,0.1123,0.9829,0.3359,-0.3052,0.4883,-1.5259
489040.0000,0.1133,0.9839,0.3354,-0.2441,0.6104,-1.5869
489041.0000,0.1104,0.9839,0.3394,-0.1831,0.7935,-1.4038
489042.0000,0.1128,0.9844,0.3359,-0.3052,0.7324,-1.3428
489043.0000,0.1143,0.9844,0.3354,-0.3662,0.9155,-1.2207
489044.0000,0.1128,0.9785,0.3374,-0.3662,0.9766,-1.0376
489045.0000,0.1094,0.9814,0.3408,-0.2441,0.9766,-0.9155
489046.0000,0.1094,0.9829,0.3423,-0.1221,1.0376,-0.7935
489047.0000,0.1094,0.9819,0.3379,-0.2441,0.8545,-0.4883
