timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
515634.0000,-0.0400,0.9795,0.3633,5.0049,5.3711,3.0518
515635.0000,-0.0244,0.9980,0.3491,5.4321,3.4180,3.7842
515636.0000,-0.0210,1.0254,0.3770,5.4321,2.9907,3.1738
515637.0000,-0.0498,1.0249,0.3667,5.1270,2.5635,3.1128
515638.0000,-0.0410,0.9727,0.3442,4.2114,-0.0610,5.0659
515639.0000,-0.0181,0.9653,0.3345,4.4556,-2.1973,6.5918
515640.0000,0.0034,0.9893,0.3325,4.7607,-2.9907,7.1411
515641.0000,0.0166,1.0005,0.3501,4.8218,-2.7466,7.6294
515642.0000,0.0098,0.9941,0.3462,4.6997,-2.9907,7.4463
515643.0000,-0.0034,0.9780,0.3364,4.5776,-3.6011,6.5918
515644.0000,0.0059,0.9668,0.3311,5.1270,-4.8828,6.0425
515645.0000,0.0210,0.9692,0.3286,5.3711,-5.6763,4.6997
515646.0000,0.0352,0.9902,0.3315,5.4321,-5.6763,3.0518
515647.0000,0.0410,1.0059,0.3252,4.8218,-5.0049,0.7935
515648.0000,0.0464,1.0000,0.3218,4.0283,-4.3945,-0.4272
515649.0000,0.0439,0.9839,0.3252,3.8452,-4.1504,-0.9766
515650.0000,0.0542,0.9829,0.3149,3.2959,-4.2114,-1.0376
515651.0000,0.0742,0.9946,0.3218,2.6245,-4.2114,-1.0376
515652.0000,0.0815,1.0054,0.3247,1.6479,-3.2349,-2.2583
515653.0000,0.0684,1.0068,0.3257,0.3052,-1.4038,-5.3101
515654.0000,0.0562,0.9897,0.3257,-0.2441,-0.2441,-8.1787
515655.0000,0.0640,0.9785,0.3184,-0.7324,1.0376,-11.1694
515656.0000,0.0601,0.9805,0.3228,-0.8545,3.5400,-14.7095
515657.0000,0.0454,0.9858,0.3281,-0.9766,5.4321,-16.3574
515658.0000,0.0342,0.9893,0.3325,-0.8545,6.8970,-17.0288
515659.0000,0.0254,0.9951,0.3315,-0.9155,8.4839,-17.1509
515660.0000,0.0137,0.9995,0.3374,-1.0376,9.5825,-16.8457
515661.0000,-0.0034,1.0059,0.3364,-1.0986,10.3149,-16.7236
515662.0000,-0.0278,0.9946,0.3364,-1.5259,10.8032,-16.6016
515663.0000,-0.0415,0.9849,0.3325,-1.5259,10.6812,-16.5405
515664.0000,-0.0508,0.9907,0.3340,-1.4648,10.3149,-16.2354
515665.0000,-0.0649,1.0049,0.3379,-1.5869,9.9487,-15.6860
515666.0000,-0.0757,1.0073,0.3403,-1.5869,9.2773,-14.9536
515667.0000,-0.0757,1.0010,0.3413,-1.7700,8.5449,-13.7939
515668.0000,-0.0815,0.9971,0.3408,-1.5259,7.5073,-10.9863
515669.0000,-0.0815,1.0054,0.3394,-1.4648,6.2866,-8.6670
515670.0000,-0.0762,1.0210,0.3442,-1.3428,5.0049,-6.2866
515671.0000,-0.0732,1.0322,0.3496,-1.5869,3.1738,-4.0283
515672.0000,-0.0601,1.0308,0.3438,-1.8311,1.4648,-2.9907
515673.0000,-0.0454,1.0347,0.3438,-1.9531,0.0610,-2.7466
515674.0000,-0.0234,1.0415,0.3433,-2.5635,-1.0986,-2.8687
515675.0000,-0.0117,1.0381,0.3472,-3.0518,-1.7700,-2.6855
515676.0000,0.0088,1.0342,0.3521,-3.4180,-3.1128,-2.1362
515677.0000,0.0566,1.0288,0.3511,-4.3335,-4.8828,-0.7324
515678.0000,0.0889,1.0142,0.3535,-4.6997,-5.6763,0.1831
515679.0000,0.1094,1.0000,0.3521,-4.6997,-6.1646,0.4272
515680.0000,0.1318,0.9990,0.3530,-4.3335,-6.3477,-0.2441
515681.0000,0.1411,1.0142,0.3613,-4.5776,-5.9814,-1.7090
515682.0000,0.1484,1.0244,0.3740,-5.1880,-6.2866,-3.2959
515683.0000,0.1670,1.0146,0.3892,-6.7139,-8.0566,-5.0049
515684.0000,0.1938,0.9966,0.3936,-7.8735,-9.5215,-5.9814
515685.0000,0.2227,0.9736,0.3911,-8.5449,-9.8877,-7.8735
515686.0000,0.2368,0.9434,0.4009,-8.3618,-9.0332,-10.9863
515687.0000,0.2285,0.9214,0.4014,-7.9346,-8.4839,-13.1226
515688.0000,0.2104,0.8965,0.4102,-7.2632,-8.6060,-15.0757
515689.0000,0.2051,0.8730,0.4053,-6.2256,-10.3760,-16.0522
515690.0000,0.2148,0.8555,0.3965,-5.3101,-11.5967,-16.7236
515691.0000,0.2153,0.8433,0.3906,-4.6997,-11.7798,-17.5171
515692.0000,0.2061,0.8281,0.3838,-4.6997,-11.9629,-18.4326
515693.0000,0.1929,0.8042,0.3794,-5.1880,-12.4512,-18.6157
515694.0000,0.1812,0.7681,0.3652,-6.1646,-13.1836,-18.3716
515695.0000,0.1650,0.7002,0.3428,-7.3853,-14.2212,-16.8457
515696.0000,0.1504,0.6367,0.3208,-8.3008,-15.0146,-15.5029
515697.0000,0.1421,0.5610,0.2944,-9.1553,-15.8691,-13.2446
515698.0000,0.1450,0.4370,0.2563,-9.1553,-16.8457,-8.8501
515699.0000,0.1460,0.3550,0.2319,-8.3618,-17.1509,-4.4556
515700.0000,0.1338,0.2910,0.2075,-6.8359,-17.0288,0.5493
515701.0000,0.1030,0.2158,0.1777,-4.2725,-17.1509,7.8735
515702.0000,0.0864,0.1533,0.1528,-1.8921,-18.0664,13.6108
515703.0000,0.0635,0.0967,0.1245,0.4272,-19.0430,19.4092
515704.0000,0.0518,0.0742,0.0913,4.0894,-20.2637,26.0620
515705.0000,0.0542,0.1196,0.0923,7.0801,-20.5078,28.9307
515706.0000,0.0474,0.2070,0.1123,8.9111,-19.7754,30.4565
515707.0000,0.0225,0.3354,0.1382,8.7891,-18.3105,31.3110
515708.0000,0.0024,0.4180,0.1533,7.0801,-16.9678,30.4565
515709.0000,-0.0103,0.4741,0.1685,3.8452,-15.3809,28.0151
515710.0000,-0.0430,0.4805,0.1724,-0.4883,-13.2446,22.7051
515711.0000,-0.0703,0.4370,0.1724,-2.0752,-11.9019,18.9209
515712.0000,-0.0859,0.4141,0.1699,-2.2583,-11.7188,16.5405
515713.0000,-0.0933,0.4565,0.2109,-0.9155,-12.0850,14.0381
515714.0000,-0.1069,0.5327,0.2505,-0.2441,-12.4512,11.3525
515715.0000,-0.1245,0.6333,0.2915,-0.0610,-13.4277,7.3242
515716.0000,-0.1104,0.7393,0.3398,-1.4648,-16.5405,0.1221
515717.0000,-0.0854,0.7461,0.3501,-2.6855,-18.4937,-4.7607
515718.0000,-0.0415,0.6948,0.3022,-3.0518,-19.1040,-8.3008
515719.0000,0.0020,0.6919,0.2822,-2.1362,-17.2729,-9.8877
515720.0000,0.0103,0.7505,0.2969,0.1221,-13.1836,-13.1836
515721.0000,-0.0469,0.8696,0.3481,4.0283,-6.7749,-20.6299
515722.0000,-0.1006,0.9180,0.3608,5.1270,-3.9673,-26.4282
515723.0000,-0.1421,0.9395,0.3442,5.1270,-2.8076,-29.7852
515724.0000,-0.1626,0.9863,0.3398,4.0894,-3.7231,-30.2734
515725.0000,-0.1553,1.0298,0.3594,2.8687,-5.1270,-28.1982
515726.0000,-0.1377,1.0742,0.3853,1.9531,-6.1035,-24.2920
515727.0000,-0.1172,1.1450,0.4189,1.0376,-5.4932,-20.3857
515728.0000,-0.1270,1.1704,0.4380,0.5493,-3.6011,-21.1792
515729.0000,-0.1509,1.1694,0.4507,0.4883,-1.3428,-25.2686
515730.0000,-0.1489,1.1733,0.4590,0.7324,1.4038,-29.5410
515731.0000,-0.0991,1.1768,0.4556,0.2441,3.3569,-28.9917
515732.0000,-0.0586,1.1543,0.4258,-0.2441,7.0190,-25.5737
515733.0000,-0.0991,1.1406,0.4097,0.2441,14.7095,-20.3857
515734.0000,-0.1899,1.2061,0.4590,1.1597,19.2871,-19.0430
515735.0000,-0.3164,1.3027,0.5103,1.4648,20.5078,-21.0571
515736.0000,-0.4634,1.3965,0.5630,0.6714,15.9302,-27.2827
515737.0000,-0.5054,1.4082,0.5513,-0.8545,8.7280,-31.8604
515738.0000,-0.4448,1.3652,0.5239,-2.4414,-0.1831,-34.4238
515739.0000,-0.2690,1.2827,0.4741,-4.9438,-7.2021,-32.6538
515740.0000,-0.1616,1.2188,0.4458,-6.2866,-6.3477,-29.0527
515741.0000,-0.1294,1.1890,0.4263,-6.6528,-1.4648,-25.2075
515742.0000,-0.1831,1.2485,0.4785,-5.3101,5.4932,-22.8882
515743.0000,-0.2485,1.3081,0.5225,-5.2490,7.9956,-23.6206
515744.0000,-0.2856,1.3179,0.5239,-5.3101,8.2397,-23.5596
515745.0000,-0.2393,1.3091,0.5127,-5.1270,7.6904,-19.7754
515746.0000,-0.1846,1.2520,0.5117,-3.5400,8.7891,-12.9395
515747.0000,-0.1499,1.1865,0.4951,-0.6104,11.7798,-4.8218
515748.0000,-0.2202,1.1660,0.4678,2.6855,18.0054,3.7231
515749.0000,-0.2871,1.2446,0.4844,3.0518,19.5312,6.7749
515750.0000,-0.3154,1.3516,0.5020,1.3428,16.2354,9.0942
515751.0000,-0.2031,1.5010,0.4985,-2.3193,7.9346,12.4512
515752.0000,-0.0474,1.6372,0.5605,-3.5400,4.6387,10.3760
515753.0000,0.0039,1.6602,0.6011,-2.9907,9.0942,7.7515
515754.0000,-0.1807,1.4556,0.5166,-1.7090,16.8457,10.9253
515755.0000,-0.3628,1.3687,0.4697,-0.3052,19.3481,14.3433
515756.0000,-0.5342,1.4570,0.4937,0.4272,16.5405,18.6768
515757.0000,-0.5874,1.7363,0.5938,-0.4883,2.6855,24.2310
515758.0000,-0.4409,1.9199,0.6479,-2.6245,-10.0708,25.8789
515759.0000,-0.2114,1.9624,0.6494,-5.7983,-17.8833,23.8647
515760.0000,0.0342,1.8745,0.5835,-7.9956,-13.4277,20.6299
515761.0000,0.0269,1.8149,0.5732,-6.2256,-1.5259,18.5547
515762.0000,-0.2241,1.7764,0.5781,-2.6855,9.3994,18.1885
515763.0000,-0.5269,1.7969,0.6382,0.5493,8.6060,20.0195
515764.0000,-0.6104,1.8608,0.6626,1.0376,0.0610,23.5596
515765.0000,-0.5264,1.8936,0.6572,-0.4272,-10.3760,28.6865
515766.0000,-0.2617,1.8174,0.6377,-2.4414,-15.6250,36.6821
515767.0000,-0.1245,1.7427,0.6128,-0.9766,-10.3760,41.4429
515768.0000,-0.1426,1.7285,0.6123,1.5869,-1.4038,44.0063
