timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
471053.0000,0.2188,0.9492,0.4160,-4.0894,-39.6729,-18.5547
471054.0000,0.2290,0.9473,0.4165,-3.6621,-37.6587,-18.1885
471055.0000,0.2339,0.9463,0.4160,-3.2349,-35.6445,-17.8833
471056.0000,0.2383,0.9458,0.4131,-2.8687,-33.6304,-17.3950
471057.0000,0.2393,0.9458,0.4136,-2.4414,-30.4565,-16.9067
471058.0000,0.2397,0.9463,0.4150,-2.0752,-28.1372,-16.5405
471059.0000,0.2412,0.9463,0.4136,-1.7700,-25.7568,-16.1133
471060.0000,0.2393,0.9395,0.4141,-1.0376,-22.5830,-15.6250
471061.0000,0.2358,0.9390,0.4136,-0.6714,-20.0806,-15.3809
471062.0000,0.2354,0.9419,0.4131,-0.0610,-17.8833,-15.0146
471063.0000,0.2329,0.9468,0.4126,0.6714,-14.8315,-14.4653
471064.0000,0.2334,0.9478,0.4165,1.0986,-12.5732,-14.2212
471065.0000,0.2300,0.9502,0.4106,1.4648,-10.2539,-13.9160
471066.0000,0.2227,0.9526,0.4111,1.7090,-7.4463,-13.7329
471067.0000,0.2144,0.9541,0.4092,1.8311,-5.4932,-13.6719
471068.0000,0.2085,0.9531,0.4087,2.0752,-3.7231,-13.8550
471069.0000,0.1963,0.9580,0.4072,2.2583,-1.8311,-13.7939
471070.0000,0.1885,0.9556,0.4082,2.2583,-0.7935,-13.9771
471071.0000,0.1763,0.9590,0.4092,2.3804,0.1831,-14.1602
471072.0000,0.1670,0.9614,0.4097,2.3193,1.0376,-14.5264
471073.0000,0.1562,0.9644,0.4067,2.4414,1.2817,-14.9536
471074.0000,0.1470,0.9639,0.4048,2.2583,1.4038,-15.3198
471075.0000,0.1392,0.9683,0.4048,2.0752,1.0376,-15.6250
471076.0000,0.1353,0.9663,0.4062,1.8311,0.7935,-15.9302
471077.0000,0.1299,0.9683,0.4028,1.5869,0.3662,-16.2964
471078.0000,0.1230,0.9702,0.4038,1.2207,-0.4272,-16.7847
471079.0000,0.1167,0.9678,0.4043,1.0986,-1.0376,-16.9678
471080.0000,0.1104,0.9688,0.4067,0.7324,-2.0142,-17.6392
471081.0000,0.1011,0.9678,0.4067,0.4272,-3.4180,-18.4326
471082.0000,0.0991,0.9663,0.4058,0.4272,-4.6387,-19.0430
471083.0000,0.1006,0.9683,0.4062,0.2441,-5.7373,-19.8975
471084.0000,0.1050,0.9707,0.4102,0.0000,-7.0190,-21.0571
471085.0000,0.1079,0.9692,0.4102,-0.1221,-7.7515,-21.7285
471086.0000,0.1099,0.9707,0.4106,-0.2441,-8.3618,-22.6440
471087.0000,0.1118,0.9683,0.4092,-0.5493,-9.0332,-23.6206
471088.0000,0.1177,0.9648,0.4136,-0.5493,-9.3384,-24.4751
471089.0000,0.1279,0.9668,0.4121,-0.5493,-9.2163,-25.2686
471090.0000,0.1372,0.9668,0.4150,-0.8545,-8.6670,-26.4282
471091.0000,0.1440,0.9717,0.4155,-1.0986,-7.7515,-27.2217
471092.0000,0.1450,0.9741,0.4180,-1.4038,-6.8359,-27.8320
471093.0000,0.1289,0.9692,0.4141,-1.9531,-5.7373,-28.6255
471094.0000,0.1162,0.9644,0.4136,-2.3804,-5.4321,-28.8086
471095.0000,0.1025,0.9561,0.4106,-2.5635,-5.6152,-29.2358
471096.0000,0.0918,0.9443,0.4106,-2.6855,-6.4697,-30.2124
471097.0000,0.0825,0.9414,0.4092,-2.5024,-6.8970,-31.4941
471098.0000,0.0796,0.9414,0.4126,-2.1362,-7.2021,-33.2031
471099.0000,0.0723,0.9443,0.4111,-1.3428,-7.1411,-35.7666
471100.0000,0.0640,0.9443,0.4087,-0.8545,-7.1411,-37.1094
471101.0000,0.0483,0.9482,0.4048,-0.3662,-7.0190,-38.1470
471102.0000,0.0195,0.9463,0.4062,0.3052,-7.5073,-38.2690
471103.0000,-0.0024,0.9512,0.4019,0.6104,-8.6670,-37.7808
471104.0000,-0.0220,0.9595,0.4043,0.7324,-9.8877,-36.9873
471105.0000,-0.0342,0.9731,0.4072,0.6714,-12.0850,-35.6445
471106.0000,-0.0391,0.9775,0.4111,0.4883,-13.7939,-34.3628
471107.0000,-0.0332,0.9790,0.4082,0.2441,-15.4419,-33.5083
