timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
476675.0000,0.0605,0.9746,0.4170,2.0752,-0.2441,0.3662
476676.0000,0.0488,0.9731,0.4146,1.8921,0.4883,0.8545
476677.0000,0.0454,0.9785,0.4194,1.5869,0.9155,1.0376
476678.0000,0.0488,0.9780,0.4209,1.1597,1.3428,0.9766
476679.0000,0.0552,0.9790,0.4155,0.7935,2.0142,1.1597
476680.0000,0.0576,0.9761,0.4155,0.4883,2.6855,1.4648
476681.0000,0.0542,0.9756,0.4146,0.0000,3.6011,2.0142
476682.0000,0.0479,0.9751,0.4141,-0.2441,4.1504,2.2583
476683.0000,0.0410,0.9746,0.4131,-0.4883,4.2725,2.6245
476684.0000,0.0342,0.9727,0.4160,-0.6714,4.2725,2.8076
476685.0000,0.0283,0.9731,0.4189,-0.7935,4.0894,2.8076
476686.0000,0.0283,0.9731,0.4199,-0.9155,3.7231,2.8076
476687.0000,0.0298,0.9751,0.4219,-1.3428,3.1128,2.6245
476688.0000,0.0342,0.9731,0.4194,-1.4648,2.7466,2.5024
476689.0000,0.0361,0.9678,0.4194,-1.7090,2.4414,2.4414
476690.0000,0.0396,0.9624,0.4165,-1.7090,2.1362,2.5024
476691.0000,0.0386,0.9619,0.4185,-1.5869,1.9531,2.6245
476692.0000,0.0371,0.9595,0.4214,-1.6479,1.7700,2.7466
476693.0000,0.0342,0.9570,0.4204,-1.3428,1.2207,2.7466
476694.0000,0.0352,0.9575,0.4199,-1.1597,0.6104,2.9297
476695.0000,0.0361,0.9595,0.4238,-1.0376,0.2441,2.8687
476696.0000,0.0356,0.9556,0.4180,-0.8545,-0.3052,2.9297
476697.0000,0.0342,0.9526,0.4219,-0.4883,-0.6714,3.1738
476698.0000,0.0347,0.9541,0.4204,-0.3052,-1.3428,3.4790
476699.0000,0.0386,0.9600,0.4233,0.1831,-1.7700,4.0283
476700.0000,0.0391,0.9614,0.4243,0.2441,-2.0752,4.4556
476701.0000,0.0327,0.9614,0.4219,0.4272,-2.3193,4.6387
476702.0000,0.0210,0.9595,0.4204,0.5493,-3.0518,5.3101
476703.0000,0.0137,0.9546,0.4199,0.7324,-3.9673,6.0425
476704.0000,0.0063,0.9492,0.4175,1.0376,-5.0049,7.5684
476705.0000,-0.0010,0.9512,0.4194,1.6479,-6.8359,10.5591
476706.0000,-0.0039,0.9526,0.4189,2.0752,-8.4229,13.6108
476707.0000,-0.0195,0.9443,0.4150,2.5024,-9.8877,17.3340
476708.0000,-0.0410,0.9556,0.4189,3.2349,-13.1226,24.4751
476709.0000,-0.0322,0.9766,0.4258,3.4790,-16.1743,29.8462
476710.0000,-0.0151,0.9878,0.4282,3.3569,-18.4937,34.2407
476711.0000,0.0063,0.9883,0.4238,2.6855,-20.6299,37.9028
476712.0000,0.0078,0.9795,0.4189,2.3193,-21.5454,39.4897
476713.0000,0.0073,0.9614,0.4116,2.0142,-22.4609,41.5039
476714.0000,0.0088,0.9409,0.4082,2.3804,-24.9023,45.2881
476715.0000,0.0229,0.9360,0.4077,2.8687,-27.0996,49.1333
476716.0000,0.0527,0.9492,0.4106,3.4180,-29.2969,52.6123
476717.0000,0.0962,0.9702,0.4233,3.6011,-30.8228,55.2979
476718.0000,0.1226,0.9780,0.4238,3.4180,-30.6396,55.7251
476719.0000,0.1416,0.9683,0.4194,2.9297,-29.7852,55.4199
476720.0000,0.1572,0.9395,0.4116,2.8076,-28.5645,54.9927
476721.0000,0.1719,0.9316,0.4092,3.1738,-28.0151,54.8706
476722.0000,0.1846,0.9180,0.3994,3.7231,-27.6489,55.2979
476723.0000,0.2017,0.9199,0.3936,4.8828,-27.4048,56.8848
476724.0000,0.2256,0.9326,0.4014,5.5542,-27.4048,57.4341
476725.0000,0.2480,0.9448,0.4019,5.9814,-26.6113,56.9458
476726.0000,0.2593,0.9517,0.3975,5.7983,-24.9023,54.8096
476727.0000,0.2627,0.9419,0.3901,5.6152,-23.4985,52.6123
476728.0000,0.2627,0.9268,0.3882,5.5542,-22.3999,50.1099
476729.0000,0.2632,0.9102,0.3784,5.9814,-21.5454,47.6685
476730.0000,0.2686,0.9067,0.3779,6.5918,-21.4233,46.6919
476731.0000,0.2827,0.9160,0.3809,7.1411,-21.4233,46.2646
476732.0000,0.3081,0.9351,0.3838,7.5073,-21.1792,45.3491
476733.0000,0.3184,0.9399,0.3828,7.3242,-20.3247,44.3115
476734.0000,0.3086,0.9282,0.3779,7.2021,-19.4702,42.9077
476735.0000,0.2993,0.9102,0.3735,7.2632,-19.4092,42.2974
476736.0000,0.2939,0.9004,0.3672,7.5073,-20.0195,42.8467
476737.0000,0.3140,0.9136,0.3701,7.9956,-21.5454,44.1284
476738.0000,0.3320,0.9238,0.3696,8.1177,-22.1558,44.9829
476739.0000,0.3369,0.9302,0.3691,8.1787,-22.3999,45.4712
476740.0000,0.3467,0.9341,0.3682,7.6904,-22.7661,45.4102
476741.0000,0.3511,0.9336,0.3672,7.3242,-22.6440,44.7998
476742.0000,0.3467,0.9209,0.3643,7.0190,-22.6440,44.1284
476743.0000,0.3516,0.9087,0.3579,6.7139,-23.4375,44.3115
476744.0000,0.3726,0.9072,0.3574,6.7139,-24.1699,44.6777
476745.0000,0.3906,0.9121,0.3560,6.6528,-24.5361,44.9829
476746.0000,0.4121,0.9155,0.3560,6.4697,-24.3530,44.7998
476747.0000,0.4243,0.9175,0.3511,6.0425,-23.6816,44.3726
476748.0000,0.4355,0.9062,0.3481,5.6763,-22.7661,44.1895
476749.0000,0.4580,0.8931,0.3428,5.4932,-21.7285,44.3115
476750.0000,0.4780,0.8872,0.3413,5.5542,-20.5688,44.1284
476751.0000,0.4927,0.8848,0.3364,5.6763,-19.0430,43.3350
476752.0000,0.5020,0.8867,0.3325,5.7373,-16.7236,41.6260
476753.0000,0.5103,0.8828,0.3359,5.8594,-15.1978,39.7339
476754.0000,0.5259,0.8813,0.3320,6.2866,-13.8550,37.5366
476755.0000,0.5562,0.8784,0.3252,6.4087,-11.9019,34.1187
476756.0000,0.5825,0.8755,0.3188,6.7139,-10.2539,31.8604
476757.0000,0.6084,0.8687,0.3140,6.8970,-8.0566,29.2969
476758.0000,0.6255,0.8706,0.3047,6.7139,-4.4556,25.7568
476759.0000,0.6250,0.8745,0.3037,6.5308,-1.5869,22.7051
476760.0000,0.6128,0.8794,0.3062,6.0425,1.0986,19.4702
476761.0000,0.5933,0.8789,0.3066,5.2490,3.4790,16.1743
476762.0000,0.5884,0.8740,0.3052,4.5166,4.3945,14.5874
476763.0000,0.5850,0.8716,0.3062,3.8452,5.0049,13.2446
476764.0000,0.5762,0.8765,0.3062,2.8076,5.5542,11.9019
476765.0000,0.5659,0.8740,0.3105,2.0142,5.6763,10.7422
476766.0000,0.5581,0.8735,0.3120,1.0986,5.6152,9.4604
476767.0000,0.5498,0.8716,0.3169,-0.0610,5.4932,7.7515
476768.0000,0.5479,0.8662,0.3164,-0.7935,5.1880,6.4087
476769.0000,0.5449,0.8662,0.3228,-1.4648,4.7607,5.4321
476770.0000,0.5327,0.8545,0.3262,-2.0752,4.0894,4.1504
476771.0000,0.5264,0.8511,0.3247,-2.3804,3.3569,3.6011
476772.0000,0.5249,0.8491,0.3306,-2.3804,2.6245,3.3569
476773.0000,0.5322,0.8452,0.3315,-2.4414,1.5259,3.0518
476774.0000,0.5356,0.8418,0.3325,-2.2583,1.0376,3.0518
476775.0000,0.5396,0.8384,0.3350,-2.0142,0.6104,2.8687
476776.0000,0.5444,0.8379,0.3369,-1.5869,0.4272,2.7466
476777.0000,0.5498,0.8364,0.3379,-1.1597,0.3052,2.4414
476778.0000,0.5474,0.8389,0.3403,-0.7324,0.1831,2.0752
476779.0000,0.5454,0.8408,0.3379,0.0000,0.1221,1.4038
476780.0000,0.5518,0.8408,0.3369,0.3662,-0.1221,1.0986
476781.0000,0.5562,0.8462,0.3350,0.6714,0.0000,1.0986
476782.0000,0.5596,0.8491,0.3315,1.0376,0.5493,0.6104
476783.0000,0.5576,0.8501,0.3276,1.2207,1.0376,0.4272
476784.0000,0.5503,0.8501,0.3262,1.2817,1.5259,0.1221
476785.0000,0.5356,0.8511,0.3281,1.4648,1.6479,-0.2441
476786.0000,0.5283,0.8540,0.3306,1.6479,1.0986,-0.5493
476787.0000,0.5298,0.8569,0.3276,1.6479,0.6714,-0.9155
476788.0000,0.5332,0.8540,0.3257,1.4648,0.2441,-1.4648
476789.0000,0.5386,0.8530,0.3218,1.4038,0.2441,-1.9531
476790.0000,0.5415,0.8511,0.3208,1.2207,0.1831,-1.8921
476791.0000,0.5420,0.8496,0.3193,1.0986,0.2441,-2.1362
476792.0000,0.5371,0.8486,0.3218,1.0376,0.6714,-2.4414
476793.0000,0.5288,0.8540,0.3247,1.0986,0.3662,-2.5635
476794.0000,0.5259,0.8579,0.3193,0.9155,-0.1221,-2.8076
476795.0000,0.5278,0.8584,0.3223,0.8545,-0.4883,-2.9907
476796.0000,0.5293,0.8574,0.3218,0.7324,-0.7324,-3.1128
476797.0000,0.5322,0.8564,0.3188,0.7935,-0.8545,-3.6011
476798.0000,0.5317,0.8594,0.3179,0.7324,-0.9155,-3.7231
476799.0000,0.5332,0.8564,0.3145,0.7935,-0.9766,-4.2114
476800.0000,0.5308,0.8618,0.3184,0.9766,-0.7324,-4.8218
476801.0000,0.5288,0.8643,0.3193,1.0986,-0.7324,-5.3101
476802.0000,0.5249,0.8652,0.3193,1.0376,-0.6104,-5.8594
