timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
84066.0000,0.2974,0.9707,0.3740,0.1221,-3.2959,-3.4180
84067.0000,0.2949,0.9722,0.3740,0.0610,-3.1128,-3.9062
84068.0000,0.2939,0.9663,0.3730,-0.4272,-3.0518,-4.4556
84069.0000,0.2871,0.9639,0.3711,-0.4883,-2.7466,-4.8218
84070.0000,0.2817,0.9609,0.3691,-0.7935,-2.5024,-5.4932
84071.0000,0.2778,0.9561,0.3740,-0.9766,-2.3193,-6.0425
84072.0000,0.2759,0.9546,0.3726,-0.9155,-2.1362,-6.7139
84073.0000,0.2729,0.9531,0.3721,-0.8545,-1.9531,-7.0801
84074.0000,0.2671,0.9512,0.3706,-0.7935,-1.6479,-7.6294
84075.0000,0.2642,0.9526,0.3721,-0.7324,-1.4648,-7.9956
84076.0000,0.2598,0.9565,0.3745,-0.8545,-1.3428,-8.2397
84077.0000,0.2568,0.9580,0.3726,-0.7935,-1.2207,-8.2397
84078.0000,0.2573,0.9580,0.3730,-0.8545,-1.0986,-8.0566
84079.0000,0.2583,0.9585,0.3735,-1.1597,-0.8545,-8.1787
84080.0000,0.2539,0.9614,0.3760,-1.4648,-0.3662,-8.1177
84081.0000,0.2471,0.9614,0.3745,-1.6479,0.1221,-8.3618
84082.0000,0.2427,0.9580,0.3711,-1.7700,0.4883,-8.7280
84083.0000,0.2354,0.9551,0.3735,-1.9531,0.7324,-9.2773
84084.0000,0.2358,0.9561,0.3789,-1.8311,0.8545,-9.4604
84085.0000,0.2339,0.9556,0.3794,-1.7700,0.9766,-9.7046
84086.0000,0.2305,0.9546,0.3818,-1.8311,1.0986,-10.0708
84087.0000,0.2271,0.9561,0.3809,-1.7700,1.1597,-10.2539
84088.0000,0.2246,0.9580,0.3818,-1.8311,1.1597,-10.6201
84089.0000,0.2256,0.9609,0.3828,-1.9531,1.2207,-10.9863
84090.0000,0.2290,0.9614,0.3838,-2.0752,1.3428,-11.2305
84091.0000,0.2295,0.9585,0.3838,-2.2583,1.4648,-11.2305
84092.0000,0.2300,0.9556,0.3872,-2.3193,1.6479,-11.1694
84093.0000,0.2280,0.9556,0.3877,-2.1973,1.7090,-11.1694
84094.0000,0.2246,0.9512,0.3872,-1.9531,1.9531,-11.3525
84095.0000,0.2241,0.9541,0.3867,-1.5869,1.9531,-11.5967
84096.0000,0.2256,0.9595,0.3843,-1.2817,2.1973,-11.9019
84097.0000,0.2275,0.9634,0.3848,-1.2207,2.5024,-12.2681
84098.0000,0.2217,0.9648,0.3872,-1.2207,3.2349,-13.1836
84099.0000,0.2148,0.9629,0.3867,-1.2817,3.7231,-14.0991
84100.0000,0.2090,0.9663,0.3857,-1.1597,4.0283,-15.1367
84101.0000,0.2041,0.9653,0.3872,-1.2207,4.3335,-16.6626
84102.0000,0.2012,0.9648,0.3828,-1.2817,4.5166,-17.7612
84103.0000,0.2012,0.9673,0.3823,-1.4648,4.6997,-18.4326
84104.0000,0.1938,0.9697,0.3862,-1.7090,4.8218,-19.0430
84105.0000,0.1875,0.9678,0.3848,-2.1362,4.9438,-19.4092
84106.0000,0.1821,0.9678,0.3853,-2.2583,5.0659,-19.5312
84107.0000,0.1787,0.9692,0.3882,-2.5635,4.8828,-19.5312
84108.0000,0.1816,0.9634,0.3872,-2.8076,5.0659,-19.6533
84109.0000,0.1763,0.9604,0.3872,-2.9297,5.2490,-19.8364
84110.0000,0.1670,0.9619,0.3892,-2.6855,5.6152,-20.3857
84111.0000,0.1582,0.9629,0.3906,-2.6855,5.6763,-20.9961
