timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
90640.0000,-0.1577,0.8745,0.4722,11.2915,-25.1465,70.2515
90641.0000,-0.1343,0.8848,0.4707,12.2681,-26.1230,70.0684
90642.0000,-0.0952,0.9033,0.4609,12.9395,-26.7944,68.4204
90643.0000,-0.0767,0.9043,0.4556,13.0005,-26.4893,67.2607
90644.0000,-0.0586,0.9053,0.4478,13.0005,-25.8789,66.8945
90645.0000,-0.0312,0.9214,0.4521,13.0005,-24.8413,66.7725
90646.0000,-0.0254,0.9258,0.4561,12.8174,-23.6206,66.4673
90647.0000,-0.0210,0.9326,0.4590,12.5732,-22.7051,65.6738
90648.0000,-0.0093,0.9336,0.4600,12.4512,-22.0337,63.1104
90649.0000,0.0039,0.9316,0.4507,12.1460,-21.8506,60.5469
90650.0000,0.0366,0.9268,0.4409,11.6577,-22.0947,57.6172
90651.0000,0.0801,0.9390,0.4355,11.1084,-21.4844,53.5278
90652.0000,0.1045,0.9438,0.4370,10.6812,-19.7754,49.8047
90653.0000,0.1206,0.9458,0.4360,10.3149,-17.6392,46.1426
90654.0000,0.1157,0.9321,0.4346,9.7046,-14.4653,41.0156
90655.0000,0.0894,0.9180,0.4375,9.7656,-12.6343,37.8418
90656.0000,0.0776,0.9150,0.4385,10.1929,-12.0850,35.0952
90657.0000,0.0815,0.9263,0.4326,10.7422,-12.6343,31.7383
90659.0000,0.1167,0.9521,0.4287,10.9253,-12.2681,27.4048
90665.0000,0.1357,0.9346,0.4146,7.2021,-4.8828,19.8364
90666.0000,0.1348,0.9331,0.4126,7.2021,-4.8218,19.5312
90667.0000,0.1382,0.9380,0.4077,7.0190,-5.0049,19.2871
90668.0000,0.1460,0.9419,0.4062,6.7749,-5.0659,18.6768
90669.0000,0.1562,0.9473,0.4058,6.2866,-4.7607,17.8223
90670.0000,0.1646,0.9541,0.4023,5.9814,-4.3335,16.8457
90671.0000,0.1733,0.9629,0.4053,5.6152,-4.0283,15.8081
90672.0000,0.1812,0.9707,0.4038,4.8828,-3.4790,14.8315
90673.0000,0.1846,0.9722,0.4023,4.0283,-2.9907,13.9160
90674.0000,0.1826,0.9717,0.4004,3.2349,-2.7466,12.8784
90675.0000,0.1865,0.9688,0.4023,2.3193,-2.3804,11.3525
90677.0000,0.1890,0.9727,0.4062,1.0376,-2.0752,9.2163
90683.0000,0.1846,0.9541,0.4155,-0.6714,-1.7700,-0.4272
90684.0000,0.1782,0.9570,0.4248,-0.4883,-1.5869,-2.3804
90685.0000,0.1719,0.9604,0.4238,-0.3052,-1.4648,-3.9673
90686.0000,0.1665,0.9565,0.4219,-0.3662,-1.4648,-5.4932
90687.0000,0.1646,0.9551,0.4189,-0.4883,-1.6479,-7.2021
90688.0000,0.1704,0.9595,0.4170,-0.4272,-1.6479,-8.0566
90689.0000,0.1729,0.9585,0.4199,-0.6714,-1.2207,-8.8501
90690.0000,0.1685,0.9561,0.4214,-0.3662,-0.5493,-9.5825
90691.0000,0.1543,0.9473,0.4209,-0.1221,-0.0610,-9.7046
90692.0000,0.1460,0.9434,0.4214,0.3052,0.2441,-9.9487
90695.0000,0.1484,0.9585,0.4248,1.1597,0.3662,-12.3291
90696.0000,0.1641,0.9561,0.4209,1.1597,0.7324,-13.3057
90697.0000,0.1709,0.9575,0.4175,1.1597,1.4038,-14.4043
90698.0000,0.1763,0.9614,0.4185,1.0986,2.2583,-15.8691
90699.0000,0.1807,0.9634,0.4165,1.2207,3.3569,-18.4937
90700.0000,0.1948,0.9683,0.4146,0.9155,3.9673,-21.3623
90701.0000,0.2158,0.9785,0.4121,0.4883,5.1880,-24.6582
90702.0000,0.2417,0.9683,0.4150,-0.1221,7.3853,-30.3955
90707.0000,0.2656,0.9829,0.3916,-4.3335,20.7520,-64.5752
90713.0000,0.1797,0.9434,0.3794,-11.9629,36.6821,-98.5718
90714.0000,0.1646,0.9321,0.3838,-13.4277,38.3911,-103.8208
90715.0000,0.1548,0.9229,0.3838,-14.6484,40.2832,-109.0088
90716.0000,0.1421,0.9033,0.3887,-16.1743,43.0908,-115.4785
90719.0000,0.0767,0.8418,0.3784,-17.6392,51.5137,-128.9673
90725.0000,-0.2095,0.7432,0.3823,-18.9819,60.3027,-147.5830
90726.0000,-0.2466,0.7510,0.3721,-18.9819,59.6313,-147.3999
90727.0000,-0.2808,0.7695,0.3765,-19.5312,58.8379,-146.6064
90728.0000,-0.3193,0.7671,0.3892,-20.2637,56.8848,-145.0806
90729.0000,-0.3491,0.7451,0.3911,-20.9351,54.8706,-143.7378
90730.0000,-0.3657,0.6772,0.3931,-19.7144,53.1006,-143.0054
90731.0000,-0.4297,0.6113,0.3901,-17.6392,51.4526,-142.8223
90732.0000,-0.4893,0.6079,0.3892,-15.3198,50.4150,-142.7612
90733.0000,-0.5586,0.6562,0.3931,-13.9160,49.5605,-143.0054
90734.0000,-0.6318,0.6982,0.3965,-13.3057,46.6919,-142.7612
90735.0000,-0.6421,0.6919,0.3823,-13.4277,43.1519,-140.5029
90736.0000,-0.6035,0.6733,0.3730,-14.3433,39.1846,-136.7188
90737.0000,-0.5420,0.6367,0.3774,-14.8926,36.4380,-130.0659
90738.0000,-0.5215,0.6001,0.3726,-14.8315,36.3159,-125.6714
90739.0000,-0.5322,0.5747,0.3706,-14.4653,37.1094,-122.4365
90740.0000,-0.5854,0.5483,0.3809,-13.4888,38.3301,-121.0327
90741.0000,-0.6426,0.5483,0.3760,-12.9395,39.2456,-121.6431
90742.0000,-0.6929,0.5522,0.3662,-12.9395,39.6118,-122.8638
90743.0000,-0.7231,0.5474,0.3545,-13.4888,39.2456,-124.2676
90744.0000,-0.7144,0.5312,0.3462,-14.2212,38.8184,-123.9014
90745.0000,-0.6963,0.5122,0.3501,-14.7705,38.8794,-122.3145
90746.0000,-0.6943,0.4814,0.3550,-15.3198,40.2832,-119.2627
90747.0000,-0.7197,0.4580,0.3579,-15.2588,41.8701,-117.0654
90748.0000,-0.7563,0.4395,0.3516,-14.7095,43.0908,-114.8682
90749.0000,-0.8179,0.4326,0.3501,-13.9771,43.9453,-112.3047
90750.0000,-0.8672,0.4268,0.3481,-13.6108,43.7012,-109.9243
90751.0000,-0.9126,0.4243,0.3535,-13.4888,42.8467,-107.4219
90752.0000,-0.9604,0.4072,0.3462,-13.0005,41.1987,-103.2104
90753.0000,-0.9946,0.3999,0.3447,-12.6953,39.8560,-99.1821
90754.0000,-1.0332,0.4019,0.3525,-12.5122,38.2690,-94.7876
90755.0000,-1.0903,0.4077,0.3560,-12.1460,35.4614,-87.4634
90756.0000,-1.1299,0.3999,0.3569,-12.0239,32.5317,-81.2378
90757.0000,-1.1655,0.3896,0.3613,-11.7188,29.5410,-74.1577
90758.0000,-1.2017,0.3823,0.3613,-11.2915,24.7803,-64.3921
90759.0000,-1.2271,0.3755,0.3604,-10.8032,21.2402,-56.7627
90760.0000,-1.2412,0.3701,0.3540,-10.2539,17.5171,-49.2554
90761.0000,-1.2461,0.3672,0.3481,-9.7046,12.5122,-39.5508
90762.0000,-1.2334,0.3657,0.3477,-9.5825,9.0942,-32.7759
90763.0000,-1.2148,0.3564,0.3462,-9.3994,6.1035,-26.3672
90764.0000,-1.1729,0.3418,0.3457,-8.9722,2.9297,-18.6157
90765.0000,-1.1396,0.3311,0.3389,-8.6670,1.5869,-13.5498
90766.0000,-1.1094,0.3105,0.3340,-7.9956,0.6104,-9.1553
90767.0000,-1.0664,0.2954,0.3325,-6.5918,-0.3052,-4.2725
90768.0000,-1.0400,0.2954,0.3359,-5.4321,-0.3662,-1.5259
90769.0000,-1.0254,0.3008,0.3394,-4.3945,-0.1831,0.3052
90770.0000,-1.0024,0.3081,0.3379,-3.3569,-1.0376,2.3804
90771.0000,-0.9829,0.3145,0.3379,-2.7466,-2.0142,3.7231
90772.0000,-0.9570,0.3223,0.3389,-2.2583,-3.0518,4.6997
90773.0000,-0.9272,0.3296,0.3374,-2.0752,-4.0283,5.1270
90774.0000,-0.9033,0.3291,0.3398,-1.8311,-4.3335,5.0659
90775.0000,-0.8921,0.3301,0.3384,-1.6479,-4.3335,4.9438
90776.0000,-0.8726,0.3359,0.3413,-1.2817,-4.1504,4.5166
90777.0000,-0.8643,0.3438,0.3467,-1.2207,-4.2725,4.3335
90778.0000,-0.8525,0.3467,0.3486,-0.9766,-4.1504,4.0894
90779.0000,-0.8364,0.3438,0.3477,-0.9155,-3.9673,3.5400
90780.0000,-0.8301,0.3374,0.3486,-0.6714,-3.4790,3.0518
