timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
95724.0000,0.2832,0.9072,0.4160,2.9907,4.1504,-16.9067
95725.0000,0.2817,0.8994,0.4160,4.2725,3.5400,-16.5405
95726.0000,0.2764,0.9028,0.4121,5.3101,3.1128,-16.4795
95727.0000,0.2700,0.9097,0.4102,6.2866,2.5635,-16.3574
95728.0000,0.2739,0.9268,0.4038,7.2632,1.7090,-16.7236
95729.0000,0.2778,0.9395,0.4009,7.9956,1.7700,-17.1509
95730.0000,0.2764,0.9438,0.3940,8.5449,1.7700,-17.6392
95731.0000,0.2705,0.9561,0.3926,8.6670,1.8921,-18.3716
95732.0000,0.2627,0.9658,0.3838,8.7891,1.8311,-19.0430
95733.0000,0.2588,0.9814,0.3784,8.3008,1.7700,-19.5312
95734.0000,0.2539,0.9863,0.3716,7.0801,1.7700,-19.7754
95735.0000,0.2529,0.9917,0.3618,5.9814,1.7090,-19.5923
95736.0000,0.2539,0.9951,0.3569,4.8218,1.9531,-18.7988
95737.0000,0.2505,0.9937,0.3550,3.0518,2.5635,-17.5171
95738.0000,0.2373,0.9888,0.3594,1.7700,3.0518,-16.4185
95739.0000,0.2178,0.9795,0.3584,0.9155,3.1128,-15.8081
95740.0000,0.1929,0.9756,0.3618,-0.0610,2.5024,-15.0757
95741.0000,0.1821,0.9756,0.3643,-0.7324,1.3428,-14.8926
95742.0000,0.1841,0.9780,0.3633,-1.4648,0.0000,-14.4653
95743.0000,0.2031,0.9829,0.3604,-2.9297,-1.0986,-13.9160
95744.0000,0.2139,0.9810,0.3667,-3.7842,-1.2207,-13.3667
95745.0000,0.2236,0.9766,0.3633,-4.8218,-1.0986,-12.6343
95746.0000,0.2266,0.9697,0.3711,-5.9814,-0.6104,-11.5356
95747.0000,0.2192,0.9595,0.3726,-6.7139,-0.3662,-10.6812
95748.0000,0.2153,0.9487,0.3745,-6.7139,-0.3052,-9.9487
95749.0000,0.2163,0.9414,0.3818,-6.6528,-0.3662,-9.5825
95750.0000,0.2241,0.9355,0.3818,-6.2866,-0.4883,-9.2163
95751.0000,0.2373,0.9390,0.3823,-5.9204,-0.4272,-9.2163
95752.0000,0.2529,0.9438,0.3892,-5.6763,0.1221,-9.3994
95753.0000,0.2598,0.9395,0.3926,-5.5542,0.5493,-9.8877
95754.0000,0.2661,0.9331,0.3950,-5.1270,0.9155,-10.7422
95755.0000,0.2812,0.9346,0.3960,-4.3335,1.3428,-12.4512
95756.0000,0.2993,0.9424,0.3916,-3.9673,1.7700,-14.6484
95757.0000,0.3164,0.9526,0.3906,-3.9673,2.3804,-17.0898
95758.0000,0.3462,0.9722,0.3892,-4.2725,3.9673,-21.0571
95759.0000,0.3647,0.9785,0.3940,-4.7607,5.3711,-24.5972
95760.0000,0.3789,0.9756,0.3936,-5.4321,7.2021,-28.4424
95761.0000,0.3887,0.9683,0.3901,-6.3477,10.2539,-34.7290
95762.0000,0.3936,0.9697,0.3853,-6.7749,12.3291,-40.5273
95763.0000,0.3960,0.9692,0.3818,-7.1411,14.5874,-46.9971
95764.0000,0.3989,0.9668,0.3735,-7.9956,17.7612,-55.9692
95765.0000,0.3994,0.9663,0.3687,-8.9111,20.1416,-62.7441
95766.0000,0.3989,0.9727,0.3662,-10.0708,22.5220,-69.2749
95767.0000,0.4009,0.9746,0.3662,-11.7188,25.9399,-77.8809
95768.0000,0.3916,0.9668,0.3672,-13.1226,28.5034,-84.5947
95769.0000,0.3794,0.9580,0.3647,-14.5874,31.1890,-91.4307
95770.0000,0.3584,0.9561,0.3633,-16.5405,34.6069,-100.9521
95771.0000,0.3516,0.9575,0.3647,-18.0054,37.0483,-108.3984
95772.0000,0.3438,0.9541,0.3652,-19.8364,39.5508,-115.6616
95773.0000,0.3301,0.9395,0.3589,-22.5830,43.3350,-125.1221
95774.0000,0.3188,0.9233,0.3623,-24.4751,46.3257,-132.8125
95775.0000,0.3042,0.9092,0.3545,-26.1230,50.1099,-140.3198
95776.0000,0.2725,0.8872,0.3438,-28.8086,54.8096,-150.2075
95777.0000,0.2437,0.8701,0.3433,-30.4565,58.1055,-157.1045
95778.0000,0.2188,0.8486,0.3462,-32.0435,61.2793,-163.4521
95779.0000,0.1772,0.8149,0.3506,-33.5693,65.0024,-171.2036
95780.0000,0.1353,0.7925,0.3486,-34.7290,67.8101,-176.3916
95781.0000,0.0850,0.7715,0.3496,-35.9497,70.3735,-181.1523
95782.0000,0.0215,0.7607,0.3579,-37.4756,73.4253,-186.6455
95783.0000,-0.0249,0.7354,0.3647,-39.0625,75.5005,-190.3076
95784.0000,-0.0820,0.6685,0.3701,-39.5508,77.0874,-193.4814
95785.0000,-0.1655,0.5415,0.3760,-37.7197,78.1860,-196.8994
95786.0000,-0.2305,0.4565,0.3745,-34.0576,78.3691,-199.2188
95787.0000,-0.3013,0.4092,0.3823,-29.4189,77.8809,-201.1719
95788.0000,-0.3882,0.4644,0.3862,-23.9868,75.1953,-202.1484
95789.0000,-0.4204,0.5552,0.3853,-23.0713,72.1436,-200.8667
95790.0000,-0.4380,0.5830,0.3940,-24.0479,69.5801,-197.2656
95791.0000,-0.4941,0.4575,0.4229,-22.4609,68.0542,-191.2842
95792.0000,-0.5815,0.3359,0.4277,-16.9678,68.1152,-187.8662
95793.0000,-0.7227,0.2603,0.4307,-10.1929,67.1387,-184.8755
95794.0000,-0.8921,0.2832,0.4453,0.2441,60.0586,-179.9927
95795.0000,-0.9443,0.4404,0.4243,5.0659,49.9878,-174.4995
95796.0000,-0.9087,0.6089,0.4185,4.9438,38.9404,-167.4805
95797.0000,-0.7700,0.6826,0.4062,0.5493,28.8696,-157.4707
95798.0000,-0.6782,0.6045,0.3931,-3.9673,26.4282,-150.6348
95799.0000,-0.6509,0.5210,0.3643,-5.5542,29.1748,-144.9585
95800.0000,-0.6802,0.4536,0.3364,-5.4932,32.7148,-138.3667
95801.0000,-0.7178,0.4536,0.3198,-5.4932,34.2407,-134.7656
95802.0000,-0.7407,0.4810,0.3096,-6.5308,34.4238,-132.2632
95803.0000,-0.7388,0.4902,0.3120,-8.8501,34.5459,-129.7607
95804.0000,-0.7305,0.4712,0.3091,-10.8643,35.7666,-127.3804
95805.0000,-0.7310,0.4434,0.3091,-13.0615,37.8418,-124.8779
95806.0000,-0.7866,0.4014,0.3086,-15.3198,41.7480,-122.1924
95807.0000,-0.8481,0.3818,0.3115,-16.6626,44.1895,-120.3613
95808.0000,-0.9150,0.3784,0.3164,-17.9443,45.7764,-118.9575
95809.0000,-1.0127,0.3750,0.3262,-20.5688,46.5698,-117.1265
95810.0000,-1.0747,0.3604,0.3262,-21.7285,46.2036,-114.5630
95811.0000,-1.1460,0.3330,0.3335,-23.2544,45.1050,-108.6426
95812.0000,-1.1758,0.3198,0.3530,-23.8037,42.4194,-101.8066
95813.0000,-1.2471,0.2925,0.3438,-23.8037,42.2363,-94.3604
95814.0000,-1.3257,0.2720,0.3525,-23.9258,39.3677,-81.8481
95815.0000,-1.3760,0.2676,0.3662,-23.3154,36.0107,-71.4111
95816.0000,-1.4136,0.2661,0.3662,-22.8271,31.9824,-60.6689
95817.0000,-1.4536,0.2549,0.3604,-23.0103,25.8789,-46.8140
95818.0000,-1.4580,0.2368,0.3511,-23.0713,21.0571,-36.9873
95819.0000,-1.4478,0.2090,0.3462,-22.5830,16.2354,-27.7100
95820.0000,-1.4160,0.1699,0.3394,-21.3623,10.3760,-16.0522
95821.0000,-1.3730,0.1509,0.3384,-19.9585,6.1035,-7.6904
95822.0000,-1.3091,0.1514,0.3428,-18.2495,2.2583,-0.4272
95823.0000,-1.2275,0.1587,0.3423,-16.3574,-0.6714,7.2632
95824.0000,-1.1826,0.1689,0.3530,-15.3198,-1.5259,11.9629
95825.0000,-1.1592,0.1680,0.3569,-14.2212,-1.7700,15.5640
95826.0000,-1.1514,0.1484,0.3540,-12.3291,-2.2583,19.4092
95827.0000,-1.1636,0.1406,0.3550,-10.4980,-3.2959,23.1934
95828.0000,-1.1807,0.1519,0.3604,-8.3008,-5.2490,28.5645
95829.0000,-1.1934,0.1763,0.3745,-5.2490,-9.3384,36.8042
95830.0000,-1.1938,0.1909,0.3823,-3.1738,-12.8784,43.0298
95831.0000,-1.1875,0.1938,0.3833,-0.7324,-16.6626,48.9502
95832.0000,-1.1782,0.1880,0.3696,2.0142,-21.7285,56.6406
95833.0000,-1.1719,0.1836,0.3647,4.3335,-25.5737,63.4766
95834.0000,-1.1597,0.2075,0.3696,6.3477,-29.2969,71.2280
95835.0000,-1.1494,0.2480,0.3784,8.7891,-33.7524,81.1157
95836.0000,-1.1426,0.2720,0.3809,10.1929,-36.9263,87.8296
95837.0000,-1.1240,0.2812,0.3809,11.1084,-39.9170,93.9331
95838.0000,-1.0928,0.2803,0.3716,11.8408,-43.5181,100.6470
95839.0000,-1.0752,0.2700,0.3735,12.7563,-45.9595,105.3467
95840.0000,-1.0610,0.2617,0.3721,14.2212,-48.2178,110.4126
95841.0000,-1.0347,0.2930,0.3740,16.1743,-51.6968,118.7744
95842.0000,-0.9995,0.3423,0.3838,17.0288,-54.0161,125.1831
95843.0000,-0.9482,0.3862,0.3926,17.0898,-55.7251,130.7373
95844.0000,-0.8950,0.3979,0.3999,17.3950,-56.0913,135.3149
95845.0000,-0.8735,0.3892,0.3945,17.8833,-54.9927,137.2070
95846.0000,-0.8657,0.3813,0.3857,18.4937,-53.9551,138.9160
95847.0000,-0.8652,0.3979,0.3843,19.7754,-53.3447,141.4795
95848.0000,-0.8550,0.4292,0.3823,20.3857,-54.4434,144.1040
95849.0000,-0.8398,0.4565,0.3892,20.8740,-55.6641,147.6440
95850.0000,-0.8003,0.4927,0.4092,21.6064,-57.8613,153.5034
95851.0000,-0.7544,0.5220,0.4087,21.7896,-59.1431,156.6772
95852.0000,-0.7061,0.5454,0.4038,21.4233,-59.8145,157.5928
95853.0000,-0.6587,0.5454,0.3984,20.8130,-59.0210,157.1045
95854.0000,-0.6475,0.5449,0.4014,20.6299,-57.8003,157.4097
95855.0000,-0.6587,0.5420,0.4033,20.8130,-57.0068,159.0576
95856.0000,-0.6758,0.5586,0.4219,22.2168,-58.1055,164.1846
95857.0000,-0.6279,0.5967,0.4233,22.7051,-61.4014,166.7480
95858.0000,-0.5537,0.6362,0.4121,22.2778,-63.7207,165.8325
95859.0000,-0.4507,0.6611,0.3887,20.5688,-63.5986,160.7666
95860.0000,-0.4033,0.6538,0.3804,18.9209,-60.9741,157.1655
95861.0000,-0.4238,0.6255,0.3896,18.4326,-57.3120,157.8369
95862.0000,-0.4497,0.6333,0.4214,19.7144,-56.8237,163.6963
95863.0000,-0.4258,0.6782,0.4087,19.8975,-59.2041,166.8701
95864.0000,-0.4028,0.7300,0.3950,18.7988,-60.7300,167.8467
95865.0000,-0.3647,0.7734,0.3735,15.1367,-61.4014,168.7622
95866.0000,-0.3306,0.7554,0.3740,12.8784,-61.7676,170.2881
95867.0000,-0.2832,0.6978,0.3809,11.9019,-61.8286,172.4854
95868.0000,-0.2144,0.6592,0.3911,13.4277,-62.0728,174.0723
95869.0000,-0.1616,0.6753,0.3984,14.7095,-61.6455,172.8516
95870.0000,-0.1133,0.7168,0.4097,15.1978,-61.0352,168.8843
95871.0000,-0.0347,0.7476,0.4023,15.2588,-60.0586,160.2783
95872.0000,0.0151,0.7524,0.3916,14.4043,-58.6548,153.6865
95873.0000,0.0664,0.7573,0.3877,13.7329,-56.6406,149.1699
95874.0000,0.1313,0.7671,0.4058,12.9395,-53.5278,144.7144
95875.0000,0.1660,0.7690,0.4155,13.1226,-50.7202,141.4795
95876.0000,0.1934,0.7583,0.4248,13.5498,-48.1567,137.5122
95877.0000,0.1982,0.7393,0.4316,14.7705,-44.6167,131.0425
95878.0000,0.1953,0.7500,0.4312,15.8691,-42.6025,126.0986
95879.0000,0.2075,0.7803,0.4312,16.9067,-41.6260,120.9106
95880.0000,0.2402,0.8174,0.4282,17.3950,-40.5884,113.8306
95881.0000,0.2744,0.8320,0.4229,17.3950,-39.6729,109.0698
95882.0000,0.3145,0.8359,0.4199,17.2119,-38.5132,104.3701
95883.0000,0.3682,0.8281,0.4282,17.4561,-35.8276,97.9614
95884.0000,0.3877,0.8140,0.4297,18.1274,-33.0811,93.1396
95885.0000,0.3926,0.8145,0.4326,19.1040,-30.3345,87.8906
95886.0000,0.3906,0.8306,0.4175,20.3857,-28.0151,81.9092
95887.0000,0.4053,0.8477,0.4146,20.4468,-27.8320,78.4912
95888.0000,0.4263,0.8652,0.4102,20.5078,-28.3813,75.7446
95889.0000,0.4785,0.8833,0.4106,20.4468,-29.1138,72.5708
95890.0000,0.5176,0.8931,0.4097,20.3857,-28.9307,69.7632
95891.0000,0.5527,0.9067,0.4014,20.0195,-27.7100,66.0400
