timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
87354.0000,0.2290,0.9585,0.3691,0.6714,4.0894,-12.1460
87355.0000,0.2271,0.9595,0.3647,0.6104,3.9062,-12.0850
87356.0000,0.2261,0.9653,0.3667,0.6714,3.7842,-12.1460
87357.0000,0.2290,0.9663,0.3652,0.7324,3.8452,-12.2070
87358.0000,0.2236,0.9648,0.3618,0.6714,4.0283,-12.5732
87359.0000,0.2207,0.9590,0.3589,0.7324,4.0894,-12.8174
87360.0000,0.2163,0.9565,0.3574,0.6104,3.9673,-12.8174
87361.0000,0.2124,0.9653,0.3594,0.7324,3.4790,-12.6343
87362.0000,0.2139,0.9751,0.3608,0.8545,3.2349,-12.6343
87363.0000,0.2173,0.9785,0.3633,0.4272,3.1128,-12.3291
87364.0000,0.2168,0.9800,0.3599,-0.0610,3.2959,-12.3901
87365.0000,0.2144,0.9780,0.3613,-0.3662,3.4790,-12.3291
87366.0000,0.2119,0.9731,0.3604,-0.6714,3.6011,-12.3291
87367.0000,0.2056,0.9678,0.3599,-1.0376,3.8452,-12.6953
87368.0000,0.2012,0.9697,0.3628,-1.2207,3.9062,-13.1226
87369.0000,0.2036,0.9678,0.3652,-1.2817,3.7231,-13.1836
87370.0000,0.2065,0.9648,0.3613,-1.4038,3.6011,-13.0005
87371.0000,0.2129,0.9629,0.3589,-1.3428,3.6011,-12.8174
87372.0000,0.2119,0.9639,0.3589,-1.2817,3.9062,-13.1836
87373.0000,0.2134,0.9697,0.3618,-1.1597,4.1504,-13.4888
87374.0000,0.2163,0.9717,0.3623,-1.2207,4.5166,-14.2822
87375.0000,0.2168,0.9692,0.3584,-1.3428,5.0659,-15.0757
87376.0000,0.2256,0.9688,0.3613,-1.5869,5.7373,-16.6016
87377.0000,0.2329,0.9731,0.3569,-1.7090,6.2866,-17.7612
87378.0000,0.2378,0.9727,0.3579,-1.8921,7.0190,-19.2871
87379.0000,0.2422,0.9727,0.3560,-2.1362,8.1787,-21.3623
87380.0000,0.2461,0.9707,0.3545,-2.3193,8.9722,-22.9492
87381.0000,0.2471,0.9717,0.3525,-2.5635,9.8267,-24.9023
87382.0000,0.2437,0.9727,0.3540,-3.0518,11.0474,-28.1372
87383.0000,0.2417,0.9790,0.3530,-3.2959,11.9629,-30.7617
87384.0000,0.2393,0.9819,0.3516,-3.9062,12.9395,-33.6304
87385.0000,0.2441,0.9893,0.3511,-5.0049,14.2212,-37.2925
87386.0000,0.2412,0.9893,0.3521,-6.1035,15.5640,-39.9170
87387.0000,0.2393,0.9883,0.3501,-7.0190,16.8457,-42.1753
87388.0000,0.2319,0.9800,0.3535,-8.3008,18.6768,-45.2271
87389.0000,0.2207,0.9756,0.3501,-9.0332,19.8364,-47.4243
87390.0000,0.2153,0.9761,0.3525,-9.7656,20.9351,-49.6216
87391.0000,0.1997,0.9771,0.3677,-10.7422,22.7051,-52.5513
87392.0000,0.1855,0.9751,0.3672,-11.3525,23.8037,-54.8096
87393.0000,0.1719,0.9668,0.3711,-12.0239,24.9023,-57.1289
87394.0000,0.1567,0.9619,0.3696,-12.6953,26.4893,-60.2417
87395.0000,0.1401,0.9590,0.3711,-13.0005,27.6489,-62.5000
87396.0000,0.1255,0.9575,0.3716,-13.3667,28.6865,-64.7583
87397.0000,0.1108,0.9507,0.3730,-13.9771,29.6021,-67.1997
87398.0000,0.0986,0.9463,0.3760,-14.3433,30.3955,-68.7256
87399.0000,0.0859,0.9468,0.3740,-14.5264,31.3110,-70.1294
87400.0000,0.0674,0.9536,0.3774,-15.1978,32.6538,-72.0825
87401.0000,0.0479,0.9531,0.3818,-15.9912,33.6914,-73.6694
87402.0000,0.0303,0.9507,0.3892,-16.5405,34.5459,-75.1953
87403.0000,0.0063,0.9468,0.3931,-17.4561,35.5225,-77.0874
87404.0000,-0.0098,0.9468,0.3911,-18.3105,36.0718,-78.2471
87405.0000,-0.0244,0.9448,0.3926,-18.9209,36.7432,-79.4067
87406.0000,-0.0488,0.9312,0.3926,-19.7754,37.5366,-80.6885
87407.0000,-0.0693,0.9150,0.3955,-19.9585,38.0859,-81.2378
87408.0000,-0.0898,0.9028,0.3896,-20.0806,38.2080,-81.7261
87409.0000,-0.1079,0.8931,0.3892,-19.9585,37.9639,-81.9702
87410.0000,-0.1201,0.8926,0.3896,-19.8975,37.5977,-82.0923
87411.0000,-0.1235,0.8989,0.3882,-19.6533,37.4756,-82.2754
87412.0000,-0.1270,0.9106,0.3931,-19.9585,37.7197,-82.7026
87413.0000,-0.1328,0.9116,0.3979,-20.7520,38.2690,-83.3740
87414.0000,-0.1416,0.8999,0.4014,-21.3623,39.3066,-84.3506
87415.0000,-0.1689,0.8740,0.3960,-21.7896,40.7715,-85.8154
87416.0000,-0.2002,0.8535,0.3984,-21.9116,41.4429,-86.8530
87417.0000,-0.2319,0.8374,0.3979,-21.6064,41.3818,-88.0737
87418.0000,-0.2656,0.8428,0.4028,-21.5454,40.5884,-89.5996
87419.0000,-0.2822,0.8643,0.4155,-21.7896,39.7339,-90.5151
87420.0000,-0.3057,0.8735,0.4272,-23.0103,38.6353,-91.7358
87421.0000,-0.3179,0.8579,0.4229,-23.7427,38.0249,-92.7734
87422.0000,-0.3271,0.8262,0.4209,-24.1089,37.8418,-93.4448
87423.0000,-0.3433,0.7920,0.4170,-24.2920,37.2314,-94.1772
87424.0000,-0.3628,0.7705,0.4199,-23.5596,37.2314,-94.2993
87425.0000,-0.3901,0.7593,0.4233,-23.0103,36.9873,-93.8721
87426.0000,-0.4395,0.7529,0.4355,-21.9727,36.0718,-92.7734
87427.0000,-0.4922,0.7646,0.4443,-21.1182,35.2783,-91.6138
87428.0000,-0.5342,0.7705,0.4463,-19.9585,34.1187,-90.2710
87429.0000,-0.5625,0.7666,0.4434,-18.7988,31.4941,-87.8906
87430.0000,-0.5659,0.7539,0.4380,-18.1274,28.7476,-85.3271
87431.0000,-0.5444,0.7373,0.4370,-17.0898,26.0620,-81.9702
87432.0000,-0.5122,0.7168,0.4404,-15.8081,24.0479,-77.5146
87433.0000,-0.5054,0.7124,0.4419,-14.7095,23.6816,-74.7681
87434.0000,-0.5063,0.7124,0.4482,-13.9771,23.6206,-72.9370
87435.0000,-0.5234,0.7285,0.4473,-13.9771,24.1089,-72.1436
87436.0000,-0.5303,0.7480,0.4414,-14.7095,24.7192,-72.2046
87437.0000,-0.5439,0.7446,0.4414,-15.8081,25.6348,-72.9980
87438.0000,-0.5601,0.6919,0.4380,-16.6016,26.3672,-73.4863
87439.0000,-0.5728,0.6562,0.4312,-16.1133,26.9165,-73.6694
87440.0000,-0.5879,0.6328,0.4287,-15.0146,26.9165,-73.7915
87441.0000,-0.5967,0.6211,0.4355,-13.2446,26.1230,-73.7305
87442.0000,-0.6025,0.6196,0.4360,-12.0239,25.0854,-73.3643
87443.0000,-0.6045,0.6221,0.4365,-11.1084,24.1699,-73.3032
87444.0000,-0.6260,0.6270,0.4395,-10.3149,23.8647,-73.3032
87445.0000,-0.6465,0.6250,0.4395,-9.8877,23.5596,-73.6084
87446.0000,-0.6611,0.6187,0.4360,-9.6436,22.8271,-73.8525
87447.0000,-0.6665,0.6050,0.4404,-9.6436,21.5454,-73.7305
87448.0000,-0.6621,0.5874,0.4424,-9.4604,20.7520,-72.9370
