timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
6088.0000,-0.1147,0.9492,0.4312,0.5493,1.6479,2.5024
6089.0000,-0.1084,0.9541,0.4351,0.2441,1.4648,3.4180
6090.0000,-0.1021,0.9556,0.4316,0.1221,1.3428,4.0894
6091.0000,-0.0991,0.9565,0.4312,-0.1831,1.4648,4.5776
6092.0000,-0.0957,0.9565,0.4282,-0.3662,1.6479,4.6997
6093.0000,-0.0991,0.9502,0.4316,-0.6104,1.8921,4.2114
6094.0000,-0.1025,0.9536,0.4312,-0.6104,2.1973,3.1738
6095.0000,-0.1143,0.9556,0.4263,-0.1221,2.5635,1.6479
6096.0000,-0.1118,0.9473,0.4263,-0.6104,2.0142,1.0986
6097.0000,-0.1104,0.9512,0.4243,-0.7935,1.8921,0.7324
6098.0000,-0.1069,0.9521,0.4238,-0.5493,1.9531,1.0376
6099.0000,-0.1030,0.9546,0.4243,-0.6104,2.0752,1.4648
6100.0000,-0.1060,0.9551,0.4224,-0.5493,2.0752,2.1973
6101.0000,-0.1069,0.9580,0.4243,-0.7324,1.8921,3.4180
6102.0000,-0.1035,0.9619,0.4277,-0.8545,1.7090,4.2725
6103.0000,-0.1045,0.9639,0.4292,-0.8545,1.2817,5.1880
6104.0000,-0.1055,0.9565,0.4277,-0.6714,0.9766,5.4932
6105.0000,-0.1084,0.9507,0.4233,-0.5493,0.6714,5.1270
6106.0000,-0.1064,0.9473,0.4175,-0.3052,0.4272,4.6387
6107.0000,-0.0986,0.9507,0.4194,-0.2441,0.4883,4.3335
6108.0000,-0.0933,0.9624,0.4233,-0.6714,0.8545,3.8452
6109.0000,-0.0898,0.9668,0.4229,-1.0986,1.4648,3.8452
6110.0000,-0.0889,0.9673,0.4233,-1.7700,1.9531,4.1504
6111.0000,-0.0918,0.9624,0.4238,-2.1362,2.5024,4.5776
6112.0000,-0.0918,0.9624,0.4238,-2.3804,3.2349,5.6152
6113.0000,-0.0972,0.9604,0.4253,-2.4414,3.7842,6.2256
6114.0000,-0.0923,0.9551,0.4185,-2.6245,4.2114,6.8359
6115.0000,-0.0811,0.9541,0.4170,-2.8687,5.2490,8.0566
6116.0000,-0.0713,0.9561,0.4199,-3.2959,6.4697,9.1553
6117.0000,-0.0649,0.9590,0.4243,-3.7842,7.5073,10.5591
6118.0000,-0.0557,0.9551,0.4263,-4.3335,9.2163,12.3291
6119.0000,-0.0527,0.9536,0.4292,-4.8828,10.4980,13.6108
6120.0000,-0.0479,0.9565,0.4404,-5.2490,11.8408,14.6484
6121.0000,-0.0371,0.9512,0.4395,-5.6763,13.7329,15.3809
6122.0000,-0.0312,0.9453,0.4380,-5.8594,15.7471,15.9912
6123.0000,-0.0244,0.9429,0.4390,-6.0425,18.0664,16.3574
6124.0000,-0.0332,0.9458,0.4443,-6.2256,21.3013,16.9067
6125.0000,-0.0435,0.9448,0.4453,-6.3477,23.1934,17.5171
6126.0000,-0.0557,0.9390,0.4473,-6.5918,24.6582,18.0664
6127.0000,-0.0566,0.9375,0.4492,-6.8359,26.4893,18.3105
6128.0000,-0.0542,0.9346,0.4478,-6.9580,27.8931,18.5547
6129.0000,-0.0537,0.9365,0.4512,-6.9580,29.3579,18.7378
6130.0000,-0.0513,0.9385,0.4531,-7.0801,31.6772,19.1650
6131.0000,-0.0498,0.9360,0.4502,-7.0190,33.7524,19.4702
6136.0000,-0.1353,0.9429,0.4453,-4.6997,39.2456,19.0430
6142.0000,-0.1089,0.9624,0.4492,-6.8359,35.8887,23.4375
6148.0000,-0.0791,0.9536,0.4590,-5.9204,28.7476,23.8037
