timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
46190.0000,0.1172,0.9492,0.4609,1.3428,2.5635,-0.3662
46191.0000,0.1133,0.9463,0.4585,1.2817,3.1128,-0.1221
46192.0000,0.1021,0.9443,0.4565,1.7090,3.9062,-0.6104
46193.0000,0.0933,0.9409,0.4551,2.0142,4.1504,-0.7324
46194.0000,0.0864,0.9424,0.4561,2.3193,3.9673,-1.0986
46195.0000,0.0854,0.9521,0.4546,2.4414,3.7231,-1.5259
46196.0000,0.0938,0.9536,0.4575,2.5635,3.6011,-1.8311
46197.0000,0.0962,0.9526,0.4531,2.4414,3.7842,-2.3193
46198.0000,0.0981,0.9561,0.4512,2.4414,4.3945,-2.7466
46199.0000,0.0933,0.9570,0.4541,2.1973,4.6387,-2.5635
46200.0000,0.0879,0.9600,0.4517,2.1973,5.0049,-2.6245
46201.0000,0.0796,0.9580,0.4512,2.0142,5.0049,-2.6245
46202.0000,0.0723,0.9600,0.4453,1.8311,4.7607,-2.5635
46203.0000,0.0732,0.9648,0.4482,1.5259,4.3945,-2.3804
46204.0000,0.0801,0.9639,0.4502,1.1597,4.0283,-2.0142
46205.0000,0.0801,0.9600,0.4463,0.7324,4.0283,-1.8921
46206.0000,0.0825,0.9565,0.4463,0.4883,4.0894,-1.7090
46207.0000,0.0796,0.9614,0.4502,0.3662,4.3945,-1.3428
46208.0000,0.0752,0.9609,0.4507,0.2441,4.2725,-0.9155
46209.0000,0.0767,0.9570,0.4468,0.1831,4.2114,-0.5493
46210.0000,0.0845,0.9590,0.4517,0.1221,4.0894,-0.1831
46211.0000,0.0942,0.9585,0.4502,-0.1221,4.3945,0.1831
46212.0000,0.1035,0.9561,0.4463,-0.1831,5.0659,0.6104
46213.0000,0.1123,0.9536,0.4507,-0.1831,6.4087,1.1597
46214.0000,0.1177,0.9531,0.4502,-0.1221,7.6904,1.4648
46215.0000,0.1245,0.9551,0.4458,0.0610,9.0942,1.9531
46216.0000,0.1333,0.9521,0.4438,0.1831,11.1084,2.6855
46217.0000,0.1494,0.9536,0.4438,0.3052,13.1226,3.2959
46218.0000,0.1816,0.9546,0.4380,0.6104,16.9067,4.5776
46219.0000,0.2046,0.9536,0.4385,0.9155,20.8130,5.7373
46220.0000,0.2266,0.9531,0.4351,1.2207,25.6958,7.2021
46221.0000,0.2529,0.9526,0.4272,1.5869,33.2031,9.7046
46222.0000,0.2739,0.9561,0.4292,1.6479,39.4287,11.7798
46223.0000,0.3115,0.9648,0.4229,1.6479,46.5698,14.5264
46224.0000,0.3711,0.9678,0.4155,1.3428,58.2886,19.1040
46225.0000,0.4175,0.9736,0.4033,0.7935,69.0308,23.0103
46226.0000,0.4585,0.9727,0.3970,-0.2441,81.1157,27.2217
46227.0000,0.5039,0.9609,0.3594,1.6479,100.5249,33.0200
46228.0000,0.5371,0.9722,0.3384,1.5259,116.1499,38.3911
46229.0000,0.5767,0.9849,0.3125,2.3804,133.0566,44.4336
46230.0000,0.6206,1.0288,0.2686,0.9155,157.1045,53.6499
46231.0000,0.6431,1.0425,0.2441,0.2441,177.0020,61.1572
46232.0000,0.6665,1.0552,0.2124,-0.5493,197.9370,69.1528
46233.0000,0.6851,1.0732,0.1362,-2.3193,226.1353,82.2144
46234.0000,0.7026,1.1167,0.0742,-4.3335,247.1313,92.6514
46235.0000,0.7095,1.1543,0.0176,-6.9580,268.6768,102.4780
46236.0000,0.6514,1.1777,-0.0674,-9.0942,298.4009,113.1592
46237.0000,0.5449,1.1543,-0.1123,-11.5356,317.9932,119.2627
46238.0000,0.4253,1.1436,-0.1348,-12.8784,333.3740,124.1455
46239.0000,0.3506,1.1660,-0.1733,-15.0146,347.1680,130.3101
46240.0000,0.3696,1.1758,-0.2163,-16.6016,355.7129,135.0708
46241.0000,0.3813,1.1729,-0.2495,-17.7002,366.0889,138.7939
46242.0000,0.3081,1.1455,-0.2744,-17.7002,380.0659,141.4795
46243.0000,0.1743,1.0908,-0.2578,-15.5029,387.3291,140.0757
46244.0000,-0.0029,1.0278,-0.2266,-11.9019,389.5874,135.1929
46245.0000,-0.2393,0.9580,-0.1938,-5.3711,382.8125,126.0376
46246.0000,-0.3359,0.9663,-0.1440,-0.4272,371.1548,118.9575
46247.0000,-0.3521,1.0142,-0.0708,3.9673,357.6660,110.9619
46248.0000,-0.3911,1.0342,0.0171,8.1787,341.9189,98.9990
46249.0000,-0.5000,1.0127,0.0830,10.4370,329.2236,88.9282
46250.0000,-0.6602,1.0088,0.1587,11.9629,312.1338,77.5146
46251.0000,-0.9272,1.0669,0.2759,11.8408,279.7852,60.3638
46252.0000,-1.1372,1.1348,0.3545,9.7046,246.4600,47.3633
46253.0000,-1.3086,1.1812,0.4175,5.4932,204.4067,35.7056
46254.0000,-1.3999,1.1675,0.4756,-2.3193,137.8784,23.6206
46255.0000,-1.3110,1.0981,0.5156,-6.9580,86.4868,17.0898
46256.0000,-1.0820,1.0215,0.5493,-9.3994,40.5273,11.6577
46257.0000,-0.6919,0.9551,0.5693,-9.3384,-4.4556,3.9673
46258.0000,-0.3960,0.9302,0.5679,-7.9346,-24.6582,-0.3052
46259.0000,-0.1240,0.9072,0.5601,-6.2256,-32.6538,-2.1973
