timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
49335.0000,0.1133,0.9707,0.3848,0.1831,3.8452,-0.6714
49336.0000,0.1191,0.9761,0.3853,-0.0610,3.7842,-0.5493
49337.0000,0.1284,0.9766,0.3843,-0.1831,3.8452,-0.0610
49338.0000,0.1348,0.9751,0.3862,-0.2441,4.0894,0.1831
49339.0000,0.1323,0.9741,0.3906,-0.4883,4.6997,0.6104
49340.0000,0.1299,0.9712,0.3896,-0.5493,4.9438,0.6714
49341.0000,0.1235,0.9668,0.3882,-0.4883,5.1270,0.7935
49342.0000,0.1206,0.9678,0.3906,-0.1221,5.1270,0.4883
49343.0000,0.1235,0.9678,0.3931,0.0610,4.9438,0.3052
49344.0000,0.1284,0.9702,0.3926,0.0000,4.8828,0.2441
49345.0000,0.1362,0.9688,0.3950,0.0000,5.2490,0.3052
49346.0000,0.1406,0.9663,0.3975,0.1221,5.4932,0.5493
49347.0000,0.1421,0.9634,0.3945,0.2441,5.7983,1.0376
49348.0000,0.1323,0.9565,0.3940,0.5493,6.0425,1.5259
49349.0000,0.1279,0.9536,0.3896,1.0376,6.0425,1.7700
49350.0000,0.1270,0.9517,0.3872,1.7090,5.9814,1.7700
49351.0000,0.1274,0.9604,0.3882,2.1973,5.9204,1.4038
49352.0000,0.1265,0.9697,0.3896,2.3804,5.7983,1.2817
49353.0000,0.1313,0.9771,0.3921,2.1973,5.6763,1.0376
49354.0000,0.1411,0.9834,0.3906,1.5259,5.6152,0.9155
49355.0000,0.1528,0.9834,0.3892,1.0376,5.9814,1.0376
49356.0000,0.1626,0.9785,0.3867,0.7324,6.8359,1.2207
49357.0000,0.1680,0.9702,0.3833,0.4272,8.4229,1.4648
49358.0000,0.1709,0.9673,0.3843,0.4272,9.8877,1.6479
49359.0000,0.1782,0.9741,0.3857,0.6714,11.2915,1.9531
49360.0000,0.2095,0.9819,0.3853,0.1221,13.9771,2.6855
49361.0000,0.2485,0.9844,0.3804,-0.4272,17.0898,3.9062
49362.0000,0.2935,0.9795,0.3774,-0.6714,21.7896,5.7373
49363.0000,0.3276,0.9673,0.3701,-0.4272,30.6396,8.1177
49364.0000,0.3193,0.9658,0.3633,-0.0610,37.8418,9.8267
49365.0000,0.3052,0.9673,0.3677,0.3662,44.5557,11.9019
49366.0000,0.3164,0.9702,0.3647,0.3052,52.7344,14.5264
49367.0000,0.3574,0.9795,0.3584,0.0000,59.6924,16.8457
49368.0000,0.4126,0.9912,0.3545,-0.5493,68.2983,19.8364
49369.0000,0.4731,1.0010,0.3457,-1.5869,82.7026,24.2310
49370.0000,0.4990,0.9839,0.3350,-1.4038,95.4590,27.7710
49371.0000,0.5093,0.9790,0.3125,-1.6479,108.8257,31.9214
49372.0000,0.5288,0.9863,0.2896,-1.5259,127.0142,38.5742
49373.0000,0.5483,0.9937,0.2700,-1.2817,141.4185,44.0674
49374.0000,0.5586,0.9995,0.2432,-0.6104,156.4331,49.6826
49375.0000,0.5420,1.0210,0.2119,-1.4038,176.2085,57.4341
49376.0000,0.5176,1.0225,0.2051,-1.4038,190.1245,62.8662
49377.0000,0.4829,1.0186,0.1787,-0.6104,203.1860,67.8711
49378.0000,0.4419,1.0356,0.1460,-1.2817,218.1396,73.7915
49379.0000,0.4399,1.0562,0.1270,-1.8921,228.6987,77.6978
49380.0000,0.4551,1.0752,0.1055,-2.7466,239.6240,81.2988
49381.0000,0.4614,1.1030,0.0659,-4.4556,255.0049,86.3647
49382.0000,0.4419,1.1016,0.0483,-5.6763,266.5405,89.2944
49383.0000,0.3477,1.0659,0.0376,-7.0801,279.4800,91.6748
49384.0000,0.2798,1.0273,0.0322,-6.9580,286.0718,92.8345
49385.0000,0.2612,1.0190,0.0156,-6.2256,290.2832,93.9941
49386.0000,0.3022,1.0513,-0.0088,-5.3101,296.2646,95.7031
49387.0000,0.3232,1.0742,-0.0273,-5.2490,302.3682,97.2900
49388.0000,0.3184,1.0732,-0.0376,-5.1880,309.6924,98.8159
49389.0000,0.2646,1.0273,-0.0591,-4.0894,318.9087,101.0132
49390.0000,0.1997,1.0044,-0.0693,-2.1973,323.7305,102.2949
49391.0000,0.1284,0.9985,-0.0601,0.5493,325.8057,102.9663
49392.0000,0.0112,0.9731,-0.0088,5.5542,324.8291,101.5625
49393.0000,-0.0942,0.9512,0.0273,9.6436,320.4956,98.2666
