timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
42169.0000,0.1562,0.9678,0.4038,0.8545,7.3242,0.2441
42170.0000,0.1558,0.9644,0.3975,0.8545,7.2021,0.0610
42171.0000,0.1582,0.9644,0.3965,0.9155,7.1411,-0.1221
42172.0000,0.1602,0.9663,0.3940,0.8545,7.5684,-0.3662
42173.0000,0.1597,0.9644,0.3960,0.9766,7.6904,-0.3662
42174.0000,0.1582,0.9648,0.3984,0.7935,7.8125,-0.3052
42175.0000,0.1514,0.9663,0.4009,0.8545,7.7515,-0.1221
42176.0000,0.1460,0.9688,0.3975,0.7935,7.5073,-0.1831
42177.0000,0.1426,0.9653,0.3979,0.8545,7.0801,-0.1831
42178.0000,0.1416,0.9644,0.3940,0.7935,6.6528,-0.3662
42179.0000,0.1445,0.9668,0.3970,0.7324,6.1646,-0.4883
42180.0000,0.1450,0.9717,0.3979,0.5493,5.9814,-0.4272
42181.0000,0.1533,0.9722,0.4004,0.2441,5.8594,-0.1221
42182.0000,0.1538,0.9712,0.3970,0.0000,5.7983,0.0610
42183.0000,0.1519,0.9629,0.3960,-0.1221,5.6152,0.2441
42184.0000,0.1514,0.9624,0.3936,0.0000,5.4932,0.3662
42185.0000,0.1519,0.9678,0.3979,0.1831,5.6152,0.1831
42186.0000,0.1499,0.9692,0.3960,0.3052,5.5542,0.1831
42187.0000,0.1558,0.9683,0.3950,0.0610,5.7373,0.0610
42188.0000,0.1597,0.9688,0.3950,0.0610,5.9204,-0.1221
42189.0000,0.1689,0.9692,0.3979,-0.0610,6.4697,0.0610
42190.0000,0.1738,0.9707,0.3940,-0.1831,7.1411,0.0000
42191.0000,0.1738,0.9668,0.3955,-0.1831,7.9956,0.3052
42192.0000,0.1777,0.9634,0.3975,-0.1221,9.3384,0.4272
42193.0000,0.1826,0.9609,0.3970,-0.0610,10.2539,0.6104
42194.0000,0.1948,0.9614,0.3945,0.0000,11.5356,0.9155
42195.0000,0.2144,0.9639,0.3950,-0.0610,13.9771,1.5869
42196.0000,0.2271,0.9634,0.3955,0.1221,16.4185,2.3804
42197.0000,0.2295,0.9614,0.3936,0.1831,19.2871,3.2349
42198.0000,0.2212,0.9609,0.3936,0.3662,23.0103,4.4556
42199.0000,0.2100,0.9639,0.3901,0.3662,25.3296,5.4321
42200.0000,0.2036,0.9619,0.3921,0.5493,27.4658,6.2256
42201.0000,0.2085,0.9668,0.3940,0.6104,29.9072,7.0190
42202.0000,0.2168,0.9712,0.3936,0.6104,32.2266,7.6904
42203.0000,0.2246,0.9746,0.3965,0.1831,34.5459,8.4839
42204.0000,0.2271,0.9766,0.3950,0.0000,38.2080,9.3994
42205.0000,0.2183,0.9717,0.3975,-0.1831,40.8325,9.9487
42206.0000,0.2041,0.9702,0.3975,-0.3052,42.9688,10.6201
42207.0000,0.1973,0.9663,0.3994,-0.6714,45.3491,11.4136
42208.0000,0.2021,0.9707,0.3989,-0.8545,47.0581,11.8408
42209.0000,0.2144,0.9707,0.3970,-0.8545,49.1333,12.3291
42210.0000,0.2202,0.9673,0.3960,-1.0986,52.2461,13.0005
42211.0000,0.2153,0.9629,0.3926,-1.1597,54.8706,13.6719
42212.0000,0.2007,0.9644,0.3955,-1.0376,57.0068,14.4653
42213.0000,0.1821,0.9609,0.3955,-0.9766,58.9600,15.1367
42214.0000,0.1743,0.9604,0.3960,-0.4883,60.0586,15.5029
42215.0000,0.1772,0.9585,0.3994,-0.4272,61.0352,15.6860
42216.0000,0.1880,0.9619,0.4009,-0.4883,62.7441,16.0522
42217.0000,0.1890,0.9595,0.3994,-0.3662,64.3311,16.4795
42218.0000,0.1870,0.9551,0.3965,0.2441,65.9790,17.3950
42219.0000,0.1685,0.9575,0.3989,0.3662,67.5659,18.5547
42220.0000,0.1558,0.9609,0.4023,0.4883,68.1152,19.8364
42221.0000,0.1479,0.9590,0.4058,0.4272,68.1152,20.8740
42222.0000,0.1572,0.9541,0.4072,1.0376,68.2983,22.5220
42223.0000,0.1699,0.9482,0.4087,1.0986,68.9087,23.9258
42224.0000,0.1841,0.9463,0.4097,1.2207,69.7632,25.8789
42225.0000,0.1987,0.9487,0.4087,2.0142,71.6553,28.8086
42226.0000,0.2065,0.9487,0.4106,2.3193,73.3643,31.0669
42227.0000,0.2100,0.9497,0.4072,3.2349,75.4395,33.2031
42228.0000,0.2134,0.9487,0.4009,4.0894,78.4302,35.5835
42229.0000,0.2144,0.9551,0.4014,4.6387,80.8105,36.8652
42230.0000,0.2153,0.9604,0.4014,4.8218,83.2520,38.0859
42231.0000,0.2104,0.9595,0.3984,5.7373,86.3037,38.6963
42232.0000,0.1973,0.9575,0.3960,6.0425,88.1958,38.6963
42233.0000,0.1821,0.9575,0.3960,6.6528,89.7217,38.2690
42234.0000,0.1807,0.9683,0.3989,6.8359,90.9424,37.4146
42235.0000,0.1904,0.9707,0.3965,6.5308,91.7969,37.1094
42236.0000,0.2031,0.9712,0.3945,6.2866,93.0786,37.1094
42237.0000,0.2100,0.9697,0.3936,6.1646,94.9707,37.4756
42238.0000,0.2046,0.9678,0.3936,5.9814,96.2524,37.8418
42239.0000,0.1890,0.9580,0.3896,6.5918,97.2900,37.5977
42240.0000,0.1699,0.9546,0.3960,7.0190,97.7783,36.4990
42241.0000,0.1660,0.9521,0.3955,7.6294,97.6562,35.3394
42242.0000,0.1646,0.9541,0.3965,8.0566,97.4731,34.3018
42243.0000,0.1694,0.9551,0.3975,8.3618,96.9849,32.9590
42244.0000,0.1743,0.9561,0.4019,8.6060,96.7407,32.3486
42245.0000,0.1729,0.9536,0.3994,8.8501,96.4355,31.7383
42246.0000,0.1636,0.9507,0.3970,9.5215,96.1304,30.7007
42247.0000,0.1460,0.9521,0.4019,9.8877,95.5200,29.7852
42248.0000,0.1143,0.9565,0.4043,10.2539,93.9941,28.3203
42249.0000,0.0703,0.9590,0.4170,10.3149,90.2100,26.0010
42250.0000,0.0430,0.9556,0.4253,10.2539,86.1816,23.8647
42251.0000,0.0298,0.9561,0.4312,10.1318,81.1768,21.4233
42252.0000,0.0444,0.9561,0.4360,9.6436,74.2188,18.5547
42253.0000,0.0693,0.9497,0.4312,9.7046,69.8242,16.9067
42254.0000,0.1030,0.9390,0.4287,10.0708,66.2842,15.9302
42255.0000,0.1274,0.9380,0.4302,10.4980,63.2324,15.3198
42256.0000,0.1313,0.9448,0.4336,10.6812,61.6455,15.3198
42257.0000,0.1367,0.9502,0.4351,10.8032,60.1196,15.1978
42258.0000,0.1450,0.9487,0.4307,10.8643,58.7158,15.5029
42259.0000,0.1553,0.9429,0.4302,10.9863,58.1055,15.8081
42260.0000,0.1655,0.9434,0.4277,11.2915,57.6172,16.1743
42261.0000,0.1812,0.9404,0.4219,11.9629,57.8003,16.4795
42262.0000,0.1929,0.9438,0.4185,12.2681,58.4106,16.6016
42263.0000,0.2085,0.9458,0.4165,12.6953,59.5093,17.1509
42264.0000,0.2227,0.9585,0.4097,13.1226,61.9507,17.7002
42265.0000,0.2227,0.9639,0.4062,13.2446,64.2700,18.0054
42266.0000,0.2139,0.9683,0.4072,12.9395,66.4673,18.1274
42267.0000,0.1914,0.9663,0.4019,12.7563,68.4204,18.4326
42268.0000,0.1846,0.9678,0.4014,12.3901,69.3359,18.5547
42269.0000,0.1855,0.9717,0.3999,12.1460,70.0073,18.7378
42270.0000,0.1826,0.9771,0.3965,11.5967,71.1060,18.8599
42271.0000,0.1772,0.9785,0.3984,11.1694,71.7773,18.9209
42272.0000,0.1660,0.9761,0.3950,10.6201,72.3267,18.8599
42273.0000,0.1499,0.9761,0.3960,9.7046,72.4487,18.4937
42274.0000,0.1338,0.9775,0.4014,9.2773,72.0825,18.0664
42275.0000,0.1245,0.9814,0.4058,8.7280,71.3501,17.5171
42276.0000,0.1084,0.9761,0.4048,8.0566,69.6411,17.0898
42277.0000,0.0986,0.9595,0.4097,7.6904,67.9932,16.7847
42278.0000,0.0942,0.9507,0.4072,7.6904,65.9180,17.2729
42279.0000,0.1094,0.9512,0.4160,8.0566,63.1104,18.7988
42280.0000,0.1313,0.9663,0.4146,7.8735,61.5845,20.3247
42281.0000,0.1450,0.9790,0.4165,7.3853,61.0352,21.4233
42282.0000,0.1372,0.9839,0.4214,6.4087,61.2793,21.3623
42283.0000,0.1172,0.9810,0.4253,5.7983,61.2793,20.5078
42284.0000,0.0957,0.9741,0.4272,5.1270,60.1196,19.1040
42285.0000,0.0903,0.9653,0.4253,4.9438,58.4106,18.2495
42286.0000,0.1021,0.9629,0.4248,4.8218,56.7017,17.5171
42287.0000,0.1177,0.9619,0.4209,4.8218,54.9316,17.1509
42288.0000,0.1230,0.9668,0.4175,4.6387,54.3213,16.9067
42289.0000,0.1216,0.9741,0.4199,4.3945,53.7720,16.4795
42290.0000,0.1099,0.9829,0.4214,3.4180,52.7344,15.4419
42291.0000,0.1069,0.9790,0.4199,2.8076,51.5137,14.3433
42292.0000,0.1147,0.9741,0.4194,2.2583,50.2930,13.4888
42293.0000,0.1309,0.9683,0.4229,1.4648,49.1333,12.6953
42294.0000,0.1450,0.9565,0.4214,1.3428,48.7671,12.8174
42295.0000,0.1587,0.9370,0.4224,1.4038,48.7061,13.3057
42296.0000,0.1763,0.9126,0.4316,2.4414,49.8657,14.1602
42297.0000,0.1948,0.9253,0.4268,3.6621,51.0864,15.1367
42298.0000,0.2134,0.9507,0.4292,4.0283,52.9785,15.5029
42299.0000,0.2129,0.9609,0.4326,4.2114,56.6406,15.5640
42300.0000,0.1885,0.9609,0.4263,4.3335,59.1431,15.0757
42301.0000,0.1504,0.9556,0.4243,4.5166,60.6079,14.0381
42302.0000,0.1064,0.9497,0.4224,4.7607,59.9976,12.8784
