timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
52750.0000,0.0474,0.9595,0.4175,2.9297,-4.8828,-0.6104
52751.0000,0.0420,0.9609,0.4199,3.2959,-4.2725,-0.7324
52752.0000,0.0371,0.9600,0.4209,3.4180,-4.0283,-0.9155
52753.0000,0.0371,0.9639,0.4180,3.4790,-3.7231,-1.0986
52754.0000,0.0381,0.9653,0.4189,3.5400,-3.6621,-1.0986
52755.0000,0.0371,0.9697,0.4185,3.3569,-3.4790,-1.0986
52756.0000,0.0352,0.9727,0.4160,2.9907,-3.2349,-0.9155
52757.0000,0.0312,0.9731,0.4185,2.9297,-3.0518,-1.2207
52758.0000,0.0288,0.9717,0.4160,2.6245,-3.1738,-1.4038
52759.0000,0.0322,0.9697,0.4126,2.3193,-3.4790,-1.7090
52760.0000,0.0361,0.9692,0.4126,2.0752,-3.5400,-1.7700
52761.0000,0.0337,0.9678,0.4141,2.0142,-3.4790,-1.8311
52762.0000,0.0259,0.9707,0.4106,1.7700,-3.6621,-2.0142
52763.0000,0.0220,0.9717,0.4150,1.8311,-3.7842,-2.0752
52764.0000,0.0181,0.9722,0.4121,1.5869,-4.0894,-2.2583
52765.0000,0.0205,0.9751,0.4141,1.4038,-4.6997,-2.3804
52766.0000,0.0254,0.9751,0.4165,0.9766,-5.1880,-2.3193
52767.0000,0.0283,0.9741,0.4150,0.6104,-5.4321,-2.2583
52768.0000,0.0308,0.9692,0.4141,0.2441,-5.4932,-2.3804
52769.0000,0.0317,0.9688,0.4199,0.1831,-5.5542,-2.6245
52770.0000,0.0322,0.9673,0.4185,0.0610,-5.5542,-2.8687
52771.0000,0.0356,0.9634,0.4155,0.0610,-5.7983,-2.9297
52772.0000,0.0391,0.9629,0.4189,0.0000,-5.6152,-3.1128
52773.0000,0.0391,0.9658,0.4155,0.1831,-5.4932,-3.3569
52774.0000,0.0381,0.9634,0.4185,0.3052,-5.3711,-3.2959
52775.0000,0.0396,0.9639,0.4175,0.4883,-5.3101,-3.5400
52776.0000,0.0396,0.9658,0.4146,0.4883,-5.2490,-3.5400
52777.0000,0.0405,0.9678,0.4165,0.5493,-5.0049,-3.8452
52778.0000,0.0400,0.9668,0.4097,0.6104,-4.6997,-4.0283
52779.0000,0.0415,0.9668,0.4102,0.4883,-4.5166,-4.1504
52780.0000,0.0410,0.9692,0.4165,0.4883,-4.0894,-4.1504
52781.0000,0.0400,0.9692,0.4102,0.4272,-4.0283,-4.0283
52782.0000,0.0376,0.9644,0.4087,0.4272,-3.9673,-3.7231
52783.0000,0.0347,0.9653,0.4116,0.6104,-3.7842,-3.2959
52784.0000,0.0356,0.9702,0.4111,0.5493,-3.8452,-2.9297
52785.0000,0.0371,0.9746,0.4136,0.3052,-3.4790,-2.6245
52786.0000,0.0337,0.9775,0.4141,-0.0610,-3.1128,-2.5635
52787.0000,0.0259,0.9756,0.4155,-0.1831,-3.1128,-2.3193
52788.0000,0.0215,0.9727,0.4160,-0.3052,-3.4180,-2.3804
52789.0000,0.0195,0.9668,0.4150,-0.4272,-3.9062,-2.5024
52790.0000,0.0186,0.9634,0.4126,-0.3662,-4.3335,-2.3804
52791.0000,0.0176,0.9609,0.4150,-0.1831,-4.6387,-2.3193
52792.0000,0.0156,0.9658,0.4136,-0.0610,-5.2490,-2.2583
52793.0000,0.0127,0.9668,0.4111,0.0000,-5.7373,-2.1362
52794.0000,0.0107,0.9644,0.4141,0.1831,-6.3477,-2.3193
52795.0000,0.0088,0.9658,0.4160,0.1831,-7.3242,-2.4414
52796.0000,0.0049,0.9673,0.4131,0.2441,-8.1177,-2.5024
52797.0000,0.0029,0.9658,0.4121,0.3052,-8.9722,-2.8076
52798.0000,0.0044,0.9673,0.4102,0.2441,-10.0098,-2.9297
52799.0000,0.0029,0.9692,0.4126,0.3662,-10.8643,-3.2959
52800.0000,-0.0049,0.9697,0.4116,0.2441,-11.9019,-3.6621
52801.0000,-0.0137,0.9692,0.4097,0.2441,-13.6719,-4.2114
52802.0000,-0.0176,0.9717,0.4092,0.2441,-15.1978,-4.5776
52803.0000,-0.0156,0.9727,0.4121,-0.0610,-16.9067,-4.8218
52804.0000,-0.0107,0.9766,0.4092,-0.4272,-18.9209,-5.4932
52805.0000,-0.0112,0.9790,0.4082,-0.6104,-20.2637,-5.6152
52806.0000,-0.0122,0.9780,0.4102,-0.9766,-21.7896,-5.6763
52807.0000,-0.0161,0.9771,0.4077,-1.3428,-23.8647,-6.0425
52808.0000,-0.0205,0.9795,0.4067,-1.8311,-25.5737,-6.1646
52809.0000,-0.0308,0.9780,0.4038,-2.0752,-27.5879,-6.4697
52810.0000,-0.0493,0.9854,0.4053,-2.8076,-30.7007,-6.8359
52811.0000,-0.0601,0.9897,0.4058,-3.2959,-33.7524,-7.2021
52812.0000,-0.0581,0.9932,0.4087,-4.1504,-37.2314,-7.6294
52813.0000,-0.0317,0.9937,0.4097,-5.3711,-41.1377,-7.9956
52814.0000,-0.0059,0.9917,0.4092,-6.2256,-43.0908,-8.1787
52815.0000,0.0083,0.9868,0.4062,-7.0801,-44.3115,-8.2397
52816.0000,-0.0127,0.9800,0.4023,-7.6294,-45.7153,-8.4229
52817.0000,-0.0342,0.9775,0.4053,-7.9346,-47.9126,-8.3618
52818.0000,-0.0449,0.9810,0.4048,-8.4229,-50.7202,-8.4229
52819.0000,-0.0361,0.9849,0.4019,-8.9111,-54.7485,-9.2163
52820.0000,-0.0186,0.9897,0.4028,-9.5215,-57.3730,-9.7046
52821.0000,-0.0010,0.9922,0.4077,-10.3149,-59.3872,-9.8267
52822.0000,0.0166,0.9878,0.4092,-11.5356,-61.2793,-10.0708
52823.0000,0.0166,0.9761,0.4048,-12.0239,-62.1948,-10.2539
52824.0000,0.0024,0.9663,0.4067,-12.4512,-63.4766,-10.5591
52825.0000,-0.0190,0.9653,0.4043,-12.3901,-66.0400,-11.4136
52826.0000,-0.0361,0.9712,0.4106,-12.4512,-68.7866,-12.4512
52827.0000,-0.0391,0.9712,0.4185,-12.6343,-71.8384,-13.5498
52828.0000,-0.0190,0.9741,0.4189,-12.8174,-76.2329,-14.8926
52829.0000,0.0117,0.9688,0.4214,-13.3057,-78.5522,-15.8081
52830.0000,0.0347,0.9629,0.4238,-13.2446,-79.9561,-16.4185
52831.0000,0.0361,0.9531,0.4229,-13.3057,-81.1768,-17.1509
52832.0000,0.0264,0.9458,0.4219,-12.6343,-82.2754,-17.4561
52833.0000,0.0132,0.9380,0.4268,-12.2070,-84.0454,-17.7612
52834.0000,0.0029,0.9321,0.4282,-11.4746,-87.6465,-18.0054
52835.0000,0.0063,0.9351,0.4287,-10.6812,-90.1489,-18.4326
52836.0000,0.0195,0.9399,0.4321,-9.9487,-92.7124,-18.6768
52837.0000,0.0537,0.9448,0.4321,-9.3384,-95.2759,-18.9819
52838.0000,0.0776,0.9468,0.4321,-9.0942,-96.1914,-19.3481
52839.0000,0.0889,0.9321,0.4248,-8.5449,-96.4355,-19.2261
52840.0000,0.0815,0.9160,0.4204,-7.5684,-96.5576,-19.1040
52841.0000,0.0635,0.9170,0.4233,-6.2256,-97.1069,-19.1040
52842.0000,0.0605,0.9243,0.4238,-5.0659,-98.9990,-19.4702
52843.0000,0.0757,0.9316,0.4248,-4.2725,-100.6470,-19.5923
52844.0000,0.0986,0.9321,0.4219,-3.2959,-101.3794,-19.7144
52845.0000,0.1260,0.9385,0.4219,-2.6855,-101.1963,-19.7144
52846.0000,0.1328,0.9419,0.4238,-2.3804,-100.7690,-19.5923
52847.0000,0.1343,0.9404,0.4233,-1.8311,-100.2197,-19.5312
52848.0000,0.1372,0.9336,0.4224,-0.9766,-99.5483,-19.3481
52849.0000,0.1353,0.9370,0.4185,-0.6714,-99.1211,-19.2261
52850.0000,0.1304,0.9448,0.4170,-0.0610,-98.9380,-19.2871
52851.0000,0.1294,0.9458,0.4170,0.2441,-98.9990,-19.1040
52852.0000,0.1382,0.9502,0.4106,0.4272,-99.3652,-18.7378
52853.0000,0.1519,0.9512,0.4116,0.4272,-99.3652,-18.6768
52854.0000,0.1616,0.9644,0.4048,0.1831,-98.5107,-18.5547
52855.0000,0.1582,0.9761,0.4062,-0.2441,-97.7783,-18.4326
52856.0000,0.1509,0.9844,0.4058,-0.9155,-97.1069,-18.4326
52857.0000,0.1357,0.9805,0.3975,-1.9531,-97.2290,-18.7378
52858.0000,0.1279,0.9712,0.3970,-2.8076,-97.6562,-19.3481
52859.0000,0.1338,0.9697,0.3911,-3.1128,-97.9004,-19.9585
52860.0000,0.1523,0.9722,0.3857,-3.8452,-98.3276,-21.1792
52861.0000,0.1606,0.9771,0.3867,-4.5166,-98.1445,-21.9727
52862.0000,0.1689,0.9834,0.3906,-5.2490,-97.8394,-22.6440
52863.0000,0.1890,0.9829,0.3911,-5.7983,-96.9238,-23.4985
52864.0000,0.1968,0.9814,0.3906,-6.6528,-95.8862,-23.8647
52865.0000,0.2007,0.9756,0.3916,-7.0190,-94.7266,-23.7427
52866.0000,0.2061,0.9600,0.3901,-7.6904,-92.9565,-23.4985
52867.0000,0.2095,0.9565,0.3916,-7.8125,-91.4307,-23.1934
52868.0000,0.2114,0.9570,0.3926,-7.6904,-90.1489,-22.7051
52869.0000,0.2236,0.9585,0.4023,-7.5684,-88.0737,-21.9116
52870.0000,0.2305,0.9595,0.4019,-7.5073,-86.1206,-21.3623
52871.0000,0.2280,0.9536,0.4033,-7.5073,-84.0454,-20.6909
52872.0000,0.2344,0.9492,0.4062,-7.1411,-80.9937,-19.8975
52873.0000,0.2334,0.9448,0.4106,-6.8970,-78.7354,-19.5312
52874.0000,0.2368,0.9478,0.4058,-6.3477,-76.3550,-19.1650
52875.0000,0.2480,0.9487,0.4106,-5.9814,-73.1812,-18.7378
52876.0000,0.2544,0.9507,0.4106,-5.4932,-70.3125,-18.3105
52877.0000,0.2549,0.9502,0.4058,-5.1270,-67.4438,-17.5171
52878.0000,0.2480,0.9448,0.4043,-4.7607,-63.5376,-16.0522
52879.0000,0.2319,0.9468,0.4028,-4.2725,-60.6689,-15.0757
52880.0000,0.2124,0.9546,0.4126,-4.3945,-58.6548,-14.5874
52881.0000,0.1924,0.9595,0.4204,-3.8452,-57.2510,-14.1602
52882.0000,0.1929,0.9585,0.4146,-3.9673,-56.7017,-13.8550
52883.0000,0.2007,0.9565,0.4141,-3.7842,-55.8472,-13.6719
52884.0000,0.2153,0.9546,0.4116,-3.1738,-54.0771,-13.5498
52885.0000,0.2183,0.9565,0.4121,-3.3569,-52.4902,-13.4277
52886.0000,0.2104,0.9526,0.4097,-2.9297,-50.4761,-13.0615
52887.0000,0.1875,0.9487,0.4106,-2.5024,-48.7671,-12.5732
52888.0000,0.1714,0.9463,0.4160,-2.2583,-48.4009,-12.2070
52889.0000,0.1587,0.9482,0.4146,-1.8921,-48.7671,-12.0239
52890.0000,0.1572,0.9492,0.4111,-1.3428,-49.6216,-11.5967
