timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
63438.0000,-0.0186,0.9585,0.4497,2.7466,-5.1880,-2.3193
63439.0000,-0.0142,0.9595,0.4512,2.5024,-5.0659,-2.1362
63440.0000,-0.0181,0.9575,0.4473,2.2583,-5.0049,-2.1362
63441.0000,-0.0190,0.9551,0.4487,2.3193,-5.0659,-2.3193
63442.0000,-0.0205,0.9526,0.4497,2.4414,-5.1880,-2.5024
63443.0000,-0.0156,0.9546,0.4473,2.5635,-5.4932,-2.6245
63444.0000,-0.0098,0.9541,0.4507,2.5635,-5.3101,-2.9297
63445.0000,-0.0078,0.9556,0.4473,2.5024,-5.0049,-3.0518
63446.0000,-0.0103,0.9585,0.4463,2.3804,-4.4556,-2.9297
63447.0000,-0.0171,0.9565,0.4429,2.2583,-4.2725,-3.0518
63448.0000,-0.0220,0.9546,0.4414,2.1973,-4.4556,-2.9907
63449.0000,-0.0254,0.9561,0.4419,2.1362,-4.8828,-2.9907
63450.0000,-0.0278,0.9590,0.4473,2.1362,-5.2490,-3.1738
63451.0000,-0.0259,0.9600,0.4443,2.0752,-5.7983,-3.2349
63452.0000,-0.0161,0.9600,0.4478,1.7090,-6.1646,-3.1738
63453.0000,-0.0117,0.9614,0.4463,1.4038,-6.1035,-3.1128
63454.0000,-0.0063,0.9629,0.4453,1.2207,-5.9204,-2.9907
63455.0000,-0.0161,0.9565,0.4424,1.0986,-5.5542,-2.9297
63456.0000,-0.0317,0.9526,0.4414,1.0376,-5.7373,-3.0518
63457.0000,-0.0444,0.9497,0.4443,1.0376,-6.4697,-3.2349
63458.0000,-0.0498,0.9561,0.4468,1.1597,-7.9346,-3.3569
63459.0000,-0.0591,0.9561,0.4536,1.2207,-9.2773,-3.6011
63460.0000,-0.0947,0.9561,0.4482,1.1597,-11.7798,-4.0283
63461.0000,-0.1328,0.9624,0.4512,1.1597,-14.6484,-4.6387
63462.0000,-0.1768,0.9653,0.4536,0.9155,-19.1040,-5.4932
63463.0000,-0.2378,0.9795,0.4463,0.4883,-27.7100,-6.8970
63464.0000,-0.2871,0.9946,0.4473,-0.5493,-36.0107,-8.3618
63465.0000,-0.3413,1.0024,0.4438,-2.1362,-46.5698,-10.0098
63466.0000,-0.4053,1.0054,0.4414,-4.8828,-63.6597,-12.8174
63467.0000,-0.4297,1.0024,0.4448,-6.5918,-78.4912,-15.5029
63468.0000,-0.4316,0.9946,0.4370,-7.7515,-93.5669,-18.7988
63469.0000,-0.4014,0.9785,0.4209,-9.0332,-113.7085,-23.3765
63470.0000,-0.3623,0.9702,0.4048,-9.8877,-127.6855,-26.6113
63471.0000,-0.3481,0.9561,0.3921,-10.4370,-140.5640,-29.7241
63472.0000,-0.3496,0.9297,0.3765,-9.8877,-157.2876,-33.5083
63473.0000,-0.3506,0.9155,0.3652,-8.9722,-170.2881,-36.6821
63474.0000,-0.3364,0.9150,0.3506,-7.1411,-183.0444,-39.9780
63475.0000,-0.2852,0.9282,0.3237,-5.1270,-199.6460,-44.0063
63476.0000,-0.2271,0.9434,0.3037,-3.9673,-210.4492,-46.4478
63477.0000,-0.1719,0.9468,0.2832,-3.0518,-219.6655,-47.7905
63478.0000,-0.1318,0.9419,0.2642,-2.0752,-229.9805,-48.8892
63479.0000,-0.1226,0.9429,0.2544,-1.4648,-236.8774,-49.7437
