timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
56391.0000,0.0103,0.9697,0.3999,-0.7935,-2.8076,-1.7090
56392.0000,0.0039,0.9712,0.4043,-0.7324,-3.7231,-1.7090
56393.0000,0.0054,0.9707,0.4048,-0.7935,-5.0049,-1.8921
56394.0000,0.0225,0.9707,0.4043,-0.8545,-5.9814,-2.0142
56395.0000,0.0356,0.9683,0.4014,-0.8545,-6.2256,-2.0752
56396.0000,0.0381,0.9634,0.4038,-0.7324,-5.9814,-1.8311
56397.0000,0.0229,0.9614,0.4028,-0.4272,-5.7983,-1.8311
56398.0000,0.0137,0.9629,0.4043,-0.3052,-6.4087,-1.8921
56399.0000,0.0063,0.9678,0.4019,0.0000,-7.5684,-2.3193
56400.0000,0.0054,0.9707,0.4048,0.1221,-8.4839,-2.7466
56401.0000,0.0005,0.9707,0.4043,0.1221,-9.5215,-3.2959
56402.0000,-0.0054,0.9727,0.4048,-0.0610,-11.0474,-4.0283
56403.0000,-0.0068,0.9780,0.4048,-0.3662,-12.4512,-4.5776
56404.0000,0.0029,0.9800,0.4053,-0.6104,-13.7329,-5.0659
56405.0000,0.0200,0.9819,0.4033,-1.0986,-14.7095,-5.4321
56406.0000,0.0239,0.9766,0.4023,-1.2817,-15.0146,-5.7983
56407.0000,0.0195,0.9712,0.4023,-1.4648,-15.2588,-5.9814
56408.0000,0.0103,0.9673,0.4004,-1.3428,-16.0522,-6.2256
56409.0000,0.0073,0.9697,0.4043,-1.4038,-16.7847,-6.4697
56410.0000,0.0083,0.9731,0.4043,-1.2817,-17.6392,-6.7749
56411.0000,0.0137,0.9736,0.4028,-1.5259,-18.5547,-7.2021
56412.0000,0.0063,0.9702,0.4009,-1.5259,-19.3481,-7.2021
56413.0000,-0.0107,0.9722,0.4033,-1.4038,-20.2026,-7.3242
56414.0000,-0.0498,0.9819,0.3965,-1.7090,-22.7661,-7.8125
56415.0000,-0.0742,0.9912,0.3989,-2.0142,-25.9399,-8.2397
56416.0000,-0.0928,0.9951,0.3989,-2.5635,-30.0293,-9.0942
56417.0000,-0.0874,1.0039,0.4033,-3.8452,-36.3770,-10.0098
56418.0000,-0.0615,1.0044,0.4053,-5.0049,-40.5884,-11.1084
56419.0000,-0.0410,0.9971,0.4004,-5.9204,-43.5181,-11.7798
56420.0000,-0.0464,0.9849,0.3960,-6.9580,-46.8750,-12.8174
56421.0000,-0.0645,0.9868,0.3945,-7.4463,-49.8657,-13.6108
56422.0000,-0.0864,0.9951,0.3926,-8.3008,-53.8940,-14.3433
56423.0000,-0.1025,1.0063,0.3882,-9.2163,-60.3027,-15.7471
56424.0000,-0.1021,1.0078,0.3862,-10.7422,-65.6738,-16.6626
56425.0000,-0.0942,0.9971,0.3848,-11.5967,-70.9839,-17.7002
56426.0000,-0.0840,0.9893,0.3857,-12.6343,-77.2095,-19.5312
56427.0000,-0.0693,0.9927,0.3896,-13.3057,-81.4819,-20.8740
56428.0000,-0.0527,0.9937,0.3877,-13.7939,-85.2051,-22.1558
56429.0000,-0.0400,0.9810,0.3838,-14.7095,-89.4775,-23.6816
56430.0000,-0.0527,0.9722,0.3804,-14.8315,-92.6514,-24.5361
56431.0000,-0.0693,0.9697,0.3867,-14.8926,-96.4355,-25.0244
56432.0000,-0.0801,0.9731,0.3857,-15.0146,-102.2949,-26.1841
56433.0000,-0.0684,0.9771,0.3838,-15.0146,-107.1167,-26.8555
56434.0000,-0.0396,0.9805,0.3853,-14.9536,-111.0229,-27.4048
56435.0000,0.0103,0.9834,0.3872,-15.9912,-114.8071,-27.7710
56436.0000,0.0317,0.9727,0.3804,-16.1743,-116.0889,-27.6489
56437.0000,0.0327,0.9600,0.3765,-16.4185,-117.0654,-27.3438
56438.0000,0.0068,0.9541,0.3794,-15.9302,-118.7134,-26.7334
56439.0000,-0.0098,0.9565,0.3794,-15.6250,-121.0327,-26.4893
56440.0000,-0.0103,0.9580,0.3823,-15.1367,-123.7183,-26.4893
56441.0000,0.0117,0.9648,0.3765,-14.9536,-127.2583,-26.4282
56442.0000,0.0405,0.9688,0.3799,-15.0146,-129.0283,-26.3672
56443.0000,0.0586,0.9668,0.3818,-15.1367,-129.7607,-26.1841
56444.0000,0.0576,0.9653,0.3818,-15.3198,-130.5542,-25.8179
56445.0000,0.0537,0.9590,0.3838,-15.4419,-131.4087,-25.5127
56446.0000,0.0586,0.9526,0.3872,-15.5029,-132.3242,-25.3296
56447.0000,0.0693,0.9595,0.3911,-15.2588,-133.5449,-25.2075
56448.0000,0.0884,0.9629,0.3940,-15.5640,-134.1553,-25.2686
56449.0000,0.1001,0.9658,0.3955,-15.8081,-134.3384,-25.0854
56450.0000,0.1143,0.9575,0.3975,-15.9912,-134.0332,-25.0244
56451.0000,0.1143,0.9468,0.3931,-16.2964,-133.8501,-24.8413
56452.0000,0.1108,0.9409,0.3960,-16.2964,-133.7280,-24.2920
56453.0000,0.1064,0.9414,0.3960,-16.1743,-134.3994,-23.9258
56454.0000,0.1104,0.9473,0.4033,-16.1743,-135.0708,-23.6206
56455.0000,0.1270,0.9536,0.4097,-16.0522,-135.8643,-23.4375
56456.0000,0.1729,0.9507,0.4165,-16.1133,-136.0474,-23.4375
56457.0000,0.2031,0.9380,0.4165,-15.6860,-134.7656,-23.1934
56458.0000,0.2129,0.9277,0.4165,-15.4419,-132.6904,-22.8271
56459.0000,0.2046,0.9292,0.4253,-14.7095,-129.3335,-22.8271
56460.0000,0.1880,0.9287,0.4287,-14.2822,-127.9297,-22.7661
56461.0000,0.1807,0.9268,0.4268,-13.7939,-127.3193,-22.6440
56462.0000,0.1924,0.9233,0.4302,-12.9395,-126.9531,-22.5830
56463.0000,0.2109,0.9282,0.4316,-12.5122,-126.2207,-22.3999
56464.0000,0.2319,0.9331,0.4336,-12.0850,-124.8169,-22.4609
56465.0000,0.2441,0.9248,0.4307,-11.5356,-122.0703,-22.3389
56466.0000,0.2354,0.9209,0.4316,-11.4136,-119.8120,-21.9727
56467.0000,0.2183,0.9175,0.4351,-10.8643,-118.1030,-22.1558
56468.0000,0.1802,0.9219,0.4448,-10.1318,-117.0044,-23.3154
56469.0000,0.1587,0.9248,0.4453,-9.0942,-117.6147,-24.6582
56470.0000,0.1846,0.9253,0.4385,-8.3008,-119.2627,-25.0854
56471.0000,0.2573,0.9326,0.4321,-7.8735,-119.3848,-26.0010
56472.0000,0.2964,0.9287,0.4331,-7.5684,-116.5771,-26.9775
56473.0000,0.3013,0.9180,0.4360,-7.0801,-112.6709,-27.2827
56474.0000,0.2837,0.8950,0.4492,-5.9814,-107.6660,-27.5269
56475.0000,0.2417,0.8706,0.4492,-4.6387,-104.9805,-27.9541
56476.0000,0.1997,0.8618,0.4551,-2.1973,-104.0039,-28.3813
56477.0000,0.1885,0.8833,0.4517,1.3428,-105.1636,-29.2969
56478.0000,0.2412,0.9126,0.4419,3.6621,-105.7739,-29.9072
56479.0000,0.3179,0.9365,0.4321,4.6997,-103.6987,-30.1514
56480.0000,0.3799,0.9463,0.4263,4.5776,-96.1304,-29.7852
56481.0000,0.3662,0.9307,0.4365,4.5166,-88.9893,-28.8086
56482.0000,0.3125,0.9097,0.4463,5.3711,-83.1909,-28.3203
56483.0000,0.2202,0.8965,0.4434,7.6904,-78.7354,-28.8086
56484.0000,0.1763,0.9028,0.4331,9.8267,-78.6743,-29.1748
56485.0000,0.1943,0.9277,0.4199,11.7798,-79.5898,-29.1138
56486.0000,0.2998,0.9595,0.4023,12.7563,-77.9419,-28.5645
56487.0000,0.3579,0.9736,0.3965,12.1460,-72.6929,-27.5269
56488.0000,0.3579,0.9575,0.4058,11.8408,-65.3076,-26.3062
56489.0000,0.2744,0.9351,0.4092,12.5732,-57.8613,-24.9634
56490.0000,0.2144,0.9370,0.4077,13.9160,-55.4810,-24.5361
56491.0000,0.1865,0.9590,0.3979,15.0146,-55.3589,-24.2920
56492.0000,0.2349,0.9985,0.3794,15.0146,-55.2368,-23.0713
56493.0000,0.2959,1.0107,0.3657,13.6719,-52.4902,-21.8506
56494.0000,0.3179,1.0034,0.3613,12.2070,-47.1191,-20.6299
56495.0000,0.2725,0.9746,0.3691,11.5967,-40.1611,-18.8599
56496.0000,0.2246,0.9722,0.3618,11.7798,-37.3535,-18.0054
56497.0000,0.1953,0.9893,0.3560,11.6577,-35.8887,-16.7847
56498.0000,0.2100,1.0020,0.3545,11.1694,-35.2783,-16.0522
56499.0000,0.2354,1.0068,0.3447,10.2539,-33.5693,-15.0146
56500.0000,0.2642,0.9946,0.3457,8.6060,-29.7852,-13.1836
56501.0000,0.2520,0.9741,0.3496,8.2397,-26.1841,-11.3525
56502.0000,0.2163,0.9692,0.3428,8.1787,-23.4375,-9.7656
56503.0000,0.1841,0.9883,0.3350,8.1177,-22.2168,-7.8735
56504.0000,0.1982,1.0239,0.3311,7.4463,-22.0337,-7.0801
56505.0000,0.2417,1.0352,0.3384,6.3477,-20.7520,-6.3477
56506.0000,0.2788,1.0122,0.3345,4.3945,-16.4185,-5.2490
56507.0000,0.2637,0.9829,0.3418,3.2349,-12.5732,-3.9673
56508.0000,0.2256,0.9561,0.3574,2.9907,-9.6436,-3.1128
56509.0000,0.1738,0.9419,0.3555,4.3335,-8.7891,-2.6245
56510.0000,0.1704,0.9604,0.3467,5.2490,-9.9487,-2.3193
56511.0000,0.2139,0.9971,0.3374,5.3101,-10.4370,-1.9531
56512.0000,0.3057,1.0386,0.3330,4.0283,-7.6294,-0.7935
56513.0000,0.3374,1.0190,0.3320,2.5024,-2.1973,0.4272
56514.0000,0.2817,0.9663,0.3359,1.4038,3.7231,1.3428
56515.0000,0.1499,0.9292,0.3506,1.0986,5.9204,2.1362
56516.0000,0.0967,0.9448,0.3623,1.8921,3.0518,2.0142
56517.0000,0.1191,0.9736,0.3604,2.9907,-1.3428,1.8311
56518.0000,0.2412,1.0098,0.3394,3.4180,-4.1504,1.7700
56519.0000,0.3213,1.0186,0.3340,2.4414,-1.6479,1.9531
56520.0000,0.3540,1.0107,0.3306,0.8545,3.8452,2.4414
56521.0000,0.2920,0.9673,0.3379,-0.6714,11.5356,3.2959
56522.0000,0.1997,0.9326,0.3477,-0.8545,14.0991,3.6011
56523.0000,0.1201,0.9263,0.3574,-0.0610,12.7563,3.6011
56524.0000,0.1074,0.9580,0.3662,1.4648,6.8970,2.8076
56525.0000,0.1724,0.9824,0.3657,2.3193,3.2959,2.1362
56526.0000,0.2480,0.9888,0.3608,2.5024,2.6855,1.6479
56527.0000,0.2969,0.9766,0.3584,1.9531,6.1646,1.3428
56528.0000,0.2798,0.9526,0.3579,1.8921,9.8267,1.2817
56529.0000,0.2275,0.9336,0.3550,2.0142,12.3901,1.5869
56530.0000,0.1719,0.9478,0.3462,2.5635,12.3901,2.1362
56531.0000,0.1665,0.9683,0.3560,3.0518,10.7422,2.5024
56532.0000,0.1870,0.9858,0.3496,3.2959,9.2773,2.3804
56533.0000,0.2246,0.9976,0.3403,2.6245,8.9111,2.4414
56534.0000,0.2446,1.0034,0.3394,1.7090,9.8267,2.3804
56535.0000,0.2363,0.9902,0.3452,1.0986,11.5967,2.1973
56536.0000,0.2056,0.9673,0.3486,0.6714,12.6953,2.0752
56537.0000,0.1968,0.9639,0.3481,0.7324,12.5122,1.7700
56538.0000,0.2056,0.9692,0.3496,0.7324,11.9629,1.5259
56539.0000,0.2300,0.9712,0.3462,0.8545,12.2681,1.7090
56540.0000,0.2437,0.9653,0.3447,1.0376,13.1836,1.8311
56541.0000,0.2510,0.9619,0.3413,1.0376,14.7705,2.1973
56542.0000,0.2500,0.9658,0.3379,1.3428,17.5171,2.8076
56543.0000,0.2358,0.9702,0.3428,1.5259,19.5312,3.6621
56544.0000,0.2202,0.9702,0.3413,1.7700,20.9961,4.3945
56545.0000,0.2017,0.9722,0.3472,1.8921,21.7896,5.1880
56546.0000,0.2070,0.9766,0.3501,1.8311,21.7285,6.0425
56547.0000,0.2271,0.9775,0.3457,1.9531,22.0947,6.6528
56548.0000,0.2651,0.9814,0.3408,1.7700,24.1089,7.5073
56549.0000,0.2861,0.9819,0.3423,1.7700,27.2827,8.1787
56550.0000,0.2964,0.9819,0.3418,1.7700,30.7617,9.0942
56551.0000,0.2842,0.9795,0.3442,1.5259,35.8276,9.9487
56552.0000,0.2598,0.9717,0.3423,1.5869,38.6353,10.8032
56553.0000,0.2446,0.9727,0.3433,1.7090,40.5273,11.7188
56554.0000,0.2466,0.9819,0.3413,1.8311,42.4805,12.6343
56555.0000,0.2588,0.9868,0.3423,1.7700,44.2505,13.4888
56556.0000,0.2759,0.9849,0.3408,1.7700,46.5698,14.1602
56557.0000,0.2988,0.9795,0.3438,1.5259,50.7202,15.1367
56558.0000,0.3057,0.9771,0.3403,1.5259,54.0771,15.6250
56559.0000,0.3032,0.9673,0.3423,1.4648,57.8003,15.8081
56560.0000,0.2827,0.9697,0.3491,1.8921,62.2559,15.3809
56561.0000,0.2769,0.9761,0.3501,2.0752,64.8193,14.7705
56562.0000,0.2871,0.9819,0.3501,2.0752,67.3218,14.2212
56563.0000,0.3164,0.9883,0.3550,1.7090,71.3501,14.0381
56564.0000,0.3428,0.9844,0.3555,1.6479,75.6226,14.5264
56565.0000,0.3496,0.9580,0.3467,1.5869,80.8105,15.4419
56566.0000,0.2896,0.9214,0.3242,2.4414,87.6465,17.1509
56567.0000,0.2197,0.9199,0.3267,3.6011,90.4541,18.7378
56568.0000,0.1694,0.9443,0.3379,5.1880,90.5762,19.7144
56569.0000,0.1675,0.9829,0.3530,5.7983,88.2568,20.7520
56570.0000,0.2095,1.0015,0.3608,5.2490,87.3413,20.9961
56571.0000,0.2563,1.0039,0.3638,4.3335,87.9517,21.1182
56572.0000,0.3135,0.9976,0.3647,3.5400,91.5527,21.7285
56573.0000,0.3359,0.9873,0.3618,3.1738,95.9473,21.5454
56574.0000,0.3315,0.9644,0.3540,3.2959,101.0742,21.1792
56575.0000,0.2554,0.9209,0.3384,4.1504,107.1167,20.4468
56576.0000,0.1899,0.9180,0.3359,5.6152,109.0698,19.8364
56577.0000,0.1611,0.9414,0.3398,6.8359,108.4595,19.7754
56578.0000,0.1904,0.9858,0.3599,6.5918,106.5674,20.3247
56579.0000,0.2358,0.9922,0.3667,6.2256,106.7505,21.1792
56580.0000,0.2690,0.9888,0.3599,5.7983,108.8257,22.0337
56581.0000,0.2837,0.9722,0.3604,5.2490,112.7930,23.0103
56582.0000,0.2715,0.9580,0.3638,5.8594,116.1499,23.4985
56583.0000,0.2319,0.9385,0.3594,6.8970,119.3237,23.1323
56584.0000,0.1572,0.9175,0.3511,8.7891,121.5210,22.2778
56585.0000,0.1060,0.9219,0.3501,10.4370,121.3989,21.1792
56586.0000,0.0791,0.9419,0.3618,11.7798,119.4458,20.6299
56587.0000,0.1069,0.9824,0.3838,12.2681,115.7837,20.5078
56588.0000,0.1479,0.9985,0.3882,12.0239,114.2578,20.9351
56589.0000,0.1860,0.9951,0.3809,11.3525,114.4409,21.9727
56590.0000,0.2119,0.9717,0.3794,10.1318,116.0889,23.8037
56591.0000,0.2095,0.9541,0.3770,10.6812,118.1030,24.9634
56592.0000,0.1880,0.9292,0.3726,11.7798,120.1172,25.6348
56593.0000,0.1719,0.9194,0.3711,13.1226,120.7275,25.7568
56594.0000,0.1743,0.9238,0.3682,14.5874,121.0327,25.4517
56595.0000,0.1899,0.9409,0.3721,15.5029,121.5210,24.9023
56596.0000,0.2046,0.9453,0.3735,16.5405,122.8027,24.4751
56597.0000,0.2173,0.9521,0.3628,17.2119,124.5117,24.1089
56598.0000,0.2129,0.9531,0.3594,17.6392,127.1362,23.2544
56599.0000,0.1953,0.9512,0.3555,18.2495,128.9673,22.5830
56600.0000,0.1719,0.9575,0.3569,18.4937,129.8828,21.7285
