timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
67889.0000,-0.0244,0.9604,0.4312,1.4038,0.6714,-2.0142
67890.0000,-0.0244,0.9595,0.4307,1.3428,0.6714,-1.3428
67891.0000,-0.0283,0.9580,0.4297,1.3428,0.4883,-0.5493
67892.0000,-0.0269,0.9590,0.4297,1.2817,0.5493,-0.3052
67893.0000,-0.0269,0.9551,0.4302,1.4648,0.4272,-0.1221
67894.0000,-0.0288,0.9541,0.4282,1.4648,0.3662,0.0610
67895.0000,-0.0283,0.9570,0.4292,1.7090,0.3052,0.3662
67896.0000,-0.0254,0.9600,0.4287,1.7700,0.1831,0.7935
67897.0000,-0.0220,0.9614,0.4302,1.7700,0.2441,1.4038
67898.0000,-0.0229,0.9634,0.4277,1.8921,0.3052,1.6479
67899.0000,-0.0229,0.9639,0.4302,1.9531,0.3052,2.0142
67900.0000,-0.0254,0.9624,0.4326,1.8921,0.2441,2.4414
67901.0000,-0.0244,0.9590,0.4282,1.8921,0.1831,2.6855
67902.0000,-0.0327,0.9570,0.4268,1.8921,-0.0610,3.6011
67903.0000,-0.0273,0.9595,0.4297,2.3193,-0.6104,4.7607
67904.0000,-0.0244,0.9595,0.4292,2.4414,-1.0986,5.7983
67905.0000,-0.0259,0.9585,0.4268,2.5635,-1.1597,6.5308
67906.0000,-0.0244,0.9565,0.4219,2.8687,-1.5259,7.0190
67907.0000,-0.0254,0.9570,0.4155,3.1738,-1.8311,7.0190
67908.0000,-0.0254,0.9634,0.4175,3.3569,-2.0752,7.1411
67909.0000,-0.0215,0.9668,0.4155,3.6011,-2.2583,7.3853
67910.0000,-0.0215,0.9663,0.4165,3.6011,-2.5024,7.9346
67911.0000,-0.0171,0.9673,0.4131,3.4790,-2.8076,8.7891
67912.0000,-0.0146,0.9668,0.4150,3.5400,-2.9907,9.6436
67913.0000,-0.0156,0.9653,0.4141,3.6011,-3.1738,10.2539
67914.0000,-0.0195,0.9629,0.4087,3.6621,-3.6621,11.4746
67915.0000,-0.0151,0.9604,0.4092,3.7842,-4.3335,12.4512
67916.0000,-0.0088,0.9648,0.4077,3.9062,-4.7607,13.6108
67917.0000,-0.0103,0.9609,0.4053,3.9673,-5.3101,15.0757
67918.0000,-0.0137,0.9575,0.4062,4.2114,-5.9204,16.3574
67919.0000,-0.0166,0.9551,0.4058,4.3945,-6.6528,17.4561
67920.0000,-0.0225,0.9565,0.4053,4.8828,-7.9956,19.2261
67921.0000,-0.0156,0.9590,0.4053,5.2490,-9.1553,20.5688
67922.0000,-0.0088,0.9600,0.4053,5.3101,-10.4980,21.9116
67923.0000,0.0078,0.9590,0.4043,5.4932,-11.7798,23.8647
67924.0000,0.0166,0.9648,0.4058,5.6152,-12.3901,25.3296
67925.0000,0.0259,0.9717,0.4067,5.4932,-13.0005,26.6724
67926.0000,0.0371,0.9692,0.4077,5.4321,-13.4888,28.1982
67927.0000,0.0356,0.9644,0.4033,5.4932,-13.6108,28.8696
67928.0000,0.0444,0.9644,0.4038,5.5542,-13.7939,29.2969
67929.0000,0.0513,0.9663,0.4023,5.6763,-14.0381,29.9683
67930.0000,0.0591,0.9629,0.3989,5.8594,-14.0991,30.3955
67931.0000,0.0605,0.9600,0.4014,5.9814,-13.9771,30.6396
67932.0000,0.0615,0.9614,0.3970,6.4697,-14.0381,31.1279
67933.0000,0.0679,0.9697,0.3960,6.6528,-14.1602,31.5552
67934.0000,0.0786,0.9746,0.3960,6.5308,-14.2822,31.9214
67935.0000,0.0957,0.9771,0.3960,6.5918,-14.1602,32.4707
67936.0000,0.1069,0.9746,0.3926,6.3477,-13.9771,33.0811
67937.0000,0.1143,0.9717,0.3887,6.2256,-13.6108,33.8745
67938.0000,0.1230,0.9683,0.3853,6.3477,-13.1836,34.7900
67939.0000,0.1294,0.9688,0.3843,6.1646,-12.9395,35.4614
67940.0000,0.1353,0.9683,0.3843,6.1035,-12.3901,36.1328
67941.0000,0.1460,0.9683,0.3799,6.0425,-12.0239,36.6211
67942.0000,0.1523,0.9712,0.3784,5.7373,-11.6577,37.0483
67943.0000,0.1558,0.9683,0.3779,5.6763,-11.2915,37.4756
67944.0000,0.1626,0.9644,0.3760,5.6152,-11.1694,37.7808
67945.0000,0.1743,0.9614,0.3779,5.6152,-11.1694,38.0859
67946.0000,0.1836,0.9629,0.3740,5.4321,-10.8643,38.1470
67947.0000,0.2012,0.9590,0.3711,5.2490,-10.3149,38.4521
