timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
78493.0000,0.0215,0.9546,0.4346,-0.3052,1.0986,-2.5024
78494.0000,0.0186,0.9590,0.4336,-0.1221,0.6714,-2.3193
78495.0000,0.0220,0.9639,0.4336,-0.0610,0.3052,-2.0752
78496.0000,0.0225,0.9683,0.4399,-0.1831,0.0000,-1.7700
78497.0000,0.0269,0.9722,0.4341,-0.3052,-0.3662,-1.2207
78498.0000,0.0317,0.9707,0.4355,-0.5493,-0.6104,-0.6714
78499.0000,0.0308,0.9678,0.4321,-0.6714,-0.5493,-0.3052
78500.0000,0.0293,0.9619,0.4297,-0.6104,-0.7324,0.3052
78501.0000,0.0303,0.9595,0.4297,-0.3662,-0.7935,0.4883
78502.0000,0.0308,0.9595,0.4302,-0.1221,-0.9155,0.7935
78503.0000,0.0327,0.9595,0.4321,0.0610,-1.0376,1.1597
78504.0000,0.0347,0.9609,0.4331,0.0000,-1.1597,1.5259
78505.0000,0.0396,0.9644,0.4331,0.0610,-1.2817,1.5869
78506.0000,0.0479,0.9663,0.4326,-0.1221,-1.2207,1.7700
78507.0000,0.0488,0.9697,0.4360,-0.3662,-0.9766,1.7700
78508.0000,0.0537,0.9697,0.4326,-0.7324,-0.7324,1.6479
78509.0000,0.0542,0.9658,0.4360,-1.0376,-0.3052,1.7090
78510.0000,0.0532,0.9609,0.4341,-1.2207,0.0610,2.0142
78511.0000,0.0522,0.9541,0.4346,-1.3428,0.3052,2.1362
78512.0000,0.0488,0.9541,0.4321,-1.0986,0.1831,2.6245
78513.0000,0.0498,0.9600,0.4346,-0.9766,0.2441,2.9297
78514.0000,0.0527,0.9663,0.4385,-1.0376,0.0610,3.0518
78515.0000,0.0596,0.9629,0.4390,-1.1597,0.0000,3.2959
78516.0000,0.0610,0.9595,0.4365,-1.0986,-0.0610,3.2349
78517.0000,0.0640,0.9565,0.4360,-1.0986,0.2441,3.0518
78518.0000,0.0601,0.9556,0.4360,-0.9766,0.4883,2.7466
78519.0000,0.0586,0.9561,0.4395,-1.0986,0.5493,2.6855
78520.0000,0.0571,0.9556,0.4370,-1.1597,0.4272,2.6855
78521.0000,0.0557,0.9517,0.4365,-0.9766,0.3662,2.7466
78522.0000,0.0547,0.9497,0.4375,-0.9155,0.1221,2.7466
78523.0000,0.0566,0.9482,0.4346,-0.6104,-0.1221,2.8076
78524.0000,0.0566,0.9526,0.4312,-0.1221,-0.4272,3.2959
78525.0000,0.0566,0.9570,0.4365,0.0610,-0.5493,3.6011
78526.0000,0.0547,0.9595,0.4385,0.1831,-0.5493,3.7842
78527.0000,0.0522,0.9683,0.4365,0.3052,-0.6104,3.4790
78528.0000,0.0483,0.9692,0.4351,0.1831,-0.6104,2.9907
78529.0000,0.0479,0.9697,0.4365,0.0000,-0.6714,2.5024
78530.0000,0.0488,0.9590,0.4341,-0.1221,-0.7324,1.5869
78531.0000,0.0498,0.9570,0.4336,-0.1221,-0.6714,1.4038
78532.0000,0.0498,0.9575,0.4360,-0.0610,-0.7935,1.5259
78533.0000,0.0474,0.9570,0.4355,0.1831,-0.6714,2.2583
78534.0000,0.0356,0.9536,0.4297,0.3052,-0.6104,3.5400
78535.0000,0.0181,0.9492,0.4277,0.5493,-1.0986,5.7983
78536.0000,0.0039,0.9565,0.4326,0.8545,-2.3804,10.5591
78537.0000,-0.0083,0.9570,0.4307,1.0376,-3.2959,15.0146
78538.0000,-0.0186,0.9570,0.4341,1.0376,-4.2114,20.1416
