timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
73495.0000,-0.0850,0.9512,0.4297,0.6104,-0.1221,0.8545
73496.0000,-0.0854,0.9497,0.4258,0.7324,-0.1831,0.9155
73497.0000,-0.0830,0.9531,0.4238,0.9155,-0.3052,0.9766
73498.0000,-0.0811,0.9541,0.4292,0.9155,-0.3052,0.8545
73499.0000,-0.0786,0.9541,0.4253,0.9155,-0.3052,0.7935
73500.0000,-0.0801,0.9531,0.4243,1.0376,-0.1831,1.4038
73501.0000,-0.0806,0.9536,0.4253,1.0376,-0.2441,1.7700
73502.0000,-0.0840,0.9546,0.4268,1.1597,-0.2441,2.2583
73503.0000,-0.0884,0.9556,0.4258,1.2207,-0.2441,2.8076
73504.0000,-0.0923,0.9536,0.4219,1.4038,-0.3662,3.0518
73505.0000,-0.0938,0.9580,0.4263,1.5259,-0.5493,2.8076
73506.0000,-0.0933,0.9575,0.4263,1.5869,-0.9766,2.6855
73507.0000,-0.0918,0.9546,0.4268,1.5259,-1.4038,2.5024
73508.0000,-0.0884,0.9570,0.4199,1.4648,-1.6479,2.7466
73509.0000,-0.0796,0.9600,0.4238,1.4648,-1.8311,3.4790
73510.0000,-0.0801,0.9619,0.4224,1.4648,-1.8921,4.2725
73511.0000,-0.0815,0.9590,0.4229,1.3428,-1.7700,4.8828
73512.0000,-0.0840,0.9570,0.4233,1.4038,-1.8311,5.8594
73513.0000,-0.0859,0.9561,0.4219,1.2207,-2.0752,6.7749
73514.0000,-0.0889,0.9497,0.4199,1.4038,-2.2583,7.7515
73515.0000,-0.0913,0.9487,0.4219,1.6479,-2.6245,9.3994
73516.0000,-0.0894,0.9507,0.4248,1.9531,-2.9907,10.5591
73517.0000,-0.0947,0.9536,0.4258,2.1362,-3.4180,11.5356
73518.0000,-0.0942,0.9565,0.4238,2.3804,-3.9673,12.5732
73519.0000,-0.0903,0.9561,0.4224,2.4414,-4.5776,13.2446
73520.0000,-0.0894,0.9546,0.4214,2.5024,-5.1270,14.5874
73521.0000,-0.0825,0.9551,0.4253,2.5635,-5.8594,16.4795
73522.0000,-0.0801,0.9517,0.4209,2.7466,-6.2256,18.4326
73523.0000,-0.0815,0.9526,0.4209,3.0518,-6.4697,20.6299
73524.0000,-0.0771,0.9561,0.4248,3.5400,-6.9580,23.6206
73525.0000,-0.0703,0.9541,0.4243,3.8452,-7.3853,25.6348
73526.0000,-0.0771,0.9473,0.4155,4.1504,-7.7515,27.1606
73527.0000,-0.0874,0.9443,0.4160,4.7607,-8.6060,30.2734
73528.0000,-0.0815,0.9521,0.4204,5.3711,-9.8267,33.0811
73529.0000,-0.0703,0.9614,0.4233,5.7983,-10.9863,35.6445
73530.0000,-0.0552,0.9663,0.4199,5.9814,-11.9629,38.0249
73531.0000,-0.0518,0.9697,0.4170,5.9814,-12.2681,39.1846
73532.0000,-0.0459,0.9619,0.4146,5.7983,-12.8174,40.2222
73533.0000,-0.0420,0.9634,0.4121,5.7373,-13.4277,41.2598
73534.0000,-0.0269,0.9683,0.4131,5.6763,-14.2822,42.7856
73535.0000,-0.0020,0.9658,0.4194,5.6763,-15.2588,44.7998
73536.0000,0.0107,0.9604,0.4155,5.7373,-15.5029,45.9595
73537.0000,0.0171,0.9546,0.4087,5.9814,-15.8691,47.1802
73538.0000,0.0293,0.9502,0.4082,6.3477,-16.2354,47.9126
73539.0000,0.0391,0.9502,0.4072,6.5918,-16.5405,48.2178
73540.0000,0.0498,0.9502,0.4082,6.8970,-16.7236,48.6450
73541.0000,0.0635,0.9487,0.4028,7.3242,-16.9678,49.3164
