timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
460337.0000,-0.1353,0.9976,0.3682,5.6763,-10.1318,43.5791
460338.0000,-0.0947,0.9839,0.3555,5.2490,-9.9487,45.4712
460339.0000,-0.0640,0.9717,0.3481,4.9438,-9.6436,46.8750
460340.0000,-0.0337,0.9624,0.3447,4.5166,-9.0332,47.3022
460341.0000,0.0029,0.9590,0.3364,3.9062,-8.0566,46.8750
460342.0000,0.0259,0.9570,0.3364,3.2349,-7.2021,45.7764
460343.0000,0.0542,0.9517,0.3315,2.6855,-6.4087,44.3726
460344.0000,0.0854,0.9414,0.3242,1.7700,-4.9438,41.3818
460345.0000,0.1118,0.9360,0.3223,1.2817,-3.6621,38.7573
460346.0000,0.1318,0.9355,0.3184,0.6714,-2.2583,35.5225
460347.0000,0.1562,0.9385,0.3174,-0.3052,-0.2441,31.0059
460348.0000,0.1743,0.9390,0.3188,-0.9766,1.4038,27.3438
460349.0000,0.1885,0.9375,0.3159,-1.5259,3.0518,23.3154
460350.0000,0.2031,0.9385,0.3164,-2.4414,5.4321,17.0898
460351.0000,0.2100,0.9443,0.3193,-3.2349,7.2021,12.0850
460352.0000,0.2173,0.9487,0.3213,-4.0894,9.0332,6.8970
460353.0000,0.2231,0.9536,0.3242,-5.0049,11.4136,-0.7935
460354.0000,0.2251,0.9556,0.3262,-5.7983,13.3057,-6.7139
460355.0000,0.2222,0.9575,0.3306,-6.6528,14.8315,-13.1226
460356.0000,0.2202,0.9536,0.3271,-7.7515,17.2119,-21.3623
460357.0000,0.2134,0.9468,0.3301,-8.6060,18.9819,-27.9541
460358.0000,0.2036,0.9414,0.3330,-9.3994,20.8130,-34.6069
460359.0000,0.1807,0.9307,0.3306,-10.3149,23.1934,-43.3350
460360.0000,0.1606,0.9258,0.3335,-10.8643,24.9023,-49.7437
460361.0000,0.1323,0.9180,0.3311,-11.2305,26.4893,-55.5420
460362.0000,0.0835,0.9336,0.3398,-11.8408,28.3813,-62.5000
460363.0000,0.0342,0.9697,0.3613,-12.3901,29.7241,-66.1621
460364.0000,-0.0215,0.9937,0.3750,-13.2446,30.3955,-67.9321
460365.0000,-0.1035,0.9971,0.3784,-14.2212,30.7617,-67.0776
460366.0000,-0.1807,0.9844,0.3813,-14.4653,30.2734,-63.5986
460367.0000,-0.2671,0.9751,0.3975,-13.7939,28.8086,-57.0068
460368.0000,-0.3667,0.9858,0.4150,-11.8408,24.1089,-42.9688
460369.0000,-0.4141,1.0098,0.4360,-10.1929,18.8599,-29.2969
460370.0000,-0.4297,1.0352,0.4521,-8.6670,13.3667,-15.1367
460371.0000,-0.4307,1.0430,0.4580,-7.2632,7.2021,2.0142
460372.0000,-0.4282,1.0479,0.4614,-6.3477,3.4790,13.1836
460373.0000,-0.4092,1.0601,0.4727,-5.6152,0.1831,22.3999
460374.0000,-0.3682,1.0483,0.4629,-5.2490,-3.4790,31.2500
460375.0000,-0.3374,1.0195,0.4526,-4.9438,-5.6152,36.4990
460376.0000,-0.2988,1.0024,0.4482,-4.5166,-7.5684,41.7480
460377.0000,-0.2393,0.9912,0.4395,-3.9062,-10.1318,48.2178
460378.0000,-0.2002,0.9819,0.4346,-3.4180,-11.5356,52.1851
460379.0000,-0.1626,0.9668,0.4287,-3.1738,-12.8174,55.7251
460380.0000,-0.1113,0.9561,0.4199,-2.9297,-13.9771,58.8379
460381.0000,-0.0708,0.9531,0.4180,-2.6855,-14.2212,59.9976
460382.0000,-0.0332,0.9512,0.4126,-2.6855,-14.3433,60.0586
460383.0000,0.0186,0.9404,0.4048,-2.8687,-13.6108,58.6548
460384.0000,0.0503,0.9331,0.3994,-3.1128,-12.8784,56.7017
460385.0000,0.0850,0.9229,0.3960,-3.2959,-11.7188,54.5654
460386.0000,0.1235,0.9194,0.3901,-3.7231,-10.0098,51.0254
460387.0000,0.1553,0.9185,0.3862,-4.0283,-8.4839,48.3398
460388.0000,0.1802,0.9160,0.3838,-4.3335,-6.7749,45.3491
460389.0000,0.2090,0.9170,0.3833,-4.8828,-4.0894,40.5884
460390.0000,0.2256,0.9180,0.3818,-5.3101,-1.8921,36.6211
460391.0000,0.2412,0.9155,0.3828,-5.7373,0.4883,31.9824
460392.0000,0.2529,0.9150,0.3857,-6.4087,3.4180,25.2686
