timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
453167.0000,0.0649,0.9771,0.3794,1.3428,-0.6104,-4.3335
453168.0000,0.0654,0.9766,0.3813,1.2817,-0.1221,-4.8828
453169.0000,0.0601,0.9780,0.3818,1.0986,0.3662,-5.6152
453170.0000,0.0552,0.9771,0.3813,0.9766,1.0986,-6.4087
453171.0000,0.0498,0.9746,0.3804,0.8545,1.4648,-6.8970
453172.0000,0.0474,0.9746,0.3770,0.6714,1.6479,-7.2021
453173.0000,0.0439,0.9780,0.3779,0.6104,2.0142,-7.2632
453174.0000,0.0381,0.9810,0.3818,0.5493,2.1362,-7.4463
453175.0000,0.0347,0.9800,0.3823,0.4272,2.3193,-7.4463
453176.0000,0.0308,0.9819,0.3774,0.2441,2.3804,-7.7515
453177.0000,0.0288,0.9810,0.3813,0.0000,2.4414,-8.1177
453178.0000,0.0234,0.9814,0.3799,-0.0610,2.3193,-8.3618
453179.0000,0.0186,0.9795,0.3843,-0.1221,2.2583,-8.4839
453180.0000,0.0171,0.9800,0.3794,-0.1831,2.2583,-8.4839
453181.0000,0.0215,0.9805,0.3848,-0.3052,2.1362,-8.3618
453182.0000,0.0205,0.9771,0.3813,-0.3662,2.2583,-7.8125
453183.0000,0.0161,0.9795,0.3804,-0.4272,2.3193,-7.2632
453184.0000,0.0112,0.9761,0.3813,-0.4272,2.5024,-6.7139
453185.0000,0.0127,0.9790,0.3828,-0.4883,2.1973,-6.2256
453186.0000,0.0142,0.9785,0.3843,-0.5493,2.0752,-6.0425
453187.0000,0.0156,0.9775,0.3823,-0.6714,2.0142,-5.4321
453188.0000,0.0137,0.9756,0.3838,-0.6714,2.0142,-4.8828
453189.0000,0.0117,0.9736,0.3838,-0.4883,1.8921,-4.3335
453190.0000,0.0112,0.9761,0.3833,-0.4883,1.7090,-3.7231
453191.0000,0.0112,0.9756,0.3838,-0.4883,1.6479,-3.4790
453192.0000,0.0103,0.9780,0.3833,-0.4272,1.5869,-3.6621
453193.0000,0.0103,0.9795,0.3828,-0.5493,1.5259,-3.9673
453194.0000,0.0137,0.9795,0.3818,-0.6714,1.4648,-4.5166
453195.0000,0.0166,0.9766,0.3843,-0.7935,1.4648,-4.8828
453196.0000,0.0186,0.9756,0.3828,-0.9155,1.5869,-5.4932
453197.0000,0.0205,0.9712,0.3809,-0.8545,1.5869,-6.1646
453198.0000,0.0239,0.9731,0.3794,-0.9766,1.7700,-6.9580
453199.0000,0.0234,0.9678,0.3774,-0.9766,1.7700,-7.5073
453200.0000,0.0234,0.9673,0.3789,-0.9766,1.7700,-8.0566
453201.0000,0.0210,0.9717,0.3809,-0.9155,1.7700,-8.3618
453202.0000,0.0176,0.9751,0.3809,-1.0986,1.8311,-9.0942
453203.0000,0.0171,0.9731,0.3794,-1.4038,1.5869,-10.3149
453204.0000,0.0171,0.9688,0.3789,-1.5869,1.5259,-11.0474
453205.0000,0.0156,0.9761,0.3823,-1.7090,1.6479,-11.5967
453206.0000,0.0098,0.9785,0.3853,-2.0142,1.8921,-12.2681
453207.0000,0.0078,0.9751,0.3833,-2.2583,2.0142,-12.4512
453208.0000,0.0049,0.9697,0.3833,-2.4414,2.3193,-12.8784
453209.0000,-0.0020,0.9673,0.3848,-2.3804,2.3804,-13.0005
453210.0000,-0.0068,0.9688,0.3848,-2.3193,2.4414,-12.6953
453211.0000,-0.0098,0.9683,0.3828,-2.3804,2.5024,-11.8408
453212.0000,-0.0166,0.9697,0.3838,-2.2583,2.6855,-10.4370
453213.0000,-0.0303,0.9741,0.3916,-2.3193,2.8076,-9.0942
453214.0000,-0.0425,0.9761,0.3975,-2.2583,2.8687,-7.9956
453215.0000,-0.0645,0.9624,0.3931,-2.0142,2.8076,-6.2256
453216.0000,-0.0889,0.9478,0.3887,-1.5869,2.6245,-3.6011
453217.0000,-0.1226,0.9414,0.3921,-0.7935,1.9531,1.0376
453218.0000,-0.1699,0.9580,0.4087,0.6104,0.1221,10.1929
453219.0000,-0.1938,0.9805,0.4248,1.8311,-1.9531,18.2495
453220.0000,-0.2026,0.9927,0.4346,2.6245,-4.0894,26.3062
453221.0000,-0.2192,0.9644,0.4229,3.2349,-6.4697,36.5601
453222.0000,-0.2510,0.9219,0.4165,4.2725,-7.8125,45.8984
453223.0000,-0.2925,0.9004,0.4175,6.4697,-10.1929,59.2041
453224.0000,-0.3262,0.9062,0.4297,10.6201,-15.6250,82.3364
453225.0000,-0.3091,0.9385,0.4419,14.0991,-21.3623,100.7690
453226.0000,-0.2559,0.9609,0.4502,16.9067,-26.7334,116.4551
453227.0000,-0.1846,0.9478,0.4121,19.1040,-31.4331,131.5918
453228.0000,-0.1328,0.9575,0.4009,20.0195,-33.6304,139.9536
453229.0000,-0.0605,0.9746,0.4062,19.9585,-35.5225,145.2637
453230.0000,0.0327,0.9644,0.3843,18.8599,-36.4990,147.4609
453231.0000,0.0977,0.9604,0.3647,17.7612,-36.1328,146.6675
453232.0000,0.1621,0.9658,0.3594,16.4185,-35.1562,143.7378
453233.0000,0.2393,0.9595,0.3511,14.3433,-33.3862,135.6812
453234.0000,0.2847,0.9521,0.3384,13.0005,-31.4331,126.7090
453235.0000,0.3179,0.9409,0.3296,11.4746,-29.4800,116.6382
453236.0000,0.3682,0.9321,0.3193,9.7656,-27.4658,104.3091
453237.0000,0.4146,0.9282,0.3135,8.3618,-26.6113,96.4355
453238.0000,0.4644,0.9170,0.3081,7.0801,-26.0010,89.9658
453239.0000,0.5156,0.8838,0.2993,5.6152,-24.7192,82.8857
453240.0000,0.5396,0.8662,0.2939,5.0659,-23.6206,78.2471
453241.0000,0.5576,0.8594,0.2949,4.5776,-22.3999,72.8149
453242.0000,0.5845,0.8721,0.2998,4.3335,-20.6909,63.3545
453243.0000,0.5991,0.8857,0.3022,3.8452,-18.7988,53.8940
453244.0000,0.6172,0.8896,0.3057,3.1738,-16.7847,42.8467
453245.0000,0.6436,0.9009,0.3022,1.9531,-13.7329,27.2217
453246.0000,0.6675,0.9048,0.2974,0.7324,-11.4746,15.6250
453247.0000,0.6924,0.8994,0.2930,-0.2441,-8.7891,4.4556
453250.0000,0.7188,0.8906,0.2812,-4.3945,2.8076,-29.3579
453251.0000,0.7100,0.8901,0.2856,-5.7983,7.8735,-42.2974
453252.0000,0.6934,0.8955,0.2891,-6.5308,11.6577,-52.1851
453253.0000,0.6729,0.9092,0.2954,-7.8735,16.2354,-65.5518
453254.0000,0.6558,0.9224,0.2988,-9.0942,19.5312,-75.4395
453255.0000,0.6455,0.9238,0.2974,-10.5591,22.9492,-85.5713
453256.0000,0.6187,0.9194,0.3013,-12.3291,27.6489,-99.2432
453257.0000,0.5942,0.9224,0.3018,-13.3667,31.3110,-109.1309
453258.0000,0.5752,0.9307,0.3027,-14.7095,34.3628,-117.9810
453259.0000,0.5513,0.9326,0.3062,-16.5405,38.7573,-128.9673
453260.0000,0.5264,0.9209,0.3086,-17.8833,42.2363,-136.3525
453261.0000,0.4932,0.9097,0.3120,-19.1040,45.8374,-143.0664
453262.0000,0.4351,0.8955,0.3149,-20.5078,50.4761,-151.3672
453263.0000,0.3882,0.8770,0.3203,-21.4233,53.5889,-157.1045
453264.0000,0.3335,0.8589,0.3252,-21.8506,56.3354,-162.3535
453265.0000,0.2354,0.8115,0.3271,-22.2168,60.0586,-168.0298
453266.0000,0.1294,0.7710,0.3193,-21.6675,62.5610,-169.9219
453267.0000,0.0059,0.7632,0.3315,-20.3247,64.0259,-167.7246
453268.0000,-0.1504,0.8086,0.3794,-17.5781,62.4390,-159.3628
453269.0000,-0.2441,0.8369,0.4043,-15.2588,58.7158,-150.3296
453270.0000,-0.3262,0.8486,0.4053,-13.1226,54.3213,-139.2212
453271.0000,-0.4062,0.8481,0.4146,-10.0098,46.5698,-119.5068
453272.0000,-0.4385,0.8276,0.4155,-7.1411,39.1235,-99.8535
453273.0000,-0.4658,0.8413,0.4268,-3.2959,31.7993,-76.0498
453274.0000,-0.4702,0.9326,0.4551,1.7700,21.4233,-42.6636
453275.0000,-0.4448,0.9995,0.4600,4.2725,14.2822,-21.9727
453276.0000,-0.4253,1.0303,0.4541,5.2490,9.0332,-6.8359
453277.0000,-0.4014,1.0479,0.4478,5.4321,4.3335,4.5776
453278.0000,-0.3857,1.0474,0.4448,5.3101,1.1597,9.0332
453279.0000,-0.3447,1.0400,0.4277,5.1270,-2.3193,11.2305
453280.0000,-0.2642,1.0425,0.4155,4.7607,-5.7373,11.9019
453281.0000,-0.2100,1.0469,0.4136,4.6387,-6.5918,11.2915
453282.0000,-0.1772,1.0459,0.4131,4.5776,-6.5308,10.1929
453283.0000,-0.1641,1.0337,0.4082,4.3335,-6.2256,8.6670
453284.0000,-0.1587,1.0288,0.4048,4.0283,-6.5918,8.1787
453285.0000,-0.1484,1.0220,0.4009,3.5400,-7.4463,7.9956
453286.0000,-0.1318,1.0068,0.3945,2.3193,-8.9722,8.7280
453287.0000,-0.1108,0.9883,0.3872,1.6479,-9.7656,9.9487
453288.0000,-0.0913,0.9751,0.3901,1.0376,-10.2539,12.0850
453289.0000,-0.0664,0.9551,0.3809,0.3662,-10.5591,15.1367
453290.0000,-0.0522,0.9404,0.3799,0.0000,-10.6201,17.2119
453291.0000,-0.0410,0.9263,0.3740,-0.3052,-10.3760,18.5547
453292.0000,-0.0278,0.9175,0.3745,-0.4883,-9.9487,19.3481
453293.0000,-0.0186,0.9150,0.3760,-0.7324,-9.5825,19.1040
453294.0000,-0.0078,0.9062,0.3726,-1.0986,-9.6436,18.2495
453295.0000,0.0112,0.8975,0.3677,-1.5259,-9.3384,16.2354
453296.0000,0.0327,0.9019,0.3691,-1.6479,-8.7280,14.3433
453297.0000,0.0449,0.9106,0.3726,-1.5259,-7.7515,12.3901
453298.0000,0.0532,0.9116,0.3750,-1.5869,-6.4087,9.6436
453299.0000,0.0581,0.9053,0.3726,-1.5869,-5.7373,7.9956
453300.0000,0.0635,0.8975,0.3662,-1.5259,-5.1270,6.4087
453301.0000,0.0728,0.9023,0.3726,-1.2817,-3.7231,4.2725
453302.0000,0.0728,0.9111,0.3750,-1.1597,-2.3193,2.5635
453303.0000,0.0654,0.9258,0.3809,-1.0986,-0.7935,0.7324
453304.0000,0.0562,0.9370,0.3838,-1.2207,0.7935,-2.0752
453305.0000,0.0430,0.9492,0.3887,-1.0986,2.1362,-4.3945
453306.0000,0.0303,0.9600,0.3940,-1.2207,3.1738,-6.8359
453307.0000,0.0112,0.9805,0.3984,-1.2817,4.2114,-10.0098
453308.0000,-0.0044,0.9849,0.3999,-1.3428,4.9438,-12.0850
453309.0000,-0.0254,0.9824,0.4004,-1.4038,5.2490,-13.7939
453310.0000,-0.0552,0.9766,0.4033,-1.2207,5.3101,-15.1978
453311.0000,-0.0723,0.9751,0.4023,-1.0986,5.0049,-15.5029
453312.0000,-0.0913,0.9751,0.4028,-0.9155,4.7607,-15.5640
453313.0000,-0.1167,0.9810,0.4033,-0.7935,4.0894,-14.6484
453314.0000,-0.1372,0.9795,0.4058,-0.8545,3.2349,-13.4277
453315.0000,-0.1558,0.9829,0.4033,-0.8545,2.1362,-11.7188
453316.0000,-0.1694,0.9893,0.4092,-0.9155,0.6104,-9.0332
453317.0000,-0.1709,0.9927,0.4170,-1.0986,-0.6714,-6.8970
453318.0000,-0.1748,0.9858,0.4097,-1.2207,-2.0142,-4.4556
453319.0000,-0.1812,0.9712,0.4019,-1.1597,-3.7842,0.6104
453320.0000,-0.1802,0.9692,0.4019,-0.9155,-5.3711,5.3101
453321.0000,-0.1763,0.9678,0.4072,-0.5493,-6.9580,10.3149
453322.0000,-0.1807,0.9570,0.4004,-0.1221,-8.8501,16.4185
453323.0000,-0.2007,0.9277,0.3853,0.4883,-10.1929,21.7285
453324.0000,-0.2314,0.8965,0.3740,1.8921,-12.1460,29.9683
453325.0000,-0.2603,0.8926,0.3896,4.8218,-17.2119,46.7529
453326.0000,-0.2588,0.9160,0.4058,7.3242,-22.0947,62.3169
453327.0000,-0.2383,0.9355,0.4160,9.5215,-27.1606,78.5522
453328.0000,-0.2090,0.9214,0.4131,11.7188,-32.5317,98.0225
453329.0000,-0.2188,0.8765,0.3970,13.5498,-35.5225,111.6943
453330.0000,-0.2417,0.8345,0.3760,15.9912,-38.9404,127.4414
453331.0000,-0.2329,0.8374,0.3877,20.0195,-45.8374,152.4048
453332.0000,-0.1792,0.8525,0.4004,22.3999,-51.9409,170.8374
453333.0000,-0.1182,0.8667,0.3877,24.3530,-56.2744,187.1948
