timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
365224.0000,-0.0215,0.9463,0.4766,0.1831,1.9531,0.6714
365225.0000,-0.0161,0.9453,0.4707,0.0000,2.4414,0.6714
365226.0000,-0.0166,0.9434,0.4722,0.0000,2.9907,0.6714
365227.0000,-0.0215,0.9404,0.4717,0.0610,3.2959,0.4883
365228.0000,-0.0293,0.9419,0.4683,0.1221,3.6011,0.3052
365229.0000,-0.0356,0.9414,0.4727,0.3052,3.4180,0.3052
365230.0000,-0.0400,0.9424,0.4702,0.3052,3.1738,0.1831
365231.0000,-0.0386,0.9468,0.4731,0.2441,2.7466,0.0000
365232.0000,-0.0317,0.9512,0.4727,0.2441,2.6245,-0.2441
365233.0000,-0.0273,0.9551,0.4741,0.0610,2.5024,-0.3052
365234.0000,-0.0254,0.9468,0.4688,-0.3662,2.8076,-0.4272
365235.0000,-0.0264,0.9434,0.4688,-0.4272,3.0518,-0.1221
365236.0000,-0.0244,0.9468,0.4683,-0.4272,3.3569,-0.1221
365237.0000,-0.0269,0.9468,0.4692,-0.4883,3.5400,-0.1831
365238.0000,-0.0308,0.9443,0.4702,-0.5493,3.6011,0.1221
365239.0000,-0.0356,0.9414,0.4683,-0.5493,3.4790,0.1831
365240.0000,-0.0312,0.9453,0.4741,-0.3662,3.2959,0.2441
365241.0000,-0.0234,0.9478,0.4712,-0.4883,3.3569,0.4883
365242.0000,-0.0137,0.9468,0.4673,-0.3662,3.9062,0.6104
365243.0000,0.0000,0.9473,0.4604,-0.4272,5.2490,1.2207
365244.0000,0.0044,0.9463,0.4604,-0.1831,6.5918,1.7090
365245.0000,0.0083,0.9478,0.4604,-0.3052,8.1177,2.0752
365246.0000,0.0288,0.9497,0.4590,-0.3052,10.6812,3.1738
365247.0000,0.0547,0.9512,0.4565,-0.3662,13.3667,4.7607
365248.0000,0.0894,0.9482,0.4507,-0.0610,17.2119,6.5308
365249.0000,0.1240,0.9355,0.4312,0.6104,24.1699,9.8877
365250.0000,0.1318,0.9341,0.4248,1.5259,30.3955,12.2681
365251.0000,0.1221,0.9404,0.4199,2.4414,36.8042,14.2822
365252.0000,0.0957,0.9556,0.4136,3.3569,44.1284,16.9067
365253.0000,0.0854,0.9702,0.4102,3.6011,49.0112,18.6157
365254.0000,0.0967,0.9751,0.3979,3.4790,53.6499,20.6299
