timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
380519.0000,-0.4380,0.9800,0.4121,24.5361,163.2690,33.7524
380520.0000,-0.4761,0.9814,0.4468,22.9492,141.1743,26.1841
380521.0000,-0.4365,1.0288,0.4834,20.1416,110.8398,16.1133
380522.0000,-0.3564,1.0518,0.4951,16.5405,90.1489,9.8267
380523.0000,-0.2778,1.0420,0.4990,12.2681,72.6318,5.1270
380524.0000,-0.2349,1.0000,0.5000,7.1411,53.2227,0.4272
380525.0000,-0.2476,0.9707,0.5000,4.5776,39.3677,-2.3804
380526.0000,-0.2632,0.9585,0.5078,2.6245,24.2920,-4.7607
380527.0000,-0.2310,0.9692,0.5107,0.6104,3.9062,-7.9956
380528.0000,-0.1733,0.9731,0.5044,-0.7935,-9.8267,-10.1318
380529.0000,-0.0957,0.9751,0.4966,-2.6855,-21.2402,-11.2305
380530.0000,0.0039,0.9658,0.4912,-5.0659,-31.7383,-12.5732
380531.0000,0.0557,0.9497,0.4775,-6.2256,-36.4380,-13.1836
380532.0000,0.0757,0.9346,0.4756,-7.1411,-39.3677,-14.1602
380533.0000,0.0830,0.9277,0.4824,-7.3853,-42.6636,-15.5640
380534.0000,0.0986,0.9302,0.4790,-7.3853,-45.1050,-16.5405
380535.0000,0.1509,0.9336,0.4785,-7.5684,-47.7295,-17.0288
380536.0000,0.2051,0.9316,0.4756,-7.1411,-47.7905,-17.0898
380537.0000,0.2480,0.9248,0.4717,-6.8359,-45.8374,-17.0288
380538.0000,0.2754,0.9160,0.4722,-5.7373,-40.8936,-16.9678
380539.0000,0.2607,0.9136,0.4717,-4.5776,-36.6211,-17.1509
380540.0000,0.2349,0.9092,0.4766,-3.5400,-33.4473,-17.2729
380541.0000,0.2134,0.9146,0.4790,-2.0752,-30.7007,-16.9067
380542.0000,0.2266,0.9282,0.4780,-1.3428,-29.0527,-16.4795
380543.0000,0.2534,0.9419,0.4756,-1.1597,-26.5503,-15.5640
