timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
189709.0000,0.2466,0.9507,0.3999,-3.1738,-2.8687,-25.6958
189710.0000,0.2529,0.9556,0.3975,-3.4180,-3.5400,-25.0854
189711.0000,0.2607,0.9565,0.3999,-3.7231,-3.9062,-24.3530
189712.0000,0.2617,0.9551,0.3970,-3.9673,-3.9062,-23.5596
189713.0000,0.2520,0.9541,0.3960,-4.0283,-3.6011,-23.0713
189714.0000,0.2368,0.9478,0.3989,-3.9062,-3.4790,-23.0103
189715.0000,0.2217,0.9526,0.4014,-3.8452,-4.0283,-23.1323
189716.0000,0.2183,0.9570,0.4019,-3.8452,-5.3711,-23.4375
189717.0000,0.2275,0.9634,0.4058,-4.0894,-6.2256,-23.6816
189718.0000,0.2383,0.9658,0.4058,-4.8828,-6.7749,-23.5596
189719.0000,0.2534,0.9634,0.4077,-6.1035,-6.6528,-22.7051
189720.0000,0.2612,0.9570,0.4043,-6.5918,-5.9814,-21.7285
189721.0000,0.2622,0.9492,0.4048,-6.7139,-5.0049,-20.9961
189722.0000,0.2485,0.9463,0.4023,-6.7139,-3.6621,-19.9585
189723.0000,0.2339,0.9424,0.4009,-6.4087,-3.2349,-18.9819
189724.0000,0.2290,0.9370,0.4058,-5.9814,-3.1128,-18.1274
189725.0000,0.2329,0.9360,0.4087,-5.3101,-2.9297,-16.6016
189726.0000,0.2490,0.9399,0.4082,-5.1270,-2.5635,-15.0757
189727.0000,0.2734,0.9429,0.4053,-4.8218,-1.4648,-13.2446
189728.0000,0.3032,0.9438,0.4077,-4.5166,1.5259,-10.2539
189729.0000,0.3135,0.9395,0.4048,-3.9673,5.1270,-8.3008
189730.0000,0.3076,0.9385,0.4058,-3.6011,8.8501,-6.6528
189731.0000,0.3022,0.9424,0.4014,-3.4180,13.1836,-4.3335
189732.0000,0.3159,0.9419,0.4102,-3.3569,16.6016,-2.3193
189733.0000,0.3521,0.9434,0.4043,-3.1738,20.7520,0.1831
189734.0000,0.4194,0.9453,0.3882,-2.2583,28.7476,4.8218
189735.0000,0.4585,0.9424,0.3809,-1.2817,37.1094,7.9346
189736.0000,0.4604,0.9277,0.3740,-0.1831,47.2412,10.8032
189737.0000,0.3975,0.9111,0.3691,2.0142,59.8145,13.5498
