timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
392776.0000,0.4160,0.8906,0.3975,-8.3618,-110.9009,-51.7578
392777.0000,0.3843,0.9121,0.4077,-6.8359,-104.0039,-49.2554
392778.0000,0.3926,0.9419,0.4316,-6.0425,-96.0083,-46.2646
392779.0000,0.4287,0.9585,0.4375,-6.2866,-89.0503,-43.7622
392780.0000,0.4634,0.9604,0.4355,-6.4697,-80.5054,-41.1987
392781.0000,0.4761,0.9375,0.4365,-6.5918,-67.2607,-37.4146
392782.0000,0.4395,0.9077,0.4385,-5.6763,-57.3730,-35.0342
392783.0000,0.3784,0.8877,0.4404,-3.8452,-48.9502,-33.3252
392784.0000,0.2983,0.8804,0.4419,-0.9155,-40.7104,-32.5928
392785.0000,0.2529,0.8877,0.4438,1.2817,-36.6211,-32.8979
392786.0000,0.2285,0.9019,0.4443,3.1738,-33.8745,-33.3862
392787.0000,0.2231,0.9204,0.4419,5.1270,-30.8228,-33.5083
392788.0000,0.2319,0.9302,0.4395,6.1035,-28.3813,-33.1421
392789.0000,0.2383,0.9316,0.4331,6.8970,-25.6958,-32.1655
392790.0000,0.2236,0.9360,0.4272,7.9956,-21.9727,-30.0903
392791.0000,0.2026,0.9370,0.4268,8.8501,-19.7144,-28.6865
392792.0000,0.1826,0.9453,0.4170,9.6436,-18.0664,-27.2827
392793.0000,0.1553,0.9526,0.4141,10.4980,-17.0288,-25.6348
392794.0000,0.1411,0.9600,0.4150,10.8032,-17.0898,-24.9023
392795.0000,0.1372,0.9658,0.4141,11.1694,-17.5781,-24.1699
392796.0000,0.1465,0.9717,0.4077,10.7422,-18.0664,-23.3154
392797.0000,0.1523,0.9731,0.4092,10.4370,-18.0664,-22.7051
392798.0000,0.1543,0.9702,0.4053,10.3760,-17.7612,-22.2778
392799.0000,0.1396,0.9619,0.4038,10.1929,-17.2729,-21.7896
392800.0000,0.1216,0.9688,0.4043,10.0708,-17.2729,-21.6675
392801.0000,0.1152,0.9790,0.4087,9.3994,-17.8223,-21.4233
392802.0000,0.1309,0.9951,0.4126,7.9956,-18.6157,-20.4468
392803.0000,0.1606,1.0000,0.4150,6.5308,-18.3716,-19.4092
392804.0000,0.1875,1.0020,0.4141,5.0049,-16.9678,-18.0664
