timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
396106.0000,0.0327,0.9604,0.4321,-2.8076,7.4463,-2.9297
396107.0000,-0.0176,0.9546,0.4390,-2.9907,3.3569,-4.1504
396108.0000,-0.0581,0.9580,0.4438,-3.1128,-1.4648,-5.2490
396109.0000,-0.0771,0.9644,0.4507,-3.6011,-7.6904,-6.5308
396110.0000,-0.0454,0.9810,0.4556,-4.9438,-16.4795,-7.8735
396111.0000,0.0195,0.9961,0.4575,-6.4697,-21.6675,-8.7280
396112.0000,0.0884,0.9985,0.4536,-8.1177,-24.1089,-9.6436
396113.0000,0.1455,0.9790,0.4561,-9.6436,-23.7427,-10.8032
396114.0000,0.1543,0.9614,0.4521,-10.0708,-22.1558,-11.5967
396115.0000,0.1499,0.9463,0.4512,-10.1318,-20.5688,-12.4512
396116.0000,0.1523,0.9399,0.4546,-9.7656,-18.7988,-13.7939
396117.0000,0.1631,0.9370,0.4561,-9.2773,-17.3340,-14.5264
396118.0000,0.1777,0.9297,0.4609,-8.6670,-15.5029,-15.0146
396119.0000,0.1899,0.9170,0.4644,-7.6294,-11.9629,-15.3809
396120.0000,0.1860,0.9131,0.4624,-6.4087,-8.9722,-15.4419
396121.0000,0.1714,0.9092,0.4619,-5.1880,-6.0425,-15.0146
396122.0000,0.1406,0.9155,0.4653,-3.6621,-3.1128,-14.4043
396123.0000,0.1191,0.9253,0.4717,-2.6855,-1.8921,-13.7329
396124.0000,0.0898,0.9297,0.4751,-1.9531,-1.4038,-12.9395
396125.0000,0.0601,0.9302,0.4800,-1.2207,-2.0752,-12.4512
396126.0000,0.0308,0.9292,0.4844,-0.5493,-3.2959,-12.5732
396127.0000,-0.0049,0.9277,0.4839,0.0000,-5.4932,-12.8784
396128.0000,-0.0420,0.9336,0.4844,0.7324,-10.1929,-13.8550
396129.0000,-0.0635,0.9370,0.4819,1.0376,-14.7705,-14.7095
396130.0000,-0.0918,0.9375,0.4800,1.3428,-20.1416,-15.7471
396131.0000,-0.1499,0.9453,0.4771,1.5259,-28.9917,-17.5171
396132.0000,-0.1938,0.9600,0.4810,1.2817,-37.5366,-19.3481
396133.0000,-0.2275,0.9678,0.4761,0.9155,-47.8516,-21.4844
396134.0000,-0.2642,0.9639,0.4575,-0.2441,-63.4766,-24.2920
396135.0000,-0.3140,0.9570,0.4521,-0.8545,-76.2939,-26.4893
396136.0000,-0.4092,0.9443,0.4478,-1.4648,-90.7593,-29.3579
396137.0000,-0.5454,0.9683,0.4565,-2.6855,-115.6616,-34.3628
396138.0000,-0.5786,0.9995,0.4517,-3.7231,-139.0991,-38.6353
396139.0000,-0.5034,1.0176,0.4165,-5.3101,-163.8184,-42.6636
396140.0000,-0.2769,1.0000,0.3516,-7.7515,-190.0635,-46.8750
396141.0000,-0.1626,0.9692,0.3193,-9.5825,-201.5381,-49.1943
396142.0000,-0.1304,0.9551,0.2998,-10.1929,-209.9609,-50.9033
396143.0000,-0.1621,0.9648,0.2905,-10.1318,-222.1069,-52.8564
396144.0000,-0.1714,0.9922,0.2593,-10.4370,-233.3984,-54.1992
396145.0000,-0.1230,1.0205,0.2339,-11.7188,-244.8730,-55.7251
396146.0000,-0.0132,1.0308,0.2031,-14.2212,-255.9204,-57.6782
396147.0000,0.0649,1.0337,0.1826,-16.0522,-260.8032,-59.3872
396148.0000,0.1191,1.0283,0.1753,-17.8833,-262.8174,-60.3638
396149.0000,0.1206,1.0283,0.1709,-20.2637,-263.8550,-61.8286
396150.0000,0.1235,1.0459,0.1831,-21.9116,-265.0757,-62.9883
396151.0000,0.1543,1.0723,0.1924,-23.8037,-266.8457,-64.3921
396152.0000,0.2695,1.0903,0.1968,-27.0996,-266.9067,-65.3687
396153.0000,0.3657,1.0747,0.1978,-29.6021,-262.8174,-65.0024
396154.0000,0.3892,0.9868,0.1929,-27.0386,-253.6011,-65.6128
396155.0000,0.4805,0.9360,0.2080,-28.3813,-242.0654,-59.3872
396156.0000,0.4551,0.9189,0.2642,-30.5176,-232.4829,-56.6406
396157.0000,0.4087,0.8760,0.2969,-26.0010,-221.7407,-55.9692
396158.0000,0.4272,0.8516,0.3218,-18.0664,-209.8389,-54.7485
396159.0000,0.5181,0.8721,0.3452,-14.2822,-199.7681,-53.2227
396160.0000,0.5903,0.8760,0.3774,-12.0239,-186.2183,-51.2085
396161.0000,0.6274,0.8618,0.4219,-9.2773,-163.8184,-47.7295
396162.0000,0.5820,0.8418,0.4473,-5.9814,-146.7285,-45.1660
396163.0000,0.5078,0.8325,0.4414,-1.1597,-131.8359,-42.6025
396164.0000,0.4521,0.8501,0.4316,6.5308,-116.2109,-39.9780
396165.0000,0.4644,0.8867,0.4219,11.8408,-105.2856,-37.9028
396166.0000,0.4976,0.9360,0.4043,15.2588,-92.6514,-35.7666
396167.0000,0.5029,0.9624,0.3955,18.2495,-72.8760,-33.2031
396168.0000,0.4521,0.9629,0.3882,20.1416,-58.7158,-31.4331
396169.0000,0.3662,0.9795,0.3740,21.3623,-46.6919,-29.4800
396170.0000,0.2568,1.0293,0.3652,21.3623,-36.4990,-25.9399
396171.0000,0.2173,1.0698,0.3501,20.6299,-32.4707,-22.9492
396172.0000,0.2363,1.1138,0.3198,18.6157,-29.2969,-19.9585
396173.0000,0.3154,1.1294,0.3027,14.7705,-22.5830,-16.2354
396174.0000,0.3550,1.0830,0.3003,12.3291,-14.1602,-13.8550
396175.0000,0.3442,1.0229,0.2949,10.9253,-4.3335,-11.4136
396176.0000,0.2817,0.9614,0.2935,10.8643,7.6904,-8.0566
396177.0000,0.2271,0.9497,0.3057,10.0098,13.7329,-5.0049
396178.0000,0.2114,0.9570,0.3184,10.6201,17.7612,-1.3428
396179.0000,0.2393,0.9712,0.3242,12.2681,23.3765,2.9297
396180.0000,0.2847,0.9795,0.3340,13.1836,28.6255,6.3477
396181.0000,0.3301,0.9834,0.3330,14.0991,35.8276,9.3994
396182.0000,0.3843,0.9746,0.3262,15.8691,48.2178,13.5498
396183.0000,0.3945,0.9746,0.3096,17.1509,59.4482,16.5405
396184.0000,0.3862,0.9854,0.2871,18.3716,71.0449,19.8975
396185.0000,0.3813,1.0044,0.2754,19.8364,86.0596,24.3530
396186.0000,0.3936,1.0264,0.2705,20.0806,96.8018,27.6489
396187.0000,0.4224,1.0381,0.2520,20.3857,107.6050,31.4941
396188.0000,0.4819,1.0381,0.2358,20.8130,124.3896,35.9497
396189.0000,0.5083,1.0283,0.2168,20.9961,138.7939,39.2456
396190.0000,0.5005,1.0024,0.1812,21.9116,159.3628,44.6167
396191.0000,0.4697,1.0015,0.1577,23.0713,174.1943,48.7061
396192.0000,0.4390,1.0137,0.1416,24.2310,187.5610,52.7954
396193.0000,0.4106,1.0347,0.1343,25.2686,203.1250,58.2275
396194.0000,0.3916,1.0259,0.1211,26.0620,213.8672,62.4390
396195.0000,0.3730,1.0137,0.0972,26.8555,223.6328,66.4673
396196.0000,0.3721,1.0376,0.0864,27.8320,235.8398,71.1060
396197.0000,0.3940,1.0806,0.0933,27.9541,245.0562,74.4019
396198.0000,0.4282,1.1392,0.0894,26.9775,255.1270,77.6367
396199.0000,0.4683,1.1572,0.0566,24.4751,270.2026,82.1533
396200.0000,0.4541,1.1152,0.0249,23.0103,282.8369,85.8154
396201.0000,0.3867,1.0586,-0.0195,22.3389,294.4946,89.1724
396202.0000,0.2661,1.0244,-0.0444,23.4375,305.5420,93.3228
396203.0000,0.2144,1.0581,-0.0449,24.5972,310.0586,95.5811
396204.0000,0.2236,1.1157,-0.0293,24.5361,313.1714,97.4731
396205.0000,0.2876,1.1792,-0.0239,22.9492,319.5801,100.1587
396206.0000,0.3262,1.1860,-0.0425,21.3623,326.5381,102.3560
396207.0000,0.3354,1.1670,-0.0786,19.4092,334.2285,105.2856
396208.0000,0.3018,1.1401,-0.1089,17.1509,343.5669,109.9243
396209.0000,0.2646,1.1372,-0.1191,16.0522,348.5718,113.4033
396210.0000,0.2402,1.1421,-0.1255,15.1367,352.4170,116.3330
396211.0000,0.2300,1.1621,-0.1338,13.5498,356.9336,119.0186
396212.0000,0.2261,1.1719,-0.1455,11.7188,360.6567,120.3613
396213.0000,0.2153,1.1821,-0.1646,9.7046,364.0747,121.3379
396214.0000,0.1929,1.1543,-0.1729,7.5073,367.7368,122.2534
396215.0000,0.1577,1.1348,-0.1807,6.6528,369.4458,122.7417
396216.0000,0.1230,1.1226,-0.1782,6.7139,369.7510,122.6807
396217.0000,0.0874,1.1318,-0.1597,5.9204,367.7368,122.5586
396218.0000,0.0762,1.1479,-0.1338,4.5776,365.2954,122.4365
396219.0000,0.0718,1.1543,-0.1167,2.9907,362.7930,122.3755
396220.0000,0.0439,1.1460,-0.1074,0.5493,359.4360,121.3379
396221.0000,0.0000,1.1196,-0.0840,-1.0986,356.2622,119.4458
396222.0000,-0.0474,1.0757,-0.0610,-1.9531,351.0742,116.8823
396223.0000,-0.0923,1.0288,-0.0308,-1.3428,342.1021,112.5488
396224.0000,-0.0996,1.0181,-0.0059,0.1221,334.4727,108.3984
396225.0000,-0.0859,1.0430,0.0400,0.6104,326.9043,103.3936
396226.0000,-0.0762,1.0874,0.1074,-0.6714,318.4204,96.4355
396227.0000,-0.0791,1.0908,0.1396,-2.3193,313.6597,90.3320
396228.0000,-0.1050,1.0688,0.1499,-4.4556,309.2651,83.8623
396229.0000,-0.1938,1.0225,0.1650,-6.7749,302.6733,73.3643
396230.0000,-0.2983,0.9883,0.2046,-7.5684,295.2271,64.2700
396231.0000,-0.4209,0.9580,0.2466,-7.3853,284.4238,54.6265
396232.0000,-0.5884,0.9487,0.3066,-6.0425,262.5122,43.7012
396233.0000,-0.6851,0.9814,0.3589,-6.1035,239.5630,37.4146
396234.0000,-0.7720,1.0186,0.4126,-7.4463,213.3789,33.4473
396235.0000,-0.8667,1.0562,0.4897,-12.2070,174.1943,30.0293
396236.0000,-0.9214,1.0381,0.5503,-16.4185,141.9678,27.9541
396237.0000,-0.9214,0.9829,0.6216,-20.0195,109.2529,24.9634
396238.0000,-0.8291,0.9175,0.6978,-21.7896,67.5659,19.5923
396239.0000,-0.6982,0.8975,0.7280,-21.7285,40.4663,15.1978
396240.0000,-0.5605,0.8774,0.7354,-21.1182,18.4326,11.2915
396241.0000,-0.3872,0.8374,0.7402,-19.3481,-2.8076,6.9580
396242.0000,-0.2778,0.8052,0.7383,-17.2119,-13.1836,5.0049
396243.0000,-0.1846,0.7788,0.7354,-14.7095,-19.6533,4.0283
396244.0000,-0.1001,0.7646,0.7251,-10.8032,-23.6816,3.2959
396245.0000,-0.0737,0.7622,0.7144,-7.6904,-24.4141,2.9297
396246.0000,-0.0864,0.7607,0.7119,-4.6387,-25.0244,2.5635
396247.0000,-0.1196,0.7632,0.6997,-0.6104,-27.8931,1.5869
396248.0000,-0.1367,0.7744,0.6870,2.0752,-31.8604,0.1221
396249.0000,-0.1426,0.7852,0.6758,4.6997,-36.8652,-1.6479
396250.0000,-0.1582,0.7949,0.6592,7.9346,-44.0063,-4.1504
396251.0000,-0.1943,0.8135,0.6582,10.0708,-50.3540,-6.8359
396252.0000,-0.2495,0.8418,0.6533,11.7188,-58.4106,-10.0708
396253.0000,-0.3149,0.8784,0.6484,12.6343,-72.6318,-15.0146
396254.0000,-0.3330,0.8945,0.6440,12.8174,-85.3882,-19.1650
396255.0000,-0.3208,0.9067,0.6333,12.2681,-98.6938,-23.3154
396256.0000,-0.2891,0.9170,0.6084,11.1694,-115.1733,-29.3579
396257.0000,-0.2754,0.9233,0.5942,10.3149,-126.5869,-34.1797
396258.0000,-0.2642,0.9360,0.5815,9.5215,-137.9395,-39.1235
396259.0000,-0.2339,0.9502,0.5542,8.2397,-152.4048,-45.6543
396260.0000,-0.2012,0.9551,0.5278,6.8359,-162.5366,-50.5981
396261.0000,-0.1675,0.9604,0.5059,5.4321,-171.6309,-55.1758
396262.0000,-0.1333,0.9619,0.4805,4.0283,-182.4341,-61.2183
396263.0000,-0.1201,0.9629,0.4585,2.7466,-190.1245,-65.4907
396264.0000,-0.1089,0.9712,0.4351,1.7700,-197.6318,-69.7632
396265.0000,-0.0962,0.9800,0.4111,0.1831,-207.3364,-75.1953
396266.0000,-0.0874,0.9927,0.3955,-0.9155,-214.2944,-79.3457
396267.0000,-0.0684,1.0054,0.3813,-2.4414,-221.2524,-83.7402
396268.0000,-0.0127,1.0044,0.3452,-4.6997,-229.4922,-88.9893
396269.0000,0.0371,0.9893,0.3208,-5.6763,-233.7036,-92.3462
396270.0000,0.0771,0.9678,0.2998,-5.8594,-236.5112,-95.0317
396271.0000,0.0674,0.9609,0.2920,-4.5166,-238.7085,-99.6094
396272.0000,0.0127,0.9756,0.3022,-3.4790,-241.6382,-102.8442
396273.0000,-0.0391,1.0000,0.3013,-2.2583,-246.6431,-106.2622
396274.0000,-0.0156,1.0220,0.2847,-1.7090,-255.5542,-109.8633
396275.0000,0.0864,1.0220,0.2534,-1.5259,-260.9253,-110.6567
396276.0000,0.2124,1.0073,0.2324,-1.9531,-262.3291,-110.0464
396277.0000,0.3647,0.9795,0.2236,-1.3428,-257.3853,-106.8115
396278.0000,0.3975,0.9399,0.2197,0.9155,-249.2676,-104.4312
396279.0000,0.3335,0.9023,0.2407,4.1504,-239.9902,-102.9053
396280.0000,0.1904,0.9209,0.2983,8.6060,-232.6050,-103.2104
396281.0000,0.1660,0.9829,0.3389,11.1084,-232.0557,-103.2715
396282.0000,0.2837,1.0435,0.3330,11.2915,-231.8115,-101.8066
396283.0000,0.5303,1.0361,0.3149,9.0942,-222.4121,-96.6797
396284.0000,0.6860,0.9941,0.3193,7.5684,-206.5430,-91.7358
396285.0000,0.7598,0.9409,0.3354,7.7515,-184.5093,-87.0972
396286.0000,0.6899,0.8804,0.3594,10.6201,-152.5879,-81.7871
396287.0000,0.5498,0.8721,0.3813,14.3433,-132.9346,-78.3691
396288.0000,0.4180,0.8872,0.3970,18.1274,-119.6289,-75.2563
396289.0000,0.3315,0.9360,0.4160,21.4844,-108.7646,-72.0215
396290.0000,0.3477,0.9756,0.4082,22.2778,-101.5015,-70.1294
396291.0000,0.4355,1.0273,0.3970,20.6909,-87.7075,-67.1387
396292.0000,0.4932,1.0493,0.3892,18.3105,-73.7305,-64.2090
396293.0000,0.5117,1.0498,0.3867,15.8081,-57.7393,-60.0586
396294.0000,0.4468,1.0127,0.3853,13.4277,-36.0107,-53.7109
396295.0000,0.3501,0.9702,0.3906,12.9395,-22.7051,-48.8892
396296.0000,0.2515,0.9409,0.3765,13.6108,-12.6953,-44.4946
396297.0000,0.1626,0.9268,0.3750,14.7705,-4.3335,-38.8794
396298.0000,0.1343,0.9434,0.3828,15.8081,-0.1221,-34.6069
396299.0000,0.1377,0.9702,0.3877,16.2354,3.2349,-30.2124
396300.0000,0.1621,0.9966,0.3848,15.8081,8.5449,-23.3765
396301.0000,0.1641,0.9995,0.3838,15.0757,13.4277,-17.8833
396302.0000,0.1401,1.0015,0.3809,14.1602,18.0664,-12.5122
