timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
388000.0000,0.0605,0.9966,0.3877,13.6719,42.7246,7.4463
388001.0000,0.0400,1.0039,0.3877,12.0239,39.4287,7.8125
388002.0000,0.0342,1.0103,0.3906,10.2539,35.8887,7.5073
388003.0000,0.0518,1.0176,0.3994,7.8125,31.4331,6.5308
388004.0000,0.0649,1.0166,0.3994,5.8594,28.8696,5.8594
388005.0000,0.0635,1.0068,0.4009,4.0283,26.7334,5.1270
388006.0000,0.0474,0.9946,0.4004,1.8921,23.6206,4.1504
388007.0000,0.0415,0.9922,0.4102,0.6104,20.7520,3.4180
388008.0000,0.0566,0.9927,0.4155,-0.7324,16.8457,2.2583
388009.0000,0.0825,0.9888,0.4189,-1.8311,14.5264,1.3428
388010.0000,0.1123,0.9839,0.4150,-2.5024,13.4888,0.7935
388011.0000,0.1377,0.9668,0.4224,-3.1738,13.3667,0.3662
388012.0000,0.1479,0.9580,0.4180,-3.2349,14.0381,0.4883
388013.0000,0.1411,0.9512,0.4189,-3.1128,14.5874,0.5493
388014.0000,0.1147,0.9448,0.4243,-2.5635,15.0146,0.3052
388015.0000,0.0952,0.9341,0.4238,-1.5869,14.4653,0.1831
388016.0000,0.0781,0.9292,0.4307,-0.8545,13.1226,0.1221
388017.0000,0.0908,0.9365,0.4316,0.2441,10.8643,0.0000
388018.0000,0.1069,0.9468,0.4346,0.7324,9.7656,-0.0610
388019.0000,0.1152,0.9536,0.4355,0.8545,9.3994,-0.1831
388020.0000,0.1230,0.9561,0.4292,0.9155,9.2163,-0.0610
388021.0000,0.1211,0.9536,0.4336,0.9766,9.0942,0.1831
388022.0000,0.1157,0.9507,0.4326,1.2207,8.9722,0.7324
388023.0000,0.1147,0.9473,0.4307,1.6479,8.5449,1.0986
388024.0000,0.1162,0.9507,0.4307,1.8311,7.8735,1.2207
388025.0000,0.1099,0.9565,0.4287,1.9531,7.3853,1.4648
388026.0000,0.1025,0.9590,0.4268,2.1973,6.5918,1.2817
388027.0000,0.0947,0.9575,0.4229,2.1362,5.4932,0.6714
388028.0000,0.0967,0.9604,0.4214,2.1973,4.3335,-0.2441
388029.0000,0.1045,0.9746,0.4287,1.8921,3.0518,-1.5259
388030.0000,0.1113,0.9849,0.4321,1.1597,2.0752,-1.9531
388031.0000,0.1162,0.9824,0.4272,0.6104,1.4648,-2.0142
388032.0000,0.1226,0.9595,0.4229,-0.0610,0.6104,-1.5869
388033.0000,0.1240,0.9512,0.4170,-0.0610,0.0000,-1.1597
388034.0000,0.1270,0.9551,0.4209,-0.0610,-0.4883,-0.9155
388035.0000,0.1245,0.9663,0.4253,-0.1221,-1.2207,-0.7324
388036.0000,0.1182,0.9634,0.4194,-0.3052,-1.7700,-0.9766
388037.0000,0.1055,0.9531,0.4199,-0.4272,-2.5024,-1.5259
388038.0000,0.1021,0.9531,0.4258,-0.4272,-4.1504,-2.6245
388039.0000,0.1060,0.9565,0.4277,-0.3052,-5.3101,-3.6621
388040.0000,0.1113,0.9639,0.4272,-0.6104,-6.2256,-4.5776
388041.0000,0.1030,0.9653,0.4253,-1.0376,-7.3853,-5.3711
388042.0000,0.0854,0.9668,0.4214,-1.5259,-8.7280,-5.7373
388043.0000,0.0566,0.9619,0.4199,-1.7700,-10.4370,-6.4087
388044.0000,-0.0034,0.9580,0.4106,-2.0752,-14.4043,-7.8125
388045.0000,-0.0537,0.9697,0.4102,-2.3193,-18.9209,-9.2163
388046.0000,-0.1040,0.9902,0.4087,-3.6011,-25.2686,-10.5591
388047.0000,-0.1377,1.0195,0.4194,-5.8594,-36.6821,-11.8408
388048.0000,-0.1265,1.0264,0.4209,-7.6904,-45.9595,-12.5122
388049.0000,-0.0996,1.0176,0.4102,-10.1318,-54.6265,-12.9395
388050.0000,-0.0718,1.0054,0.4092,-12.8174,-64.3921,-13.3667
388051.0000,-0.0718,0.9937,0.4043,-14.4653,-70.9839,-13.5498
388052.0000,-0.0825,0.9863,0.4033,-15.7471,-77.8198,-13.6719
388053.0000,-0.1025,0.9829,0.4009,-17.1509,-87.8296,-13.9160
388054.0000,-0.1055,0.9746,0.4009,-18.0054,-96.0083,-14.2212
388055.0000,-0.0908,0.9658,0.3970,-18.6768,-104.5532,-14.7705
388056.0000,-0.0586,0.9629,0.3877,-19.5312,-114.9292,-14.9536
388057.0000,-0.0322,0.9619,0.3857,-20.0195,-122.1924,-15.1978
388058.0000,-0.0068,0.9590,0.3779,-20.4468,-128.4180,-15.4419
388059.0000,0.0220,0.9487,0.3696,-20.8740,-135.9863,-15.4419
388060.0000,0.0430,0.9478,0.3657,-21.1792,-141.1133,-15.5029
388061.0000,0.0503,0.9385,0.3657,-21.3013,-145.9351,-15.6860
388062.0000,0.0488,0.9380,0.3521,-21.1792,-152.5269,-16.2354
388063.0000,0.0645,0.9473,0.3511,-21.3013,-157.4097,-16.9067
388064.0000,0.0913,0.9707,0.3496,-21.7285,-162.3535,-18.0054
388065.0000,0.1509,0.9966,0.3457,-23.1934,-167.4805,-18.9819
388066.0000,0.1963,1.0063,0.3491,-24.8413,-169.3726,-19.6533
388067.0000,0.2085,1.0044,0.3481,-26.8555,-170.1050,-20.3247
388068.0000,0.1694,0.9844,0.3462,-29.6021,-171.6919,-22.4609
388069.0000,0.1396,0.9673,0.3486,-30.4565,-174.7437,-25.3906
388070.0000,0.1357,0.9575,0.3447,-30.8228,-179.3213,-28.3813
388071.0000,0.2104,0.9624,0.3228,-31.4331,-185.9741,-31.4941
388072.0000,0.3086,0.9712,0.3120,-31.9824,-187.5610,-33.2031
388073.0000,0.3823,0.9712,0.3052,-33.1421,-185.3027,-34.5459
388074.0000,0.3872,0.9673,0.3145,-34.6069,-179.4434,-36.4990
388075.0000,0.3545,0.9771,0.3164,-33.4473,-175.0488,-38.6353
388076.0000,0.3203,0.9360,0.3354,-33.6914,-175.1099,-40.5273
388077.0000,0.3447,0.9614,0.3486,-36.4380,-173.8281,-42.7246
388078.0000,0.3838,0.9580,0.3579,-36.6821,-170.9595,-45.7153
388079.0000,0.4429,0.9282,0.3408,-34.1187,-165.4053,-48.5840
388080.0000,0.5312,0.8960,0.3311,-32.1045,-154.1138,-50.2319
388081.0000,0.5610,0.8857,0.3633,-32.0435,-143.4937,-50.5371
388082.0000,0.5420,0.8745,0.3823,-30.0903,-132.4463,-50.1099
388083.0000,0.5254,0.8652,0.4087,-25.5737,-119.0186,-49.7437
388084.0000,0.5264,0.8569,0.4150,-22.2168,-108.8867,-49.0723
388085.0000,0.5283,0.8662,0.4131,-19.1040,-98.2666,-47.8516
388086.0000,0.5371,0.8823,0.4229,-15.0757,-83.1909,-45.2881
388087.0000,0.5166,0.9004,0.4238,-12.1460,-71.9604,-42.6025
388088.0000,0.4761,0.9185,0.4360,-9.4604,-61.3403,-39.9780
388089.0000,0.3950,0.9521,0.4248,-6.9580,-49.8047,-35.5835
388090.0000,0.3467,0.9805,0.4175,-6.5308,-43.2739,-31.8604
388091.0000,0.3115,1.0049,0.4131,-6.9580,-37.9028,-28.1982
388092.0000,0.2886,1.0244,0.3999,-8.8501,-31.5552,-22.7661
388093.0000,0.2700,1.0112,0.4067,-10.5591,-27.4048,-19.2871
388094.0000,0.2397,0.9795,0.4214,-11.5967,-23.9868,-16.6626
388095.0000,0.1768,0.9517,0.4233,-11.5967,-21.3623,-14.8315
388096.0000,0.1343,0.9321,0.4443,-10.9253,-21.8506,-13.9160
388097.0000,0.1143,0.9209,0.4565,-9.7046,-23.9258,-12.8784
388098.0000,0.1099,0.9194,0.4512,-8.7280,-27.3438,-12.0239
388099.0000,0.1338,0.9268,0.4673,-7.7515,-30.0903,-11.9019
388100.0000,0.1797,0.9292,0.4746,-6.4087,-32.5317,-11.9019
388101.0000,0.2676,0.9346,0.4697,-4.8218,-32.8369,-11.7798
388102.0000,0.3291,0.9238,0.4634,-4.0283,-29.8462,-11.6577
388103.0000,0.3354,0.8975,0.4556,-3.1738,-24.2310,-11.1694
388104.0000,0.2671,0.8794,0.4507,-1.5259,-17.7612,-9.3994
388105.0000,0.2144,0.8838,0.4551,0.3662,-15.9912,-7.9346
388106.0000,0.1831,0.9092,0.4424,2.3193,-15.9302,-6.9580
388107.0000,0.2222,0.9473,0.4478,3.7231,-17.0898,-6.5918
388108.0000,0.2783,0.9570,0.4463,4.5776,-15.9912,-6.5918
388109.0000,0.3315,0.9492,0.4277,5.0049,-11.3525,-6.1646
388110.0000,0.3291,0.9312,0.4233,5.1880,-6.3477,-5.3711
388111.0000,0.2920,0.9150,0.4214,5.9204,-1.6479,-3.9062
388112.0000,0.2275,0.9121,0.4233,6.9580,1.5869,-1.8311
388113.0000,0.2222,0.9277,0.4185,7.7515,1.9531,-0.0610
388114.0000,0.2607,0.9360,0.4189,8.7891,2.5635,1.5259
388115.0000,0.3188,0.9341,0.4126,10.1929,6.1035,3.4790
388116.0000,0.3423,0.9336,0.4058,10.9253,10.4980,4.8218
388117.0000,0.3457,0.9331,0.4067,11.7798,15.5640,5.8594
388118.0000,0.3154,0.9253,0.4077,12.6343,22.0947,7.5684
