timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
528668.0000,-0.0488,0.9790,0.3613,3.8452,-4.5776,-8.6670
528669.0000,-0.0425,0.9785,0.3662,3.4790,-4.6387,-8.2397
528670.0000,-0.0386,0.9839,0.3657,3.2349,-4.5166,-7.6904
528671.0000,-0.0371,0.9810,0.3643,2.7466,-4.4556,-6.7749
528672.0000,-0.0391,0.9756,0.3652,2.5024,-4.2114,-6.1646
528673.0000,-0.0391,0.9673,0.3613,2.3193,-3.9062,-5.7373
528674.0000,-0.0381,0.9663,0.3628,2.2583,-3.4180,-5.3711
528675.0000,-0.0342,0.9717,0.3643,2.3804,-2.9297,-5.3711
528676.0000,-0.0347,0.9741,0.3662,2.4414,-2.1362,-5.3711
528677.0000,-0.0410,0.9707,0.3657,2.3804,-0.9766,-5.8594
528678.0000,-0.0459,0.9673,0.3647,2.2583,-0.4883,-6.0425
528679.0000,-0.0444,0.9697,0.3657,2.0142,-0.1221,-6.1035
528680.0000,-0.0435,0.9722,0.3652,1.8311,0.5493,-6.0425
528681.0000,-0.0503,0.9707,0.3652,1.7090,1.1597,-5.7983
528682.0000,-0.0547,0.9678,0.3662,1.5259,1.5869,-5.4321
528683.0000,-0.0498,0.9829,0.3696,1.4038,2.2583,-4.8828
528684.0000,-0.0532,0.9888,0.3774,1.4648,2.9297,-4.5166
528685.0000,-0.0605,0.9795,0.3730,1.3428,3.1128,-3.7842
528686.0000,-0.0591,0.9614,0.3643,1.2817,2.9297,-2.8687
528687.0000,-0.0640,0.9546,0.3618,1.6479,2.9907,-2.3804
528688.0000,-0.0688,0.9600,0.3628,2.0752,3.1738,-2.1362
528689.0000,-0.0688,0.9805,0.3643,2.5024,3.2349,-2.0752
528690.0000,-0.0737,0.9780,0.3618,2.4414,2.9297,-1.9531
528691.0000,-0.0698,0.9668,0.3535,2.3193,2.5635,-1.9531
528692.0000,-0.0630,0.9600,0.3477,2.4414,2.0752,-2.0752
528693.0000,-0.0605,0.9619,0.3467,2.8687,1.8311,-1.8311
528694.0000,-0.0557,0.9683,0.3442,3.2959,1.5259,-1.4648
528695.0000,-0.0488,0.9741,0.3413,3.6621,0.9766,-0.9766
528696.0000,-0.0430,0.9824,0.3384,3.6011,0.5493,-0.7324
528697.0000,-0.0371,0.9849,0.3335,3.4790,0.1831,-0.3052
528698.0000,-0.0308,0.9829,0.3252,3.4180,-0.4883,0.3662
528699.0000,-0.0205,0.9858,0.3213,3.2959,-0.9766,0.8545
