timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
101174.0000,-0.0542,1.1445,0.0869,17.0288,-4.9438,-3.4180
101175.0000,-0.0552,1.1367,0.0874,12.8784,-4.7607,-3.2349
101176.0000,-0.0542,1.1260,0.0898,9.1553,-4.8828,-2.8687
101177.0000,-0.0503,1.1133,0.0957,4.5776,-4.7607,-2.5635
101178.0000,-0.0449,1.1064,0.1001,1.5869,-4.5776,-2.3804
101179.0000,-0.0415,1.0996,0.1055,-1.4038,-4.3335,-2.3193
101180.0000,-0.0366,1.0894,0.1162,-4.8828,-3.5400,-2.4414
101181.0000,-0.0396,1.0811,0.1206,-7.2632,-2.9297,-2.5635
101182.0000,-0.0391,1.0752,0.1270,-9.5825,-2.3804,-2.6245
101183.0000,-0.0439,1.0605,0.1367,-11.9629,-1.7090,-2.7466
101184.0000,-0.0439,1.0483,0.1465,-13.4888,-1.1597,-2.8076
101185.0000,-0.0449,1.0405,0.1460,-14.6484,-0.7935,-2.8687
101186.0000,-0.0459,1.0210,0.1597,-15.5640,-0.2441,-2.4414
101187.0000,-0.0469,1.0117,0.1650,-15.9912,-0.1221,-2.0752
101188.0000,-0.0459,1.0034,0.1733,-15.9302,0.1221,-1.7090
101189.0000,-0.0454,0.9985,0.1748,-15.6860,0.4883,-1.2207
101190.0000,-0.0459,0.9961,0.1802,-15.4419,0.7935,-0.7324
101191.0000,-0.0483,0.9971,0.1870,-15.2588,1.0986,-0.6104
101192.0000,-0.0498,0.9966,0.1943,-14.8926,1.5869,-0.4272
101193.0000,-0.0522,0.9966,0.1992,-14.6484,1.7700,-0.3662
101194.0000,-0.0527,0.9961,0.2007,-14.4043,2.0142,-0.3662
101195.0000,-0.0518,0.9946,0.2114,-14.2822,2.1362,-0.4272
101196.0000,-0.0522,0.9922,0.2129,-13.9771,2.4414,-0.5493
101197.0000,-0.0527,0.9888,0.2173,-13.6719,2.8687,-0.7935
101198.0000,-0.0542,0.9800,0.2227,-13.0005,3.1128,-0.9155
101199.0000,-0.0522,0.9775,0.2236,-12.3901,3.4790,-1.0376
101200.0000,-0.0522,0.9795,0.2256,-11.7798,3.3569,-1.0376
101201.0000,-0.0508,0.9814,0.2285,-11.0474,3.3569,-0.6104
101202.0000,-0.0522,0.9858,0.2295,-10.6201,3.2959,-0.1221
101203.0000,-0.0508,0.9883,0.2290,-10.1929,3.2349,0.3662
101204.0000,-0.0552,0.9927,0.2300,-9.8267,2.9297,0.5493
101205.0000,-0.0576,0.9976,0.2324,-9.6436,2.8076,0.6714
101206.0000,-0.0566,1.0024,0.2300,-9.7046,2.3804,0.5493
101207.0000,-0.0532,1.0054,0.2290,-9.8267,2.1973,-0.0610
