timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
164215.0000,0.0503,1.0430,0.0479,-11.9019,-0.5493,1.9531
164216.0000,0.0396,1.0293,0.0576,-13.0005,-0.3662,2.0142
164217.0000,0.0356,1.0264,0.0654,-13.3667,-0.4883,1.8311
164218.0000,0.0400,1.0239,0.0737,-13.6719,-0.7324,1.8311
164219.0000,0.0479,1.0215,0.0815,-13.9160,-1.0376,1.8311
164220.0000,0.0537,1.0195,0.0879,-14.0991,-1.1597,1.7700
164221.0000,0.0576,1.0181,0.0938,-14.2822,-1.0986,1.7090
164222.0000,0.0562,1.0195,0.1006,-14.6484,-0.9155,1.7700
164223.0000,0.0562,1.0200,0.1074,-14.9536,-0.9766,1.5869
164224.0000,0.0527,1.0200,0.1143,-15.2588,-0.9155,1.2207
164225.0000,0.0493,1.0146,0.1191,-15.8081,-1.1597,0.9766
164226.0000,0.0508,1.0107,0.1221,-15.8691,-1.3428,0.9155
164227.0000,0.0513,1.0107,0.1250,-15.9912,-1.5259,0.9155
164228.0000,0.0532,1.0107,0.1318,-16.1743,-1.9531,1.0986
164229.0000,0.0547,1.0083,0.1411,-16.2354,-2.2583,1.3428
164230.0000,0.0635,1.0054,0.1406,-16.3574,-2.5635,1.4038
164231.0000,0.0796,1.0020,0.1489,-16.3574,-2.4414,1.4648
164232.0000,0.0830,0.9985,0.1528,-16.1133,-1.8921,1.3428
164233.0000,0.0879,0.9961,0.1602,-15.8081,-1.1597,1.0986
164234.0000,0.0845,0.9878,0.1626,-15.1367,0.0000,0.5493
164235.0000,0.0894,0.9893,0.1670,-14.4043,0.9155,0.0610
164236.0000,0.0894,0.9878,0.1719,-13.9771,1.7700,0.0000
164237.0000,0.0933,0.9844,0.1816,-13.0005,2.9907,-0.1831
164238.0000,0.0894,0.9829,0.1782,-12.2681,4.0283,0.0610
164239.0000,0.0854,0.9805,0.1816,-11.3525,4.7607,0.4272
164240.0000,0.0815,0.9741,0.1885,-10.2539,5.4932,0.7324
164241.0000,0.0791,0.9785,0.1860,-9.2773,6.1035,1.0986
164242.0000,0.0811,0.9858,0.1890,-8.4839,6.4697,1.4648
164243.0000,0.0801,0.9990,0.1851,-7.6294,7.2632,2.0142
164244.0000,0.0723,1.0063,0.1787,-7.5073,7.6294,2.5024
164245.0000,0.0669,1.0049,0.1733,-7.2632,7.7515,3.0518
164246.0000,0.0601,1.0078,0.1699,-7.2021,7.5073,3.0518
164247.0000,0.0571,1.0156,0.1626,-7.2021,7.5684,2.9297
164248.0000,0.0576,1.0298,0.1567,-7.5073,7.4463,2.6245
164249.0000,0.0640,1.0503,0.1494,-8.7891,7.3853,2.1362
164250.0000,0.0674,1.0640,0.1411,-9.8877,7.5073,1.9531
164251.0000,0.0703,1.0786,0.1382,-11.7798,7.6294,1.6479
164252.0000,0.0762,1.0962,0.1328,-14.6484,7.7515,1.4038
164253.0000,0.0786,1.1094,0.1323,-17.3950,7.9956,1.2817
164254.0000,0.0718,1.1182,0.1299,-20.4468,7.9956,1.2817
164255.0000,0.0659,1.1191,0.1230,-25.0244,7.5684,1.7090
164256.0000,0.0679,1.1152,0.1221,-28.3203,7.1411,1.6479
164257.0000,0.0708,1.1143,0.1235,-31.6162,6.6528,1.6479
164258.0000,0.0864,1.1143,0.1230,-36.0107,6.6528,1.0986
164259.0000,0.0942,1.1157,0.1250,-39.5508,6.9580,0.3052
164260.0000,0.1079,1.1172,0.1216,-42.9077,7.7515,-0.3052
164261.0000,0.1201,1.1221,0.1279,-47.6685,9.3384,-1.0986
164262.0000,0.1274,1.1265,0.1328,-51.3306,10.7422,-1.4648
164263.0000,0.1313,1.1318,0.1377,-55.4810,12.5122,-1.7090
164264.0000,0.1230,1.1313,0.1411,-60.9131,14.5874,-1.5869
164265.0000,0.1191,1.1279,0.1431,-65.3076,15.9912,-0.9766
164266.0000,0.1211,1.1289,0.1465,-69.7632,17.2119,-0.4883
164267.0000,0.1348,1.1313,0.1558,-75.6836,19.1650,0.2441
164268.0000,0.1465,1.1274,0.1650,-80.3833,21.1792,0.6104
164269.0000,0.1602,1.1201,0.1758,-86.6089,24.8413,0.7935
164270.0000,0.1626,1.1162,0.1802,-91.1255,28.1372,1.2207
164271.0000,0.1548,1.1211,0.1841,-95.9473,31.4331,1.8921
164272.0000,0.1387,1.1289,0.1899,-102.9663,35.5835,3.6621
164273.0000,0.1196,1.1313,0.1978,-108.8257,38.0249,5.3711
164274.0000,0.0991,1.1113,0.2100,-114.7461,39.9170,7.0190
164275.0000,0.0762,1.0713,0.2246,-122.3145,41.4429,8.4229
164276.0000,0.0718,1.0488,0.2393,-127.1362,42.0532,8.4229
164277.0000,0.0713,1.0347,0.2559,-131.7749,42.9077,7.8735
164278.0000,0.0762,1.0361,0.2739,-138.3667,44.4336,7.2632
164279.0000,0.0820,1.0400,0.2866,-144.2261,45.8374,7.2021
164280.0000,0.0864,1.0405,0.3008,-150.5737,47.3022,7.5073
164281.0000,0.0742,1.0112,0.3101,-159.1187,49.6826,8.4839
164282.0000,0.0596,0.9692,0.3208,-165.4053,50.8423,9.2163
164283.0000,0.0410,0.9292,0.3379,-170.6543,51.5747,9.7046
164284.0000,0.0161,0.8857,0.3608,-176.8188,51.5137,10.4980
164285.0000,0.0024,0.8496,0.3799,-181.0913,50.9644,11.4136
164286.0000,-0.0010,0.8115,0.4072,-184.8755,50.0488,12.2681
164287.0000,-0.0186,0.7739,0.4409,-189.4531,49.3164,13.3057
164288.0000,-0.0454,0.7432,0.4736,-192.2607,48.3398,14.7095
164289.0000,-0.0664,0.6982,0.5166,-194.3359,46.2646,16.4185
164290.0000,-0.0898,0.6250,0.5718,-195.1904,42.3584,17.3950
164291.0000,-0.0938,0.5537,0.6255,-194.8242,39.0015,17.3340
164292.0000,-0.0923,0.4834,0.6797,-193.7866,36.0107,16.4185
164293.0000,-0.0820,0.3682,0.7539,-189.4531,32.3486,15.5640
164294.0000,-0.0747,0.2588,0.8320,-183.5327,30.2734,14.6484
164295.0000,-0.0820,0.1431,0.9258,-174.4995,28.0762,12.8784
164296.0000,-0.0957,0.0073,1.0649,-156.4941,24.5361,10.4370
164297.0000,-0.0962,-0.0571,1.1602,-139.7095,20.9351,9.2163
164298.0000,-0.0820,-0.0820,1.2349,-121.8872,16.7236,8.6060
164299.0000,-0.0420,-0.0562,1.2930,-97.1680,12.2681,7.2632
164300.0000,-0.0093,0.0015,1.3096,-80.7495,10.1318,5.7373
164301.0000,0.0146,0.0635,1.3130,-66.7725,9.8877,3.2349
164302.0000,0.0127,0.1143,1.3057,-51.3916,11.9019,-0.8545
164303.0000,-0.0117,0.1470,1.2915,-41.5039,13.7939,-3.4180
164304.0000,-0.0420,0.1792,1.2793,-32.2876,15.0757,-5.4321
164305.0000,-0.0947,0.2163,1.2476,-21.4844,14.7705,-7.0190
164306.0000,-0.1279,0.2466,1.2227,-14.4043,12.6343,-7.0190
164307.0000,-0.1387,0.2817,1.1968,-8.4839,9.0332,-6.4087
164308.0000,-0.1338,0.3286,1.1519,-2.3804,4.1504,-5.1880
164309.0000,-0.1250,0.3638,1.1245,0.7324,1.1597,-4.0283
164310.0000,-0.1069,0.4028,1.0967,2.4414,-1.2207,-2.8076
164311.0000,-0.0840,0.4380,1.0771,3.1128,-2.9297,-1.5869
164312.0000,-0.0806,0.4487,1.0693,2.9297,-3.9673,-0.6104
164313.0000,-0.0796,0.4507,1.0610,2.4414,-5.1270,0.2441
164314.0000,-0.0732,0.4453,1.0596,1.8311,-7.2632,1.7090
164315.0000,-0.0620,0.4331,1.0596,1.8311,-8.6060,2.5024
