timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
167701.0000,0.0737,1.0723,0.0293,-36.3770,10.4980,-1.8311
167702.0000,0.0747,1.0723,0.0366,-38.5742,10.8032,-2.1362
167703.0000,0.0850,1.0801,0.0415,-41.5649,11.0474,-2.5024
167704.0000,0.0947,1.0796,0.0444,-43.5181,11.6577,-2.6855
167705.0000,0.0981,1.0806,0.0464,-45.6543,12.3291,-2.7466
167706.0000,0.0996,1.0796,0.0537,-48.5229,13.7329,-2.6245
167707.0000,0.0942,1.0835,0.0571,-51.0254,14.7705,-2.6245
167708.0000,0.0864,1.0884,0.0679,-53.4668,15.5029,-2.8076
167709.0000,0.0776,1.0952,0.0752,-56.7627,15.9912,-3.1738
167710.0000,0.0732,1.1016,0.0820,-59.8145,16.0522,-3.1128
167711.0000,0.0718,1.1074,0.0835,-63.1104,15.9912,-2.8687
167712.0000,0.0776,1.1064,0.0928,-67.6880,15.9912,-2.5024
167713.0000,0.0806,1.0981,0.1001,-70.9229,16.2354,-2.1362
167714.0000,0.0820,1.0864,0.1079,-74.0967,16.6626,-2.1973
167715.0000,0.0835,1.0776,0.1152,-77.8809,17.4561,-2.0752
167716.0000,0.0850,1.0815,0.1348,-80.9326,18.0054,-2.2583
167717.0000,0.0874,1.0996,0.1465,-84.1064,18.6768,-2.0752
167718.0000,0.0786,1.1108,0.1597,-88.9282,19.4702,-1.6479
167719.0000,0.0532,1.1177,0.1631,-92.8345,20.0806,-0.9155
167720.0000,0.0088,1.1396,0.1636,-97.5952,19.8975,0.6104
167721.0000,-0.0537,1.1631,0.1729,-105.7739,16.8457,3.0518
167722.0000,-0.0869,1.1499,0.1851,-112.3047,12.8784,4.8218
167723.0000,-0.0854,1.1230,0.1997,-118.8965,7.8735,6.1646
167724.0000,-0.0396,1.0928,0.2212,-127.0142,2.6245,6.9580
167725.0000,0.0088,1.0908,0.2476,-132.7515,0.7935,7.0801
167726.0000,0.0322,1.0991,0.2720,-138.9160,0.2441,7.6294
167727.0000,0.0186,1.0776,0.3086,-147.2168,0.2441,8.6670
167728.0000,-0.0132,1.0229,0.3252,-152.9541,-0.6714,9.0332
167729.0000,-0.0356,0.9590,0.3369,-157.6538,-2.1973,8.9111
167730.0000,-0.0195,0.8818,0.3623,-161.6211,-5.1880,7.9346
167731.0000,0.0181,0.8276,0.3877,-162.3535,-6.5918,7.8125
167732.0000,0.0615,0.7686,0.4131,-161.3770,-6.5918,7.9956
167733.0000,0.0898,0.7021,0.4600,-158.1421,-4.5776,9.2773
167734.0000,0.0947,0.6753,0.4956,-154.5410,-3.1128,11.3525
167735.0000,0.1064,0.6562,0.5332,-150.6958,-2.1973,13.9771
167736.0000,0.1143,0.6504,0.5845,-145.4468,-0.8545,17.5781
167737.0000,0.1172,0.6650,0.6191,-142.0288,0.5493,20.1416
167738.0000,0.1226,0.6758,0.6543,-139.5264,2.1362,22.3389
167739.0000,0.1289,0.6455,0.6958,-136.7798,4.8828,24.4751
167740.0000,0.1274,0.6211,0.7236,-134.6436,7.6904,25.4517
167741.0000,0.1265,0.5952,0.7446,-131.8970,10.3760,26.0620
167742.0000,0.1069,0.5620,0.7739,-127.6855,13.9771,27.5269
167743.0000,0.0918,0.5503,0.7979,-123.9014,15.6860,29.1748
167744.0000,0.0952,0.5342,0.8237,-119.8730,16.4185,31.0059
167745.0000,0.1128,0.5063,0.8467,-114.3188,16.9678,33.3862
167746.0000,0.1328,0.4858,0.8667,-109.7412,18.0054,34.7290
167747.0000,0.1504,0.4810,0.8862,-104.8584,19.7144,35.5835
167748.0000,0.1475,0.4775,0.9023,-98.9380,22.5830,36.2549
167749.0000,0.1353,0.4624,0.9238,-94.7876,24.5361,36.3159
167750.0000,0.1152,0.4531,0.9404,-90.4541,25.9399,35.8887
167751.0000,0.0952,0.4399,0.9648,-84.7168,26.7334,35.0342
167752.0000,0.0933,0.4390,0.9883,-80.5054,26.7334,34.1187
167753.0000,0.0972,0.4429,0.9976,-76.7822,26.6724,33.0200
167754.0000,0.1040,0.4395,1.0103,-72.0825,26.4893,31.7993
167755.0000,0.0981,0.4238,1.0210,-68.4814,26.4893,30.9448
167756.0000,0.0825,0.3999,1.0269,-63.2935,26.0010,29.4189
167757.0000,0.0664,0.3892,1.0342,-59.2651,25.0244,28.1372
167758.0000,0.0464,0.3960,1.0435,-55.1758,23.6206,26.4282
167759.0000,0.0317,0.4048,1.0435,-50.5371,20.5078,24.9023
167760.0000,0.0322,0.4053,1.0488,-47.6074,17.8833,24.2310
167761.0000,0.0371,0.4097,1.0537,-45.1660,15.1367,23.1323
167762.0000,0.0449,0.4048,1.0596,-41.9922,11.5967,21.5454
167763.0000,0.0562,0.4087,1.0586,-39.4287,9.4604,20.0195
167764.0000,0.0767,0.4106,1.0605,-37.5366,7.5073,18.6157
167765.0000,0.0986,0.4028,1.0581,-35.0342,6.2866,16.6016
167766.0000,0.0996,0.4009,1.0625,-33.5083,6.2256,15.1367
167767.0000,0.0942,0.3936,1.0659,-31.4941,6.0425,14.2822
167768.0000,0.0894,0.3882,1.0737,-29.1138,5.2490,14.4043
167769.0000,0.0874,0.3945,1.0747,-27.2827,4.2725,14.5874
167770.0000,0.0938,0.3955,1.0718,-25.6348,3.0518,14.9536
167771.0000,0.1123,0.3877,1.0698,-23.8647,1.7700,14.8315
167772.0000,0.1333,0.3848,1.0771,-22.4609,1.8921,14.0991
167773.0000,0.1450,0.3867,1.0806,-20.9351,2.8076,13.1226
167774.0000,0.1499,0.3726,1.0742,-18.6768,4.2114,12.0850
167775.0000,0.1362,0.3643,1.0742,-16.9678,5.4932,11.3525
167776.0000,0.1157,0.3657,1.0752,-15.1367,5.6763,11.2305
167777.0000,0.0923,0.3794,1.0708,-13.0005,4.5776,11.2915
167778.0000,0.0854,0.3887,1.0708,-11.7798,3.0518,10.8643
167779.0000,0.0942,0.3979,1.0762,-10.9863,1.5869,9.8877
167780.0000,0.1323,0.4087,1.0791,-10.2539,0.2441,7.6904
167781.0000,0.1519,0.3970,1.0781,-9.7656,0.7935,5.9204
167782.0000,0.1514,0.3779,1.0771,-9.0332,1.8921,4.5776
167783.0000,0.1343,0.3545,1.0815,-7.4463,2.5635,3.9673
167784.0000,0.1108,0.3462,1.0811,-5.5542,2.2583,3.8452
167785.0000,0.0913,0.3555,1.0767,-3.7842,0.8545,3.9062
167786.0000,0.0957,0.3813,1.0737,-2.0142,-1.9531,3.9673
167787.0000,0.1216,0.3970,1.0698,-1.2817,-3.2959,3.6011
167788.0000,0.1484,0.4023,1.0723,-1.0376,-3.5400,2.6855
167789.0000,0.1714,0.3921,1.0771,-0.4272,-2.1362,1.2207
167790.0000,0.1748,0.3774,1.0801,0.4272,-0.5493,-0.1221
167791.0000,0.1602,0.3643,1.0928,1.8311,0.7324,-1.4648
167792.0000,0.1387,0.3574,1.1016,4.1504,1.3428,-3.1128
167793.0000,0.1265,0.3481,1.1016,5.8594,1.0986,-3.7842
167794.0000,0.1177,0.3418,1.0981,7.6294,0.1831,-3.9062
167795.0000,0.1206,0.3452,1.1025,10.1929,-1.0376,-3.4180
167796.0000,0.1201,0.3433,1.1104,12.0239,-1.7090,-3.3569
167797.0000,0.1118,0.3364,1.1191,14.0381,-2.4414,-3.5400
167798.0000,0.1040,0.3179,1.1211,17.5171,-3.9673,-4.5776
167799.0000,0.1060,0.3125,1.1201,20.8130,-5.1270,-5.9204
167800.0000,0.1182,0.3208,1.1196,24.4141,-6.1646,-7.5684
