timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
106710.0000,-0.0771,1.0146,0.1567,-16.6016,1.7090,-2.9907
106711.0000,-0.0747,1.0137,0.1582,-17.2119,1.7700,-3.5400
106712.0000,-0.0776,1.0146,0.1582,-17.9443,1.8921,-4.4556
106713.0000,-0.0801,1.0146,0.1606,-18.4326,2.2583,-5.5542
106714.0000,-0.0840,1.0186,0.1636,-19.1040,2.5635,-6.0425
106715.0000,-0.0923,1.0259,0.1685,-20.2026,2.6855,-7.0801
106716.0000,-0.0977,1.0288,0.1704,-21.1182,2.8076,-7.8125
106717.0000,-0.1035,1.0283,0.1772,-21.9116,2.8687,-8.2397
106718.0000,-0.1060,1.0278,0.1885,-23.1934,3.1128,-8.7280
106719.0000,-0.1099,1.0269,0.1948,-24.1089,3.1128,-9.0332
106720.0000,-0.1152,1.0190,0.1938,-24.7803,3.2959,-9.1553
106721.0000,-0.1216,1.0181,0.1963,-25.6348,3.2959,-9.0332
106722.0000,-0.1255,1.0171,0.1987,-26.1230,3.2959,-8.8501
106723.0000,-0.1270,1.0205,0.1978,-26.7944,3.0518,-8.2397
106724.0000,-0.1255,1.0298,0.1978,-27.8931,2.9907,-7.5684
106725.0000,-0.1270,1.0371,0.2007,-29.2358,2.9297,-6.9580
106726.0000,-0.1309,1.0435,0.2114,-30.9448,2.8076,-6.0425
106727.0000,-0.1294,1.0454,0.2119,-32.5317,2.6245,-5.5542
106728.0000,-0.1318,1.0449,0.2134,-34.1797,2.5024,-5.0049
106729.0000,-0.1367,1.0503,0.2188,-36.7432,1.9531,-4.3945
106730.0000,-0.1333,1.0503,0.2241,-38.8184,1.5259,-4.2114
106731.0000,-0.1304,1.0498,0.2256,-40.7104,1.2207,-4.1504
106732.0000,-0.1221,1.0488,0.2280,-43.4570,1.0376,-4.1504
106733.0000,-0.1162,1.0444,0.2358,-45.3491,1.0376,-4.4556
106734.0000,-0.1167,1.0459,0.2363,-47.4243,1.2817,-4.6387
106735.0000,-0.1230,1.0488,0.2500,-50.3540,1.2817,-4.6997
106736.0000,-0.1279,1.0508,0.2573,-52.7344,1.0986,-4.6387
106737.0000,-0.1299,1.0552,0.2656,-55.2979,0.7324,-4.6997
106738.0000,-0.1309,1.0503,0.2725,-58.8989,0.3662,-4.6997
106739.0000,-0.1304,1.0444,0.2778,-61.5845,0.1831,-4.5166
106740.0000,-0.1260,1.0332,0.2886,-64.0869,-0.1221,-4.3945
