timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
170553.0000,0.2241,0.6499,0.8101,-26.9165,8.4839,12.4512
170554.0000,0.2012,0.6597,0.8091,-22.2778,9.8267,11.1694
170555.0000,0.1719,0.6699,0.8149,-19.2871,9.8267,10.0098
170556.0000,0.1519,0.6919,0.8154,-16.4795,8.5449,9.0332
170557.0000,0.1606,0.7100,0.8188,-13.6108,6.0425,7.6294
170558.0000,0.1812,0.7119,0.8135,-12.2070,4.6997,6.7749
170559.0000,0.1973,0.7085,0.8110,-11.0474,4.2725,5.7983
170560.0000,0.1953,0.6992,0.8052,-8.9722,4.8218,4.3335
170561.0000,0.1797,0.7021,0.8027,-7.1411,5.0049,3.2349
170562.0000,0.1577,0.7114,0.8032,-5.6763,4.2114,2.3804
170563.0000,0.1484,0.7275,0.8037,-3.9673,1.9531,1.1597
170564.0000,0.1553,0.7358,0.8037,-2.9907,0.0000,0.4883
170565.0000,0.1714,0.7422,0.7983,-2.2583,-1.4648,-0.3052
170566.0000,0.1851,0.7500,0.8008,-1.7090,-2.0142,-1.2817
170567.0000,0.1860,0.7456,0.7993,-1.2817,-2.1973,-2.1973
170568.0000,0.1792,0.7412,0.7979,-0.9155,-2.3804,-3.1738
170569.0000,0.1680,0.7344,0.7974,-0.2441,-2.9907,-4.3945
170570.0000,0.1660,0.7314,0.7954,0.6104,-3.8452,-5.0659
170571.0000,0.1748,0.7271,0.7861,1.4648,-4.9438,-5.3101
170572.0000,0.1953,0.7231,0.7773,2.6855,-5.4932,-5.3101
170573.0000,0.2075,0.7261,0.7734,3.7842,-5.0049,-5.0049
170574.0000,0.2148,0.7324,0.7676,5.0049,-3.9062,-4.4556
170575.0000,0.2124,0.7417,0.7637,6.4087,-2.2583,-3.9062
170576.0000,0.2036,0.7520,0.7559,7.2021,-1.2817,-3.2959
170577.0000,0.1895,0.7617,0.7563,7.4463,-0.6714,-2.9907
170578.0000,0.1772,0.7744,0.7622,7.6904,-0.7935,-2.7466
170579.0000,0.1772,0.7749,0.7583,7.3853,-1.3428,-2.8076
170580.0000,0.1807,0.7749,0.7593,7.3853,-1.6479,-2.8687
170581.0000,0.1885,0.7759,0.7563,7.0190,-1.8921,-3.0518
170582.0000,0.1934,0.7769,0.7549,6.8359,-1.7090,-2.8076
170583.0000,0.1895,0.7788,0.7529,6.8970,-1.4648,-3.1738
170584.0000,0.1782,0.7793,0.7568,6.8970,-1.4648,-2.9907
170585.0000,0.1719,0.7759,0.7529,7.0801,-2.0142,-3.1128
170586.0000,0.1680,0.7769,0.7529,7.0801,-2.7466,-3.2959
170587.0000,0.1724,0.7749,0.7583,7.1411,-3.6011,-3.9062
170588.0000,0.1831,0.7739,0.7559,7.3242,-4.0894,-4.1504
170589.0000,0.1963,0.7671,0.7583,7.5684,-4.1504,-4.6997
170590.0000,0.2007,0.7544,0.7617,8.0566,-3.8452,-5.0659
170591.0000,0.1914,0.7446,0.7627,8.9111,-3.6621,-5.3711
170592.0000,0.1895,0.7456,0.7656,9.7656,-3.7231,-5.7373
170593.0000,0.1978,0.7480,0.7671,11.4136,-3.8452,-6.0425
170594.0000,0.2075,0.7427,0.7646,12.7563,-3.6011,-6.3477
170595.0000,0.2158,0.7383,0.7632,14.0991,-2.8687,-6.4087
170596.0000,0.2124,0.7363,0.7607,15.8691,-1.7700,-6.2866
170597.0000,0.2046,0.7407,0.7563,17.0898,-0.9766,-6.2866
170598.0000,0.1958,0.7500,0.7544,18.3716,-0.4272,-6.4087
170599.0000,0.1919,0.7573,0.7578,19.5923,-0.2441,-6.4697
170600.0000,0.1943,0.7524,0.7500,20.8740,-0.0610,-6.4697
170601.0000,0.1934,0.7466,0.7446,21.7896,-0.0610,-6.2256
170602.0000,0.1899,0.7515,0.7383,23.8037,0.3662,-6.0425
170603.0000,0.1841,0.7559,0.7441,24.9634,0.4883,-5.8594
170604.0000,0.1782,0.7646,0.7358,26.1230,0.4883,-6.0425
170605.0000,0.1792,0.7710,0.7319,27.4048,0.1831,-6.2256
170606.0000,0.1792,0.7715,0.7241,28.5034,0.0000,-6.2866
170607.0000,0.1777,0.7759,0.7183,29.4800,-0.0610,-6.4087
170608.0000,0.1724,0.7871,0.7119,30.5786,-0.2441,-6.4087
170609.0000,0.1621,0.7954,0.7031,31.1890,-0.6104,-6.3477
170610.0000,0.1528,0.8027,0.7036,31.7383,-1.3428,-6.4087
170611.0000,0.1484,0.8091,0.6968,32.2876,-2.9297,-6.4697
170612.0000,0.1533,0.8057,0.6870,32.6538,-4.0283,-6.7139
170613.0000,0.1611,0.8052,0.6836,33.1421,-4.6997,-7.1411
170614.0000,0.1694,0.8135,0.6787,33.9966,-5.1270,-7.6904
170615.0000,0.1719,0.8154,0.6724,34.4849,-5.1880,-8.3618
170616.0000,0.1699,0.8145,0.6655,35.2783,-5.2490,-9.0332
170617.0000,0.1558,0.8188,0.6616,36.3770,-5.6763,-10.0098
170618.0000,0.1504,0.8164,0.6567,37.4146,-6.5918,-10.6812
170619.0000,0.1523,0.8169,0.6499,38.0859,-7.3242,-11.2305
170620.0000,0.1621,0.8115,0.6499,39.7339,-8.2397,-11.5356
170621.0000,0.1660,0.8149,0.6421,40.8936,-8.4839,-11.7188
170622.0000,0.1724,0.8169,0.6362,42.1753,-8.5449,-12.0239
170623.0000,0.1724,0.8169,0.6304,44.1895,-8.1787,-12.4512
170624.0000,0.1646,0.8140,0.6216,45.7764,-7.9956,-12.9395
170625.0000,0.1470,0.8140,0.6162,47.6074,-8.1177,-13.4888
170626.0000,0.1201,0.8213,0.6123,50.1099,-9.2773,-14.4043
170627.0000,0.1147,0.8247,0.6055,51.6968,-10.8643,-15.3198
170628.0000,0.1226,0.8242,0.5938,53.5278,-12.3901,-15.9302
170629.0000,0.1396,0.8237,0.5723,56.0303,-13.7329,-16.4795
170630.0000,0.1519,0.8242,0.5610,57.9834,-14.0991,-16.7847
170631.0000,0.1470,0.8281,0.5547,60.2417,-14.0991,-16.7847
170632.0000,0.1196,0.8340,0.5376,63.1104,-14.7705,-16.8457
170633.0000,0.0913,0.8369,0.5283,65.3687,-16.0522,-17.3950
170634.0000,0.0679,0.8506,0.5112,68.2373,-19.2261,-18.4326
170635.0000,0.0747,0.8618,0.5010,69.8242,-22.0947,-19.2871
170636.0000,0.1021,0.8721,0.4824,71.5942,-24.2310,-20.1416
170637.0000,0.1436,0.8901,0.4600,73.1812,-24.9634,-20.9351
170638.0000,0.1533,0.9053,0.4478,74.0356,-24.6582,-21.3623
170639.0000,0.1504,0.9160,0.4292,74.7070,-24.2920,-21.7285
170640.0000,0.1240,0.9219,0.4082,75.6226,-24.1089,-22.1558
170641.0000,0.1006,0.9277,0.3896,76.1719,-24.7192,-22.7661
