timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
178078.0000,0.2183,0.8486,0.6519,1.4038,0.6714,-8.6670
178079.0000,0.2178,0.8442,0.6523,1.4038,0.4883,-8.9111
178080.0000,0.2197,0.8423,0.6558,1.2207,0.0610,-8.7891
178081.0000,0.2183,0.8447,0.6533,1.1597,-0.1221,-8.8501
178082.0000,0.2212,0.8442,0.6523,1.1597,-0.2441,-8.6670
178083.0000,0.2168,0.8374,0.6494,1.0986,-0.0610,-8.1177
178084.0000,0.2163,0.8354,0.6519,1.2817,-0.0610,-8.0566
178085.0000,0.2192,0.8345,0.6562,1.5869,0.0000,-7.7515
178086.0000,0.2231,0.8345,0.6548,1.9531,0.3052,-7.5073
178087.0000,0.2275,0.8276,0.6562,2.0752,0.6104,-7.3242
178088.0000,0.2251,0.8286,0.6602,2.4414,1.0986,-7.3242
178089.0000,0.2202,0.8340,0.6611,2.9907,1.3428,-6.9580
178090.0000,0.2163,0.8296,0.6616,3.3569,1.4038,-6.6528
178091.0000,0.2119,0.8252,0.6602,3.7231,1.3428,-6.2256
178092.0000,0.2104,0.8271,0.6631,4.5166,1.0986,-6.0425
178093.0000,0.2109,0.8296,0.6641,4.9438,0.9155,-5.9204
178094.0000,0.2144,0.8291,0.6597,5.4321,0.8545,-5.9814
178095.0000,0.2100,0.8281,0.6553,6.0425,1.2207,-6.1035
178096.0000,0.2031,0.8301,0.6528,6.5308,1.1597,-6.1035
178097.0000,0.1997,0.8359,0.6548,6.7749,0.7935,-6.1035
178098.0000,0.1997,0.8408,0.6592,7.1411,0.4883,-6.4697
178099.0000,0.1982,0.8384,0.6621,7.2021,0.2441,-6.8359
178100.0000,0.1997,0.8296,0.6665,7.3853,0.2441,-7.1411
178101.0000,0.1978,0.8174,0.6714,8.1787,0.3662,-7.6294
178102.0000,0.1978,0.8052,0.6724,9.0942,0.2441,-7.8125
178103.0000,0.1968,0.7954,0.6782,10.6201,0.3052,-8.2397
178104.0000,0.1978,0.7793,0.6846,12.8784,0.3662,-8.7891
178105.0000,0.1934,0.7656,0.6924,15.0757,0.3052,-9.4604
178106.0000,0.1841,0.7524,0.7085,17.5171,-0.0610,-9.7656
178107.0000,0.1636,0.7217,0.7163,22.0337,-0.9155,-10.8032
178108.0000,0.1509,0.6982,0.7178,26.1230,-2.0752,-11.8408
178109.0000,0.1543,0.6772,0.7227,30.9448,-3.6011,-13.0005
178110.0000,0.1733,0.6421,0.7227,38.5132,-5.1880,-14.0381
178111.0000,0.1870,0.6206,0.7305,44.9829,-5.7983,-14.3433
178112.0000,0.1895,0.6035,0.7344,52.3071,-5.7983,-14.7705
178113.0000,0.1719,0.5762,0.7319,63.2324,-5.8594,-15.6860
178114.0000,0.1704,0.5483,0.7188,71.5942,-6.1646,-16.7236
178115.0000,0.1914,0.5127,0.7031,81.1768,-6.1646,-17.5171
178116.0000,0.2407,0.4814,0.6768,95.3979,-4.0283,-17.8223
178117.0000,0.2593,0.4849,0.6660,106.4453,-0.6104,-17.5171
178118.0000,0.2236,0.4990,0.6406,117.6758,2.9297,-17.6392
178119.0000,0.1548,0.5283,0.5781,132.2632,5.3101,-18.0054
178120.0000,0.1401,0.5635,0.5176,141.7847,5.4321,-18.1274
178121.0000,0.1436,0.6050,0.4497,150.5737,5.4932,-17.9443
178122.0000,0.1514,0.6484,0.3662,160.1562,5.4321,-16.7847
178123.0000,0.1396,0.6553,0.3071,167.4805,5.4932,-15.1978
178124.0000,0.1001,0.6592,0.2534,174.0723,4.4556,-13.3057
178125.0000,0.0532,0.6587,0.1924,182.1289,0.1221,-10.7422
178126.0000,0.0454,0.6914,0.1387,188.1104,-4.1504,-9.3384
178127.0000,0.0620,0.7393,0.0991,192.8101,-8.4229,-8.3008
178128.0000,0.1001,0.7930,0.0503,197.6929,-12.7563,-7.2632
178129.0000,0.1255,0.8232,0.0200,200.6226,-14.9536,-6.2866
178130.0000,0.0923,0.8325,-0.0283,203.1860,-16.7847,-5.3101
178131.0000,0.0459,0.8394,-0.0693,205.0781,-21.3013,-3.7842
178132.0000,0.0127,0.8486,-0.0908,205.9326,-26.1230,-3.4180
178133.0000,-0.0054,0.8721,-0.1211,206.0547,-31.7383,-3.8452
178134.0000,0.0039,0.9189,-0.1626,205.3223,-39.0625,-5.6152
178135.0000,0.0234,0.9863,-0.1992,203.4302,-43.1519,-7.4463
178136.0000,0.0879,0.9287,-0.1797,198.8525,-47.0581,-8.5449
178137.0000,0.0698,0.9116,-0.2764,197.3267,-48.4619,-11.7188
178138.0000,0.1021,0.9238,-0.3442,194.2139,-48.8892,-11.5356
178139.0000,0.1274,0.9292,-0.3809,190.1855,-49.2554,-11.3525
178140.0000,0.1406,0.9673,-0.4438,184.4482,-48.2788,-10.0098
178141.0000,0.1250,1.0107,-0.4854,178.6499,-47.3022,-8.9111
178142.0000,0.0908,1.0752,-0.5308,171.3257,-46.8140,-8.3618
178143.0000,0.0479,1.2114,-0.5859,158.0811,-47.7905,-8.9722
178144.0000,0.0244,1.3076,-0.6211,145.0806,-49.3774,-10.4370
178145.0000,0.0181,1.3726,-0.6416,130.4321,-52.1240,-12.2681
178146.0000,0.0303,1.4014,-0.6631,108.9478,-55.4810,-14.9536
178147.0000,0.0430,1.4067,-0.6719,93.0786,-56.7627,-17.7002
178148.0000,0.0469,1.3901,-0.6675,77.0264,-56.8237,-21.3013
178149.0000,0.0547,1.3291,-0.6646,59.3262,-54.2603,-27.2827
178150.0000,0.0454,1.2686,-0.6587,47.6685,-51.3916,-31.1890
178151.0000,0.0444,1.1973,-0.6558,37.4756,-49.0112,-33.2031
178152.0000,0.0659,1.0830,-0.6470,27.6489,-46.1426,-33.3252
178153.0000,0.1025,1.0024,-0.6445,23.0103,-42.9077,-31.1890
178154.0000,0.1328,0.9409,-0.6265,19.8975,-38.0859,-27.8931
178155.0000,0.1719,0.8955,-0.5986,17.9443,-28.9917,-23.3765
178156.0000,0.1743,0.8926,-0.5806,17.4561,-20.3857,-21.1182
178157.0000,0.1445,0.9072,-0.5693,16.9678,-11.5967,-18.9819
178158.0000,0.0806,0.9238,-0.5586,15.0757,-2.1973,-15.6250
178159.0000,0.0396,0.9248,-0.5503,13.3667,2.2583,-12.5122
