timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
175435.0000,0.2202,0.9048,0.5239,4.4556,-0.9766,-3.6621
175436.0000,0.2188,0.9019,0.5264,4.5776,-1.2207,-3.9062
175437.0000,0.2178,0.9038,0.5210,4.7607,-1.7090,-4.4556
175438.0000,0.2163,0.9004,0.5244,4.9438,-1.9531,-4.9438
175439.0000,0.2178,0.8945,0.5229,5.2490,-2.2583,-5.1270
175440.0000,0.2178,0.8901,0.5264,5.7373,-2.5635,-5.3711
175441.0000,0.2236,0.8867,0.5283,6.1646,-2.7466,-5.6152
175442.0000,0.2236,0.8818,0.5317,6.7749,-2.8076,-5.9204
175443.0000,0.2285,0.8730,0.5347,7.8125,-2.9907,-6.0425
175444.0000,0.2285,0.8687,0.5391,8.6670,-2.9907,-6.1646
175445.0000,0.2319,0.8652,0.5396,9.8267,-2.9907,-6.1035
175446.0000,0.2339,0.8594,0.5444,11.6577,-2.8687,-5.8594
175447.0000,0.2344,0.8496,0.5396,13.3057,-2.6855,-5.9814
175448.0000,0.2285,0.8433,0.5386,15.2588,-2.6855,-6.0425
175449.0000,0.2256,0.8345,0.5332,18.3105,-2.8687,-5.9814
175450.0000,0.2300,0.8301,0.5327,20.8740,-3.0518,-5.8594
175451.0000,0.2334,0.8286,0.5244,23.5596,-2.9297,-5.7983
175452.0000,0.2402,0.8262,0.5171,27.0996,-2.8076,-5.4932
175453.0000,0.2437,0.8350,0.5132,29.9072,-2.3804,-5.3101
175454.0000,0.2466,0.8394,0.5112,32.6538,-1.7700,-5.0659
175455.0000,0.2520,0.8413,0.4966,36.3159,-0.9766,-4.5166
175456.0000,0.2573,0.8403,0.4922,39.0015,-0.1221,-4.2725
175457.0000,0.2573,0.8398,0.4795,41.8091,1.1597,-3.8452
175458.0000,0.2515,0.8555,0.4644,45.2271,2.6855,-3.6621
175459.0000,0.2368,0.8667,0.4556,47.6074,3.8452,-4.0283
175460.0000,0.2129,0.8833,0.4473,49.4385,4.0894,-4.6997
175461.0000,0.1865,0.8984,0.4360,51.4526,3.3569,-6.0425
175462.0000,0.1841,0.9038,0.4224,52.9785,2.5024,-7.3853
175463.0000,0.1865,0.9136,0.4141,53.5278,1.2207,-8.4229
175464.0000,0.2056,0.9170,0.4038,55.1147,0.4272,-9.4604
175465.0000,0.2129,0.9170,0.3931,55.7861,0.2441,-10.0708
175466.0000,0.2114,0.9150,0.3862,56.4575,0.4883,-10.3760
175467.0000,0.2012,0.9043,0.3687,57.9224,0.4883,-10.4370
175468.0000,0.1855,0.9038,0.3584,59.5093,0.1221,-10.4370
175469.0000,0.1763,0.9004,0.3467,61.3403,-0.8545,-10.3760
175470.0000,0.1626,0.8975,0.3364,63.8428,-2.6855,-10.0708
175471.0000,0.1606,0.8950,0.3247,65.7349,-4.3335,-9.6436
175472.0000,0.1694,0.8975,0.3188,67.5659,-6.0425,-9.5215
175473.0000,0.1973,0.9053,0.2944,70.3125,-7.0801,-9.2773
175474.0000,0.2046,0.9199,0.2866,71.6553,-7.1411,-9.2163
175475.0000,0.2139,0.9326,0.2739,72.8149,-6.7749,-9.2163
175476.0000,0.2153,0.9375,0.2515,74.4629,-5.7373,-9.3384
175477.0000,0.2041,0.9375,0.2397,75.1343,-5.2490,-9.5825
175478.0000,0.1895,0.9365,0.2261,76.4771,-4.8828,-10.0708
175479.0000,0.1714,0.9404,0.2061,77.9419,-5.0049,-10.8643
175480.0000,0.1587,0.9502,0.1943,78.3081,-5.8594,-11.4746
175481.0000,0.1553,0.9614,0.1875,78.7354,-6.7139,-12.0850
175482.0000,0.1616,0.9717,0.1729,78.7354,-7.6294,-12.6953
175483.0000,0.1694,0.9683,0.1611,78.5522,-7.8735,-12.3901
175484.0000,0.1797,0.9658,0.1533,78.4302,-7.8735,-12.2070
175485.0000,0.1831,0.9639,0.1343,78.6133,-7.3242,-11.3525
175486.0000,0.1812,0.9619,0.1240,78.8574,-6.8970,-10.8032
175487.0000,0.1772,0.9521,0.1050,79.4067,-6.4087,-9.9487
175488.0000,0.1782,0.9497,0.0859,80.2612,-6.2256,-8.8501
175489.0000,0.1841,0.9502,0.0684,81.1768,-6.1646,-8.0566
175490.0000,0.1958,0.9561,0.0508,82.7637,-5.1270,-7.2021
175491.0000,0.1895,0.9585,0.0347,83.6182,-3.9062,-7.2021
175492.0000,0.1768,0.9580,0.0186,84.3506,-2.8076,-7.4463
175493.0000,0.1543,0.9634,-0.0127,85.3882,-1.8921,-8.5449
175494.0000,0.1455,0.9688,-0.0352,85.9985,-1.5869,-9.6436
175495.0000,0.1523,0.9834,-0.0425,86.2427,-1.2207,-10.8032
175496.0000,0.1201,1.0083,-0.0806,85.3882,-1.3428,-12.0850
175497.0000,0.1323,1.0073,-0.0708,82.3975,-2.6245,-11.6577
175498.0000,0.1187,1.0039,-0.0962,83.0078,-2.3193,-12.5732
175499.0000,0.1304,0.9922,-0.1226,81.6650,-2.1362,-11.9629
175500.0000,0.1294,0.9858,-0.1343,80.9326,-2.0142,-11.4136
175501.0000,0.1270,0.9834,-0.1460,79.8340,-2.3804,-10.3760
175502.0000,0.1162,0.9839,-0.1567,78.7964,-3.1738,-9.2163
175503.0000,0.1035,0.9839,-0.1694,77.5757,-3.9673,-8.8501
175504.0000,0.0957,0.9834,-0.1851,77.0264,-4.5166,-8.6670
175505.0000,0.0928,0.9893,-0.2002,76.2939,-5.0659,-8.9722
175506.0000,0.0986,0.9902,-0.2095,75.5005,-5.1880,-9.0332
175507.0000,0.1099,0.9888,-0.2202,74.0967,-5.4321,-8.4229
175508.0000,0.1299,0.9849,-0.2451,72.6929,-5.0659,-6.7749
175509.0000,0.1421,0.9805,-0.2578,71.7163,-4.8828,-4.6997
175510.0000,0.1479,0.9702,-0.2705,70.4956,-4.2725,-2.8076
175511.0000,0.1343,0.9653,-0.2832,68.7866,-3.7231,-0.3052
175512.0000,0.1226,0.9668,-0.2905,67.4438,-3.3569,0.9155
175513.0000,0.1177,0.9741,-0.3013,65.6738,-2.8076,2.1362
175514.0000,0.1396,0.9741,-0.3081,63.3545,-2.2583,4.0283
175515.0000,0.1772,0.9653,-0.3179,61.6455,-1.2207,6.4087
175516.0000,0.2178,0.9551,-0.3232,60.1196,1.1597,9.3384
175517.0000,0.2383,0.9219,-0.3496,58.7158,5.0049,14.4043
175518.0000,0.2461,0.9004,-0.3647,58.4717,8.1787,17.7002
175519.0000,0.2217,0.8955,-0.3818,58.7769,11.2305,19.2871
175520.0000,0.1689,0.9355,-0.3833,58.4106,14.0991,18.1885
175521.0000,0.1240,0.9844,-0.3789,56.8237,14.5874,15.0757
175522.0000,0.0938,1.0273,-0.3799,54.3823,14.1602,10.7422
175523.0000,0.0620,1.0532,-0.3833,49.1943,12.1460,5.0049
175524.0000,0.0532,1.0508,-0.4023,44.4336,8.3008,1.8311
175525.0000,0.0693,1.0332,-0.4199,40.2222,4.0283,-0.3662
175526.0000,0.0913,1.0117,-0.4321,34.7290,-0.0610,-2.6855
175527.0000,0.0840,1.0010,-0.4331,30.8228,-2.0142,-4.3335
175528.0000,0.0757,0.9810,-0.4238,27.1606,-4.3945,-5.3101
175529.0000,0.0708,0.9521,-0.4116,23.1934,-8.3618,-5.3711
175530.0000,0.0796,0.9292,-0.4028,20.8740,-11.5356,-5.2490
175531.0000,0.0928,0.9067,-0.3940,19.5312,-14.0991,-5.3711
175532.0000,0.1094,0.8931,-0.3882,18.2495,-16.4795,-6.2866
175533.0000,0.1235,0.8843,-0.3911,17.4561,-17.8833,-7.1411
175534.0000,0.1440,0.8711,-0.3931,16.8457,-18.7378,-7.9346
175535.0000,0.1665,0.8555,-0.3970,16.9067,-18.5547,-9.1553
175536.0000,0.1699,0.8364,-0.4048,17.2729,-17.5781,-10.0708
175537.0000,0.1743,0.8320,-0.4082,17.8223,-16.5405,-10.6812
175538.0000,0.1875,0.8423,-0.4087,18.9209,-14.3433,-11.1084
175539.0000,0.1943,0.8550,-0.4146,19.3481,-12.2681,-11.0474
175540.0000,0.1826,0.8643,-0.4341,19.5923,-10.1318,-10.9863
175541.0000,0.1562,0.8916,-0.4575,19.5312,-7.5684,-10.9863
175542.0000,0.1250,0.9229,-0.4697,18.4326,-6.8359,-11.7188
