timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
504131.0000,0.0103,0.9331,0.4326,-0.2441,-7.1411,0.9155
504132.0000,0.0088,0.9604,0.4424,-0.0610,-6.1035,-0.4883
504133.0000,0.0015,0.9844,0.4517,0.0000,-5.3711,-1.8311
504134.0000,-0.0220,0.9810,0.4541,-0.2441,-4.8218,-3.1128
504135.0000,-0.0396,0.9668,0.4517,-0.0610,-4.5776,-4.2114
504136.0000,-0.0562,0.9639,0.4487,0.1221,-4.5166,-5.6763
504137.0000,-0.0659,0.9810,0.4512,0.3662,-4.3335,-7.9956
504138.0000,-0.0679,0.9927,0.4551,0.0610,-4.2725,-9.8267
504139.0000,-0.0679,0.9883,0.4541,-0.3052,-3.9673,-11.5967
504140.0000,-0.0708,0.9644,0.4458,-0.8545,-3.3569,-13.4888
504141.0000,-0.0854,0.9414,0.4424,-0.9766,-2.8687,-14.5874
504142.0000,-0.1064,0.9194,0.4346,-0.7324,-2.0752,-15.4419
504143.0000,-0.1274,0.8989,0.4292,0.2441,-1.5259,-16.2354
504144.0000,-0.1367,0.8936,0.4282,1.3428,-1.4648,-16.5405
504145.0000,-0.1479,0.8882,0.4253,2.4414,-1.5869,-16.5405
504146.0000,-0.1582,0.8765,0.4146,3.8452,-1.8921,-16.3574
504147.0000,-0.1660,0.8716,0.4077,4.6997,-2.0752,-16.2354
504148.0000,-0.1763,0.8784,0.3999,5.6152,-2.1973,-16.1743
504149.0000,-0.1943,0.8911,0.3936,6.4087,-2.4414,-16.2964
504150.0000,-0.2095,0.9043,0.3877,6.8359,-2.6245,-16.7236
504151.0000,-0.2256,0.9185,0.3848,7.0801,-3.2349,-17.2729
504152.0000,-0.2358,0.9204,0.3789,7.0190,-3.8452,-18.0054
504153.0000,-0.2485,0.9160,0.3760,6.8970,-4.0283,-19.0430
504154.0000,-0.2700,0.9131,0.3711,7.0801,-4.6387,-20.3857
504155.0000,-0.2900,0.9170,0.3721,7.3242,-5.4932,-21.3623
504156.0000,-0.3110,0.9199,0.3711,7.6904,-6.8359,-22.2168
504157.0000,-0.3257,0.9268,0.3687,8.1787,-9.1553,-22.7051
504158.0000,-0.3350,0.9263,0.3672,8.5449,-11.1694,-23.2544
504159.0000,-0.3452,0.9336,0.3633,9.0942,-13.1226,-23.8647
504160.0000,-0.3599,0.9297,0.3623,9.5215,-16.1133,-24.4141
504161.0000,-0.3691,0.9248,0.3550,10.2539,-18.6157,-24.7192
504162.0000,-0.3828,0.9189,0.3530,10.8032,-21.3013,-24.8413
504163.0000,-0.4043,0.9131,0.3501,11.5967,-25.2075,-25.0854
504164.0000,-0.4229,0.9072,0.3496,12.2681,-28.7476,-25.2686
504165.0000,-0.4326,0.9067,0.3428,13.0615,-32.5317,-25.2686
504166.0000,-0.4360,0.9150,0.3398,13.7939,-38.0859,-25.3296
504167.0000,-0.4302,0.9263,0.3379,14.4653,-42.3584,-25.3906
504168.0000,-0.4243,0.9282,0.3364,15.0757,-46.3867,-25.2075
504169.0000,-0.4204,0.9150,0.3281,15.5640,-51.8799,-25.3296
504170.0000,-0.4224,0.9136,0.3184,16.2964,-55.7861,-25.3296
504171.0000,-0.4268,0.9170,0.3218,16.7847,-59.8145,-25.7568
504172.0000,-0.4316,0.9243,0.3247,17.5171,-65.6738,-26.6113
504173.0000,-0.4263,0.9287,0.3228,18.1885,-70.2515,-27.3438
504174.0000,-0.4131,0.9360,0.3218,18.6157,-74.5850,-28.1372
504175.0000,-0.3979,0.9399,0.3184,19.3481,-79.8340,-28.9917
504176.0000,-0.3931,0.9424,0.3154,19.7144,-83.8013,-29.3579
504177.0000,-0.3945,0.9434,0.3140,20.1416,-87.8906,-29.7241
504178.0000,-0.3901,0.9517,0.3164,20.5688,-93.8721,-30.2124
504179.0000,-0.3784,0.9570,0.3218,20.8740,-98.4497,-30.7617
504180.0000,-0.3657,0.9624,0.3267,21.1792,-102.4780,-31.8604
504181.0000,-0.3545,0.9668,0.3320,21.6064,-107.4829,-33.4473
504182.0000,-0.3501,0.9668,0.3315,21.8506,-111.0229,-34.4849
504183.0000,-0.3433,0.9756,0.3374,21.9727,-114.6851,-35.4004
504184.0000,-0.3281,0.9775,0.3511,22.1558,-119.8120,-36.1328
504185.0000,-0.3154,0.9653,0.3569,22.5830,-123.3521,-36.4990
504186.0000,-0.3135,0.9492,0.3618,23.0103,-126.7700,-37.4146
504187.0000,-0.3179,0.9448,0.3662,23.9258,-131.1035,-38.8184
504188.0000,-0.3091,0.9507,0.3774,24.5361,-134.3384,-39.7949
504189.0000,-0.2964,0.9570,0.3857,25.1465,-137.3901,-40.8325
504190.0000,-0.2798,0.9512,0.3931,25.0854,-140.9302,-41.8091
504191.0000,-0.2803,0.9385,0.3960,25.5737,-142.8833,-42.7246
504192.0000,-0.2915,0.9248,0.4028,26.1230,-145.0806,-43.8232
504193.0000,-0.3003,0.9102,0.4062,26.9165,-148.4375,-45.4102
504194.0000,-0.2935,0.9062,0.4053,27.4658,-151.0620,-46.6309
504195.0000,-0.2793,0.9077,0.4067,27.7710,-153.1372,-47.6074
504196.0000,-0.2490,0.9092,0.4131,27.5269,-154.9072,-48.6450
504197.0000,-0.2271,0.9146,0.4229,26.6113,-155.0903,-49.2554
504198.0000,-0.2109,0.9082,0.4326,25.4517,-154.1138,-50.1099
504199.0000,-0.2095,0.8872,0.4453,23.8647,-152.0386,-51.3306
504200.0000,-0.2085,0.8755,0.4561,23.1934,-150.2075,-52.5513
504201.0000,-0.2080,0.8613,0.4600,22.7661,-148.1934,-53.9551
504202.0000,-0.1968,0.8525,0.4722,22.5220,-145.1416,-56.0303
504203.0000,-0.1846,0.8608,0.4844,22.4609,-142.5171,-57.6172
504204.0000,-0.1704,0.8843,0.5000,22.0337,-139.5264,-59.1431
504205.0000,-0.1577,0.9087,0.5176,20.4468,-134.8267,-60.0586
