timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
9091.0,-0.318359,0.940918,0.248047,-1.098633,2.380371,-2.01416
9092.0,-0.315918,0.94043,0.250488,-1.525879,2.380371,-1.708984
9093.0,-0.313477,0.936035,0.251953,-1.953125,2.563477,-1.647949
9094.0,-0.313477,0.933105,0.250488,-2.319336,2.807617,-1.586914
9095.0,-0.317871,0.930176,0.253906,-2.380371,3.173828,-1.525879
9096.0,-0.321777,0.928711,0.257324,-2.319336,3.295898,-1.647949
9097.0,-0.319824,0.929688,0.253906,-2.258301,3.112793,-1.586914
9098.0,-0.320312,0.927246,0.258301,-2.13623,3.112793,-1.708984
9099.0,-0.320312,0.926758,0.259766,-2.075195,3.112793,-1.586914
9100.0,-0.313477,0.928223,0.259766,-1.89209,3.051758,-1.77002
9101.0,-0.313477,0.931641,0.258301,-1.708984,3.356934,-1.708984
9102.0,-0.314941,0.931641,0.260254,-1.77002,3.479004,-1.708984
9103.0,-0.313965,0.932617,0.26123,-1.831055,3.78418,-1.647949
9104.0,-0.318359,0.934082,0.260742,-1.89209,3.845215,-1.708984
9105.0,-0.319824,0.931641,0.26416,-1.89209,3.845215,-1.708984
9106.0,-0.32373,0.927734,0.260254,-1.586914,3.78418,-1.831055
9107.0,-0.323242,0.927734,0.257812,-1.464844,3.662109,-1.708984
9108.0,-0.316406,0.932129,0.260254,-1.403809,3.78418,-1.586914
9109.0,-0.30957,0.940918,0.260742,-1.403809,3.90625,-1.89209
9110.0,-0.303223,0.944824,0.257812,-1.831055,4.272461,-1.586914
9111.0,-0.286133,0.955078,0.256836,-2.624512,5.126953,-1.342773
9112.0,-0.269043,0.960938,0.253906,-4.02832,7.263184,-1.037598
9113.0,-0.262207,0.957031,0.257324,-5.126953,9.58252,-0.610352
9114.0,-0.26123,0.950195,0.253418,-5.92041,12.023926,-0.12207
9115.0,-0.25293,0.946777,0.250488,-6.835938,15.50293,0.183105
9116.0,-0.240723,0.949707,0.252441,-7.324219,18.310547,0.488281
9117.0,-0.226074,0.955566,0.257324,-8.056641,21.728516,0.671387
9118.0,-0.201172,0.961426,0.255371,-9.521484,27.22168,1.159668
9119.0,-0.191895,0.959473,0.251953,-10.803223,32.226562,1.464844
9120.0,-0.188477,0.957031,0.251953,-11.901855,37.29248,2.01416
9121.0,-0.178711,0.958496,0.255371,-13.305664,44.128418,2.746582
9122.0,-0.162109,0.962402,0.249512,-14.465332,49.682617,3.295898
9123.0,-0.152832,0.963379,0.241699,-15.808105,56.091309,4.02832
9124.0,-0.161133,0.960938,0.23584,-17.456055,65.429688,4.821777
9125.0,-0.186523,0.950195,0.226562,-18.554688,71.960449,5.615234
9126.0,-0.210938,0.941895,0.222656,-19.287109,77.209473,6.286621
9127.0,-0.21875,0.9375,0.220703,-19.53125,82.763672,7.202148
9128.0,-0.208496,0.94043,0.214844,-19.65332,86.914062,7.507324
9129.0,-0.203613,0.938477,0.209473,-20.141602,91.674805,7.873535
9130.0,-0.219727,0.937012,0.198242,-20.568848,98.144531,8.422852
9131.0,-0.246094,0.937012,0.192383,-20.812988,102.111816,9.094238
9132.0,-0.271484,0.938477,0.187012,-20.996094,104.980469,9.765625
9133.0,-0.28125,0.938965,0.185547,-21.057129,107.60498,10.559082
9134.0,-0.280762,0.939453,0.178223,-21.179199,109.25293,10.986328
9135.0,-0.287598,0.938965,0.16748,-21.362305,111.083984,11.108398
9136.0,-0.313965,0.9375,0.160156,-21.66748,113.098145,11.474609
9137.0,-0.335449,0.933594,0.15332,-21.54541,113.28125,12.084961
9138.0,-0.353027,0.93457,0.146973,-21.362305,112.854004,12.390137
9139.0,-0.359863,0.946289,0.144531,-21.240234,111.022949,12.145996
9140.0,-0.357422,0.951172,0.149414,-21.30127,109.619141,11.901855
9141.0,-0.357422,0.951172,0.143066,-21.484375,108.459473,12.084961
9142.0,-0.376465,0.939453,0.140625,-21.362305,106.689453,12.329102
9143.0,-0.390137,0.916504,0.141113,-21.972656,104.736328,13.244629
9144.0,-0.399414,0.914062,0.143066,-20.629883,102.355957,14.038086
9145.0,-0.401367,0.928223,0.146973,-20.446777,98.388672,15.808105
9146.0,-0.380859,0.937012,0.147461,-19.65332,95.336914,16.845703
9147.0,-0.36084,0.941406,0.141602,-19.042969,94.055176,17.272949
9148.0,-0.345215,0.938965,0.145508,-18.432617,93.505859,17.456055
