timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
70302.0,-0.304688,0.95459,0.099121,-4.882812,1.525879,-1.708984
70303.0,-0.304199,0.954102,0.095215,-5.249023,1.586914,-1.586914
70304.0,-0.304199,0.956543,0.095703,-5.493164,1.831055,-1.525879
70305.0,-0.304199,0.956055,0.093262,-5.67627,1.89209,-1.464844
70306.0,-0.30957,0.963379,0.083984,-6.164551,1.89209,-1.403809
70307.0,-0.310059,0.969238,0.081055,-6.591797,1.953125,-1.342773
70308.0,-0.311523,0.97168,0.072754,-7.324219,1.89209,-1.464844
70309.0,-0.309082,0.975098,0.06543,-8.544922,1.708984,-1.525879
70310.0,-0.305176,0.982422,0.069824,-9.58252,1.77002,-1.342773
70311.0,-0.304688,0.991699,0.067383,-10.803223,1.89209,-1.342773
70312.0,-0.302734,0.998535,0.067871,-13.122559,2.01416,-1.281738
70313.0,-0.299805,1.001953,0.066406,-15.014648,2.197266,-1.098633
70314.0,-0.302246,1.002441,0.068848,-16.906738,2.197266,-0.915527
70315.0,-0.306641,0.999023,0.067383,-19.53125,2.258301,-1.220703
70316.0,-0.314453,0.99707,0.068848,-21.362305,2.01416,-1.342773
70317.0,-0.316406,0.996094,0.066895,-23.071289,1.586914,-1.525879
70318.0,-0.318359,0.990234,0.06543,-25.512695,0.671387,-1.647949
70319.0,-0.314453,0.990234,0.067383,-27.160645,0.0,-2.01416
70320.0,-0.317383,0.99707,0.063965,-28.869629,-0.549316,-2.258301
70321.0,-0.324219,1.009277,0.055664,-31.37207,-1.281738,-2.746582
70322.0,-0.327148,1.016113,0.060059,-33.569336,-2.197266,-2.990723
70323.0,-0.32373,1.02002,0.05957,-36.376953,-3.173828,-3.417969
70324.0,-0.313965,1.018555,0.064453,-40.405273,-4.150391,-3.845215
70325.0,-0.309082,1.01416,0.068848,-43.457031,-4.699707,-4.02832
70326.0,-0.30127,1.008301,0.079102,-46.386719,-4.943848,-4.272461
70327.0,-0.297852,1.004883,0.084961,-50.048828,-4.943848,-4.760742
70328.0,-0.29834,1.007324,0.085449,-52.79541,-4.943848,-5.065918
