timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
87137.0,-0.211914,0.944336,0.355957,6.652832,1.525879,-2.746582
87138.0,-0.214355,0.949219,0.350586,6.713867,1.831055,-2.624512
87139.0,-0.21582,0.952148,0.352539,6.652832,1.953125,-2.624512
87140.0,-0.21875,0.953613,0.351562,6.469727,2.13623,-2.563477
87141.0,-0.220703,0.95166,0.350586,6.225586,2.197266,-2.441406
87142.0,-0.21875,0.950195,0.34668,6.103516,2.13623,-2.319336
87143.0,-0.220703,0.952148,0.344238,6.04248,2.258301,-2.380371
87144.0,-0.223633,0.950684,0.346191,5.859375,2.319336,-2.258301
87145.0,-0.225586,0.950195,0.341797,5.859375,1.953125,-2.380371
87146.0,-0.226562,0.953613,0.340332,5.737305,1.89209,-2.258301
87147.0,-0.228027,0.953125,0.34082,5.67627,1.647949,-2.319336
87148.0,-0.227539,0.952637,0.339355,5.493164,1.281738,-2.563477
87149.0,-0.227051,0.953613,0.335938,5.310059,1.037598,-2.563477
87150.0,-0.228516,0.952637,0.335449,5.126953,0.854492,-2.441406
87151.0,-0.228516,0.954102,0.33252,4.760742,0.610352,-2.502441
87152.0,-0.228027,0.954102,0.333984,4.577637,0.366211,-2.502441
87153.0,-0.226562,0.954102,0.334473,4.333496,0.183105,-2.258301
87154.0,-0.228516,0.958008,0.335449,3.90625,-0.061035,-2.258301
87155.0,-0.229004,0.957031,0.333984,3.540039,-0.366211,-2.197266
87156.0,-0.226074,0.955566,0.333008,3.356934,-0.610352,-2.197266
87157.0,-0.226074,0.949707,0.334473,3.112793,-0.671387,-1.831055
87158.0,-0.223633,0.95166,0.332031,2.990723,-0.854492,-1.77002
87159.0,-0.225098,0.952148,0.333008,3.051758,-0.793457,-1.89209
87160.0,-0.224121,0.956055,0.336426,2.929688,-0.915527,-2.01416
87161.0,-0.222656,0.956055,0.333008,2.746582,-0.976562,-1.953125
87162.0,-0.218262,0.953613,0.333984,2.441406,-1.037598,-2.075195
87163.0,-0.215332,0.953125,0.334473,2.258301,-0.915527,-2.01416
87164.0,-0.217773,0.952637,0.337891,2.258301,-0.671387,-2.075195
87165.0,-0.218262,0.952148,0.337891,2.258301,-0.488281,-2.319336
87166.0,-0.217773,0.946289,0.333008,2.13623,-0.366211,-2.502441
87167.0,-0.217773,0.941895,0.338867,2.380371,-0.12207,-2.502441
87168.0,-0.217773,0.942871,0.339355,2.502441,0.0,-2.685547
87169.0,-0.216309,0.947754,0.346191,2.929688,0.366211,-3.112793
87170.0,-0.21582,0.950195,0.355957,3.173828,0.610352,-3.356934
87171.0,-0.212402,0.941406,0.363281,3.601074,0.915527,-3.479004
87172.0,-0.206543,0.919434,0.373047,4.272461,1.403809,-4.150391
87173.0,-0.203125,0.900879,0.376465,5.493164,2.01416,-4.760742
87174.0,-0.202148,0.89209,0.379395,7.019043,2.868652,-5.493164
87175.0,-0.203613,0.885742,0.382812,9.70459,3.90625,-6.591797
87176.0,-0.207031,0.888184,0.384766,11.84082,4.516602,-7.080078
87177.0,-0.205566,0.887695,0.391113,13.916016,4.760742,-7.629395
87178.0,-0.192383,0.880859,0.404297,16.967773,5.67627,-8.789062
87179.0,-0.181152,0.867676,0.418945,19.65332,6.835938,-10.131836
87180.0,-0.171875,0.835449,0.429199,23.071289,8.178711,-11.474609
87181.0,-0.166504,0.779297,0.445801,29.47998,10.620117,-13.549805
87182.0,-0.171387,0.744629,0.453125,35.644531,12.878418,-15.625
87183.0,-0.178711,0.728027,0.453125,42.785645,14.648438,-17.700195
87184.0,-0.180664,0.743164,0.4375,52.734375,16.662598,-20.690918
87185.0,-0.185547,0.758789,0.427734,59.387207,18.371582,-22.766113
87186.0,-0.192871,0.755371,0.422852,65.551758,20.202637,-24.536133
87187.0,-0.206543,0.733398,0.401367,74.035645,21.911621,-26.733398
87188.0,-0.223633,0.719727,0.377441,80.688477,23.376465,-28.320312
87189.0,-0.243164,0.72168,0.359863,87.402344,24.230957,-29.602051
87190.0,-0.246094,0.739746,0.333496,96.252441,25.57373,-31.494141
87191.0,-0.250977,0.742188,0.315918,102.233887,27.099609,-32.470703
87192.0,-0.266113,0.737793,0.287109,107.543945,28.381348,-32.592773
87193.0,-0.279297,0.741699,0.234863,114.196777,29.785156,-31.677246
87194.0,-0.278809,0.757812,0.195801,118.469238,30.822754,-30.090332
87195.0,-0.266602,0.784668,0.151367,121.704102,32.104492,-27.404785
87196.0,-0.239746,0.824219,0.095215,124.328613,35.03418,-22.766113
87197.0,-0.240234,0.839844,0.054688,125.12207,38.269043,-18.493652
87198.0,-0.248535,0.848633,-0.005371,125.366211,42.114258,-11.352539
87199.0,-0.268555,0.848145,-0.047363,125.549316,45.288086,-5.92041
87200.0,-0.313965,0.851074,-0.081055,125.427246,46.447754,0.0
87201.0,-0.325684,0.858887,-0.131348,125.915527,45.043945,6.530762
87202.0,-0.327637,0.891113,-0.179199,126.098633,44.677734,9.643555
87203.0,-0.335449,0.94043,-0.222656,124.511719,44.311523,12.023926
87204.0,-0.339844,0.993652,-0.253906,120.239258,41.931152,15.930176
87205.0,-0.338379,1.016602,-0.27832,115.41748,39.855957,18.737793
87206.0,-0.337402,1.036621,-0.305664,109.375,37.597656,20.996094
87207.0,-0.331543,1.062012,-0.342773,101.928711,34.729004,22.216797
87208.0,-0.32666,1.064453,-0.35791,95.458984,32.470703,22.216797
87209.0,-0.323242,1.064453,-0.371094,89.172363,30.273438,21.911621
87210.0,-0.322754,1.047852,-0.382324,81.237793,27.282715,21.30127
87211.0,-0.325684,1.035645,-0.396484,75.744629,24.841309,20.507812
87212.0,-0.331055,1.024902,-0.407715,70.739746,21.850586,19.287109
87213.0,-0.330566,1.024414,-0.42627,64.086914,17.63916,16.235352
87214.0,-0.331543,1.027832,-0.433105,59.204102,14.526367,13.183594
87215.0,-0.324219,1.029297,-0.431641,54.199219,11.352539,10.253906
87216.0,-0.298828,1.036133,-0.437012,47.119141,7.629395,7.202148
87217.0,-0.283203,1.03418,-0.442383,41.748047,6.04248,5.371094
87218.0,-0.277344,1.024414,-0.437012,36.437988,5.004883,3.845215
87219.0,-0.285156,1.010742,-0.441406,29.968262,3.78418,2.258301
87220.0,-0.289551,1.001465,-0.439941,25.45166,2.502441,1.281738
87221.0,-0.288086,0.991699,-0.432617,21.057129,1.037598,0.427246
87222.0,-0.286621,0.975586,-0.423828,15.808105,-0.610352,-0.305176
87223.0,-0.290527,0.960938,-0.414062,12.512207,-2.13623,-0.305176
87224.0,-0.283691,0.949219,-0.407715,9.094238,-3.967285,-0.305176
87225.0,-0.263672,0.9375,-0.40332,4.699707,-5.981445,-1.037598
87226.0,-0.240723,0.929688,-0.394531,1.89209,-6.713867,-1.831055
87227.0,-0.21875,0.913574,-0.379883,-0.671387,-6.530762,-1.953125
87228.0,-0.200684,0.883789,-0.365723,-2.990723,-5.615234,-1.403809
87229.0,-0.195312,0.868652,-0.35791,-3.845215,-4.455566,-0.915527
87230.0,-0.193359,0.86377,-0.352539,-4.089355,-2.990723,-1.098633
87231.0,-0.202637,0.862305,-0.337402,-3.601074,-0.854492,-1.953125
87232.0,-0.212402,0.861816,-0.33252,-3.112793,0.366211,-2.624512
87233.0,-0.213379,0.856445,-0.331055,-2.563477,1.159668,-2.746582
87234.0,-0.219238,0.856934,-0.334961,-2.13623,2.13623,-2.746582
87235.0,-0.221191,0.853516,-0.328125,-2.075195,2.807617,-2.319336
87236.0,-0.224121,0.854004,-0.323242,-1.831055,3.356934,-1.831055
87237.0,-0.229004,0.861328,-0.324219,-1.220703,4.150391,-1.708984
87238.0,-0.23291,0.864746,-0.317871,-0.793457,4.943848,-1.708984
87239.0,-0.234375,0.858887,-0.3125,-0.488281,5.493164,-1.525879
87240.0,-0.243652,0.849609,-0.316895,0.12207,5.859375,-1.159668
87241.0,-0.248535,0.850586,-0.3125,0.671387,5.859375,-1.037598
87242.0,-0.249512,0.852051,-0.313477,1.403809,5.859375,-0.854492
87243.0,-0.253906,0.852539,-0.316406,2.441406,5.554199,-0.610352
87244.0,-0.255859,0.852051,-0.320312,2.990723,5.004883,-0.305176
87245.0,-0.25293,0.854492,-0.321289,3.417969,4.516602,0.488281
87246.0,-0.25293,0.862793,-0.326172,4.089355,4.089355,1.281738
87247.0,-0.255371,0.870605,-0.331543,4.333496,3.540039,1.647949
87248.0,-0.253906,0.876953,-0.331055,4.394531,2.868652,2.01416
87249.0,-0.253906,0.881836,-0.334473,4.089355,1.708984,2.563477
87250.0,-0.24707,0.880371,-0.337402,3.540039,0.915527,2.929688
87251.0,-0.242188,0.87793,-0.337402,3.112793,0.244141,3.051758
87252.0,-0.23877,0.873535,-0.337891,2.624512,-0.549316,2.807617
87253.0,-0.240234,0.870605,-0.34082,2.502441,-1.098633,2.441406
87254.0,-0.236816,0.866211,-0.338867,2.624512,-1.77002,2.01416
87255.0,-0.229004,0.869141,-0.341309,2.441406,-2.258301,1.403809
87256.0,-0.223633,0.874023,-0.338379,2.197266,-2.502441,1.037598
87257.0,-0.219727,0.878418,-0.343262,1.89209,-2.441406,0.549316
87258.0,-0.220215,0.880371,-0.341797,1.403809,-2.380371,-0.061035
87259.0,-0.219727,0.875977,-0.342285,1.037598,-2.319336,-0.488281
87260.0,-0.219238,0.876953,-0.344238,0.793457,-2.319336,-0.854492
87261.0,-0.21582,0.884277,-0.34375,-0.061035,-2.01416,-1.464844
87262.0,-0.213867,0.887695,-0.340332,-0.610352,-1.647949,-1.953125
87263.0,-0.216309,0.884766,-0.341309,-1.281738,-1.159668,-2.319336
87264.0,-0.222656,0.881348,-0.336914,-1.953125,-0.610352,-2.929688
87265.0,-0.230957,0.880859,-0.330078,-2.319336,-0.183105,-2.990723
87266.0,-0.231445,0.87793,-0.330078,-2.502441,-0.12207,-3.051758
87267.0,-0.234375,0.878906,-0.323242,-2.929688,0.0,-2.929688
87268.0,-0.23877,0.880371,-0.318359,-3.234863,0.244141,-2.868652
87269.0,-0.244141,0.873535,-0.316895,-3.662109,0.244141,-2.563477
87270.0,-0.25,0.859863,-0.308594,-3.78418,-0.12207,-1.647949
87271.0,-0.251465,0.859863,-0.309082,-3.479004,-0.488281,-1.403809
87272.0,-0.245117,0.867676,-0.304199,-3.295898,-0.732422,-1.647949
87273.0,-0.220215,0.879883,-0.300781,-3.234863,-0.549316,-2.197266
87274.0,-0.208984,0.881348,-0.29834,-3.723145,0.732422,-2.502441
87275.0,-0.205078,0.872559,-0.294434,-4.089355,2.13623,-2.319336
87276.0,-0.212402,0.85791,-0.296875,-3.90625,4.211426,-1.953125
87277.0,-0.225098,0.851562,-0.297852,-3.417969,5.432129,-1.953125
87278.0,-0.236816,0.85498,-0.296875,-2.502441,6.286621,-2.197266
87279.0,-0.250977,0.863281,-0.301758,-1.464844,6.530762,-2.441406
