timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
142725.0000,-0.0811,0.9531,0.4453,0.0610,2.5024,0.3662
142726.0000,-0.0815,0.9473,0.4438,-0.1831,1.9531,0.8545
142727.0000,-0.0767,0.9453,0.4409,0.0610,1.5869,1.2817
142728.0000,-0.0728,0.9487,0.4443,0.2441,1.2817,1.5259
142729.0000,-0.0649,0.9512,0.4468,0.1831,1.2207,1.5869
142730.0000,-0.0645,0.9443,0.4448,0.0000,1.2207,1.6479
142731.0000,-0.0620,0.9414,0.4453,0.0000,1.1597,1.6479
142732.0000,-0.0586,0.9478,0.4517,0.4883,1.3428,1.3428
142733.0000,-0.0591,0.9473,0.4487,0.4883,1.4648,1.1597
142734.0000,-0.0649,0.9429,0.4463,0.3052,1.5869,0.9155
142735.0000,-0.0723,0.9434,0.4434,0.7324,1.4038,0.1221
142736.0000,-0.0728,0.9463,0.4443,1.2817,0.9766,-0.1831
142737.0000,-0.0684,0.9492,0.4429,1.3428,0.4883,-0.5493
142738.0000,-0.0640,0.9487,0.4453,1.0376,0.1831,-0.4272
142739.0000,-0.0610,0.9482,0.4473,1.0986,0.1831,-0.1831
142740.0000,-0.0601,0.9502,0.4473,0.9766,0.3052,0.1221
142741.0000,-0.0640,0.9468,0.4434,0.9155,0.2441,0.3052
142742.0000,-0.0649,0.9429,0.4458,0.7935,0.1831,0.5493
142743.0000,-0.0674,0.9414,0.4419,0.9155,-0.0610,0.7935
142744.0000,-0.0645,0.9429,0.4434,1.0986,-0.4272,0.6714
142745.0000,-0.0601,0.9468,0.4429,1.2207,-0.5493,0.4883
142746.0000,-0.0562,0.9521,0.4443,1.1597,-0.6714,0.3662
142747.0000,-0.0557,0.9561,0.4478,0.9766,-0.5493,0.3052
142748.0000,-0.0542,0.9570,0.4429,0.4883,-0.3052,0.0000
142749.0000,-0.0542,0.9526,0.4414,0.1831,-0.2441,0.0000
142750.0000,-0.0552,0.9512,0.4424,0.0000,-0.1221,-0.3052
142751.0000,-0.0576,0.9507,0.4434,0.1221,0.0000,-0.3052
142752.0000,-0.0547,0.9497,0.4404,0.1831,0.1831,-0.3052
142753.0000,-0.0571,0.9468,0.4438,0.1831,0.4272,-0.3052
142754.0000,-0.0557,0.9443,0.4434,0.4883,0.4883,-0.3052
142755.0000,-0.0557,0.9502,0.4448,0.7324,0.6714,-0.1831
142756.0000,-0.0527,0.9512,0.4399,0.8545,0.9766,-0.1831
142757.0000,-0.0522,0.9502,0.4409,0.9155,1.2207,0.0000
142758.0000,-0.0557,0.9521,0.4424,0.9766,1.5259,0.2441
142759.0000,-0.0576,0.9517,0.4390,0.9155,1.8311,0.2441
142760.0000,-0.0571,0.9546,0.4385,1.0376,1.7700,0.4883
142761.0000,-0.0605,0.9570,0.4390,1.0376,1.8921,0.6714
142762.0000,-0.0649,0.9541,0.4375,0.7324,1.5869,1.0986
142763.0000,-0.0654,0.9512,0.4351,0.4883,1.5259,1.2207
142764.0000,-0.0654,0.9473,0.4360,0.6104,1.0376,1.2817
142765.0000,-0.0610,0.9497,0.4351,0.7324,0.5493,1.0376
142766.0000,-0.0571,0.9556,0.4346,0.8545,0.3662,0.9155
142767.0000,-0.0532,0.9565,0.4370,0.9155,0.3662,0.8545
142768.0000,-0.0483,0.9604,0.4365,0.6714,0.5493,0.6104
142769.0000,-0.0483,0.9580,0.4365,0.5493,0.7324,0.6104
142770.0000,-0.0532,0.9580,0.4360,0.1831,0.9155,0.5493
142771.0000,-0.0557,0.9565,0.4360,0.0610,1.0376,0.4883
142772.0000,-0.0562,0.9531,0.4341,0.0610,1.0986,0.3052
142773.0000,-0.0557,0.9541,0.4336,0.0610,0.9766,0.3662
142774.0000,-0.0498,0.9536,0.4375,-0.1221,0.9766,0.2441
142775.0000,-0.0464,0.9517,0.4346,-0.3052,1.0376,0.2441
142776.0000,-0.0454,0.9497,0.4336,-0.4883,1.4038,0.4272
142777.0000,-0.0430,0.9497,0.4341,-0.4272,1.7090,0.3052
142778.0000,-0.0449,0.9482,0.4346,-0.3052,2.0752,0.2441
142779.0000,-0.0503,0.9453,0.4351,-0.2441,2.3193,0.1221
142780.0000,-0.0542,0.9487,0.4370,-0.1221,2.3804,-0.2441
142781.0000,-0.0576,0.9492,0.4360,0.1221,2.5024,-0.1831
142782.0000,-0.0571,0.9487,0.4331,0.0610,2.5635,-0.4883
142783.0000,-0.0532,0.9531,0.4370,0.2441,2.5635,-0.4883
142784.0000,-0.0542,0.9531,0.4360,0.3052,2.6245,-0.3052
142785.0000,-0.0571,0.9536,0.4351,0.2441,2.7466,-0.0610
142786.0000,-0.0586,0.9546,0.4360,0.1831,2.8076,0.1221
142787.0000,-0.0596,0.9575,0.4365,0.0610,2.9907,0.1831
142788.0000,-0.0576,0.9556,0.4375,-0.1221,2.9907,0.4272
142789.0000,-0.0557,0.9561,0.4351,-0.3662,3.1128,0.3662
142790.0000,-0.0562,0.9556,0.4375,-0.3662,3.2959,0.4272
142791.0000,-0.0547,0.9541,0.4390,-0.4272,3.4790,0.3662
142792.0000,-0.0518,0.9546,0.4385,-0.5493,3.9062,1.0376
142793.0000,-0.0474,0.9614,0.4414,-0.6714,4.3335,1.4038
142794.0000,-0.0381,0.9683,0.4463,-1.0376,5.0049,2.0142
142795.0000,-0.0249,0.9634,0.4468,-1.5259,6.5918,3.2349
142796.0000,-0.0054,0.9536,0.4517,-1.8921,8.3008,4.4556
142797.0000,0.0244,0.9409,0.4541,-1.8311,10.7422,6.0425
142798.0000,0.0669,0.9263,0.4556,-0.7324,16.1133,8.4839
142799.0000,0.0903,0.9189,0.4575,0.3052,21.4233,10.4980
142800.0000,0.0991,0.9160,0.4531,1.8921,27.4658,12.7563
142801.0000,0.0884,0.9233,0.4487,3.7842,35.4614,15.5029
142802.0000,0.0776,0.9321,0.4434,4.8828,40.7715,17.6392
142803.0000,0.0659,0.9380,0.4399,5.7983,45.8984,19.3481
142804.0000,0.0557,0.9502,0.4302,6.2256,51.8799,21.6675
142805.0000,0.0513,0.9585,0.4253,6.4087,55.9692,23.1934
142806.0000,0.0547,0.9653,0.4258,6.5308,59.8145,25.0244
142807.0000,0.0771,0.9619,0.4229,6.4697,65.3687,27.7710
142808.0000,0.0991,0.9517,0.4131,6.4697,70.4346,30.5176
142809.0000,0.1162,0.9399,0.4116,7.1411,76.0498,33.6914
142810.0000,0.1343,0.9438,0.3989,8.7280,84.5947,38.2690
142811.0000,0.1304,0.9468,0.3867,9.8877,91.6138,41.3208
142812.0000,0.1216,0.9478,0.3716,11.1694,98.3276,44.6777
142813.0000,0.0977,0.9448,0.3525,12.9395,106.1401,49.0723
142814.0000,0.0835,0.9497,0.3389,14.4653,110.9619,52.1240
142815.0000,0.0732,0.9634,0.3306,15.8691,115.0513,54.9316
142816.0000,0.0708,1.0005,0.3257,16.6626,119.9951,57.7393
142817.0000,0.0874,1.0327,0.3228,16.2964,123.7793,59.6313
142818.0000,0.0981,1.0479,0.3203,14.4043,127.3193,60.7910
142819.0000,0.1201,1.0439,0.3062,12.5732,133.5449,62.8052
142820.0000,0.1235,1.0288,0.2974,10.7422,138.3057,63.9648
142821.0000,0.1084,1.0225,0.2881,9.7656,142.3950,64.8193
142822.0000,0.1035,1.0005,0.2744,10.8032,147.2778,66.1011
142823.0000,0.0889,1.0122,0.2549,11.7188,150.3906,66.4062
142824.0000,0.0732,1.0171,0.2524,11.1694,153.2593,66.3452
142825.0000,0.0635,1.0244,0.2456,10.8032,154.7241,65.8569
142826.0000,0.0610,1.0347,0.2466,10.4980,155.7007,65.4297
142827.0000,0.0767,1.0396,0.2407,9.5825,157.1655,64.8193
142828.0000,0.0845,1.0396,0.2446,8.5449,158.2642,64.6973
142829.0000,0.1045,1.0527,0.2437,7.5073,159.7290,65.3687
142830.0000,0.1313,1.0669,0.2344,5.7373,162.7808,66.2842
142831.0000,0.1396,1.0659,0.2266,4.2114,166.0156,66.9556
142832.0000,0.1343,1.0513,0.2192,2.7466,169.0063,67.5049
142833.0000,0.1113,1.0273,0.2051,2.0752,172.4243,67.9321
142834.0000,0.0903,1.0225,0.2031,2.3804,173.8892,67.8101
142835.0000,0.0796,1.0347,0.2031,3.0518,174.4385,67.3218
142836.0000,0.0835,1.0459,0.1978,2.9907,174.8047,66.4062
142837.0000,0.0908,1.0410,0.1963,2.5635,174.9878,65.7349
142838.0000,0.0884,1.0356,0.1880,1.8921,175.1709,65.3076
142839.0000,0.0918,1.0474,0.1929,1.1597,175.1099,65.0635
142840.0000,0.0903,1.0474,0.2017,0.6714,174.9878,64.7583
142841.0000,0.0776,1.0352,0.1953,-0.1221,174.8047,64.7583
142842.0000,0.0420,1.0132,0.1997,-0.5493,173.3398,63.7207
142843.0000,0.0244,1.0098,0.2056,-0.1831,170.9595,62.8052
142844.0000,0.0137,1.0098,0.2114,0.1221,167.7856,61.5845
142845.0000,0.0210,1.0249,0.2183,-0.1831,163.3301,59.9365
142846.0000,0.0288,1.0308,0.2183,-0.3662,160.4614,58.5327
142847.0000,0.0425,1.0356,0.2222,-1.0986,157.6538,56.8237
142848.0000,0.0400,1.0249,0.2251,-1.7700,154.9683,54.0771
142849.0000,0.0225,1.0132,0.2295,-1.8311,152.5879,51.7578
142850.0000,-0.0093,0.9990,0.2383,-0.9766,149.2310,49.1333
142851.0000,-0.0278,1.0005,0.2515,-0.3052,142.6392,46.1426
142852.0000,-0.0029,1.0210,0.2666,-0.1831,137.4512,44.5557
142853.0000,0.0259,1.0303,0.2710,-0.9155,133.5449,44.3115
142854.0000,0.0659,1.0171,0.2715,-1.8311,130.1270,44.9829
142855.0000,0.0840,0.9971,0.2773,-1.8921,129.0283,45.7764
142856.0000,0.0684,0.9858,0.2842,-0.9766,128.7842,45.5933
142857.0000,-0.0088,0.9834,0.2949,0.7935,126.4648,43.7012
142858.0000,-0.0635,0.9951,0.3013,2.0142,121.6431,40.9546
142859.0000,-0.0825,1.0176,0.3145,2.6245,114.8682,37.6587
142860.0000,-0.0581,1.0352,0.3306,1.8311,105.7739,33.7524
142861.0000,-0.0332,1.0317,0.3418,0.2441,100.3418,31.6772
142862.0000,-0.0200,1.0220,0.3516,-1.4038,95.5200,30.3955
142863.0000,-0.0146,0.9966,0.3618,-2.8076,89.8438,28.6865
142864.0000,-0.0259,0.9658,0.3652,-2.5635,85.5103,26.7944
142865.0000,-0.0376,0.9360,0.3726,-1.1597,80.4443,24.5361
142866.0000,-0.0288,0.9165,0.3735,0.8545,73.3032,21.9727
142867.0000,-0.0029,0.9170,0.3813,2.8687,68.5425,20.4468
142868.0000,0.0347,0.9219,0.3906,4.2725,65.2466,18.9819
142869.0000,0.0825,0.9351,0.3901,6.1035,63.1104,17.5781
142870.0000,0.1118,0.9546,0.3862,6.9580,62.9883,16.9067
142871.0000,0.1221,0.9736,0.3755,7.2632,63.7817,16.6626
142872.0000,0.0845,0.9854,0.3716,5.9814,64.7583,16.3574
142873.0000,0.0400,0.9922,0.3667,5.0659,63.6597,15.9302
142874.0000,0.0098,1.0107,0.3638,4.0283,60.7910,15.1978
142875.0000,0.0063,1.0464,0.3701,1.0376,55.8472,13.9771
142876.0000,0.0132,1.0405,0.3745,-0.3662,52.2461,13.3667
142877.0000,0.0332,1.0347,0.3750,-3.6621,48.8892,13.2446
142878.0000,0.0669,1.0215,0.3867,-5.3711,45.9595,13.6108
142879.0000,0.0859,1.0322,0.3828,-6.1035,44.7388,13.9160
142880.0000,0.0942,1.0356,0.3784,-7.4463,44.1895,14.0381
142881.0000,0.1040,1.0229,0.3765,-9.3994,43.9453,14.4653
142882.0000,0.1084,0.9971,0.3755,-10.1929,43.8843,14.9536
142883.0000,0.1069,0.9746,0.3750,-10.2539,43.7012,15.4419
142884.0000,0.1104,0.9688,0.3779,-9.4604,42.9077,16.2354
142885.0000,0.1206,0.9819,0.3896,-9.0942,42.5415,16.6626
142886.0000,0.1323,0.9951,0.3916,-8.8501,42.5415,16.7847
142887.0000,0.1431,0.9927,0.3950,-9.7656,42.7856,16.7847
142888.0000,0.1470,0.9946,0.3970,-10.2539,43.0298,17.1509
142889.0000,0.1504,0.9917,0.4053,-11.1694,43.3350,16.9067
142890.0000,0.1382,0.9893,0.4072,-12.1460,43.8843,16.1743
142891.0000,0.1245,0.9800,0.4106,-12.6343,43.8843,15.0757
142892.0000,0.1069,0.9600,0.4233,-13.1226,43.1519,13.6719
142893.0000,0.0918,0.9443,0.4209,-13.2446,40.9546,11.5967
142894.0000,0.0986,0.9443,0.4287,-12.9395,39.1235,10.0708
142895.0000,0.1021,0.9419,0.4341,-12.7563,37.7808,9.1553
142896.0000,0.0933,0.9277,0.4492,-12.2681,36.8042,8.1787
142897.0000,0.0630,0.9053,0.4551,-11.2915,35.7666,7.5684
142898.0000,0.0283,0.8867,0.4644,-9.5215,33.2642,6.7749
142899.0000,-0.0020,0.8730,0.4702,-6.2256,27.7710,5.9814
142900.0000,-0.0098,0.8901,0.4692,-3.9062,22.6440,5.8594
142901.0000,0.0171,0.9238,0.4761,-2.3193,17.7612,5.7373
142902.0000,0.0435,0.9238,0.4805,-1.7700,13.3667,5.6152
142903.0000,0.0625,0.9214,0.4624,-1.7090,10.8643,5.8594
142904.0000,0.1108,0.9565,0.4580,-1.8921,8.6060,6.4087
142905.0000,0.1787,0.9844,0.4619,-3.3569,9.5215,7.0190
142906.0000,0.2031,0.9688,0.4619,-4.9438,12.3291,7.0801
142907.0000,0.1987,0.9448,0.4487,-5.6763,15.6860,7.1411
142908.0000,0.1797,0.9434,0.4438,-5.0659,18.7378,7.1411
142909.0000,0.1562,0.9482,0.4517,-4.5166,20.1416,7.0190
142910.0000,0.1279,0.9570,0.4507,-4.6387,20.5688,6.3477
142911.0000,0.1016,0.9570,0.4536,-5.4321,19.3481,5.6152
142912.0000,0.1025,0.9678,0.4565,-6.1646,17.6392,5.1880
142913.0000,0.1230,0.9751,0.4639,-7.2632,16.4795,4.4556
142914.0000,0.1362,0.9604,0.4692,-8.4839,16.7847,3.9673
142915.0000,0.1323,0.9487,0.4688,-8.9722,17.4561,3.6621
142916.0000,0.1108,0.9331,0.4731,-8.6670,17.6392,3.0518
142917.0000,0.0884,0.9209,0.4761,-7.5073,16.1133,2.3193
142918.0000,0.0898,0.9224,0.4805,-6.5308,14.7095,1.7090
142919.0000,0.0962,0.9409,0.4761,-6.4087,13.4277,1.6479
142920.0000,0.1216,0.9648,0.4839,-7.3242,12.6343,2.1362
142921.0000,0.1284,0.9482,0.4878,-8.5449,13.2446,2.5635
142922.0000,0.1172,0.9136,0.4878,-9.0332,14.1602,2.8687
142923.0000,0.0854,0.8770,0.4966,-7.3853,14.0381,2.5635
142924.0000,0.0635,0.8682,0.5015,-5.1270,12.6953,1.5869
142925.0000,0.0708,0.8911,0.4985,-2.6245,9.7046,0.2441
142926.0000,0.1040,0.9248,0.4966,-2.0142,7.9956,-0.1831
142927.0000,0.1323,0.9482,0.4990,-2.5024,7.9956,-0.6104
142928.0000,0.1343,0.9517,0.4951,-3.8452,9.6436,-0.4883
142929.0000,0.1196,0.9346,0.4927,-4.8218,10.6812,-0.3662
142930.0000,0.0991,0.9019,0.4937,-4.8218,10.8032,-0.4272
142931.0000,0.0864,0.8804,0.4966,-3.2349,9.8267,-0.8545
142932.0000,0.1064,0.8994,0.5054,-1.4038,8.6060,-2.0752
142933.0000,0.1152,0.9170,0.5054,-0.3662,8.5449,-3.1738
142934.0000,0.1177,0.9546,0.5010,-0.7935,8.7891,-4.3945
142935.0000,0.1182,0.9600,0.4980,-2.0752,8.9722,-5.0049
142936.0000,0.1089,0.9272,0.4985,-3.1738,9.3994,-5.1880
142937.0000,0.0918,0.8647,0.4985,-2.4414,8.7891,-5.0659
142938.0000,0.1040,0.8569,0.5063,0.4272,7.5073,-4.6387
142939.0000,0.1245,0.8818,0.5093,3.2959,7.0190,-4.2725
142940.0000,0.1318,0.9365,0.5088,5.3711,7.9956,-3.6011
142941.0000,0.1152,0.9653,0.4971,5.1880,9.0942,-3.1738
142942.0000,0.0840,0.9863,0.4849,4.4556,9.3384,-2.5635
142943.0000,0.0522,0.9946,0.4722,2.3804,8.3008,-1.0376
142944.0000,0.0415,0.9800,0.4727,0.5493,6.2256,-0.1221
142945.0000,0.0557,0.9600,0.4780,-0.6104,3.9673,0.7324
142946.0000,0.1104,0.9585,0.4800,-0.9766,2.1362,1.2817
142947.0000,0.1313,0.9585,0.4844,-1.4648,2.7466,1.2817
142948.0000,0.1328,0.9614,0.4839,-1.8921,3.8452,0.9155
142949.0000,0.0972,0.9419,0.4771,-2.5635,4.6387,-0.1221
142950.0000,0.0757,0.9312,0.4771,-2.3193,3.6011,-1.2207
142951.0000,0.0708,0.9199,0.4795,-1.9531,1.9531,-1.9531
142952.0000,0.0811,0.9160,0.4888,-1.7090,-0.0610,-2.6245
142953.0000,0.1011,0.9224,0.4858,-1.5869,-0.6714,-2.5024
142954.0000,0.1216,0.9307,0.4897,-1.7090,-0.1831,-2.2583
142955.0000,0.1167,0.9131,0.4893,-1.5259,1.6479,-1.5259
142956.0000,0.0908,0.8926,0.4863,-0.4272,2.2583,-1.2817
142957.0000,0.0688,0.8916,0.4863,1.2817,1.4038,-1.3428
142958.0000,0.0566,0.9106,0.4927,2.9297,-0.4272,-2.1973
142959.0000,0.0601,0.9297,0.4888,3.2349,-2.0142,-3.0518
142960.0000,0.0732,0.9531,0.4824,2.8076,-3.4790,-3.5400
142961.0000,0.0986,0.9678,0.4761,1.1597,-3.9062,-3.3569
142962.0000,0.1055,0.9546,0.4692,0.0000,-3.2959,-2.9907
142963.0000,0.0981,0.9385,0.4756,-0.2441,-2.6245,-2.5024
142964.0000,0.0830,0.9238,0.4810,0.6714,-2.3804,-1.8921
142965.0000,0.0718,0.9102,0.4819,1.6479,-2.9297,-1.7090
142966.0000,0.0713,0.9097,0.4785,2.9297,-4.0894,-1.8311
142967.0000,0.1045,0.9526,0.4741,3.9062,-5.3101,-1.4038
142968.0000,0.1304,0.9834,0.4727,3.2349,-4.8218,-1.0986
142969.0000,0.1372,0.9795,0.4697,1.8311,-3.1128,-0.9766
142970.0000,0.1094,0.9590,0.4614,1.0986,-1.5869,-1.4648
142971.0000,0.0952,0.9575,0.4653,1.0986,-1.6479,-1.6479
142972.0000,0.0913,0.9575,0.4702,0.9766,-2.0142,-1.5869
142973.0000,0.0825,0.9497,0.4751,0.9155,-2.6245,-1.6479
142974.0000,0.0820,0.9570,0.4727,0.8545,-3.2349,-1.4648
142975.0000,0.0874,0.9702,0.4741,0.4272,-3.7842,-1.6479
142976.0000,0.0806,0.9678,0.4790,-0.7935,-3.9673,-1.7700
142977.0000,0.0542,0.9497,0.4775,-1.6479,-4.3335,-2.3193
142978.0000,0.0273,0.9277,0.4790,-2.0142,-6.0425,-3.1128
142979.0000,0.0078,0.9204,0.4893,-1.4038,-10.1929,-4.4556
142980.0000,0.0054,0.9165,0.4951,-1.0376,-13.7939,-5.6152
142981.0000,0.0054,0.9043,0.5073,-0.4272,-17.3950,-6.8359
142982.0000,-0.0127,0.8828,0.5234,1.0376,-21.9727,-9.1553
142983.0000,-0.0415,0.8853,0.5288,2.5635,-26.3672,-12.1460
142984.0000,-0.0747,0.8994,0.5288,3.6011,-31.8604,-16.0522
142985.0000,-0.1187,0.9331,0.5171,4.1504,-41.3208,-21.6064
142986.0000,-0.1387,0.9692,0.5024,3.3569,-49.8047,-26.2451
142987.0000,-0.1460,1.0020,0.4937,1.4038,-58.8989,-30.8228
142988.0000,-0.1523,1.0308,0.4834,-2.5635,-70.8618,-36.3770
142989.0000,-0.1538,1.0332,0.4692,-6.3477,-79.7119,-39.8560
142990.0000,-0.1470,1.0254,0.4492,-9.7046,-88.3179,-42.8467
142991.0000,-0.1240,1.0117,0.4395,-12.6343,-99.1211,-45.9595
142992.0000,-0.1118,1.0063,0.4351,-13.8550,-106.3232,-48.6450
142993.0000,-0.0933,1.0137,0.4312,-14.5264,-112.9761,-51.2695
142994.0000,-0.0688,1.0220,0.4302,-14.8926,-120.6055,-55.1758
142995.0000,-0.0645,1.0195,0.4297,-15.0757,-125.7935,-58.3496
142996.0000,-0.0708,1.0049,0.4233,-14.9536,-130.8594,-61.5234
142997.0000,-0.0815,0.9961,0.4053,-13.1836,-137.7563,-65.8569
