timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
152273.0000,0.1167,0.9575,0.4092,29.2358,-174.0723,-74.7681
152274.0000,0.1348,0.9722,0.4199,27.8931,-167.1143,-70.9839
152275.0000,0.1401,0.9648,0.4248,26.1841,-159.2407,-68.6035
152276.0000,0.1152,0.9409,0.4272,25.0854,-148.6816,-67.2607
152277.0000,0.0928,0.9224,0.4312,25.5127,-141.2354,-67.1997
152278.0000,0.0688,0.9141,0.4302,26.4282,-134.5825,-67.3218
152279.0000,0.0439,0.9136,0.4360,27.4048,-126.7090,-67.2607
152280.0000,0.0386,0.9165,0.4341,28.5645,-121.8262,-66.4062
152281.0000,0.0483,0.9209,0.4390,29.4189,-117.0654,-64.7583
152282.0000,0.0659,0.9116,0.4395,30.8838,-110.4736,-60.7300
152283.0000,0.0693,0.9272,0.4351,31.8604,-104.9194,-57.1289
152284.0000,0.0684,0.9287,0.4526,27.1606,-99.5483,-53.8940
152285.0000,0.0537,0.9512,0.4365,29.3579,-91.7969,-50.0488
152286.0000,0.0566,0.9546,0.4438,27.7710,-85.7544,-47.0581
152287.0000,0.0547,0.9683,0.4531,26.7334,-78.9795,-44.2505
152288.0000,0.0288,0.9673,0.4556,26.9775,-70.2515,-41.1987
152289.0000,0.0024,0.9697,0.4536,26.2451,-64.5142,-38.8794
152290.0000,-0.0146,0.9761,0.4531,24.5361,-59.6313,-36.5601
152291.0000,-0.0347,0.9780,0.4507,23.8037,-53.8940,-33.0811
152292.0000,-0.0483,0.9746,0.4424,22.8271,-50.4150,-30.2734
152293.0000,-0.0552,0.9736,0.4482,22.1558,-47.4243,-27.3438
152294.0000,-0.0542,0.9834,0.4570,21.3623,-44.1895,-23.3765
152295.0000,-0.0513,0.9980,0.4600,20.8130,-41.9922,-20.7520
152296.0000,-0.0439,1.0171,0.4717,19.8975,-39.7339,-18.5547
152297.0000,-0.0234,1.0386,0.4790,17.7612,-35.8276,-16.7236
152298.0000,-0.0098,1.0391,0.4814,15.7471,-32.2266,-15.5640
152299.0000,0.0024,1.0352,0.4785,13.6108,-28.1982,-14.4043
152300.0000,0.0103,1.0229,0.4668,10.9253,-22.7661,-12.4512
152301.0000,0.0049,1.0107,0.4590,9.4604,-18.7378,-10.7422
152302.0000,-0.0044,1.0015,0.4561,8.0566,-15.0146,-8.7891
152303.0000,-0.0151,1.0000,0.4531,6.4087,-11.1084,-5.6763
152304.0000,-0.0181,0.9937,0.4487,4.8828,-8.7280,-3.6621
152305.0000,-0.0190,0.9863,0.4492,3.2959,-6.3477,-1.8311
152306.0000,-0.0190,0.9727,0.4502,1.2817,-3.4790,0.4272
152307.0000,-0.0132,0.9663,0.4453,0.4272,-1.4648,1.5869
152308.0000,-0.0088,0.9595,0.4448,-0.9766,0.6104,2.9907
152309.0000,-0.0010,0.9526,0.4468,-2.1973,3.3569,4.3335
152310.0000,0.0010,0.9424,0.4473,-3.2959,5.3711,5.1270
152311.0000,-0.0029,0.9375,0.4453,-3.6621,7.5073,6.0425
152312.0000,-0.0181,0.9233,0.4473,-3.9673,9.8267,6.7139
152313.0000,-0.0332,0.9214,0.4502,-3.5400,10.8643,6.9580
152314.0000,-0.0459,0.9150,0.4551,-2.9907,11.6577,6.9580
152315.0000,-0.0723,0.9141,0.4575,-1.7090,11.6577,6.2866
152316.0000,-0.0850,0.9170,0.4595,-0.7324,10.9253,5.3711
152317.0000,-0.0864,0.9214,0.4663,0.1221,9.6436,4.6387
152318.0000,-0.0723,0.9292,0.4644,0.7324,8.2397,3.9062
152319.0000,-0.0625,0.9287,0.4619,1.0986,7.4463,3.7842
152320.0000,-0.0620,0.9312,0.4648,1.5869,7.3853,3.4790
152321.0000,-0.0728,0.9390,0.4604,2.2583,7.0190,2.8687
152322.0000,-0.0796,0.9438,0.4565,2.4414,6.6528,2.1362
152323.0000,-0.0859,0.9482,0.4541,2.5635,6.1035,1.2207
152324.0000,-0.0918,0.9526,0.4521,2.6855,5.1270,0.0000
152325.0000,-0.0928,0.9580,0.4531,2.2583,4.3335,-0.7324
152326.0000,-0.0898,0.9619,0.4546,2.1362,3.3569,-1.1597
152327.0000,-0.0835,0.9614,0.4561,1.5869,2.6855,-1.4038
152328.0000,-0.0835,0.9541,0.4526,1.3428,2.1362,-1.4648
152329.0000,-0.0859,0.9453,0.4512,1.2207,1.5869,-1.2817
152330.0000,-0.0859,0.9375,0.4429,1.4038,0.9155,-0.6104
152331.0000,-0.0835,0.9395,0.4395,1.7090,0.3662,-0.3052
152332.0000,-0.0737,0.9478,0.4458,2.1362,-0.0610,0.3052
152333.0000,-0.0483,0.9521,0.4453,2.0752,0.0000,1.0376
152334.0000,-0.0308,0.9517,0.4453,1.7700,0.8545,2.0142
152335.0000,-0.0112,0.9546,0.4438,1.6479,2.9297,3.2959
152336.0000,-0.0088,0.9531,0.4502,1.8311,4.8218,4.0283
152337.0000,-0.0137,0.9507,0.4414,2.0142,6.9580,4.3945
152338.0000,-0.0317,0.9375,0.4316,2.5635,9.1553,4.3335
