timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
155939.0000,0.0356,0.9678,0.4316,2.5024,0.9155,-3.5400
155940.0000,0.0352,0.9629,0.4302,2.3193,0.9766,-3.8452
155941.0000,0.0361,0.9614,0.4282,2.4414,1.4038,-4.3335
155942.0000,0.0391,0.9639,0.4292,2.5024,1.7090,-4.6387
155943.0000,0.0386,0.9702,0.4287,2.4414,2.0752,-4.7607
155944.0000,0.0342,0.9741,0.4287,2.3193,2.9907,-4.4556
155945.0000,0.0254,0.9805,0.4346,1.8311,3.4180,-4.2114
155946.0000,0.0225,0.9863,0.4346,1.2817,3.2959,-3.6621
155947.0000,0.0195,0.9814,0.4375,0.2441,3.3569,-2.9297
155948.0000,0.0190,0.9731,0.4365,-0.3662,3.1128,-2.1362
155949.0000,0.0142,0.9604,0.4336,-0.9155,3.1128,-1.2817
155950.0000,0.0127,0.9507,0.4316,-0.9766,2.9297,-0.1221
155951.0000,0.0117,0.9507,0.4307,-0.6714,2.5024,0.6104
155952.0000,0.0132,0.9512,0.4307,-0.5493,1.9531,1.2207
155953.0000,0.0220,0.9531,0.4336,0.0000,1.5259,1.7700
155954.0000,0.0308,0.9590,0.4365,0.1831,1.3428,1.9531
155955.0000,0.0327,0.9644,0.4390,0.3052,1.5869,2.0752
155956.0000,0.0352,0.9658,0.4419,0.1221,2.0142,2.1973
155957.0000,0.0332,0.9595,0.4380,-0.1831,2.3193,2.3804
155958.0000,0.0347,0.9546,0.4390,-0.3052,2.4414,2.5635
155959.0000,0.0420,0.9536,0.4395,-0.2441,2.5024,2.4414
155960.0000,0.0464,0.9526,0.4365,-0.3052,2.8076,2.5635
155961.0000,0.0474,0.9517,0.4375,-0.1831,3.1738,2.6245
155962.0000,0.0493,0.9536,0.4346,-0.3052,3.4180,2.6245
155963.0000,0.0518,0.9551,0.4375,-0.2441,3.7842,2.3804
155964.0000,0.0518,0.9561,0.4370,-0.4883,4.2114,2.2583
155965.0000,0.0640,0.9585,0.4404,-0.5493,5.0659,2.0142
155966.0000,0.0669,0.9624,0.4375,-0.4272,5.9204,1.8921
155967.0000,0.0732,0.9653,0.4341,-0.3662,7.1411,1.5869
155968.0000,0.0811,0.9736,0.4336,-0.4883,9.2163,1.5259
155969.0000,0.0996,0.9785,0.4390,-0.6714,11.4136,1.8921
155970.0000,0.1309,0.9727,0.4370,-1.0376,14.2822,3.0518
155971.0000,0.1758,0.9570,0.4399,-1.0986,19.9585,5.8594
155972.0000,0.2080,0.9458,0.4443,-0.7935,25.8789,8.7280
155973.0000,0.2388,0.9360,0.4409,0.2441,32.7759,12.3901
155974.0000,0.2769,0.9346,0.4282,1.6479,43.7622,17.7612
155975.0000,0.2925,0.9458,0.4194,2.8076,53.4668,21.7285
155976.0000,0.2944,0.9634,0.4087,3.9673,63.7817,25.3906
155977.0000,0.2856,0.9893,0.3955,4.7607,77.3315,30.2734
155978.0000,0.2915,0.9966,0.3857,4.5166,87.1582,33.6914
155979.0000,0.3101,0.9878,0.3691,4.0894,96.8628,37.5977
155980.0000,0.3486,0.9795,0.3452,3.5400,110.5957,44.5557
155981.0000,0.3794,0.9858,0.3340,3.6011,121.8872,49.8657
155982.0000,0.4023,1.0010,0.3198,3.6011,134.3994,55.4810
155983.0000,0.4287,1.0332,0.2900,2.5635,152.0386,62.5610
155984.0000,0.4277,1.0459,0.2686,1.0376,166.0767,67.1997
155985.0000,0.4087,1.0371,0.2354,-0.6714,179.9316,71.4722
155986.0000,0.3794,1.0298,0.1973,-1.8921,196.4722,76.1719
155987.0000,0.3716,1.0469,0.1782,-2.4414,207.6416,79.2847
155988.0000,0.3682,1.0737,0.1548,-3.4180,218.4448,82.0923
155989.0000,0.3560,1.0938,0.1260,-6.0425,232.2998,85.0220
155990.0000,0.3462,1.1191,0.1011,-8.3618,242.3706,86.6089
155991.0000,0.3208,1.1250,0.0806,-10.8643,251.4038,86.7920
155992.0000,0.2939,1.0962,0.0493,-13.6108,263.2446,86.3647
155993.0000,0.2681,1.0918,0.0244,-14.5264,270.8740,84.7168
155994.0000,0.2451,1.0850,0.0093,-15.3809,277.6489,82.3364
155995.0000,0.2202,1.0898,-0.0264,-16.5405,285.6445,79.0405
155996.0000,0.1924,1.1001,-0.0420,-17.3340,290.9546,77.0264
155997.0000,0.1763,1.0889,-0.0620,-18.2495,295.9595,76.3550
155998.0000,0.0996,1.0488,-0.0884,-16.4185,302.1240,75.3784
155999.0000,-0.0132,1.0322,-0.0879,-15.8691,303.5889,73.3032
156000.0000,-0.1421,1.0293,-0.0645,-14.4043,300.9644,69.8242
156001.0000,-0.2715,1.0166,-0.0210,-12.6953,290.0391,64.7583
156002.0000,-0.2866,1.0044,0.0127,-11.1084,278.3203,62.3169
156003.0000,-0.1992,1.0254,0.0508,-10.3760,267.5171,61.8896
156004.0000,-0.0811,1.0864,0.0986,-11.2305,260.8643,64.9414
156005.0000,-0.0684,1.0967,0.1221,-13.4888,260.7422,68.1763
156006.0000,-0.1631,1.0635,0.1338,-16.1743,260.6812,70.0684
156007.0000,-0.3438,1.0132,0.1650,-16.8457,254.8218,66.3452
156008.0000,-0.4692,0.9863,0.2036,-15.3809,245.2393,59.4482
156009.0000,-0.5684,0.9702,0.2227,-14.7095,230.7739,51.8188
