timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
146123.0000,-0.0410,0.9512,0.4248,0.8545,0.9155,0.5493
146124.0000,-0.0361,0.9570,0.4268,1.0376,0.9766,0.5493
146125.0000,-0.0312,0.9614,0.4312,0.9155,1.0986,0.3662
146126.0000,-0.0332,0.9624,0.4321,0.6714,1.4038,0.1221
146127.0000,-0.0386,0.9600,0.4312,0.3662,1.6479,0.0610
146128.0000,-0.0444,0.9604,0.4292,0.1831,1.7700,-0.3052
146129.0000,-0.0532,0.9575,0.4272,0.0000,1.6479,-0.5493
146130.0000,-0.0542,0.9580,0.4302,0.0000,1.3428,-0.9155
146131.0000,-0.0542,0.9541,0.4287,0.0000,0.9766,-0.9155
146132.0000,-0.0542,0.9531,0.4263,0.0610,0.6714,-0.7935
146133.0000,-0.0532,0.9512,0.4297,0.3052,0.1221,-0.5493
146134.0000,-0.0518,0.9517,0.4292,0.4272,-0.2441,-0.1221
146135.0000,-0.0518,0.9541,0.4277,0.4272,-0.4883,-0.1831
146136.0000,-0.0474,0.9551,0.4302,0.7935,-0.9155,-0.3662
146137.0000,-0.0449,0.9580,0.4272,0.7935,-0.8545,-0.3052
146138.0000,-0.0420,0.9580,0.4263,0.7935,-0.7935,-0.4883
146139.0000,-0.0449,0.9580,0.4253,0.8545,-0.6104,-0.6714
146140.0000,-0.0488,0.9604,0.4272,1.0986,-0.7935,-0.6714
146141.0000,-0.0483,0.9619,0.4238,1.0986,-0.8545,-0.6714
146142.0000,-0.0454,0.9590,0.4243,1.0376,-1.0376,-0.8545
146143.0000,-0.0459,0.9595,0.4199,0.9155,-0.9766,-0.9155
146144.0000,-0.0420,0.9595,0.4204,1.0376,-0.9155,-0.7324
146145.0000,-0.0425,0.9580,0.4209,0.9155,-0.8545,-0.4272
146146.0000,-0.0391,0.9580,0.4258,0.6104,-0.6714,-0.3052
146147.0000,-0.0391,0.9595,0.4229,0.7324,-0.6714,0.0000
146148.0000,-0.0361,0.9595,0.4209,0.7935,-0.2441,0.3662
146149.0000,-0.0347,0.9614,0.4175,0.5493,-0.0610,0.6714
146150.0000,-0.0327,0.9629,0.4219,0.5493,0.1831,0.7935
146151.0000,-0.0361,0.9629,0.4238,0.3052,0.6104,0.7324
146152.0000,-0.0356,0.9604,0.4204,0.0610,0.9155,0.6714
146153.0000,-0.0386,0.9614,0.4219,-0.1221,0.9766,0.4883
146154.0000,-0.0371,0.9614,0.4233,-0.2441,1.1597,0.4272
146155.0000,-0.0386,0.9600,0.4263,-0.3052,1.2207,0.3662
146156.0000,-0.0352,0.9609,0.4229,-0.4272,1.4038,0.4272
146157.0000,-0.0356,0.9585,0.4253,-0.4272,1.6479,0.6104
146158.0000,-0.0337,0.9590,0.4248,-0.4883,1.9531,0.5493
146159.0000,-0.0288,0.9600,0.4277,-0.5493,2.2583,0.8545
146160.0000,-0.0078,0.9595,0.4375,-0.6714,3.0518,1.4648
146161.0000,0.0259,0.9634,0.4409,-1.0376,4.5776,2.6245
146162.0000,0.0562,0.9653,0.4370,-1.2207,7.5073,4.2114
146163.0000,0.0747,0.9473,0.4336,-1.3428,12.9395,6.5308
146164.0000,0.0703,0.9351,0.4307,-0.7935,17.4561,8.3008
146165.0000,0.0562,0.9316,0.4268,0.4272,21.6064,9.3994
146166.0000,0.0459,0.9346,0.4229,2.0752,26.4893,10.6201
146167.0000,0.0435,0.9424,0.4209,3.2959,29.9683,11.2915
146168.0000,0.0503,0.9502,0.4204,3.9673,33.5083,12.1460
146169.0000,0.0596,0.9614,0.4194,4.6387,38.2690,13.8550
146170.0000,0.0649,0.9600,0.4165,4.6997,42.2363,15.3809
146171.0000,0.0688,0.9517,0.4087,4.8218,46.0205,17.2119
146172.0000,0.0854,0.9224,0.4048,5.7373,51.3306,20.5688
146173.0000,0.1162,0.8936,0.4019,7.3242,55.9082,23.7427
146174.0000,0.1572,0.8711,0.3965,9.8267,61.6455,27.6489
146175.0000,0.2100,0.8535,0.3838,14.8926,71.4722,33.3862
146176.0000,0.2197,0.8545,0.3662,19.1650,80.7495,37.4756
