timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
160644.0000,-0.0859,0.9648,0.3726,-0.5493,7.0801,9.8267
160645.0000,-0.0825,0.9663,0.3750,-0.7324,5.7983,9.3384
160646.0000,-0.0786,0.9614,0.3779,-1.0986,4.2114,8.6670
160647.0000,-0.0757,0.9497,0.3740,-1.2207,3.1128,8.3008
160648.0000,-0.0762,0.9419,0.3760,-1.5259,2.1362,8.1177
160649.0000,-0.0688,0.9517,0.3882,-1.2817,0.4883,8.1787
160650.0000,-0.0542,0.9565,0.3921,-1.1597,-0.3662,8.6060
160651.0000,-0.0444,0.9614,0.3940,-1.4648,-1.0986,9.0942
160652.0000,-0.0386,0.9683,0.3984,-2.1362,-1.5869,10.0708
160653.0000,-0.0420,0.9741,0.3970,-2.6855,-1.5259,10.3149
160654.0000,-0.0459,0.9727,0.3975,-3.1128,-1.5259,10.1929
160655.0000,-0.0483,0.9683,0.3970,-3.3569,-1.7700,9.3994
160656.0000,-0.0444,0.9663,0.3975,-3.4180,-2.0752,9.0942
160657.0000,-0.0410,0.9697,0.3979,-3.1128,-2.2583,8.4839
160658.0000,-0.0430,0.9727,0.4004,-2.6245,-2.4414,7.2632
160659.0000,-0.0518,0.9761,0.4014,-2.0752,-2.5024,5.8594
160660.0000,-0.0610,0.9805,0.4038,-1.6479,-2.7466,4.2725
160661.0000,-0.0645,0.9912,0.4062,-1.4648,-3.3569,2.3193
160662.0000,-0.0591,0.9937,0.4102,-1.7090,-3.7231,1.4038
160663.0000,-0.0562,0.9927,0.4126,-2.0752,-3.9062,0.7935
160664.0000,-0.0532,0.9863,0.4111,-2.5024,-3.9673,0.3052
160665.0000,-0.0537,0.9824,0.4121,-2.8687,-4.1504,0.3052
160666.0000,-0.0557,0.9785,0.4097,-3.1738,-4.3945,0.2441
160667.0000,-0.0547,0.9653,0.4067,-3.6621,-4.8218,0.3052
160668.0000,-0.0537,0.9619,0.4087,-3.7842,-5.1270,0.3662
