timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
164874.0000,-0.0967,0.9526,0.4199,0.9155,-1.0376,-0.0610
164875.0000,-0.0928,0.9536,0.4185,1.0376,-1.0376,0.1221
164876.0000,-0.0913,0.9536,0.4214,0.7935,-0.9155,0.1221
164877.0000,-0.0933,0.9531,0.4170,0.9155,-0.8545,0.1221
164878.0000,-0.0903,0.9521,0.4199,0.3052,-0.7324,0.1221
164879.0000,-0.0913,0.9531,0.4219,0.5493,-0.5493,0.1831
164880.0000,-0.0947,0.9521,0.4248,0.2441,-0.5493,0.0000
164881.0000,-0.0962,0.9536,0.4263,0.1221,-0.5493,-0.1831
164882.0000,-0.0977,0.9541,0.4258,-0.1831,-0.4272,-0.6104
164883.0000,-0.0967,0.9536,0.4263,-0.1831,-0.3052,-0.9766
164884.0000,-0.0977,0.9492,0.4277,-0.3662,-0.4272,-1.1597
164885.0000,-0.0991,0.9482,0.4248,-0.0610,-0.4272,-1.5259
164886.0000,-0.1025,0.9453,0.4224,-0.0610,-0.4883,-1.7700
164887.0000,-0.1021,0.9453,0.4209,0.2441,-0.5493,-1.7090
164888.0000,-0.1030,0.9507,0.4219,0.4272,-0.8545,-1.7090
164889.0000,-0.1045,0.9502,0.4258,0.6104,-0.9155,-1.4648
164890.0000,-0.1035,0.9526,0.4233,0.7324,-1.0986,-1.2207
164891.0000,-0.1050,0.9551,0.4224,0.8545,-1.2207,-0.9155
164892.0000,-0.1016,0.9570,0.4194,0.8545,-1.4648,-0.4883
164893.0000,-0.0981,0.9585,0.4209,0.8545,-1.5259,-0.2441
164894.0000,-0.0952,0.9580,0.4229,0.6714,-1.5869,0.0610
164895.0000,-0.0972,0.9551,0.4248,0.4883,-1.6479,0.4272
164896.0000,-0.1045,0.9561,0.4321,0.4272,-1.8921,0.4272
164897.0000,-0.1201,0.9512,0.4341,0.5493,-2.4414,0.2441
164898.0000,-0.1328,0.9502,0.4365,0.6104,-3.2349,-0.0610
