timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
169986.0000,-0.0557,0.9507,0.4209,-2.4414,-2.7466,0.3052
169987.0000,-0.0562,0.9468,0.4214,-2.0142,-3.3569,-0.0610
169988.0000,-0.0581,0.9434,0.4209,-1.2817,-4.2114,-0.7324
169989.0000,-0.0557,0.9438,0.4209,-0.6714,-4.8218,-1.2207
169990.0000,-0.0566,0.9473,0.4219,-0.0610,-5.4321,-1.7700
169991.0000,-0.0557,0.9487,0.4204,0.6104,-6.1646,-2.4414
169992.0000,-0.0562,0.9521,0.4258,0.9766,-6.7139,-2.9907
169993.0000,-0.0552,0.9541,0.4248,1.4038,-7.1411,-3.2959
169994.0000,-0.0498,0.9604,0.4199,1.5259,-7.6904,-3.6621
169995.0000,-0.0430,0.9614,0.4233,1.4038,-7.7515,-3.6011
169996.0000,-0.0386,0.9595,0.4155,1.2817,-7.6294,-3.2349
169997.0000,-0.0376,0.9551,0.4131,1.2817,-7.5073,-2.4414
169998.0000,-0.0391,0.9507,0.4116,1.4038,-7.3242,-2.1362
169999.0000,-0.0376,0.9521,0.4092,1.6479,-7.2632,-1.8311
170000.0000,-0.0352,0.9570,0.4082,1.8921,-7.1411,-1.6479
170001.0000,-0.0322,0.9604,0.4102,1.9531,-6.8359,-1.7090
170002.0000,-0.0337,0.9609,0.4121,2.0752,-6.5308,-1.8921
170003.0000,-0.0342,0.9658,0.4116,1.8311,-6.1646,-2.4414
170004.0000,-0.0352,0.9663,0.4097,1.8311,-5.9204,-2.5635
170005.0000,-0.0283,0.9668,0.4102,1.7090,-5.6763,-2.3804
170006.0000,-0.0132,0.9644,0.4102,1.4648,-4.9438,-1.5259
170007.0000,-0.0078,0.9629,0.4092,1.3428,-3.8452,-0.7935
170008.0000,-0.0122,0.9590,0.4067,1.4038,-2.5024,-0.1221
170009.0000,-0.0269,0.9590,0.4062,1.8311,-1.1597,0.3662
170010.0000,-0.0376,0.9634,0.4014,2.0752,-0.7935,0.5493
170011.0000,-0.0400,0.9688,0.4004,2.1362,-0.4883,0.5493
170012.0000,-0.0483,0.9688,0.4058,2.1362,-0.4272,0.6104
170013.0000,-0.0562,0.9663,0.4033,1.8311,-0.7324,0.6714
170014.0000,-0.0703,0.9609,0.4087,2.0752,-1.2817,1.0986
170015.0000,-0.0996,0.9453,0.4082,2.5635,-3.1128,1.0986
170016.0000,-0.1284,0.9351,0.4048,3.2959,-5.4321,1.0376
170017.0000,-0.1641,0.9365,0.4053,4.3335,-8.7891,1.0376
170018.0000,-0.2334,0.9546,0.3936,5.4321,-15.4419,1.3428
170019.0000,-0.3135,0.9834,0.3843,5.3711,-23.0713,1.8311
170020.0000,-0.4058,1.0088,0.3755,4.3335,-33.9355,2.3193
170021.0000,-0.5112,1.0356,0.3662,1.6479,-54.0161,1.4648
170022.0000,-0.5439,1.0498,0.3652,-1.2207,-72.3877,-1.3428
170023.0000,-0.5259,1.0513,0.3560,-4.0894,-91.8579,-5.7373
170024.0000,-0.4263,1.0269,0.3369,-7.3242,-115.1733,-12.9395
170025.0000,-0.3799,0.9990,0.3203,-8.4839,-129.2725,-17.8223
170026.0000,-0.3940,0.9790,0.3071,-8.4839,-142.5171,-21.8506
170027.0000,-0.4604,0.9692,0.2803,-7.0801,-162.8418,-26.7944
170028.0000,-0.5059,0.9775,0.2568,-5.9814,-180.4199,-30.8228
170029.0000,-0.5273,1.0024,0.2358,-5.2490,-200.1953,-35.4004
170030.0000,-0.4551,1.0376,0.2041,-5.8594,-228.3936,-41.6870
170031.0000,-0.3091,1.0449,0.1880,-7.1411,-246.3379,-46.8140
170032.0000,-0.1221,1.0391,0.1724,-9.3384,-260.9253,-53.0396
170033.0000,-0.0273,1.0215,0.1665,-10.6201,-266.2964,-57.1899
170034.0000,0.0239,1.0005,0.1587,-10.8032,-268.4326,-60.9741
170035.0000,0.0015,0.9648,0.1455,-9.5825,-269.7754,-65.7959
170036.0000,-0.0381,0.9380,0.1318,-7.5684,-272.2778,-68.9697
170037.0000,-0.0845,0.9160,0.1016,-5.2490,-276.5503,-71.7773
170038.0000,-0.1323,0.9189,0.0874,-1.4038,-285.4614,-75.3784
170039.0000,-0.0981,0.9624,0.0845,1.5259,-293.8843,-78.1860
170040.0000,0.0200,1.0127,0.0889,2.8076,-300.7202,-81.0547
170041.0000,0.1909,1.0337,0.0972,1.8311,-302.1851,-82.5806
170042.0000,0.2783,1.0117,0.1060,0.3662,-297.9736,-82.4585
170043.0000,0.2817,0.9668,0.1167,-0.4883,-290.8325,-81.5430
170044.0000,0.2056,0.9302,0.1245,1.6479,-283.0200,-80.6274
170045.0000,0.1631,0.9180,0.1367,4.3945,-279.8462,-80.7495
170046.0000,0.1582,0.9282,0.1396,7.9956,-277.9541,-81.4819
170047.0000,0.2295,0.9814,0.1650,11.5356,-275.0854,-82.5806
170048.0000,0.3047,1.0205,0.1763,12.0850,-269.5923,-82.3975
170049.0000,0.3613,1.0449,0.1890,10.8032,-260.9863,-80.3833
170050.0000,0.3965,1.0894,0.2285,7.8125,-247.3145,-76.9043
170051.0000,0.3984,1.1064,0.2495,5.0659,-235.4736,-74.5239
170052.0000,0.3911,1.0698,0.2627,3.0518,-223.3276,-72.7539
170053.0000,0.3926,1.0088,0.2563,2.7466,-206.4209,-71.2280
170054.0000,0.4004,0.9141,0.2666,7.5073,-194.1528,-70.6177
170055.0000,0.5215,0.9121,0.2881,7.4463,-177.8564,-65.1245
170056.0000,0.6040,0.8911,0.3242,14.2212,-151.4893,-57.1899
170057.0000,0.6055,0.8877,0.3506,16.7847,-128.6011,-49.1333
170058.0000,0.5449,0.8774,0.3535,20.6299,-105.8350,-39.8560
170059.0000,0.4185,0.9248,0.3438,25.9399,-81.6040,-26.8555
170060.0000,0.3042,1.0122,0.3389,29.6631,-67.5659,-20.5688
170061.0000,0.2212,1.1016,0.3530,27.9541,-58.3496,-15.8081
170062.0000,0.1377,1.1621,0.3535,23.1934,-49.2554,-12.6343
170063.0000,0.0869,1.1870,0.3301,19.4092,-45.7153,-12.1460
170064.0000,0.0586,1.2012,0.3047,14.8315,-44.2505,-12.3291
170065.0000,0.0659,1.1641,0.3174,7.0190,-43.2739,-12.5732
170066.0000,0.0732,1.1113,0.3086,3.2349,-41.9922,-13.1226
170067.0000,0.0786,1.0684,0.3071,-0.2441,-40.3442,-13.5498
170068.0000,0.0869,1.0176,0.3281,-2.9297,-37.9639,-12.6953
170069.0000,0.1079,0.9971,0.3433,-3.4790,-36.2549,-11.1694
170070.0000,0.1299,0.9805,0.3472,-3.8452,-33.6304,-9.1553
170071.0000,0.1450,1.0024,0.3374,-4.0283,-29.1748,-6.7749
170072.0000,0.1646,1.0259,0.3472,-4.5166,-25.3296,-5.4932
170073.0000,0.1860,1.0298,0.3501,-5.3101,-20.5688,-4.8218
170074.0000,0.2026,1.0059,0.3608,-6.4087,-12.7563,-4.3335
170075.0000,0.1855,0.9741,0.3633,-6.5918,-6.2866,-4.1504
170076.0000,0.1587,0.9624,0.3652,-6.2256,-0.6714,-3.4180
170077.0000,0.1387,1.0073,0.3550,-5.4321,4.5166,-1.7090
170078.0000,0.1606,1.0527,0.3594,-5.8594,7.9956,0.3662
170079.0000,0.2124,1.0830,0.3623,-7.0801,12.5122,2.9297
170080.0000,0.2876,1.0669,0.3691,-9.8267,22.4609,5.8594
170081.0000,0.3125,1.0249,0.3677,-11.5967,32.5317,7.8735
170082.0000,0.3066,0.9849,0.3604,-12.0850,43.4570,9.9487
170083.0000,0.2896,0.9609,0.3564,-11.1694,56.5796,13.2446
170084.0000,0.2939,0.9741,0.3667,-10.0708,65.9790,16.3574
170085.0000,0.3218,0.9917,0.3740,-8.9722,75.7446,19.7754
170086.0000,0.3608,1.0054,0.3677,-8.0566,90.8813,24.5361
170087.0000,0.3857,1.0112,0.3594,-7.3242,103.3325,28.2593
170088.0000,0.4004,1.0054,0.3486,-6.5918,116.4551,31.8604
170089.0000,0.4131,0.9883,0.3379,-4.5776,134.7046,35.8276
170090.0000,0.4194,0.9731,0.3223,-3.1128,148.8037,38.3301
170091.0000,0.4243,0.9565,0.3018,-1.5259,163.0859,40.8325
170092.0000,0.4106,0.9526,0.2637,0.7324,182.0679,44.1895
170093.0000,0.3813,0.9785,0.2310,1.8311,195.0684,46.5698
170094.0000,0.3345,1.0142,0.2109,2.5635,206.4819,48.7061
170095.0000,0.2676,1.0498,0.1904,2.3193,218.5059,50.7812
170096.0000,0.2349,1.0679,0.1753,0.8545,225.7080,51.5137
170097.0000,0.1982,1.0698,0.1548,-1.4648,232.0557,52.0020
170098.0000,0.1465,1.0786,0.1440,-5.4932,238.5864,52.6733
170099.0000,0.1157,1.0815,0.1392,-8.7891,242.0654,53.4668
170100.0000,0.0967,1.0703,0.1313,-12.0239,244.3237,53.8330
170101.0000,0.0879,1.0308,0.1265,-15.9912,246.6431,54.0771
170102.0000,0.0918,0.9971,0.1216,-18.0054,248.2910,54.0161
170103.0000,0.0967,0.9741,0.1167,-19.1650,249.9390,53.7720
170104.0000,0.0923,0.9546,0.1104,-19.6533,252.3804,53.5278
170105.0000,0.0615,0.9443,0.1089,-19.4092,254.2114,53.3447
170106.0000,0.0176,0.9536,0.1079,-18.7988,254.6997,53.5278
170107.0000,-0.0342,0.9746,0.1279,-17.8833,252.8687,53.6499
170108.0000,-0.0679,0.9888,0.1440,-17.7612,250.2441,53.5278
170109.0000,-0.0908,1.0034,0.1606,-18.0664,246.8872,52.8564
170110.0000,-0.1123,1.0225,0.1929,-18.8599,241.5771,51.0864
170111.0000,-0.1221,1.0298,0.2163,-19.7144,237.3657,49.5605
170112.0000,-0.1357,1.0273,0.2285,-20.8740,233.0933,47.6074
170113.0000,-0.1660,1.0151,0.2427,-22.2168,226.6846,45.7153
170114.0000,-0.1924,1.0010,0.2539,-22.8882,220.8862,44.2505
170115.0000,-0.2256,0.9761,0.2598,-22.3389,214.3555,43.3350
170116.0000,-0.2568,0.9595,0.2700,-20.4468,204.1016,42.4805
170117.0000,-0.2715,0.9634,0.2886,-19.4702,195.1904,41.5039
170118.0000,-0.2754,0.9648,0.3159,-18.4326,186.2793,39.6118
170119.0000,-0.2759,0.9561,0.3433,-16.2964,174.9878,36.3159
