timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
163703.0000,-0.1191,0.9648,0.3994,-7.0190,18.7988,5.1880
163704.0000,-0.1167,0.9644,0.4038,-6.8359,17.1509,5.0049
163705.0000,-0.1104,0.9634,0.4077,-6.8359,15.6860,4.9438
163706.0000,-0.1035,0.9673,0.4121,-6.7749,13.9160,4.5776
163707.0000,-0.0962,0.9658,0.4126,-7.1411,13.0005,4.5166
163708.0000,-0.0908,0.9619,0.4126,-7.2632,12.2070,4.6997
163709.0000,-0.0913,0.9561,0.4136,-7.1411,11.4136,5.1270
163710.0000,-0.0884,0.9482,0.4136,-7.0801,10.8643,5.2490
163711.0000,-0.0903,0.9458,0.4160,-6.6528,10.4370,5.4932
163712.0000,-0.0938,0.9448,0.4150,-5.9204,9.7046,5.6152
163713.0000,-0.0903,0.9482,0.4146,-5.4932,9.1553,5.6152
163714.0000,-0.0894,0.9497,0.4150,-5.0659,8.6670,5.4321
163715.0000,-0.0884,0.9502,0.4165,-4.6997,8.1177,4.9438
163716.0000,-0.0894,0.9492,0.4155,-4.4556,7.6904,4.5166
163717.0000,-0.0908,0.9492,0.4185,-4.1504,7.1411,4.3945
163718.0000,-0.0874,0.9487,0.4170,-3.9062,6.5308,4.1504
163719.0000,-0.0879,0.9512,0.4150,-3.8452,5.9814,3.8452
163720.0000,-0.0859,0.9473,0.4189,-3.7231,5.3101,3.6621
163721.0000,-0.0840,0.9478,0.4136,-3.5400,4.3945,3.3569
163722.0000,-0.0850,0.9463,0.4185,-3.3569,3.7231,3.0518
163723.0000,-0.0859,0.9482,0.4194,-3.1128,3.1128,2.7466
163724.0000,-0.0835,0.9502,0.4209,-2.9297,2.0142,2.0752
163725.0000,-0.0811,0.9541,0.4209,-2.8687,1.4648,1.4648
163726.0000,-0.0811,0.9551,0.4248,-2.8076,0.8545,0.7935
163727.0000,-0.0801,0.9531,0.4243,-2.8687,0.0610,0.2441
163728.0000,-0.0791,0.9507,0.4316,-2.7466,-0.3052,-0.3662
163729.0000,-0.0806,0.9536,0.4316,-2.6855,-0.7935,-0.7935
163730.0000,-0.0889,0.9541,0.4346,-2.5635,-1.4038,-1.3428
163731.0000,-0.1001,0.9424,0.4297,-2.5635,-2.2583,-1.7700
163732.0000,-0.1157,0.9336,0.4277,-1.9531,-4.0283,-2.0752
163733.0000,-0.1196,0.9380,0.4321,-0.9766,-5.8594,-2.1973
163734.0000,-0.1211,0.9429,0.4312,-0.5493,-7.7515,-2.3193
163735.0000,-0.1187,0.9463,0.4316,0.0000,-10.1929,-2.4414
163736.0000,-0.1172,0.9473,0.4321,0.3662,-11.7798,-2.5024
163737.0000,-0.1206,0.9468,0.4341,0.6104,-13.6108,-2.6855
163738.0000,-0.1270,0.9429,0.4346,0.9155,-16.2354,-2.9907
163739.0000,-0.1348,0.9385,0.4312,1.4038,-18.6157,-3.2349
163740.0000,-0.1431,0.9365,0.4297,1.9531,-21.3013,-3.1128
163741.0000,-0.1489,0.9395,0.4277,2.9297,-25.5737,-2.9907
163742.0000,-0.1509,0.9385,0.4253,3.5400,-28.9917,-2.6855
163743.0000,-0.1533,0.9375,0.4268,3.9062,-32.4707,-2.8076
