timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
269095.0000,0.0854,0.9951,0.4370,7.9956,3.0518,10.3149
269096.0000,0.0869,0.9746,0.4307,8.7891,2.1973,11.4746
269097.0000,0.0952,0.9580,0.4277,9.7656,1.6479,12.5122
269098.0000,0.1084,0.9438,0.4224,11.0474,1.2207,13.6108
269099.0000,0.1162,0.9199,0.4214,13.0005,0.9155,16.1743
269100.0000,0.1147,0.8809,0.4141,14.9536,0.3052,19.4702
269101.0000,0.1172,0.8364,0.4121,18.1274,-0.5493,23.9868
269102.0000,0.1284,0.8086,0.4097,24.2310,-2.3193,30.5786
269103.0000,0.1543,0.8281,0.4170,29.7241,-3.0518,34.3628
269104.0000,0.1660,0.8765,0.4277,34.5459,-2.1973,35.2173
269105.0000,0.1470,0.9458,0.4307,39.0625,-0.2441,31.9824
269106.0000,0.1299,0.9849,0.4224,40.4053,0.6104,26.9775
269107.0000,0.1265,1.0146,0.4072,40.5884,0.7324,21.5454
269108.0000,0.1421,1.0391,0.3877,39.0015,0.6714,15.4419
269109.0000,0.1455,1.0459,0.3652,37.1094,0.4883,12.2070
269110.0000,0.1401,1.0503,0.3413,34.9731,0.2441,10.0708
269111.0000,0.1318,1.0771,0.3213,31.9214,-0.4883,7.8125
269112.0000,0.1284,1.0972,0.3071,29.1138,-1.2207,6.5308
269113.0000,0.1289,1.1147,0.2979,25.9399,-1.6479,5.3711
269114.0000,0.1362,1.1182,0.2866,20.7520,-1.7090,4.6997
269115.0000,0.1406,1.1011,0.2729,16.7847,-1.2207,5.0049
269116.0000,0.1406,1.0742,0.2646,13.4888,-0.4883,5.4321
269117.0000,0.1318,1.0547,0.2529,10.3149,0.6714,6.5918
269118.0000,0.1245,1.0508,0.2490,8.6670,1.0986,7.5073
269119.0000,0.1216,1.0527,0.2534,6.8970,1.4648,7.9346
269120.0000,0.1216,1.0527,0.2563,4.3335,1.4648,7.9346
269121.0000,0.1201,1.0474,0.2637,2.5635,1.5259,7.6294
269122.0000,0.1230,1.0396,0.2700,0.7935,1.4648,6.8359
269123.0000,0.1250,1.0269,0.2729,-1.2207,1.5869,5.3711
