timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
223975.0000,-0.0762,0.9600,0.4058,0.0610,0.4272,-0.7935
223976.0000,-0.0776,0.9595,0.4072,-0.1221,0.4272,-0.7935
223977.0000,-0.0757,0.9600,0.4082,-0.1831,0.4272,-0.6104
223978.0000,-0.0742,0.9590,0.4111,-0.3052,0.1831,-0.4883
223979.0000,-0.0737,0.9570,0.4077,-0.2441,0.2441,-0.3052
223980.0000,-0.0752,0.9575,0.4048,-0.4272,0.1221,-0.1831
223981.0000,-0.0723,0.9551,0.4072,-0.1831,0.3052,-0.1221
223982.0000,-0.0718,0.9609,0.4102,-0.0610,0.3662,-0.2441
223983.0000,-0.0713,0.9688,0.4092,0.0610,0.4883,-0.3662
223984.0000,-0.0674,0.9653,0.4092,-0.4272,0.5493,-0.4883
223985.0000,-0.0693,0.9526,0.4043,-0.8545,0.6104,-0.0610
223986.0000,-0.0684,0.9546,0.4106,-0.6104,0.6714,0.0610
223987.0000,-0.0718,0.9619,0.4106,-0.2441,0.6714,-0.0610
223988.0000,-0.0713,0.9590,0.4116,-0.4883,0.4883,-0.3662
223989.0000,-0.0723,0.9507,0.4106,-0.4272,0.3662,-0.5493
223990.0000,-0.0728,0.9531,0.4111,0.3662,0.5493,-1.0376
223991.0000,-0.0762,0.9600,0.4072,0.6104,0.5493,-1.2207
223992.0000,-0.0796,0.9644,0.4111,0.4272,0.3662,-1.4038
223993.0000,-0.0757,0.9653,0.4077,0.4883,0.0610,-1.3428
223994.0000,-0.0752,0.9683,0.4058,0.3052,-0.0610,-0.9766
223995.0000,-0.0771,0.9678,0.4077,0.0610,-0.1221,-0.6714
223996.0000,-0.0762,0.9624,0.4043,-0.3052,-0.2441,-0.6104
223997.0000,-0.0737,0.9590,0.4019,-0.3052,-0.2441,-0.4883
223998.0000,-0.0688,0.9561,0.4053,-0.3662,-0.2441,-0.5493
223999.0000,-0.0674,0.9565,0.4053,-0.3052,0.1221,-0.4272
224000.0000,-0.0640,0.9570,0.4062,-0.1831,0.3662,-0.3662
224001.0000,-0.0654,0.9629,0.4067,-0.3052,0.5493,-0.2441
224002.0000,-0.0640,0.9619,0.4077,-0.4883,0.9155,0.0000
224003.0000,-0.0649,0.9614,0.4058,-0.6104,1.2207,0.0610
224004.0000,-0.0684,0.9619,0.4072,-0.7324,1.3428,-0.0610
224005.0000,-0.0728,0.9595,0.4102,-0.9155,1.5259,-0.3052
224006.0000,-0.0742,0.9575,0.4077,-0.7935,1.4648,-0.5493
224007.0000,-0.0767,0.9580,0.4082,-0.7324,1.4038,-0.9766
224008.0000,-0.0776,0.9585,0.4067,-0.6104,1.2207,-1.0986
224009.0000,-0.0776,0.9580,0.4082,-0.4883,0.9766,-1.0986
224010.0000,-0.0806,0.9590,0.4067,-0.4883,0.7935,-1.1597
224011.0000,-0.0806,0.9585,0.4116,-0.3052,0.4272,-0.7935
224012.0000,-0.0786,0.9600,0.4106,-0.3052,0.3052,-0.7935
224013.0000,-0.0791,0.9590,0.4082,-0.1221,0.1831,-0.7324
224014.0000,-0.0791,0.9541,0.4077,-0.0610,0.0610,-0.6104
224015.0000,-0.0742,0.9604,0.4111,0.0000,-0.1221,-0.3662
224016.0000,-0.0679,0.9629,0.4131,0.0610,-0.1221,-0.1831
224017.0000,-0.0688,0.9600,0.4116,-0.4272,0.0000,0.1221
224018.0000,-0.0684,0.9541,0.4082,-0.4883,0.2441,0.1831
224019.0000,-0.0713,0.9453,0.4058,-0.1221,0.3662,0.0610
224020.0000,-0.0703,0.9492,0.4077,0.4883,0.2441,-0.2441
224021.0000,-0.0688,0.9570,0.4082,0.7324,0.1831,-0.3052
224022.0000,-0.0698,0.9619,0.4067,0.7324,0.1221,-0.4272
224023.0000,-0.0688,0.9717,0.4102,0.4883,0.3662,-0.6104
224024.0000,-0.0752,0.9712,0.4087,0.3052,0.3662,-0.7935
224025.0000,-0.0752,0.9683,0.4082,0.0000,0.1831,-0.9766
224026.0000,-0.0757,0.9604,0.4053,-0.1221,0.1831,-1.0376
224027.0000,-0.0752,0.9614,0.4058,-0.1831,0.0000,-1.0376
224028.0000,-0.0737,0.9604,0.4053,-0.1831,0.1221,-0.9766
224029.0000,-0.0684,0.9604,0.4072,-0.3052,0.1221,-0.7324
224030.0000,-0.0669,0.9565,0.4087,-0.4272,0.3052,-0.4272
224031.0000,-0.0693,0.9531,0.4077,-0.3662,0.4272,-0.3052
224032.0000,-0.0713,0.9546,0.4033,-0.2441,0.8545,-0.3052
224033.0000,-0.0693,0.9546,0.4048,-0.1221,0.8545,-0.3052
224034.0000,-0.0723,0.9556,0.4077,-0.0610,1.0376,-0.3662
224035.0000,-0.0767,0.9585,0.4072,0.1831,0.9766,-0.3662
224036.0000,-0.0781,0.9585,0.4082,0.1831,0.9155,-0.5493
224037.0000,-0.0791,0.9639,0.4082,0.1831,0.6714,-0.7324
224038.0000,-0.0801,0.9644,0.4077,0.0000,0.3662,-0.8545
224039.0000,-0.0786,0.9634,0.4067,0.0610,0.1221,-0.9766
224040.0000,-0.0781,0.9663,0.4009,-0.2441,0.0000,-1.0376
224041.0000,-0.0771,0.9629,0.4072,-0.3052,-0.1831,-0.9155
224042.0000,-0.0762,0.9609,0.4067,-0.3662,-0.2441,-0.7935
224043.0000,-0.0747,0.9604,0.4062,-0.4272,-0.2441,-0.6714
224044.0000,-0.0688,0.9604,0.4087,-0.5493,-0.0610,-0.3052
224045.0000,-0.0659,0.9609,0.4082,-0.6714,0.3052,-0.1831
224046.0000,-0.0654,0.9600,0.4097,-0.6104,0.5493,0.0610
224047.0000,-0.0674,0.9600,0.4077,-0.4883,0.8545,0.3662
224048.0000,-0.0664,0.9600,0.4106,-0.5493,0.9766,0.4883
224049.0000,-0.0674,0.9600,0.4092,-0.4883,0.9766,0.5493
224050.0000,-0.0688,0.9609,0.4102,-0.5493,1.1597,0.4272
224051.0000,-0.0728,0.9595,0.4102,-0.6104,1.1597,0.2441
224052.0000,-0.0723,0.9580,0.4087,-0.5493,1.0986,0.1831
