timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
247529.0000,0.1221,0.9453,0.5479,3.5400,-25.0244,0.0000
247530.0000,0.1411,0.9873,0.5640,4.1504,-25.4517,-0.0610
247531.0000,0.1626,1.0054,0.5674,3.6011,-25.7568,-0.4272
247532.0000,0.1797,0.9902,0.5503,2.1362,-25.1465,-0.7935
247533.0000,0.1816,0.9800,0.5479,2.1362,-24.1089,-1.3428
247534.0000,0.1655,0.9673,0.5405,2.5635,-23.1934,-2.4414
247535.0000,0.1470,0.9600,0.5332,3.0518,-22.6440,-4.5166
247536.0000,0.1450,0.9634,0.5352,3.8452,-22.5830,-6.0425
247537.0000,0.1475,0.9639,0.5308,4.3335,-22.3389,-7.5684
247538.0000,0.1431,0.9556,0.5190,3.9673,-21.3013,-9.2773
247539.0000,0.1318,0.9478,0.5166,4.3945,-20.4468,-10.5591
247540.0000,0.1230,0.9326,0.5078,4.5166,-19.8975,-11.5967
247541.0000,0.1191,0.9141,0.4956,5.0659,-19.5312,-12.4512
247542.0000,0.1162,0.9067,0.4937,5.8594,-19.2261,-12.9395
247543.0000,0.1123,0.9033,0.4858,6.7749,-18.9209,-13.1836
247544.0000,0.1030,0.8970,0.4731,7.3242,-18.2495,-13.3057
247545.0000,0.0947,0.8940,0.4644,7.7515,-17.8223,-13.4277
247546.0000,0.0908,0.8994,0.4570,8.3008,-17.3950,-13.4277
247547.0000,0.0879,0.9053,0.4546,8.8501,-16.7236,-13.4888
247548.0000,0.0908,0.9082,0.4429,8.9111,-16.1743,-13.0005
247549.0000,0.0947,0.9092,0.4409,8.8501,-15.4419,-12.8174
247550.0000,0.0942,0.9165,0.4380,8.9722,-14.0381,-12.6953
247551.0000,0.0962,0.9248,0.4385,8.6060,-13.0005,-12.6343
247552.0000,0.0991,0.9233,0.4346,8.1177,-11.8408,-13.0005
247553.0000,0.1040,0.9189,0.4297,6.9580,-9.8877,-13.7939
247554.0000,0.1025,0.9111,0.4243,5.9204,-8.2397,-14.2212
247555.0000,0.1069,0.9053,0.4258,5.6152,-6.2866,-14.4043
247556.0000,0.1035,0.9009,0.4185,5.1270,-3.4790,-14.1602
247557.0000,0.0864,0.8965,0.4175,4.6387,-1.3428,-13.4888
247558.0000,0.0732,0.8975,0.4180,4.5776,0.3662,-12.5732
247559.0000,0.0659,0.9033,0.4180,5.3101,1.9531,-11.2915
247560.0000,0.0654,0.9126,0.4185,6.2256,3.0518,-9.6436
247561.0000,0.0591,0.9277,0.4121,7.1411,4.0894,-8.3618
247562.0000,0.0547,0.9458,0.4077,8.4229,4.8828,-6.1035
247563.0000,0.0498,0.9668,0.4009,9.2163,4.9438,-4.5776
247564.0000,0.0361,0.9829,0.3887,9.7046,4.9438,-3.2959
247565.0000,0.0049,0.9976,0.3730,9.9487,3.9673,-1.6479
247566.0000,-0.0156,1.0171,0.3623,10.2539,2.8076,-0.8545
247567.0000,-0.0303,1.0420,0.3564,10.3760,1.3428,0.1831
247568.0000,-0.0347,1.0776,0.3496,10.2539,-0.1831,0.5493
247569.0000,-0.0493,1.1030,0.3433,9.5215,-0.6104,-0.0610
247570.0000,-0.0776,1.1245,0.3394,8.4839,-1.1597,-1.4648
247571.0000,-0.0991,1.1382,0.3315,5.9814,-2.5024,-3.7842
247572.0000,-0.0913,1.1387,0.3267,3.4790,-3.9673,-5.6152
247573.0000,-0.0713,1.1299,0.3286,1.2207,-5.0659,-6.4087
247574.0000,-0.0576,1.1079,0.3247,-1.9531,-5.7373,-4.8218
247575.0000,-0.0576,1.0820,0.3228,-3.7231,-6.4087,-1.5869
247576.0000,-0.0562,1.0562,0.3228,-5.0659,-7.5684,2.5635
