timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
202374.0000,0.0513,0.9800,0.4180,1.4648,-51.3306,-30.1514
202375.0000,0.0693,0.9854,0.4180,0.7324,-48.8892,-30.0293
202376.0000,0.0776,0.9795,0.4204,0.1221,-46.3867,-29.2969
202377.0000,0.0776,0.9741,0.4170,-0.3052,-43.9453,-27.9541
202378.0000,0.0659,0.9639,0.4131,-0.3662,-40.6494,-25.5737
202379.0000,0.0518,0.9585,0.4141,-0.2441,-38.5742,-23.8647
202380.0000,0.0381,0.9595,0.4141,0.0610,-37.0483,-22.2168
202381.0000,0.0298,0.9580,0.4175,0.2441,-35.3394,-20.5078
202382.0000,0.0269,0.9551,0.4199,0.4883,-34.3628,-19.4092
202383.0000,0.0239,0.9492,0.4160,0.9155,-33.3252,-18.7378
202384.0000,0.0229,0.9561,0.4238,1.5869,-31.9824,-18.1885
202385.0000,0.0225,0.9609,0.4219,1.8921,-31.0059,-18.1274
202386.0000,0.0181,0.9551,0.4199,2.0142,-29.9683,-17.8223
202387.0000,0.0029,0.9517,0.4160,1.8921,-28.6865,-17.7612
202388.0000,-0.0112,0.9570,0.4150,2.0752,-28.5034,-17.8223
202389.0000,-0.0210,0.9580,0.4189,2.2583,-28.6865,-17.8833
202390.0000,-0.0337,0.9565,0.4146,2.5024,-29.5410,-18.1274
202391.0000,-0.0425,0.9580,0.4131,2.5024,-30.7007,-18.3716
202392.0000,-0.0430,0.9624,0.4126,2.6855,-31.9824,-18.5547
202393.0000,-0.0371,0.9707,0.4180,2.8076,-33.7524,-18.6157
202394.0000,-0.0269,0.9731,0.4189,2.5024,-34.5459,-18.8599
202395.0000,-0.0137,0.9717,0.4150,2.0142,-34.9121,-18.7988
202396.0000,0.0000,0.9702,0.4136,1.3428,-34.4849,-18.3105
202397.0000,0.0049,0.9692,0.4146,0.9766,-33.8135,-17.5171
202398.0000,0.0039,0.9673,0.4155,0.6104,-33.0811,-16.6626
202399.0000,0.0020,0.9600,0.4136,0.3052,-31.9824,-15.6860
202400.0000,-0.0010,0.9570,0.4146,0.2441,-31.2500,-14.9536
202401.0000,0.0000,0.9551,0.4141,0.4883,-30.5176,-14.4043
202402.0000,0.0078,0.9556,0.4175,0.8545,-29.2969,-13.8550
202403.0000,0.0142,0.9595,0.4224,0.9766,-28.1372,-13.4277
202404.0000,0.0225,0.9673,0.4194,1.0376,-26.7334,-13.0005
202405.0000,0.0308,0.9697,0.4263,0.6714,-24.3530,-12.5122
202406.0000,0.0303,0.9658,0.4233,0.3662,-22.3389,-11.9629
202407.0000,0.0254,0.9614,0.4229,0.1831,-20.5078,-11.2305
202408.0000,0.0171,0.9634,0.4199,0.1221,-18.3716,-10.3760
202409.0000,0.0156,0.9604,0.4214,0.2441,-16.9067,-9.8877
202410.0000,0.0146,0.9595,0.4209,0.4272,-14.9536,-9.3384
202411.0000,0.0156,0.9634,0.4243,0.4883,-13.6719,-8.8501
202412.0000,0.0176,0.9668,0.4248,0.3662,-12.3291,-8.5449
202413.0000,0.0239,0.9688,0.4263,0.1221,-9.9487,-7.8125
202414.0000,0.0293,0.9639,0.4209,-0.1831,-8.1177,-7.2021
202415.0000,0.0312,0.9619,0.4209,-0.4883,-6.0425,-6.2256
202416.0000,0.0254,0.9590,0.4219,-0.4272,-3.2349,-4.9438
202417.0000,0.0181,0.9556,0.4263,-0.3662,-1.6479,-3.7842
202418.0000,0.0093,0.9517,0.4180,-0.3052,-0.3662,-2.6245
202419.0000,-0.0005,0.9478,0.4170,-0.2441,0.9155,-1.4648
202420.0000,-0.0083,0.9482,0.4170,0.3052,1.9531,-0.6714
202421.0000,-0.0122,0.9521,0.4199,0.7935,2.4414,-0.4883
202422.0000,-0.0137,0.9614,0.4214,1.0986,3.0518,-0.3052
202423.0000,-0.0171,0.9619,0.4189,1.0986,3.6011,-0.5493
202424.0000,-0.0200,0.9634,0.4209,1.0986,4.0894,-0.6714
202425.0000,-0.0264,0.9653,0.4199,1.1597,4.5166,-0.8545
202426.0000,-0.0312,0.9658,0.4194,1.0986,4.7607,-0.9766
202427.0000,-0.0386,0.9619,0.4175,1.0376,4.7607,-1.1597
202428.0000,-0.0459,0.9575,0.4180,0.9155,4.2725,-1.1597
202429.0000,-0.0474,0.9580,0.4160,1.0376,3.7842,-1.0986
202430.0000,-0.0449,0.9585,0.4180,1.0376,3.1738,-1.0986
202431.0000,-0.0444,0.9595,0.4185,0.9155,2.5024,-0.9766
202432.0000,-0.0430,0.9580,0.4194,0.8545,2.0752,-1.0986
202433.0000,-0.0469,0.9570,0.4199,0.8545,1.7090,-1.2817
202434.0000,-0.0469,0.9619,0.4199,0.9766,1.0376,-1.4038
202435.0000,-0.0474,0.9658,0.4180,0.8545,0.5493,-1.7090
202436.0000,-0.0469,0.9658,0.4204,0.6714,0.3052,-1.9531
202437.0000,-0.0488,0.9683,0.4180,0.3662,-0.1221,-2.0142
202438.0000,-0.0464,0.9683,0.4180,0.1831,-0.6714,-1.8311
202439.0000,-0.0503,0.9683,0.4194,0.0610,-0.8545,-1.6479
202440.0000,-0.0488,0.9678,0.4185,-0.3052,-1.3428,-1.2817
202441.0000,-0.0459,0.9653,0.4204,-0.6104,-1.6479,-0.9155
202442.0000,-0.0410,0.9658,0.4180,-0.8545,-1.7700,-0.6714
202443.0000,-0.0356,0.9609,0.4224,-0.9155,-1.9531,-0.6104
202444.0000,-0.0322,0.9580,0.4224,-0.8545,-1.7700,-0.3052
202445.0000,-0.0288,0.9600,0.4185,-0.9155,-1.7090,-0.1221
202446.0000,-0.0210,0.9580,0.4229,-0.8545,-1.1597,0.1831
202447.0000,-0.0186,0.9570,0.4224,-0.6714,-0.6714,0.1831
202448.0000,-0.0122,0.9556,0.4258,-0.7324,-0.0610,0.6104
202449.0000,-0.0112,0.9556,0.4258,-0.6104,0.9766,0.7935
202450.0000,-0.0107,0.9546,0.4209,-0.5493,1.7090,0.9766
202451.0000,-0.0122,0.9595,0.4248,-0.4272,2.2583,1.2817
202452.0000,-0.0132,0.9600,0.4248,-0.5493,3.1128,1.4648
202453.0000,-0.0078,0.9609,0.4238,-0.6104,3.7231,1.4648
202454.0000,-0.0063,0.9614,0.4214,-0.4883,4.5166,1.6479
202455.0000,-0.0068,0.9580,0.4224,-0.6104,5.6763,1.5259
