timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
206310.0000,-0.0127,0.9497,0.4077,-0.7935,0.2441,-4.0283
206311.0000,-0.0107,0.9551,0.4062,0.0000,-0.7324,-3.4180
206312.0000,-0.0034,0.9600,0.4102,0.3662,-1.2817,-2.9907
206313.0000,0.0059,0.9644,0.4092,0.6104,-1.7700,-2.5635
206314.0000,0.0220,0.9683,0.4111,0.7324,-1.5259,-1.8921
206315.0000,0.0342,0.9707,0.4126,0.7935,-0.9766,-1.2207
206316.0000,0.0381,0.9707,0.4106,0.5493,-0.0610,-0.5493
206317.0000,0.0371,0.9619,0.4077,0.4883,1.1597,0.0610
206318.0000,0.0376,0.9585,0.4058,0.7324,2.0752,0.5493
206319.0000,0.0342,0.9575,0.4048,0.9155,2.7466,0.6104
206320.0000,0.0366,0.9595,0.4019,1.3428,3.7231,0.6104
206321.0000,0.0337,0.9604,0.4028,1.4648,4.4556,0.4883
206322.0000,0.0293,0.9604,0.4038,1.7700,4.9438,0.3662
206323.0000,0.0234,0.9629,0.4004,1.8921,5.4321,0.1831
206324.0000,0.0210,0.9683,0.4014,2.0752,5.7373,-0.1831
206325.0000,0.0151,0.9707,0.4033,2.1973,5.8594,-0.2441
206326.0000,0.0166,0.9727,0.4019,2.0142,5.7983,-0.3662
206327.0000,0.0142,0.9761,0.3984,1.8921,5.6152,-0.4883
206328.0000,0.0137,0.9766,0.4023,1.7090,5.4932,-0.3052
206329.0000,0.0142,0.9756,0.3979,1.7090,5.0659,-0.0610
206330.0000,0.0117,0.9771,0.3975,1.5869,4.8828,0.1831
206331.0000,0.0093,0.9771,0.3965,1.4038,4.3945,0.3052
206332.0000,0.0068,0.9766,0.3916,1.0986,3.9062,0.3052
206333.0000,0.0093,0.9771,0.3965,0.9766,3.5400,0.1221
206334.0000,0.0122,0.9780,0.3945,0.6714,3.1128,0.0000
206335.0000,0.0151,0.9775,0.3979,0.3662,2.8687,0.0000
206336.0000,0.0181,0.9771,0.3975,0.0610,2.6245,-0.0610
206337.0000,0.0190,0.9775,0.3989,-0.1221,2.3804,0.0000
206338.0000,0.0283,0.9775,0.3945,-0.4883,2.3804,0.1831
206339.0000,0.0308,0.9800,0.4004,-0.7935,2.5635,0.5493
206340.0000,0.0381,0.9824,0.3999,-1.4038,2.8687,0.3662
206341.0000,0.0488,0.9873,0.3950,-2.1973,3.8452,-0.1221
206342.0000,0.0547,0.9878,0.3989,-2.9297,4.9438,-0.8545
206343.0000,0.0581,0.9883,0.4009,-3.7842,6.2256,-1.5869
206344.0000,0.0571,0.9810,0.3989,-4.5776,7.9346,-2.7466
206345.0000,0.0557,0.9722,0.3945,-4.8828,9.0332,-3.4180
206346.0000,0.0518,0.9644,0.3975,-4.9438,10.0098,-4.2725
206347.0000,0.0493,0.9624,0.3979,-4.3945,11.2915,-5.4321
206348.0000,0.0508,0.9624,0.3989,-4.2114,12.2070,-6.3477
206349.0000,0.0479,0.9639,0.3984,-3.8452,13.0615,-7.3242
206350.0000,0.0493,0.9663,0.4048,-3.7231,14.2212,-8.4839
206351.0000,0.0493,0.9717,0.4033,-3.6621,15.1367,-9.4604
206352.0000,0.0488,0.9780,0.4043,-3.8452,15.9912,-10.4370
206353.0000,0.0571,0.9761,0.4087,-4.3335,17.5171,-11.8408
206354.0000,0.0610,0.9717,0.4072,-4.6387,18.7378,-12.3901
206355.0000,0.0659,0.9668,0.4067,-4.8218,20.3247,-12.6953
206356.0000,0.0630,0.9639,0.4082,-4.5776,22.7661,-12.8174
206357.0000,0.0493,0.9634,0.4072,-4.3945,24.4751,-12.8784
206358.0000,0.0386,0.9614,0.4082,-4.2725,25.8179,-12.8784
206359.0000,0.0273,0.9668,0.4072,-4.2725,27.4658,-12.9395
206360.0000,0.0244,0.9707,0.4062,-4.4556,28.5645,-12.7563
206361.0000,0.0210,0.9707,0.4062,-4.5776,29.4189,-12.5732
206362.0000,0.0195,0.9727,0.4087,-5.0049,30.8228,-11.6577
206363.0000,0.0176,0.9683,0.4058,-5.3711,31.9824,-10.9863
206364.0000,0.0093,0.9624,0.4043,-5.4932,33.2642,-10.1318
206365.0000,-0.0054,0.9619,0.4067,-5.5542,34.8511,-9.0942
206366.0000,-0.0190,0.9609,0.4062,-5.5542,35.7056,-8.5449
206367.0000,-0.0303,0.9619,0.4014,-5.4932,36.3159,-7.5684
206368.0000,-0.0342,0.9604,0.4009,-5.6152,36.5601,-6.7749
206369.0000,-0.0386,0.9629,0.4019,-5.6763,36.9263,-6.0425
206370.0000,-0.0474,0.9658,0.4033,-5.7373,36.9873,-5.1270
206371.0000,-0.0415,0.9741,0.4072,-5.9814,36.9873,-4.5166
206372.0000,-0.0283,0.9819,0.4082,-6.8359,37.5366,-3.9673
206373.0000,-0.0181,0.9829,0.4053,-7.9956,39.3677,-3.2959
206374.0000,-0.0200,0.9785,0.4058,-8.6060,41.1987,-3.0518
206375.0000,-0.0239,0.9673,0.4038,-9.1553,43.1519,-3.4790
206376.0000,-0.0454,0.9546,0.3950,-9.4604,44.4946,-3.7842
206377.0000,-0.0396,0.9673,0.4043,-9.5215,45.5933,-4.9438
206378.0000,-0.0195,1.0039,0.4131,-9.7656,46.6309,-6.8970
206379.0000,0.0005,1.0225,0.4243,-12.3291,50.4761,-10.3149
