timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
66520.0000,0.0581,0.9785,0.2959,-18.4326,2.0142,8.7891
66521.0000,0.0562,0.9731,0.3008,-18.1885,1.2817,6.4087
66522.0000,0.0605,0.9746,0.3071,-18.1274,0.7935,4.6997
66523.0000,0.0688,0.9883,0.3159,-18.2495,0.4883,3.5400
66524.0000,0.0796,0.9961,0.3213,-18.6768,0.3662,2.1362
66525.0000,0.0884,0.9897,0.3228,-19.3481,0.6104,1.0376
66526.0000,0.0942,0.9785,0.3208,-19.7754,1.2207,0.3052
66527.0000,0.0986,0.9731,0.3320,-19.5923,2.0142,-1.2207
66528.0000,0.1050,0.9751,0.3403,-19.3481,2.9907,-2.8687
66529.0000,0.1050,0.9746,0.3516,-19.1650,4.3335,-4.6387
66530.0000,0.0840,0.9663,0.3618,-19.1040,6.5308,-6.9580
66531.0000,0.0654,0.9575,0.3682,-18.9819,7.7515,-8.0566
66532.0000,0.0474,0.9453,0.3682,-18.5547,8.3618,-8.1177
66533.0000,0.0439,0.9370,0.3735,-17.3950,8.2397,-7.2021
66534.0000,0.0425,0.9380,0.3818,-16.1743,8.3618,-6.0425
66535.0000,0.0439,0.9429,0.3911,-15.0146,7.9956,-4.7607
66536.0000,0.0396,0.9409,0.3921,-13.2446,7.9346,-3.6621
66537.0000,0.0386,0.9360,0.3979,-11.7798,7.6904,-3.2959
66538.0000,0.0327,0.9351,0.3989,-10.0098,7.6904,-3.6011
66539.0000,0.0234,0.9370,0.3989,-7.6294,7.3242,-4.0894
66540.0000,0.0151,0.9380,0.3965,-5.9814,6.8359,-4.6387
66541.0000,0.0083,0.9370,0.3999,-4.3335,6.2866,-5.0049
66542.0000,0.0039,0.9395,0.3940,-2.3804,5.3101,-5.4321
66543.0000,0.0054,0.9438,0.3916,-1.0986,4.5776,-5.4932
66544.0000,0.0063,0.9487,0.3892,0.1221,3.7231,-5.8594
66545.0000,0.0063,0.9536,0.3838,1.1597,2.6245,-6.2256
66546.0000,0.0078,0.9585,0.3779,1.7090,1.7700,-6.5918
66547.0000,0.0098,0.9624,0.3765,2.1362,1.0376,-7.0801
66548.0000,0.0142,0.9722,0.3735,2.4414,0.3662,-8.1177
66549.0000,0.0171,0.9819,0.3721,2.2583,0.0000,-9.2163
66550.0000,0.0220,0.9922,0.3672,1.7090,0.1221,-10.4980
66551.0000,0.0254,0.9980,0.3701,0.7935,0.4272,-12.2070
66552.0000,0.0229,0.9976,0.3662,0.0000,0.6714,-13.5498
66553.0000,0.0156,0.9888,0.3599,-0.9155,0.7935,-14.4043
66554.0000,0.0063,0.9766,0.3599,-1.6479,0.6714,-14.2212
66555.0000,0.0059,0.9800,0.3579,-1.9531,0.2441,-13.3667
66556.0000,0.0093,0.9849,0.3628,-2.1362,-0.0610,-12.0239
66557.0000,0.0166,0.9946,0.3687,-2.9297,-0.1831,-10.8643
66558.0000,0.0225,1.0005,0.3745,-3.5400,0.2441,-10.4980
66559.0000,0.0288,1.0024,0.3779,-4.4556,1.2817,-10.8643
66560.0000,0.0298,0.9893,0.3784,-5.1880,3.1738,-11.9629
66561.0000,0.0215,0.9771,0.3770,-5.3711,4.3945,-13.2446
66562.0000,0.0146,0.9761,0.3784,-5.3101,5.4932,-14.2212
66563.0000,0.0151,0.9746,0.3867,-5.0049,6.5308,-15.8691
66564.0000,0.0176,0.9746,0.3862,-4.9438,7.1411,-16.9067
66565.0000,0.0190,0.9697,0.3877,-5.1270,7.9956,-18.2495
66566.0000,0.0161,0.9668,0.3887,-5.0659,9.0332,-20.1416
66567.0000,0.0107,0.9697,0.3872,-4.6997,9.7046,-21.7896
66568.0000,0.0044,0.9785,0.3950,-4.4556,10.3760,-23.9868
66569.0000,-0.0024,0.9922,0.3896,-4.8218,10.9253,-27.2827
66570.0000,-0.0103,0.9922,0.3921,-5.5542,11.4746,-29.6021
66571.0000,-0.0156,0.9873,0.3901,-6.3477,12.0850,-31.7993
66572.0000,-0.0273,0.9814,0.3872,-7.0801,12.5732,-34.1187
66573.0000,-0.0376,0.9790,0.3838,-7.3853,12.7563,-35.2783
66574.0000,-0.0439,0.9702,0.3838,-7.8735,12.6953,-36.4380
66575.0000,-0.0498,0.9614,0.3823,-8.1177,12.5122,-37.6587
66576.0000,-0.0605,0.9512,0.3838,-8.1177,12.4512,-38.4521
66577.0000,-0.0693,0.9487,0.3853,-8.0566,12.3901,-38.9404
66578.0000,-0.0850,0.9546,0.3867,-7.8735,12.1460,-38.6353
66579.0000,-0.1006,0.9570,0.3906,-7.9346,11.7798,-38.0859
66580.0000,-0.1128,0.9517,0.3872,-8.1177,11.3525,-36.8042
66581.0000,-0.1289,0.9399,0.3848,-7.9346,10.5591,-34.6680
66582.0000,-0.1372,0.9321,0.3887,-7.5684,9.7656,-32.7759
66583.0000,-0.1406,0.9292,0.3872,-6.9580,8.9111,-30.5786
66584.0000,-0.1440,0.9312,0.3921,-5.6763,7.8735,-28.0762
66585.0000,-0.1460,0.9365,0.3940,-4.9438,7.3853,-26.4282
66586.0000,-0.1445,0.9453,0.3940,-4.5776,7.1411,-25.0854
66587.0000,-0.1401,0.9556,0.3979,-4.3945,7.0190,-23.8037
66588.0000,-0.1353,0.9546,0.3975,-4.4556,7.0801,-23.0713
66589.0000,-0.1304,0.9546,0.4033,-4.5776,7.5073,-22.7661
66590.0000,-0.1299,0.9526,0.3989,-4.8218,8.4229,-23.0103
66591.0000,-0.1333,0.9502,0.3994,-5.0049,9.2163,-23.6206
66592.0000,-0.1475,0.9487,0.3999,-5.1880,10.5591,-24.9023
66593.0000,-0.1558,0.9414,0.4043,-5.0659,11.2915,-26.0010
66594.0000,-0.1616,0.9370,0.4058,-5.0659,11.6577,-26.9775
66595.0000,-0.1646,0.9331,0.4087,-4.8828,12.1460,-28.1372
66596.0000,-0.1655,0.9312,0.4087,-4.6997,12.3901,-28.4424
66597.0000,-0.1646,0.9346,0.4082,-4.5166,12.7563,-28.8086
66598.0000,-0.1660,0.9390,0.4121,-4.8218,13.1226,-28.8696
66599.0000,-0.1709,0.9346,0.4048,-5.1270,13.6108,-28.9917
66600.0000,-0.1807,0.9287,0.4053,-5.3101,13.9160,-29.1748
66601.0000,-0.1929,0.9243,0.4087,-5.3711,14.4043,-29.6631
66602.0000,-0.2026,0.9243,0.4072,-5.3101,14.7705,-30.1514
66603.0000,-0.2109,0.9204,0.4019,-5.3101,14.9536,-30.5786
66604.0000,-0.2202,0.9131,0.4038,-5.0049,14.8926,-30.5176
66605.0000,-0.2246,0.9126,0.4019,-4.4556,14.5264,-30.5176
66606.0000,-0.2275,0.9131,0.4043,-4.0894,14.2822,-30.1514
66607.0000,-0.2314,0.9214,0.4067,-3.6011,13.8550,-29.7852
66608.0000,-0.2344,0.9224,0.4019,-3.5400,13.7329,-29.6631
66609.0000,-0.2393,0.9189,0.4023,-3.7231,13.8550,-29.8462
66610.0000,-0.2549,0.9204,0.4053,-3.7231,14.0381,-30.3955
66611.0000,-0.2710,0.9146,0.4058,-3.8452,14.4043,-30.9448
66612.0000,-0.2871,0.9087,0.3999,-3.7842,14.4653,-31.1890
66613.0000,-0.3047,0.9023,0.3989,-3.4790,13.9771,-30.5786
66614.0000,-0.3125,0.8965,0.3955,-3.0518,13.1226,-29.3579
66615.0000,-0.3154,0.8950,0.3979,-2.6245,12.0239,-27.4658
66616.0000,-0.3179,0.8965,0.4004,-1.8921,10.4980,-24.4751
66617.0000,-0.3179,0.8999,0.4058,-1.3428,9.5825,-22.2778
66618.0000,-0.3145,0.9009,0.4062,-1.0376,8.6670,-20.2637
66619.0000,-0.3037,0.8955,0.4121,-0.7935,7.8735,-18.0054
66620.0000,-0.2910,0.8892,0.4150,-0.3662,7.7515,-16.9067
66621.0000,-0.2803,0.8789,0.4116,0.1221,8.2397,-16.4795
66622.0000,-0.2827,0.8652,0.4102,1.2817,9.2773,-16.4795
66623.0000,-0.2939,0.8643,0.4116,2.2583,10.3149,-17.0898
66624.0000,-0.3037,0.8647,0.4077,3.4180,11.1084,-18.1274
66625.0000,-0.3086,0.8599,0.4043,4.6387,11.4746,-19.1040
66626.0000,-0.3022,0.8628,0.4043,5.4932,11.2915,-19.7144
66627.0000,-0.2896,0.8774,0.4077,6.1646,11.4136,-19.7754
66628.0000,-0.2827,0.8921,0.4092,6.6528,11.7798,-19.9585
66629.0000,-0.2832,0.8848,0.3984,6.5918,12.3291,-20.3857
66630.0000,-0.2896,0.8779,0.3921,6.5918,12.7563,-21.3013
66631.0000,-0.3164,0.8828,0.3877,7.0801,13.8550,-23.4985
