timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
75298.0000,-0.0522,0.9697,0.3970,2.3193,1.5869,-4.6387
75299.0000,-0.0493,0.9736,0.3965,2.1973,1.3428,-4.9438
75300.0000,-0.0376,0.9785,0.3950,1.5259,0.9766,-5.3101
75301.0000,-0.0361,0.9800,0.3994,0.9155,1.2817,-5.7373
75302.0000,-0.0391,0.9761,0.3979,0.3662,1.6479,-6.3477
75303.0000,-0.0474,0.9692,0.4019,0.0000,1.8921,-7.5073
75304.0000,-0.0537,0.9648,0.4077,-0.3662,2.0142,-7.9346
75305.0000,-0.0547,0.9590,0.4019,-0.4272,2.1362,-8.4229
75306.0000,-0.0562,0.9531,0.4058,0.0000,2.0752,-8.5449
75307.0000,-0.0581,0.9517,0.4038,0.1831,2.0752,-8.4229
75308.0000,-0.0581,0.9531,0.4033,0.3662,1.8921,-8.3008
75309.0000,-0.0552,0.9600,0.3999,0.4272,1.7090,-8.5449
75310.0000,-0.0469,0.9629,0.4028,0.6104,1.5259,-8.9111
75311.0000,-0.0474,0.9624,0.4019,0.3662,1.6479,-9.5825
75312.0000,-0.0547,0.9634,0.4019,0.1221,2.0142,-10.5591
75313.0000,-0.0674,0.9604,0.4023,0.0610,2.2583,-10.9863
75314.0000,-0.0796,0.9575,0.4004,-0.1221,2.2583,-10.7422
75315.0000,-0.0879,0.9590,0.4023,-0.1221,1.7090,-9.7046
75316.0000,-0.0840,0.9619,0.4028,0.0610,1.3428,-8.6670
75317.0000,-0.0850,0.9644,0.4028,0.0000,1.1597,-7.6294
75318.0000,-0.0854,0.9609,0.4038,-0.0610,1.0376,-6.2256
75319.0000,-0.0850,0.9644,0.4043,0.1221,0.7935,-5.3711
75320.0000,-0.0825,0.9653,0.4028,0.3052,0.7935,-4.8218
75321.0000,-0.0854,0.9673,0.4038,0.5493,0.7935,-4.8218
75322.0000,-0.0840,0.9644,0.4038,0.3662,0.9766,-4.7607
75323.0000,-0.0869,0.9629,0.4048,0.3052,0.9766,-4.6997
75324.0000,-0.0938,0.9561,0.4009,0.4272,0.9155,-4.4556
75325.0000,-0.0957,0.9531,0.3999,0.6104,0.5493,-4.1504
75326.0000,-0.0913,0.9526,0.3965,0.8545,0.2441,-3.9062
75327.0000,-0.0864,0.9556,0.3955,0.9155,-0.1221,-3.7842
75328.0000,-0.0815,0.9600,0.3989,0.8545,-0.1221,-3.9062
75329.0000,-0.0737,0.9653,0.3994,0.7324,-0.2441,-4.2114
75330.0000,-0.0664,0.9673,0.4023,0.1831,0.1831,-4.7607
75331.0000,-0.0669,0.9619,0.4033,-0.3052,0.5493,-5.0659
75332.0000,-0.0747,0.9575,0.4028,-0.4272,1.0376,-5.1880
75333.0000,-0.0859,0.9517,0.4067,-0.4883,1.3428,-5.0049
75334.0000,-0.0918,0.9497,0.4062,-0.1831,1.1597,-4.3335
75335.0000,-0.0845,0.9561,0.4067,0.0000,0.9155,-3.7842
75336.0000,-0.0815,0.9609,0.4058,0.2441,1.2817,-3.4790
75337.0000,-0.0815,0.9634,0.4092,0.1221,1.5869,-3.6011
75338.0000,-0.0830,0.9629,0.4048,0.2441,1.7090,-3.4790
75339.0000,-0.0806,0.9590,0.4033,0.1221,1.7700,-3.6621
75340.0000,-0.0825,0.9575,0.4033,0.2441,2.0142,-3.7842
75341.0000,-0.0854,0.9595,0.4072,0.4272,1.9531,-4.2114
75342.0000,-0.0874,0.9561,0.4009,0.3662,1.8311,-4.9438
75343.0000,-0.0845,0.9585,0.4009,0.1831,1.5869,-5.7983
75344.0000,-0.0791,0.9644,0.4048,0.3052,1.5869,-6.7749
75345.0000,-0.0703,0.9624,0.4072,-0.0610,1.5869,-7.8125
75346.0000,-0.0664,0.9585,0.4009,-0.3052,1.8921,-8.5449
75347.0000,-0.0688,0.9507,0.3936,-0.4883,2.2583,-9.1553
75348.0000,-0.0654,0.9478,0.3970,-0.0610,2.6855,-10.4980
75349.0000,-0.0625,0.9600,0.3965,0.1221,2.9297,-12.0239
75350.0000,-0.0581,0.9658,0.3970,0.0610,3.2349,-13.8550
75351.0000,-0.0498,0.9717,0.3989,-0.3052,3.6011,-16.9067
75352.0000,-0.0430,0.9761,0.4048,-0.5493,4.2114,-20.3857
75353.0000,-0.0332,0.9951,0.4072,-1.0986,5.2490,-24.4751
75354.0000,-0.0176,1.0283,0.4072,-2.8076,7.6294,-31.8604
75355.0000,-0.0098,1.0293,0.4043,-5.1270,9.5215,-38.5132
75356.0000,-0.0137,1.0044,0.4009,-6.9580,11.5967,-45.0439
75357.0000,-0.0293,0.9590,0.3901,-8.3618,13.3057,-52.7954
75358.0000,-0.0415,0.9390,0.3853,-8.5449,13.7329,-57.4341
75359.0000,-0.0449,0.9229,0.3877,-8.3618,13.9771,-61.8286
