timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
77934.0000,-0.1299,0.9937,0.2988,-4.3945,0.3662,-1.8921
77935.0000,-0.1294,0.9829,0.2983,-4.6997,0.8545,-2.8076
77936.0000,-0.1304,0.9736,0.2925,-4.8828,1.2817,-3.2959
77937.0000,-0.1328,0.9609,0.2905,-4.7607,1.7090,-4.0283
77938.0000,-0.1401,0.9600,0.2920,-3.7842,2.1973,-4.2725
77939.0000,-0.1475,0.9678,0.2930,-3.2349,2.4414,-4.3945
77940.0000,-0.1514,0.9712,0.2959,-2.9297,2.5024,-4.0894
77941.0000,-0.1523,0.9766,0.3022,-2.9297,2.4414,-3.4180
77942.0000,-0.1514,0.9814,0.2988,-3.0518,2.5024,-3.0518
77943.0000,-0.1514,0.9819,0.2993,-3.2959,2.6245,-2.3804
77944.0000,-0.1548,0.9771,0.2993,-3.5400,2.5635,-2.2583
77945.0000,-0.1597,0.9746,0.2988,-3.5400,2.2583,-1.9531
77946.0000,-0.1611,0.9712,0.2993,-3.5400,2.0752,-1.8921
77947.0000,-0.1606,0.9736,0.2969,-3.5400,1.8921,-1.7700
77948.0000,-0.1577,0.9746,0.3027,-3.5400,1.8311,-1.6479
77949.0000,-0.1558,0.9751,0.3066,-3.6011,1.7090,-1.1597
77950.0000,-0.1528,0.9746,0.3076,-3.5400,1.7700,-0.6714
77951.0000,-0.1499,0.9702,0.3042,-3.6011,1.9531,-0.3662
77952.0000,-0.1465,0.9648,0.3101,-3.5400,2.0752,-0.2441
77953.0000,-0.1445,0.9644,0.3105,-3.3569,2.3804,-0.3052
77954.0000,-0.1436,0.9604,0.3076,-3.1738,2.5024,-0.6104
77955.0000,-0.1460,0.9604,0.3145,-2.6245,2.6855,-0.9155
77956.0000,-0.1504,0.9634,0.3120,-2.2583,2.9907,-1.2817
77957.0000,-0.1562,0.9644,0.3110,-2.0142,2.9907,-1.7090
77958.0000,-0.1572,0.9717,0.3125,-1.7090,2.9297,-2.2583
77959.0000,-0.1606,0.9712,0.3120,-1.6479,2.9297,-2.2583
77960.0000,-0.1641,0.9712,0.3091,-1.7090,2.8076,-2.1362
77961.0000,-0.1650,0.9741,0.3062,-1.7700,2.1973,-1.7700
77962.0000,-0.1602,0.9736,0.3071,-1.8311,1.7090,-1.5869
77963.0000,-0.1567,0.9741,0.3062,-2.0142,1.2207,-1.4038
77964.0000,-0.1504,0.9658,0.3071,-2.3193,0.7324,-1.0986
77965.0000,-0.1528,0.9600,0.3037,-1.8921,0.5493,-1.2207
77966.0000,-0.1504,0.9575,0.3066,-1.4648,0.3052,-1.6479
77967.0000,-0.1455,0.9668,0.3081,-0.9155,0.2441,-2.4414
77968.0000,-0.1411,0.9751,0.3110,-0.6714,0.1831,-3.1738
77969.0000,-0.1362,0.9834,0.3125,-0.8545,0.5493,-3.7231
77970.0000,-0.1367,0.9883,0.3125,-1.2207,1.2207,-4.3945
77971.0000,-0.1392,0.9893,0.3115,-1.6479,1.5259,-5.0049
77972.0000,-0.1387,0.9878,0.3052,-2.3193,1.7700,-5.4321
77973.0000,-0.1387,0.9834,0.3027,-2.9907,1.8921,-6.1646
77974.0000,-0.1328,0.9805,0.3022,-3.4180,1.8921,-6.8359
77975.0000,-0.1260,0.9854,0.3027,-3.7231,2.0752,-8.0566
77976.0000,-0.1113,0.9995,0.3037,-4.5166,2.6855,-11.0474
77977.0000,-0.0967,1.0210,0.3047,-5.4932,3.5400,-14.7095
77978.0000,-0.0845,1.0415,0.3105,-7.2021,4.9438,-19.1650
77979.0000,-0.0767,1.0376,0.3071,-10.6201,7.6904,-26.7334
77980.0000,-0.0806,1.0127,0.2944,-12.8784,9.8267,-32.8979
77981.0000,-0.0908,0.9951,0.2993,-13.8550,11.3525,-39.0015
77982.0000,-0.0967,0.9810,0.2983,-14.5264,12.7563,-46.2036
77983.0000,-0.0908,0.9805,0.3066,-15.1367,13.3667,-51.5137
77984.0000,-0.0811,0.9839,0.3115,-15.9912,14.4653,-56.5186
77985.0000,-0.0684,0.9844,0.3198,-17.5171,16.8457,-63.7207
77986.0000,-0.0630,0.9795,0.3267,-18.9819,19.4702,-69.9463
77987.0000,-0.0625,0.9731,0.3267,-20.0195,22.4609,-77.1484
77988.0000,-0.0786,0.9380,0.3188,-21.2402,26.5503,-86.6699
77989.0000,-0.0913,0.8989,0.3149,-21.8506,29.2358,-93.9941
77990.0000,-0.1040,0.8711,0.3125,-21.4233,31.4941,-101.3794
77991.0000,-0.1216,0.8525,0.3140,-20.2637,34.3018,-111.2061
77992.0000,-0.1323,0.8457,0.3164,-19.5312,36.1938,-118.1641
77993.0000,-0.1421,0.8389,0.3237,-19.4092,37.9028,-123.9624
77994.0000,-0.1626,0.8159,0.3184,-20.0195,39.6729,-129.3945
77995.0000,-0.1812,0.7871,0.3125,-20.3857,40.9546,-131.4697
77996.0000,-0.2114,0.7520,0.3066,-20.2026,42.2974,-132.4463
77997.0000,-0.2524,0.7051,0.3076,-18.9209,43.0908,-132.2021
77998.0000,-0.2871,0.6836,0.3052,-17.2729,44.0063,-131.5308
77999.0000,-0.3208,0.6758,0.3057,-15.5029,44.9219,-130.2490
78000.0000,-0.3906,0.6826,0.3105,-13.3667,46.4478,-126.5259
78001.0000,-0.4526,0.6870,0.3145,-12.0850,47.1802,-122.0703
78002.0000,-0.5264,0.6909,0.3164,-10.9253,47.0581,-116.2109
78003.0000,-0.6348,0.6963,0.3091,-9.0942,45.8374,-106.5674
78004.0000,-0.7124,0.7100,0.3174,-7.6904,43.3350,-97.2900
78005.0000,-0.7842,0.7349,0.3232,-6.7139,40.1001,-87.7686
78006.0000,-0.8281,0.7583,0.3198,-6.5918,33.4473,-77.5146
78007.0000,-0.8184,0.7583,0.3140,-7.2021,28.6865,-73.3032
78008.0000,-0.7993,0.7505,0.3037,-7.7515,25.0854,-71.7163
78009.0000,-0.7856,0.7207,0.2993,-8.3618,21.9116,-70.9839
78010.0000,-0.8125,0.7104,0.3003,-9.6436,19.1040,-69.8853
78011.0000,-0.7593,0.6582,0.3096,-4.0894,16.7847,-65.5518
78012.0000,-0.7690,0.6772,0.3066,-5.3101,15.1367,-61.1572
78013.0000,-0.7886,0.6880,0.3135,-4.3945,14.1602,-57.9834
78014.0000,-0.8105,0.6880,0.3154,-3.6011,13.2446,-54.1382
78015.0000,-0.8315,0.6851,0.3218,-1.8311,11.7798,-47.3022
78016.0000,-0.8511,0.6968,0.3232,-1.0376,10.8643,-41.5649
78017.0000,-0.8760,0.6978,0.3223,-1.4648,9.7046,-35.3394
78018.0000,-0.8901,0.6777,0.3091,-1.5259,7.7515,-26.5503
78019.0000,-0.8882,0.6597,0.3027,-1.3428,5.9204,-19.8364
78020.0000,-0.8794,0.6440,0.2993,-0.4272,4.0894,-13.7939
78021.0000,-0.8696,0.6440,0.2998,1.0376,1.7090,-7.1411
78022.0000,-0.8604,0.6489,0.2998,2.0752,-0.0610,-3.3569
78023.0000,-0.8496,0.6470,0.3032,2.6855,-1.7090,-0.0610
78024.0000,-0.8315,0.6460,0.3032,3.5400,-3.1738,3.9062
78025.0000,-0.8223,0.6528,0.3032,4.0283,-4.2725,6.7139
