timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
70690.0000,0.1279,0.9731,0.3687,-0.9766,3.4790,-8.9722
70691.0000,0.1309,0.9736,0.3687,-1.1597,3.5400,-8.9111
70692.0000,0.1299,0.9741,0.3696,-1.0986,3.6621,-8.9111
70693.0000,0.1289,0.9771,0.3682,-1.0986,3.6621,-9.2773
70694.0000,0.1274,0.9746,0.3662,-1.0376,3.7842,-9.8267
70695.0000,0.1294,0.9741,0.3662,-0.8545,3.7842,-10.6812
70696.0000,0.1309,0.9756,0.3682,-0.6104,3.8452,-11.4136
70697.0000,0.1309,0.9814,0.3662,-0.4272,4.1504,-12.6953
70698.0000,0.1318,0.9849,0.3667,-0.3662,4.3945,-13.8550
70699.0000,0.1338,0.9873,0.3657,-0.4272,4.5166,-15.5640
70700.0000,0.1411,0.9888,0.3643,-0.9155,5.1880,-18.2495
70701.0000,0.1436,0.9927,0.3643,-1.2207,5.9204,-20.4468
70702.0000,0.1440,0.9888,0.3706,-1.6479,6.8970,-22.9492
70703.0000,0.1211,0.9663,0.3618,-2.5635,8.2397,-25.0244
70704.0000,0.1074,0.9556,0.3599,-2.6245,8.6670,-24.6582
70705.0000,0.0991,0.9478,0.3618,-2.0752,8.5449,-23.9258
70706.0000,0.0894,0.9517,0.3643,-1.0986,8.4229,-21.9727
70707.0000,0.0869,0.9619,0.3667,-0.6714,8.3008,-20.3247
70708.0000,0.0874,0.9790,0.3677,-0.5493,8.3008,-19.1650
70709.0000,0.0879,0.9893,0.3691,-0.7935,8.7280,-18.3105
70710.0000,0.0869,0.9932,0.3691,-1.2207,9.2773,-18.0054
70711.0000,0.0874,0.9985,0.3701,-1.3428,9.7656,-18.4326
70712.0000,0.0825,1.0054,0.3691,-1.8311,10.5591,-19.5923
70713.0000,0.0820,1.0073,0.3716,-2.4414,11.2305,-21.1182
70714.0000,0.0786,1.0029,0.3657,-2.9907,11.7188,-22.7051
70715.0000,0.0786,0.9985,0.3662,-3.4790,12.2070,-25.6958
70716.0000,0.0796,0.9951,0.3667,-3.9062,12.6953,-27.9541
70717.0000,0.0762,0.9863,0.3657,-4.2725,13.2446,-30.3345
70718.0000,0.0723,0.9810,0.3682,-4.5166,13.7939,-33.6914
70719.0000,0.0684,0.9785,0.3672,-4.7607,14.0991,-36.2549
70720.0000,0.0625,0.9751,0.3647,-5.0049,14.4653,-39.2456
70721.0000,0.0547,0.9722,0.3657,-5.3101,14.6484,-43.0298
70722.0000,0.0527,0.9673,0.3633,-5.5542,14.8926,-45.8374
70723.0000,0.0493,0.9658,0.3647,-5.4932,15.0146,-48.3398
70724.0000,0.0415,0.9702,0.3672,-5.6152,15.3198,-51.7578
70725.0000,0.0337,0.9712,0.3677,-5.8594,15.9912,-54.5654
70726.0000,0.0200,0.9741,0.3701,-6.1646,16.3574,-57.2510
70727.0000,0.0063,0.9717,0.3716,-6.7139,16.7847,-60.9741
70728.0000,-0.0034,0.9731,0.3745,-7.1411,17.0898,-63.4766
70729.0000,-0.0083,0.9795,0.3745,-7.9346,17.2119,-66.2231
70730.0000,-0.0146,0.9722,0.3735,-8.5449,17.6392,-67.9932
70731.0000,-0.0283,0.9663,0.3740,-9.0942,18.1274,-69.5801
70732.0000,-0.0444,0.9624,0.3735,-9.5825,18.5547,-71.4111
70733.0000,-0.0566,0.9570,0.3750,-9.8267,18.7378,-72.4487
70734.0000,-0.0645,0.9521,0.3755,-10.1929,18.7378,-73.2422
70735.0000,-0.0771,0.9424,0.3809,-10.4980,18.9819,-73.4863
70736.0000,-0.0928,0.9429,0.3779,-10.5591,19.5312,-73.7305
