timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
11116.0000,-0.1763,0.9468,0.4395,0.5493,-2.1973,0.5493
11117.0000,-0.2217,0.9458,0.4380,1.1597,-7.4463,-0.7324
11118.0000,-0.2573,0.9424,0.4341,1.5869,-12.9395,-1.6479
11119.0000,-0.2983,0.9487,0.4326,2.0752,-19.6533,-3.0518
11120.0000,-0.3472,0.9634,0.4307,2.3804,-30.8838,-5.6152
11121.0000,-0.3623,0.9741,0.4277,2.0142,-40.8325,-8.5449
11122.0000,-0.3433,0.9766,0.4312,1.4038,-51.1475,-11.8408
11123.0000,-0.2520,0.9521,0.4331,0.8545,-62.6831,-15.8081
11124.0000,-0.1797,0.9297,0.4399,1.1597,-67.9321,-17.9443
11125.0000,-0.1509,0.9106,0.4424,2.4414,-70.6177,-19.1040
11126.0000,-0.1982,0.9009,0.4341,5.0049,-73.9746,-20.5688
11127.0000,-0.2500,0.9082,0.4253,7.4463,-78.5522,-22.3999
11128.0000,-0.2939,0.9204,0.4189,9.4604,-85.2661,-24.9634
11129.0000,-0.3320,0.9365,0.4053,11.7188,-96.8628,-29.1748
11130.0000,-0.3560,0.9487,0.3955,13.0615,-106.6895,-33.2031
11131.0000,-0.3770,0.9673,0.3877,13.8550,-117.6147,-37.9639
11132.0000,-0.3892,0.9912,0.3730,14.2212,-133.3008,-45.1050
11133.0000,-0.3638,0.9985,0.3584,13.6108,-145.6909,-50.5371
11134.0000,-0.2974,1.0078,0.3418,12.8174,-156.8604,-55.7861
11135.0000,-0.2153,1.0098,0.3364,11.7798,-167.6025,-62.1338
11136.0000,-0.1943,0.9956,0.3262,10.8643,-173.0347,-65.9790
11137.0000,-0.2134,0.9766,0.3086,10.8643,-178.4668,-69.0918
11138.0000,-0.2373,0.9580,0.2974,11.9019,-187.4390,-72.1436
11139.0000,-0.2251,0.9658,0.2915,13.0615,-194.9463,-73.8525
11140.0000,-0.1733,0.9692,0.2803,14.0381,-202.3315,-74.3408
11141.0000,-0.0776,0.9653,0.2759,15.0146,-208.9233,-74.2188
11142.0000,-0.0044,0.9741,0.2856,15.8691,-210.5103,-72.9980
11143.0000,0.0557,0.9912,0.2935,15.7471,-209.7778,-71.1060
11144.0000,0.1445,1.0303,0.3120,14.2822,-205.0171,-67.4438
11145.0000,0.2026,1.0508,0.3286,12.0850,-197.9980,-65.4297
11146.0000,0.2251,1.0469,0.3472,9.0942,-188.7207,-64.2090
11147.0000,0.1948,1.0078,0.3545,6.2866,-175.6592,-63.2935
11148.0000,0.1636,0.9800,0.3638,5.3711,-167.4805,-63.0493
11149.0000,0.1431,0.9585,0.3711,5.3711,-160.4004,-62.8052
11150.0000,0.1318,0.9424,0.3828,6.2866,-152.0386,-62.0117
11151.0000,0.1362,0.9429,0.3867,7.2021,-145.9351,-60.6079
