timestamp,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
20127.0000,0.0029,0.9180,0.4365,-1.2207,-0.1831,-1.2817
20128.0000,-0.0396,0.9204,0.4380,0.2441,1.1597,-0.4272
20129.0000,-0.0581,0.9409,0.4453,1.6479,0.7324,0.0000
20130.0000,-0.0425,0.9556,0.4556,0.7935,0.0610,-0.1221
20131.0000,-0.0200,0.9629,0.4565,0.4272,0.4272,-0.0610
20132.0000,-0.0142,0.9541,0.4556,-0.7935,1.8921,0.0000
20133.0000,-0.0342,0.9399,0.4487,-0.7935,2.8687,0.2441
20134.0000,-0.0576,0.9307,0.4438,-0.3052,3.2349,0.2441
20135.0000,-0.0820,0.9238,0.4473,0.9155,2.1973,0.2441
20136.0000,-0.0835,0.9282,0.4448,1.8921,0.7935,0.1221
20137.0000,-0.0654,0.9453,0.4434,2.6855,-0.5493,0.0000
20138.0000,-0.0298,0.9688,0.4478,2.6855,-0.4272,-0.6714
20139.0000,-0.0103,0.9722,0.4434,1.9531,1.0376,-0.8545
20140.0000,-0.0039,0.9678,0.4443,1.4038,2.8076,-0.7324
20141.0000,-0.0171,0.9536,0.4355,0.6104,4.9438,0.1221
20142.0000,-0.0347,0.9468,0.4302,0.3052,5.8594,0.8545
20143.0000,-0.0610,0.9463,0.4336,0.4272,5.7983,1.7700
20144.0000,-0.0820,0.9585,0.4424,0.3662,4.3335,2.1362
20145.0000,-0.0737,0.9692,0.4487,0.2441,2.8076,1.8921
20146.0000,-0.0508,0.9712,0.4521,-0.6714,1.8311,1.3428
20147.0000,-0.0332,0.9663,0.4478,-1.4648,1.9531,0.5493
20148.0000,-0.0317,0.9536,0.4512,-1.4648,2.7466,0.0610
20149.0000,-0.0366,0.9419,0.4502,-1.2207,3.4180,-0.4272
20150.0000,-0.0469,0.9321,0.4448,-0.3662,3.7842,-1.0986
20151.0000,-0.0566,0.9277,0.4438,0.3662,3.6621,-1.4038
20152.0000,-0.0708,0.9263,0.4429,1.1597,3.1738,-1.7700
20153.0000,-0.0830,0.9287,0.4458,2.3804,1.5259,-2.3193
20154.0000,-0.0654,0.9419,0.4487,2.8687,0.1831,-2.8687
20155.0000,-0.0210,0.9556,0.4541,2.7466,-0.1831,-2.8687
20156.0000,0.0386,0.9619,0.4556,1.7700,2.0142,-1.6479
20157.0000,0.0493,0.9482,0.4487,1.1597,5.6152,0.0000
20158.0000,0.0181,0.9370,0.4429,1.4038,9.0942,1.7090
20159.0000,-0.0469,0.9458,0.4365,2.3804,11.2305,3.0518
20160.0000,-0.0737,0.9570,0.4351,2.4414,10.9253,3.1738
20161.0000,-0.0825,0.9673,0.4380,2.1362,9.5825,2.6245
20162.0000,-0.0654,0.9731,0.4395,1.5259,8.0566,1.2207
20163.0000,-0.0596,0.9727,0.4419,0.9766,7.5073,0.3052
20164.0000,-0.0566,0.9717,0.4434,0.4272,7.2021,-0.7324
20165.0000,-0.0508,0.9707,0.4385,0.0000,6.6528,-2.0142
20166.0000,-0.0376,0.9668,0.4448,-0.5493,6.6528,-2.6245
20167.0000,-0.0181,0.9575,0.4492,-0.9766,7.0801,-2.7466
20168.0000,0.0225,0.9443,0.4575,-1.1597,9.0332,-2.3193
20169.0000,0.0728,0.9370,0.4658,-1.3428,11.9629,-0.7935
20170.0000,0.1279,0.9326,0.4658,-1.4038,16.9067,1.7090
